County,State,State_FIPS,County_FIPS,age_60_and_over
Autauga County,Alabama,01,001,19.1
Baldwin County,Alabama,01,003,26.3
Barbour County,Alabama,01,005,23.5
Bibb County,Alabama,01,007,21.1
Blount County,Alabama,01,009,23.6
Bullock County,Alabama,01,011,22.6
Butler County,Alabama,01,013,25.6
Calhoun County,Alabama,01,015,23.5
Chambers County,Alabama,01,017,25.1
Cherokee County,Alabama,01,019,29.1
Chilton County,Alabama,01,021,21.5
Choctaw County,Alabama,01,023,28.5
Clarke County,Alabama,01,025,24.9
Clay County,Alabama,01,027,26.0
Cleburne County,Alabama,01,029,24.7
Coffee County,Alabama,01,031,21.6
Colbert County,Alabama,01,033,25.8
Conecuh County,Alabama,01,035,28.0
Coosa County,Alabama,01,037,28.7
Covington County,Alabama,01,039,27.4
Crenshaw County,Alabama,01,041,24.3
Cullman County,Alabama,01,043,24.1
Dale County,Alabama,01,045,21.3
Dallas County,Alabama,01,047,23.2
DeKalb County,Alabama,01,049,22.2
Elmore County,Alabama,01,051,19.7
Escambia County,Alabama,01,053,23.1
Etowah County,Alabama,01,055,24.4
Fayette County,Alabama,01,057,27.6
Franklin County,Alabama,01,059,22.4
Geneva County,Alabama,01,061,25.3
Greene County,Alabama,01,063,27.6
Hale County,Alabama,01,065,26.3
Henry County,Alabama,01,067,28.3
Houston County,Alabama,01,069,22.5
Jackson County,Alabama,01,071,25.7
Jefferson County,Alabama,01,073,21.0
Lamar County,Alabama,01,075,27.2
Lauderdale County,Alabama,01,077,25.3
Lawrence County,Alabama,01,079,23.2
Lee County,Alabama,01,081,15.7
Limestone County,Alabama,01,083,20.1
Lowndes County,Alabama,01,085,23.9
Macon County,Alabama,01,087,25.1
Madison County,Alabama,01,089,19.8
Marengo County,Alabama,01,091,26.0
Marion County,Alabama,01,093,27.3
Marshall County,Alabama,01,095,22.7
Mobile County,Alabama,01,097,21.3
Monroe County,Alabama,01,099,25.5
Montgomery County,Alabama,01,101,19.5
Morgan County,Alabama,01,103,22.4
Perry County,Alabama,01,105,23.5
Pickens County,Alabama,01,107,24.7
Pike County,Alabama,01,109,19.3
Randolph County,Alabama,01,111,27.2
Russell County,Alabama,01,113,18.3
Saint Clair County,Alabama,01,115,21.8
Shelby County,Alabama,01,117,19.9
Sumter County,Alabama,01,119,23.0
Talladega County,Alabama,01,121,23.3
Tallapoosa County,Alabama,01,123,27.0
Tuscaloosa County,Alabama,01,125,17.8
Walker County,Alabama,01,127,25.2
Washington County,Alabama,01,129,24.5
Wilcox County,Alabama,01,131,25.2
Winston County,Alabama,01,133,27.4
Anchorage Municipality,Alaska,02,020,14.6
