County,State,State_FIPS,County_FIPS,age_18_and_under_percentage
Miller County,Arkansas,05,091,9.1
Mississippi County,Arkansas,05,093,9.8
Monroe County,Arkansas,05,095,9.9
Montgomery County,Arkansas,05,097,6.8
Nevada County,Arkansas,05,099,8.7
Newton County,Arkansas,05,101,6.4
Ouachita County,Arkansas,05,103,8.2
Perry County,Arkansas,05,105,9.0
Phillips County,Arkansas,05,107,9.4
Pike County,Arkansas,05,109,7.4
Poinsett County,Arkansas,05,111,8.7
Polk County,Arkansas,05,113,6.9
Pope County,Arkansas,05,115,14.4
Prairie County,Arkansas,05,117,7.7
Pulaski County,Arkansas,05,119,9.7
Randolph County,Arkansas,05,121,8.1
Saint Francis County,Arkansas,05,123,8.3
Saline County,Arkansas,05,125,7.4
Scott County,Arkansas,05,127,9.8
Searcy County,Arkansas,05,129,6.5
Sebastian County,Arkansas,05,131,9.7
Sevier County,Arkansas,05,133,9.3
Sharp County,Arkansas,05,135,7.2
Stone County,Arkansas,05,137,7.4
Union County,Arkansas,05,139,8.5
Van Buren County,Arkansas,05,141,6.8
Washington County,Arkansas,05,143,15.4
White County,Arkansas,05,145,12.5
Woodruff County,Arkansas,05,147,9.1
Yell County,Arkansas,05,149,8.3
Alameda County,California,06,001,9.5
Alpine County,California,06,003,13.4
Amador County,California,06,005,7.3
Butte County,California,06,007,15.6
Calaveras County,California,06,009,6.8
Colusa County,California,06,011,10.0
Contra Costa County,California,06,013,9.0
Del Norte County,California,06,015,9.6
El Dorado County,California,06,017,8.4
Fresno County,California,06,019,11.3
Glenn County,California,06,021,9.4
Humboldt County,California,06,023,13.2
Imperial County,California,06,025,11.8
Inyo County,California,06,027,7.4
Kern County,California,06,029,11.5
Kings County,California,06,031,11.9
Lake County,California,06,033,8.0
Lassen County,California,06,035,14.4
Los Angeles County,California,06,037,10.7
Madera County,California,06,039,10.6
Marin County,California,06,041,6.9
Mariposa County,California,06,043,6.9
Mendocino County,California,06,045,8.1
Merced County,California,06,047,12.0
Modoc County,California,06,049,5.3
Mono County,California,06,051,13.1
Monterey County,California,06,053,11.0
Napa County,California,06,055,9.4
Nevada County,California,06,057,7.6
Orange County,California,06,059,10.3
Placer County,California,06,061,8.3
Plumas County,California,06,063,6.2
Riverside County,California,06,065,10.7
Sacramento County,California,06,067,9.9
San Benito County,California,06,069,10.1
San Bernardino County,California,06,071,11.8
San Diego County,California,06,073,12.3
San Francisco County,California,06,075,7.4
San Joaquin County,California,06,077,10.7
San Luis Obispo County,California,06,079,16.8
San Mateo County,California,06,081,7.9
Santa Barbara County,California,06,083,16.3
Santa Clara County,California,06,085,9.1
Santa Cruz County,California,06,087,15.2
Shasta County,California,06,089,8.7
Sierra County,California,06,091,4.1
Siskiyou County,California,06,093,7.8
Solano County,California,06,095,10.4
Sonoma County,California,06,097,9.3
Stanislaus County,California,06,099,10.5
Sutter County,California,06,101,9.9
Tehama County,California,06,103,8.4
Trinity County,California,06,105,6.4
Tulare County,California,06,107,11.1
Tuolumne County,California,06,109,8.8
Ventura County,California,06,111,10.3
Yolo County,California,06,113,19.2
Yuba County,California,06,115,10.7
Alamosa County,Colorado,08,003,19.3
Archuleta County,Colorado,08,007,8.4
Baca County,Colorado,08,009,7.4
Bent County,Colorado,08,011,4.1
Chaffee County,Colorado,08,015,7.4
Cheyenne County,Colorado,08,017,6.1
Clear Creek County,Colorado,08,019,6.9
Conejos County,Colorado,08,021,8.5
Costilla County,Colorado,08,023,8.8
Crowley County,Colorado,08,025,16.4
Custer County,Colorado,08,027,6.2
Delta County,Colorado,08,029,7.3
Dolores County,Colorado,08,033,4.3
Douglas County,Colorado,08,035,7.2
Eagle County,Colorado,08,037,8.0
Elbert County,Colorado,08,039,7.4
El Paso County,Colorado,08,041,12.7
Fremont County,Colorado,08,043,6.5
Garfield County,Colorado,08,045,8.3
Gilpin County,Colorado,08,047,2.3
Grand County,Colorado,08,049,6.8
Gunnison County,Colorado,08,051,19.1
Huerfano County,Colorado,08,055,6.0
Jackson County,Colorado,08,057,4.9
Kiowa County,Colorado,08,061,4.7
Kit Carson County,Colorado,08,063,7.4
Lake County,Colorado,08,065,11.2
La Plata County,Colorado,08,067,10.6
Larimer County,Colorado,08,069,15.1
Las Animas County,Colorado,08,071,10.2
Lincoln County,Colorado,08,073,8.8
Logan County,Colorado,08,075,14.7
Mesa County,Colorado,08,077,10.4
Moffat County,Colorado,08,081,8.4
Montezuma County,Colorado,08,083,8.0
Montrose County,Colorado,08,085,7.0
Morgan County,Colorado,08,087,9.4
Otero County,Colorado,08,089,10.2
Ouray County,Colorado,08,091,7.4
Park County,Colorado,08,093,5.8
Phillips County,Colorado,08,095,8.9
Pitkin County,Colorado,08,097,7.2
