County,State,State_FIPS,County_FIPS,age_18_and_under_percentage
Autauga County,Alabama,01,001,8.7
Baldwin County,Alabama,01,003,7.9
Barbour County,Alabama,01,005,10.4
Bibb County,Alabama,01,007,10.7
Blount County,Alabama,01,009,8.2
Bullock County,Alabama,01,011,12.3
Butler County,Alabama,01,013,8.7
Calhoun County,Alabama,01,015,10.9
Chambers County,Alabama,01,017,8.6
Cherokee County,Alabama,01,019,7.2
Chilton County,Alabama,01,021,9.0
Choctaw County,Alabama,01,023,7.6
Clarke County,Alabama,01,025,10.9
Clay County,Alabama,01,027,8.6
Cleburne County,Alabama,01,029,8.3
Coffee County,Alabama,01,031,9.4
Colbert County,Alabama,01,033,8.3
Conecuh County,Alabama,01,035,8.9
Coosa County,Alabama,01,037,7.9
Covington County,Alabama,01,039,8.2
Crenshaw County,Alabama,01,041,8.3
Cullman County,Alabama,01,043,9.0
Dale County,Alabama,01,045,10.5
Dallas County,Alabama,01,047,9.6
DeKalb County,Alabama,01,049,8.3
Elmore County,Alabama,01,051,9.9
Escambia County,Alabama,01,053,9.0
Etowah County,Alabama,01,055,8.9
Fayette County,Alabama,01,057,8.9
Franklin County,Alabama,01,059,10.3
Geneva County,Alabama,01,061,8.7
Greene County,Alabama,01,063,10.4
Hale County,Alabama,01,065,9.3
Henry County,Alabama,01,067,7.9
Houston County,Alabama,01,069,8.5
Jackson County,Alabama,01,071,7.9
Jefferson County,Alabama,01,073,10.1
Lamar County,Alabama,01,075,8.4
Lauderdale County,Alabama,01,077,10.8
Lawrence County,Alabama,01,079,9.5
Lee County,Alabama,01,081,22.1
Limestone County,Alabama,01,083,8.2
Lowndes County,Alabama,01,085,10.0
Macon County,Alabama,01,087,16.7
Madison County,Alabama,01,089,10.7
Marengo County,Alabama,01,091,9.4
Marion County,Alabama,01,093,7.1
Marshall County,Alabama,01,095,9.0
Mobile County,Alabama,01,097,10.1
Monroe County,Alabama,01,099,8.7
Montgomery County,Alabama,01,101,11.8
Morgan County,Alabama,01,103,9.0
Perry County,Alabama,01,105,11.9
Pickens County,Alabama,01,107,9.2
Pike County,Alabama,01,109,20.5
Randolph County,Alabama,01,111,9.0
Russell County,Alabama,01,113,9.3
Saint Clair County,Alabama,01,115,8.4
Shelby County,Alabama,01,117,7.9
Sumter County,Alabama,01,119,13.1
Talladega County,Alabama,01,121,8.7
Tallapoosa County,Alabama,01,123,8.3
Tuscaloosa County,Alabama,01,125,19.7
Walker County,Alabama,01,127,8.3
Washington County,Alabama,01,129,9.6
Wilcox County,Alabama,01,131,6.8
Winston County,Alabama,01,133,7.2
Anchorage Municipality,Alaska,02,020,12.1
Bethel Census Area,Alaska,02,050,11.8
Bristol Bay Borough,Alaska,02,060,3.4
Fairbanks North Star Borough,Alaska,02,090,15.0
Haines Borough,Alaska,02,100,1.5
Juneau City and Borough,Alaska,02,110,9.7
Kenai Peninsula Borough,Alaska,02,122,8.9
Kodiak Island Borough,Alaska,02,150,11.2
Matanuska-Susitna Borough,Alaska,02,170,9.0
Nome Census Area,Alaska,02,180,12.2
North Slope Borough,Alaska,02,185,22.7
Sitka City and Borough,Alaska,02,220,9.9
Southeast Fairbanks Census Area,Alaska,02,240,8.9
Valdez-Cordova Census Area,Alaska,02,261,7.8
Wade Hampton Census Area,Alaska,02,270,13.8
Northwest Arctic Borough,Alaska,02,188,14.0
Aleutians East Borough,Alaska,02,013,10.0
Aleutians West Census Area,Alaska,02,016,10.2
Dillingham Census Area,Alaska,02,070,11.1
Lake and Peninsula Borough,Alaska,02,164,4.1
Denali Borough,Alaska,02,068,1.9
Yukon-Koyukuk Census Area,Alaska,02,290,10.6
Hoonah-Angoon Census Area,Alaska,02,105,3.0
Skagway Municipality,Alaska,02,230,20.1
Yakutat City and Borough,Alaska,02,282,1.7
Ketchikan Gateway Borough,Alaska,02,130,10.6
Petersburg Borough,Alaska,02,195,7.2
Prince of Wales-Hyder Census Area,Alaska,02,198,8.0
Wrangell City and Borough,Alaska,02,275,7.8
Apache County,Arizona,04,001,10.6
Cochise County,Arizona,04,003,10.4
Coconino County,Arizona,04,005,16.8
Gila County,Arizona,04,007,7.4
Graham County,Arizona,04,009,12.4
Greenlee County,Arizona,04,011,7.5
Maricopa County,Arizona,04,013,10.3
Mohave County,Arizona,04,015,6.8
Navajo County,Arizona,04,017,10.0
Pima County,Arizona,04,019,11.3
Pinal County,Arizona,04,021,8.4
