County,State,State_FIPS,County_FIPS,age_60_and_over
Autauga County,Alabama,01,001,12.0
Baldwin County,Alabama,01,003,17.3
Barbour County,Alabama,01,005,12.8
Bibb County,Alabama,01,007,12.0
Blount County,Alabama,01,009,14.9
Bullock County,Alabama,01,011,11.4
Butler County,Alabama,01,013,15.5
Calhoun County,Alabama,01,015,13.5
Chambers County,Alabama,01,017,15.6
Cherokee County,Alabama,01,019,18.2
Chilton County,Alabama,01,021,13.5
Choctaw County,Alabama,01,023,18.6
Clarke County,Alabama,01,025,16.0
Clay County,Alabama,01,027,17.5
Cleburne County,Alabama,01,029,16.0
Coffee County,Alabama,01,031,13.6
Colbert County,Alabama,01,033,16.0
Conecuh County,Alabama,01,035,18.2
Coosa County,Alabama,01,037,15.8
Covington County,Alabama,01,039,17.0
Crenshaw County,Alabama,01,041,14.6
Cullman County,Alabama,01,043,15.2
Dale County,Alabama,01,045,12.9
Dallas County,Alabama,01,047,13.8
DeKalb County,Alabama,01,049,13.2
Elmore County,Alabama,01,051,12.5
Escambia County,Alabama,01,053,13.5
Etowah County,Alabama,01,055,14.8
Fayette County,Alabama,01,057,16.6
Franklin County,Alabama,01,059,14.5
Geneva County,Alabama,01,061,16.5
Greene County,Alabama,01,063,15.7
Hale County,Alabama,01,065,15.1
Henry County,Alabama,01,067,18.3
Houston County,Alabama,01,069,14.0
Jackson County,Alabama,01,071,16.1
Jefferson County,Alabama,01,073,11.9
Lamar County,Alabama,01,075,17.0
Lauderdale County,Alabama,01,077,15.8
Lawrence County,Alabama,01,079,14.5
Lee County,Alabama,01,081,9.0
Limestone County,Alabama,01,083,11.8
Lowndes County,Alabama,01,085,14.7
Macon County,Alabama,01,087,14.7
Madison County,Alabama,01,089,11.8
Marengo County,Alabama,01,091,16.8
Marion County,Alabama,01,093,17.6
Marshall County,Alabama,01,095,14.2
Mobile County,Alabama,01,097,12.5
Monroe County,Alabama,01,099,15.5
Montgomery County,Alabama,01,101,11.2
Morgan County,Alabama,01,103,13.5
Perry County,Alabama,01,105,15.8
Pickens County,Alabama,01,107,15.7
Pike County,Alabama,01,109,12.5
Randolph County,Alabama,01,111,16.9
Russell County,Alabama,01,113,10.4
Saint Clair County,Alabama,01,115,13.3
Shelby County,Alabama,01,117,11.3
Sumter County,Alabama,01,119,13.8
Talladega County,Alabama,01,121,14.0
Tallapoosa County,Alabama,01,123,17.8
Tuscaloosa County,Alabama,01,125,10.0
Walker County,Alabama,01,127,15.7
Washington County,Alabama,01,129,14.5
Wilcox County,Alabama,01,131,15.0
Winston County,Alabama,01,133,17.6
Anchorage Municipality,Alaska,02,020,7.7
Bethel Census Area,Alaska,02,050,6.2
Bristol Bay Borough,Alaska,02,060,7.2
Fairbanks North Star Borough,Alaska,02,090,7.1
Haines Borough,Alaska,02,100,18.7
Juneau City and Borough,Alaska,02,110,8.9
Kenai Peninsula Borough,Alaska,02,122,13.4
Kodiak Island Borough,Alaska,02,150,7.2
Matanuska-Susitna Borough,Alaska,02,170,8.8
Nome Census Area,Alaska,02,180,6.9
North Slope Borough,Alaska,02,185,4.2
Sitka City and Borough,Alaska,02,220,11.3
Southeast Fairbanks Census Area,Alaska,02,240,10.8
Valdez-Cordova Census Area,Alaska,02,261,9.1
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,5.7
Aleutians East Borough,Alaska,02,013,5.1
Aleutians West Census Area,Alaska,02,016,5.9
Dillingham Census Area,Alaska,02,070,7.8
Lake and Peninsula Borough,Alaska,02,164,5.7
Denali Borough,Alaska,02,068,7.5
Yukon-Koyukuk Census Area,Alaska,02,290,13.2
Hoonah-Angoon Census Area,Alaska,02,105,15.7
Skagway Municipality,Alaska,02,230,9.3
Yakutat City and Borough,Alaska,02,282,11.2
Ketchikan Gateway Borough,Alaska,02,130,11.0
Petersburg Borough,Alaska,02,195,11.8
Prince of Wales-Hyder Census Area,Alaska,02,198,11.4
Wrangell City and Borough,Alaska,02,275,19.6
Apache County,Arizona,04,001,12.0
Cochise County,Arizona,04,003,17.8
Coconino County,Arizona,04,005,9.9
Gila County,Arizona,04,007,24.7
Graham County,Arizona,04,009,10.3
Greenlee County,Arizona,04,011,10.4
Maricopa County,Arizona,04,013,12.2
Mohave County,Arizona,04,015,25.4
Navajo County,Arizona,04,017,14.2
Pima County,Arizona,04,019,15.7
Pinal County,Arizona,04,021,16.1
Santa Cruz County,Arizona,04,023,14.5
Yavapai County,Arizona,04,025,26.5
La Paz County,Arizona,04,012,36.0
Yuma County,Arizona,04,027,15.8
Arkansas County,Arkansas,05,001,15.8
Ashley County,Arkansas,05,003,16.5
Baxter County,Arkansas,05,005,28.9
Benton County,Arkansas,05,007,11.5
Boone County,Arkansas,05,009,17.8
Bradley County,Arkansas,05,011,15.6
Calhoun County,Arkansas,05,013,16.5
Carroll County,Arkansas,05,015,20.0
Chicot County,Arkansas,05,017,15.7
Clark County,Arkansas,05,019,14.1
Clay County,Arkansas,05,021,18.7
Cleburne County,Arkansas,05,023,24.0
Cleveland County,Arkansas,05,025,16.6
Columbia County,Arkansas,05,027,14.2
Conway County,Arkansas,05,029,16.6
Craighead County,Arkansas,05,031,10.9
Crawford County,Arkansas,05,033,13.5
Crittenden County,Arkansas,05,035,10.8
Cross County,Arkansas,05,037,15.0
Dallas County,Arkansas,05,039,16.6
Desha County,Arkansas,05,041,15.4
Drew County,Arkansas,05,043,14.1
Faulkner County,Arkansas,05,045,9.7
Franklin County,Arkansas,05,047,16.4
Fulton County,Arkansas,05,049,24.2
Garland County,Arkansas,05,051,19.8
Grant County,Arkansas,05,053,14.5
Greene County,Arkansas,05,055,13.2
Hempstead County,Arkansas,05,057,14.8
Hot Spring County,Arkansas,05,059,15.3
Howard County,Arkansas,05,061,14.5
Independence County,Arkansas,05,063,14.3
Izard County,Arkansas,05,065,22.4
Jackson County,Arkansas,05,067,14.5
Jefferson County,Arkansas,05,069,12.8
Johnson County,Arkansas,05,071,14.3
Lafayette County,Arkansas,05,073,19.3
Lawrence County,Arkansas,05,075,17.1
Lee County,Arkansas,05,077,13.4
Lincoln County,Arkansas,05,079,9.6
Little River County,Arkansas,05,081,17.0
Logan County,Arkansas,05,083,17.3
Lonoke County,Arkansas,05,085,10.8
Madison County,Arkansas,05,087,15.7
Marion County,Arkansas,05,089,25.4
Miller County,Arkansas,05,091,12.8
Mississippi County,Arkansas,05,093,11.4
Monroe County,Arkansas,05,095,18.6
Montgomery County,Arkansas,05,097,22.9
Nevada County,Arkansas,05,099,17.8
Newton County,Arkansas,05,101,21.0
Ouachita County,Arkansas,05,103,15.9
Perry County,Arkansas,05,105,17.1
Phillips County,Arkansas,05,107,14.4
Pike County,Arkansas,05,109,16.8
Poinsett County,Arkansas,05,111,14.9
Polk County,Arkansas,05,113,19.5
Pope County,Arkansas,05,115,12.5
Prairie County,Arkansas,05,117,20.0
Pulaski County,Arkansas,05,119,11.4
Randolph County,Arkansas,05,121,17.6
Saint Francis County,Arkansas,05,123,11.0
Saline County,Arkansas,05,125,15.5
Scott County,Arkansas,05,127,16.1
Searcy County,Arkansas,05,129,21.1
Sebastian County,Arkansas,05,131,12.3
Sevier County,Arkansas,05,133,11.6
Sharp County,Arkansas,05,135,24.2
Stone County,Arkansas,05,137,22.7
Union County,Arkansas,05,139,14.7
Van Buren County,Arkansas,05,141,22.9
Washington County,Arkansas,05,143,9.0
White County,Arkansas,05,145,13.3
Woodruff County,Arkansas,05,147,17.4
Yell County,Arkansas,05,149,14.8
Alameda County,California,06,001,10.7
Alpine County,California,06,003,18.8
Amador County,California,06,005,21.0
Butte County,California,06,007,14.8
Calaveras County,California,06,009,24.0
Colusa County,California,06,011,12.0
Contra Costa County,California,06,013,12.3
Del Norte County,California,06,015,12.7
El Dorado County,California,06,017,16.3
Fresno County,California,06,019,9.6
Glenn County,California,06,021,13.3
Humboldt County,California,06,023,13.5
Imperial County,California,06,025,10.2
Inyo County,California,06,027,19.7
Kern County,California,06,029,8.5
Kings County,California,06,031,7.3
Lake County,California,06,033,19.0
Lassen County,California,06,035,8.5
Los Angeles County,California,06,037,10.3
Madera County,California,06,039,12.2
Marin County,California,06,041,17.0
Mariposa County,California,06,043,23.2
Mendocino County,California,06,045,17.0
Merced County,California,06,047,9.1
Modoc County,California,06,049,23.0
Mono County,California,06,051,14.0
Monterey County,California,06,053,10.1
Napa County,California,06,055,15.0
Nevada County,California,06,057,21.2
Orange County,California,06,059,11.3
Placer County,California,06,061,15.7
Plumas County,California,06,063,23.7
Riverside County,California,06,065,11.7
Sacramento County,California,06,067,10.8
San Benito County,California,06,069,10.1
San Bernardino County,California,06,071,8.9
San Diego County,California,06,073,10.8
San Francisco County,California,06,075,12.4
San Joaquin County,California,06,077,10.1
San Luis Obispo County,California,06,079,15.1
San Mateo County,California,06,081,12.6
Santa Barbara County,California,06,083,12.0
Santa Clara County,California,06,085,10.5
Santa Cruz County,California,06,087,11.6
Shasta County,California,06,089,17.4
Sierra County,California,06,091,24.7
Siskiyou County,California,06,093,21.4
Solano County,California,06,095,11.5
Sonoma County,California,06,097,14.2
Stanislaus County,California,06,099,10.4
Sutter County,California,06,101,12.6
Tehama County,California,06,103,16.3
Trinity County,California,06,105,23.4
Tulare County,California,06,107,9.1
Tuolumne County,California,06,109,20.7
Ventura County,California,06,111,11.7
Yolo County,California,06,113,9.9
Yuba County,California,06,115,10.2
Alamosa County,Colorado,08,003,11.5
Archuleta County,Colorado,08,007,20.8
Baca County,Colorado,08,009,23.3
Bent County,Colorado,08,011,11.5
Chaffee County,Colorado,08,015,20.6
Cheyenne County,Colorado,08,017,11.0
Clear Creek County,Colorado,08,019,16.8
Conejos County,Colorado,08,021,16.2
Costilla County,Colorado,08,023,24.5
Crowley County,Colorado,08,025,10.8
Custer County,Colorado,08,027,27.7
Delta County,Colorado,08,029,21.3
Dolores County,Colorado,08,033,20.0
Douglas County,Colorado,08,035,8.6
Eagle County,Colorado,08,037,7.1
Elbert County,Colorado,08,039,12.9
El Paso County,Colorado,08,041,9.7
Fremont County,Colorado,08,043,16.2
Garfield County,Colorado,08,045,9.4
Gilpin County,Colorado,08,047,9.1
Grand County,Colorado,08,049,13.4
Gunnison County,Colorado,08,051,9.7
Huerfano County,Colorado,08,055,28.0
Jackson County,Colorado,08,057,20.3
Kiowa County,Colorado,08,061,18.9
Kit Carson County,Colorado,08,063,15.3
Lake County,Colorado,08,065,9.1
La Plata County,Colorado,08,067,13.1
Larimer County,Colorado,08,069,12.2
Las Animas County,Colorado,08,071,18.7
Lincoln County,Colorado,08,073,14.0
Logan County,Colorado,08,075,13.1
Mesa County,Colorado,08,077,14.8
Moffat County,Colorado,08,081,11.1
Montezuma County,Colorado,08,083,17.6
Montrose County,Colorado,08,085,19.2
Morgan County,Colorado,08,087,13.7
Otero County,Colorado,08,089,17.0
Ouray County,Colorado,08,091,28.5
Park County,Colorado,08,093,16.0
Phillips County,Colorado,08,095,19.3
Pitkin County,Colorado,08,097,15.6
Prowers County,Colorado,08,099,14.0
Pueblo County,Colorado,08,101,15.1
Rio Blanco County,Colorado,08,103,12.6
Rio Grande County,Colorado,08,105,17.1
Routt County,Colorado,08,107,10.9
Saguache County,Colorado,08,109,17.3
San Miguel County,Colorado,08,113,10.8
Sedgwick County,Colorado,08,115,23.2
Summit County,Colorado,08,117,9.5
Teller County,Colorado,08,119,17.9
Washington County,Colorado,08,121,18.6
Yuma County,Colorado,08,125,16.3
Adams County,Colorado,08,001,8.1
Arapahoe County,Colorado,08,005,10.1
Boulder County,Colorado,08,013,10.3
Broomfield County,Colorado,08,014,9.8
Denver County,Colorado,08,031,9.1
Jefferson County,Colorado,08,059,12.6
Weld County,Colorado,08,123,9.9
Fairfield County,Connecticut,09,001,12.4
Hartford County,Connecticut,09,003,13.2
Litchfield County,Connecticut,09,005,16.0
