County,State,State_FIPS,County_FIPS,age_15_to_44_percentage
Autauga County,Alabama,01,001,75.3
Baldwin County,Alabama,01,003,79.2
Barbour County,Alabama,01,005,81.0
Bibb County,Alabama,01,007,80.5
Blount County,Alabama,01,009,77.8
Bullock County,Alabama,01,011,80.6
Butler County,Alabama,01,013,76.8
Calhoun County,Alabama,01,015,78.3
Chambers County,Alabama,01,017,78.9
Cherokee County,Alabama,01,019,79.8
Chilton County,Alabama,01,021,77.7
Choctaw County,Alabama,01,023,78.0
Clarke County,Alabama,01,025,77.1
Clay County,Alabama,01,027,78.5
Cleburne County,Alabama,01,029,77.5
Coffee County,Alabama,01,031,77.7
Colbert County,Alabama,01,033,79.4
Conecuh County,Alabama,01,035,76.0
Coosa County,Alabama,01,037,80.4
Covington County,Alabama,01,039,79.3
Crenshaw County,Alabama,01,041,78.0
Cullman County,Alabama,01,043,78.3
Dale County,Alabama,01,045,77.2
Dallas County,Alabama,01,047,73.4
DeKalb County,Alabama,01,049,76.4
Elmore County,Alabama,01,051,78.6
Escambia County,Alabama,01,053,81.2
Etowah County,Alabama,01,055,78.4
Fayette County,Alabama,01,057,79.1
Franklin County,Alabama,01,059,77.6
Geneva County,Alabama,01,061,79.1
Greene County,Alabama,01,063,77.0
Hale County,Alabama,01,065,77.1
Henry County,Alabama,01,067,79.7
Houston County,Alabama,01,069,76.9
Jackson County,Alabama,01,071,79.5
Jefferson County,Alabama,01,073,77.6
Lamar County,Alabama,01,075,79.4
Lauderdale County,Alabama,01,077,80.0
Lawrence County,Alabama,01,079,78.1
Lee County,Alabama,01,081,79.8
Limestone County,Alabama,01,083,78.6
Lowndes County,Alabama,01,085,78.1
Macon County,Alabama,01,087,81.0
Madison County,Alabama,01,089,78.5
Marengo County,Alabama,01,091,77.3
Marion County,Alabama,01,093,79.6
Marshall County,Alabama,01,095,76.6
Mobile County,Alabama,01,097,76.4
Monroe County,Alabama,01,099,77.7
Montgomery County,Alabama,01,101,76.6
Morgan County,Alabama,01,103,78.2
Perry County,Alabama,01,105,77.3
Pickens County,Alabama,01,107,78.8
Pike County,Alabama,01,109,82.0
Randolph County,Alabama,01,111,78.3
Russell County,Alabama,01,113,75.1
Saint Clair County,Alabama,01,115,78.1
Shelby County,Alabama,01,117,76.4
Sumter County,Alabama,01,119,79.5
Talladega County,Alabama,01,121,78.7
Tallapoosa County,Alabama,01,123,79.2
Tuscaloosa County,Alabama,01,125,80.0
Walker County,Alabama,01,127,79.0
Washington County,Alabama,01,129,75.5
Wilcox County,Alabama,01,131,74.7
Winston County,Alabama,01,133,80.7
Anchorage Municipality,Alaska,02,020,76.6
Bethel Census Area,Alaska,02,050,68.2
Bristol Bay Borough,Alaska,02,060,75.2
Fairbanks North Star Borough,Alaska,02,090,77.5
Haines Borough,Alaska,02,100,77.0
Juneau City and Borough,Alaska,02,110,79.3
Kenai Peninsula Borough,Alaska,02,122,80.3
Kodiak Island Borough,Alaska,02,150,73.4
Matanuska-Susitna Borough,Alaska,02,170,74.5
Nome Census Area,Alaska,02,180,70.5
North Slope Borough,Alaska,02,185,81.5
Sitka City and Borough,Alaska,02,220,80.2
Southeast Fairbanks Census Area,Alaska,02,240,77.7
Valdez-Cordova Census Area,Alaska,02,261,78.4
Wade Hampton Census Area,Alaska,02,270,63.1
Northwest Arctic Borough,Alaska,02,188,69.7
Aleutians East Borough,Alaska,02,013,94.3
Aleutians West Census Area,Alaska,02,016,89.2
Dillingham Census Area,Alaska,02,070,70.5
Lake and Peninsula Borough,Alaska,02,164,71.2
Denali Borough,Alaska,02,068,86.8
Yukon-Koyukuk Census Area,Alaska,02,290,77.0
Hoonah-Angoon Census Area,Alaska,02,105,86.3
Skagway Municipality,Alaska,02,230,81.4
Yakutat City and Borough,Alaska,02,282,83.8
Ketchikan Gateway Borough,Alaska,02,130,77.9
Petersburg Borough,Alaska,02,195,78.4
Prince of Wales-Hyder Census Area,Alaska,02,198,78.4
Wrangell City and Borough,Alaska,02,275,86.8
Apache County,Arizona,04,001,72.2
Cochise County,Arizona,04,003,79.5
Coconino County,Arizona,04,005,78.5
Gila County,Arizona,04,007,80.5
Graham County,Arizona,04,009,76.2
Greenlee County,Arizona,04,011,72.8
Maricopa County,Arizona,04,013,75.9
Mohave County,Arizona,04,015,81.2
Navajo County,Arizona,04,017,73.5
Pima County,Arizona,04,019,79.1
Pinal County,Arizona,04,021,77.1
Santa Cruz County,Arizona,04,023,70.8
Yavapai County,Arizona,04,025,82.5
La Paz County,Arizona,04,012,85.3
Yuma County,Arizona,04,027,75.2
Arkansas County,Arkansas,05,001,77.8
Ashley County,Arkansas,05,003,77.7
Baxter County,Arkansas,05,005,82.9
Benton County,Arkansas,05,007,73.8
Boone County,Arkansas,05,009,78.5
Bradley County,Arkansas,05,011,77.4
Calhoun County,Arkansas,05,013,82.5
Carroll County,Arkansas,05,015,80.2
Chicot County,Arkansas,05,017,78.8
Clark County,Arkansas,05,019,81.9
Clay County,Arkansas,05,021,79.8
Cleburne County,Arkansas,05,023,82.8
Cleveland County,Arkansas,05,025,76.9
Columbia County,Arkansas,05,027,79.0
Conway County,Arkansas,05,029,79.6
Craighead County,Arkansas,05,031,76.6
Crawford County,Arkansas,05,033,75.7
Crittenden County,Arkansas,05,035,71.9
Cross County,Arkansas,05,037,77.1
Dallas County,Arkansas,05,039,74.5
Desha County,Arkansas,05,041,76.3
Drew County,Arkansas,05,043,78.9
Faulkner County,Arkansas,05,045,76.8
Franklin County,Arkansas,05,047,78.7
Fulton County,Arkansas,05,049,80.8
Garland County,Arkansas,05,051,80.6
Grant County,Arkansas,05,053,77.4
Greene County,Arkansas,05,055,76.7
Hempstead County,Arkansas,05,057,75.1
Hot Spring County,Arkansas,05,059,79.5
Howard County,Arkansas,05,061,75.5
Independence County,Arkansas,05,063,77.0
Izard County,Arkansas,05,065,83.0
Jackson County,Arkansas,05,067,81.4
Jefferson County,Arkansas,05,069,77.7
Johnson County,Arkansas,05,071,77.7
Lafayette County,Arkansas,05,073,79.0
Lawrence County,Arkansas,05,075,78.6
Lee County,Arkansas,05,077,83.4
Lincoln County,Arkansas,05,079,85.3
Little River County,Arkansas,05,081,77.5
Logan County,Arkansas,05,083,78.0
Lonoke County,Arkansas,05,085,74.0
Madison County,Arkansas,05,087,80.1
Marion County,Arkansas,05,089,84.8
Miller County,Arkansas,05,091,77.0
Mississippi County,Arkansas,05,093,74.6
Monroe County,Arkansas,05,095,80.2
Montgomery County,Arkansas,05,097,81.5
Nevada County,Arkansas,05,099,76.7
Newton County,Arkansas,05,101,78.9
Ouachita County,Arkansas,05,103,78.0
Perry County,Arkansas,05,105,80.8
Phillips County,Arkansas,05,107,73.0
Pike County,Arkansas,05,109,76.9
Poinsett County,Arkansas,05,111,77.4
Polk County,Arkansas,05,113,77.7
Pope County,Arkansas,05,115,78.5
Prairie County,Arkansas,05,117,79.7
Pulaski County,Arkansas,05,119,77.4
Randolph County,Arkansas,05,121,79.1
Saint Francis County,Arkansas,05,123,80.9
Saline County,Arkansas,05,125,77.4
Scott County,Arkansas,05,127,75.8
Searcy County,Arkansas,05,129,80.6
Sebastian County,Arkansas,05,131,76.6
Sevier County,Arkansas,05,133,72.1
Sharp County,Arkansas,05,135,80.7
Stone County,Arkansas,05,137,81.8
Union County,Arkansas,05,139,77.6
Van Buren County,Arkansas,05,141,81.4
Washington County,Arkansas,05,143,76.5
White County,Arkansas,05,145,78.3
Woodruff County,Arkansas,05,147,78.8
Yell County,Arkansas,05,149,75.9
Alameda County,California,06,001,79.2
Alpine County,California,06,003,80.3
Amador County,California,06,005,87.6
Butte County,California,06,007,81.4
Calaveras County,California,06,009,82.9
Colusa County,California,06,011,72.8
Contra Costa County,California,06,013,77.2
Del Norte County,California,06,015,83.1
El Dorado County,California,06,017,80.1
Fresno County,California,06,019,73.1
Glenn County,California,06,021,74.3
Humboldt County,California,06,023,82.1
Imperial County,California,06,025,74.4
Inyo County,California,06,027,80.6
Kern County,California,06,029,73.5
Kings County,California,06,031,77.5
Lake County,California,06,033,81.2
Lassen County,California,06,035,87.9
Los Angeles County,California,06,037,77.9
Madera County,California,06,039,74.0
Marin County,California,06,041,81.3
Mariposa County,California,06,043,85.8
Mendocino County,California,06,045,79.6
Merced County,California,06,047,71.7
Modoc County,California,06,049,81.3
Mono County,California,06,051,82.3
Monterey County,California,06,053,76.1
Napa County,California,06,055,79.4
Nevada County,California,06,057,82.5
Orange County,California,06,059,78.0
Placer County,California,06,061,77.8
Plumas County,California,06,063,83.5
Riverside County,California,06,065,74.6
Sacramento County,California,06,067,76.5
San Benito County,California,06,069,74.2
San Bernardino County,California,06,071,73.9
San Diego County,California,06,073,79.1
San Francisco County,California,06,075,88.1
San Joaquin County,California,06,077,73.6
San Luis Obispo County,California,06,079,83.5
San Mateo County,California,06,081,79.5
Santa Barbara County,California,06,083,79.4
Santa Clara County,California,06,085,78.2
Santa Cruz County,California,06,087,81.1
Shasta County,California,06,089,79.6
Sierra County,California,06,091,87.8
Siskiyou County,California,06,093,81.5
Solano County,California,06,095,78.0
Sonoma County,California,06,097,80.1
Stanislaus County,California,06,099,74.0
Sutter County,California,06,101,75.2
Tehama County,California,06,103,77.4
Trinity County,California,06,105,86.1
Tulare County,California,06,107,70.8
Tuolumne County,California,06,109,84.6
Ventura County,California,06,111,77.0
Yolo County,California,06,113,79.4
Yuba County,California,06,115,73.7
Alamosa County,Colorado,08,003,78.3
Archuleta County,Colorado,08,007,80.8
Baca County,Colorado,08,009,81.3
Bent County,Colorado,08,011,89.2
Chaffee County,Colorado,08,015,85.9
Cheyenne County,Colorado,08,017,80.0
Clear Creek County,Colorado,08,019,82.7
Conejos County,Colorado,08,021,75.9
Costilla County,Colorado,08,023,81.9
Crowley County,Colorado,08,025,90.4
Custer County,Colorado,08,027,86.1
Delta County,Colorado,08,029,81.4
Dolores County,Colorado,08,033,78.9
Douglas County,Colorado,08,035,72.0
Eagle County,Colorado,08,037,79.2
Elbert County,Colorado,08,039,78.5
El Paso County,Colorado,08,041,76.3
Fremont County,Colorado,08,043,88.2
Garfield County,Colorado,08,045,76.3
Gilpin County,Colorado,08,047,87.6
Grand County,Colorado,08,049,82.7
Gunnison County,Colorado,08,051,84.3
Huerfano County,Colorado,08,055,82.9
Jackson County,Colorado,08,057,81.6
Kiowa County,Colorado,08,061,76.1
Kit Carson County,Colorado,08,063,82.5
Lake County,Colorado,08,065,76.7
La Plata County,Colorado,08,067,82.1
Larimer County,Colorado,08,069,80.5
Las Animas County,Colorado,08,071,81.6
Lincoln County,Colorado,08,073,85.8
Logan County,Colorado,08,075,83.1
Mesa County,Colorado,08,077,78.4
Moffat County,Colorado,08,081,76.2
Montezuma County,Colorado,08,083,79.6
Montrose County,Colorado,08,085,78.0
Morgan County,Colorado,08,087,74.6
Otero County,Colorado,08,089,78.1
Ouray County,Colorado,08,091,86.3
Park County,Colorado,08,093,83.7
Phillips County,Colorado,08,095,74.2
Pitkin County,Colorado,08,097,85.4
Prowers County,Colorado,08,099,74.0
Pueblo County,Colorado,08,101,77.1
Rio Blanco County,Colorado,08,103,78.1
Rio Grande County,Colorado,08,105,77.4
Routt County,Colorado,08,107,82.6
Saguache County,Colorado,08,109,81.2
San Miguel County,Colorado,08,113,83.6
Sedgwick County,Colorado,08,115,81.6
Summit County,Colorado,08,117,84.7
Teller County,Colorado,08,119,81.7
Washington County,Colorado,08,121,80.7
Yuma County,Colorado,08,125,78.0
Adams County,Colorado,08,001,74.0
Arapahoe County,Colorado,08,005,76.2
Boulder County,Colorado,08,013,81.2
Broomfield County,Colorado,08,014,76.4
Denver County,Colorado,08,031,80.1
