County,State,State_FIPS,County_FIPS,age_15_to_44_percentage
Fulton County,Arkansas,05,049,81.0
Garland County,Arkansas,05,051,80.9
Grant County,Arkansas,05,053,78.3
Greene County,Arkansas,05,055,76.9
Hempstead County,Arkansas,05,057,75.3
Hot Spring County,Arkansas,05,059,80.2
Howard County,Arkansas,05,061,74.9
Independence County,Arkansas,05,063,77.1
Izard County,Arkansas,05,065,83.2
Jackson County,Arkansas,05,067,81.7
Jefferson County,Arkansas,05,069,77.9
Johnson County,Arkansas,05,071,78.9
Lafayette County,Arkansas,05,073,79.9
Lawrence County,Arkansas,05,075,78.4
Lee County,Arkansas,05,077,83.9
Lincoln County,Arkansas,05,079,85.5
Little River County,Arkansas,05,081,77.6
Logan County,Arkansas,05,083,79.3
Lonoke County,Arkansas,05,085,74.1
Madison County,Arkansas,05,087,79.9
Marion County,Arkansas,05,089,84.6
Miller County,Arkansas,05,091,77.4
Mississippi County,Arkansas,05,093,74.7
Monroe County,Arkansas,05,095,79.0
Montgomery County,Arkansas,05,097,81.1
Nevada County,Arkansas,05,099,75.6
Newton County,Arkansas,05,101,80.3
Ouachita County,Arkansas,05,103,78.1
Perry County,Arkansas,05,105,80.3
Phillips County,Arkansas,05,107,73.1
Pike County,Arkansas,05,109,78.1
Poinsett County,Arkansas,05,111,76.2
Polk County,Arkansas,05,113,77.3
Pope County,Arkansas,05,115,78.4
Prairie County,Arkansas,05,117,80.9
Pulaski County,Arkansas,05,119,77.6
Randolph County,Arkansas,05,121,78.3
Saint Francis County,Arkansas,05,123,80.8
Saline County,Arkansas,05,125,77.4
Scott County,Arkansas,05,127,75.1
Searcy County,Arkansas,05,129,80.8
Sebastian County,Arkansas,05,131,76.9
Sevier County,Arkansas,05,133,72.7
Sharp County,Arkansas,05,135,81.0
Stone County,Arkansas,05,137,81.4
Union County,Arkansas,05,139,77.7
Van Buren County,Arkansas,05,141,81.2
Washington County,Arkansas,05,143,76.6
White County,Arkansas,05,145,77.9
Woodruff County,Arkansas,05,147,77.4
Yell County,Arkansas,05,149,77.2
Alameda County,California,06,001,79.4
Alpine County,California,06,003,79.8
Amador County,California,06,005,88.2
Butte County,California,06,007,81.4
Calaveras County,California,06,009,83.0
Colusa County,California,06,011,73.2
Contra Costa County,California,06,013,77.4
Del Norte County,California,06,015,82.3
El Dorado County,California,06,017,80.5
Fresno County,California,06,019,73.2
Glenn County,California,06,021,74.3
Humboldt County,California,06,023,82.3
Imperial County,California,06,025,74.5
Inyo County,California,06,027,81.6
Kern County,California,06,029,73.6
Kings County,California,06,031,77.4
Lake County,California,06,033,81.6
Lassen County,California,06,035,88.5
Los Angeles County,California,06,037,78.2
Madera County,California,06,039,74.1
Marin County,California,06,041,81.2
Mariposa County,California,06,043,85.7
Mendocino County,California,06,045,79.9
Merced County,California,06,047,72.0
Modoc County,California,06,049,81.9
Mono County,California,06,051,83.3
Monterey County,California,06,053,76.2
Napa County,California,06,055,79.6
Nevada County,California,06,057,82.9
Orange County,California,06,059,78.2
Placer County,California,06,061,78.2
Plumas County,California,06,063,82.8
Riverside County,California,06,065,75.0
Sacramento County,California,06,067,76.8
San Benito County,California,06,069,75.0
San Bernardino County,California,06,071,74.3
San Diego County,California,06,073,79.3
San Francisco County,California,06,075,88.1
San Joaquin County,California,06,077,73.9
San Luis Obispo County,California,06,079,83.6
San Mateo County,California,06,081,79.5
Santa Barbara County,California,06,083,79.4
Santa Clara County,California,06,085,78.2
Santa Cruz County,California,06,087,81.2
Shasta County,California,06,089,79.9
Sierra County,California,06,091,85.8
Siskiyou County,California,06,093,81.4
Solano County,California,06,095,78.4
Sonoma County,California,06,097,80.2
Stanislaus County,California,06,099,74.2
Sutter County,California,06,101,75.4
Tehama County,California,06,103,77.6
Trinity County,California,06,105,85.6
Tulare County,California,06,107,70.9
Tuolumne County,California,06,109,84.8
Ventura County,California,06,111,77.3
Yolo County,California,06,113,79.4
Yuba County,California,06,115,73.1
Alamosa County,Colorado,08,003,77.8
Archuleta County,Colorado,08,007,82.3
Baca County,Colorado,08,009,81.1
Bent County,Colorado,08,011,88.9
Chaffee County,Colorado,08,015,86.3
Cheyenne County,Colorado,08,017,79.5
Clear Creek County,Colorado,08,019,84.9
Conejos County,Colorado,08,021,76.0
Costilla County,Colorado,08,023,80.9
Crowley County,Colorado,08,025,89.9
Custer County,Colorado,08,027,88.1
Delta County,Colorado,08,029,81.5
Dolores County,Colorado,08,033,78.8
Douglas County,Colorado,08,035,72.2
Eagle County,Colorado,08,037,80.0
Elbert County,Colorado,08,039,78.1
El Paso County,Colorado,08,041,76.5
Fremont County,Colorado,08,043,87.3
Garfield County,Colorado,08,045,76.3
Gilpin County,Colorado,08,047,85.0
Grand County,Colorado,08,049,81.9
Gunnison County,Colorado,08,051,83.4
Huerfano County,Colorado,08,055,83.5
Jackson County,Colorado,08,057,80.7
Kiowa County,Colorado,08,061,75.0
Kit Carson County,Colorado,08,063,82.2
Lake County,Colorado,08,065,76.5
La Plata County,Colorado,08,067,82.5
Larimer County,Colorado,08,069,80.8
Las Animas County,Colorado,08,071,81.6
Lincoln County,Colorado,08,073,86.7
Logan County,Colorado,08,075,83.6
Mesa County,Colorado,08,077,78.6
Moffat County,Colorado,08,081,74.7
Montezuma County,Colorado,08,083,79.1
Montrose County,Colorado,08,085,78.4
Morgan County,Colorado,08,087,75.1
Otero County,Colorado,08,089,78.4
Ouray County,Colorado,08,091,87.3
Park County,Colorado,08,093,84.5
Phillips County,Colorado,08,095,75.7
Pitkin County,Colorado,08,097,86.0
Prowers County,Colorado,08,099,74.3
Pueblo County,Colorado,08,101,77.3
Rio Blanco County,Colorado,08,103,79.3
Rio Grande County,Colorado,08,105,76.9
Routt County,Colorado,08,107,82.5
Saguache County,Colorado,08,109,80.4
San Miguel County,Colorado,08,113,83.1
Sedgwick County,Colorado,08,115,82.6
Summit County,Colorado,08,117,84.8
Teller County,Colorado,08,119,82.5
Washington County,Colorado,08,121,80.9
Yuma County,Colorado,08,125,78.6
Adams County,Colorado,08,001,74.0
Arapahoe County,Colorado,08,005,76.5
Boulder County,Colorado,08,013,81.3
Broomfield County,Colorado,08,014,76.2
Denver County,Colorado,08,031,80.5
Jefferson County,Colorado,08,059,80.2
Weld County,Colorado,08,123,74.8
Fairfield County,Connecticut,09,001,77.4
Hartford County,Connecticut,09,003,79.2
Litchfield County,Connecticut,09,005,81.3
Middlesex County,Connecticut,09,007,81.1
New Haven County,Connecticut,09,009,79.7
New London County,Connecticut,09,011,81.0
Tolland County,Connecticut,09,013,82.3
Windham County,Connecticut,09,015,80.1
Kent County,Delaware,10,001,76.7
New Castle County,Delaware,10,003,78.7
Sussex County,Delaware,10,005,81.1
Alachua County,Florida,12,001,83.2
Baker County,Florida,12,003,77.2
Bay County,Florida,12,005,80.2
Bradford County,Florida,12,007,83.9
Brevard County,Florida,12,009,82.5
Broward County,Florida,12,011,79.5
Calhoun County,Florida,12,013,82.9
Charlotte County,Florida,12,015,87.2
Citrus County,Florida,12,017,85.8
Clay County,Florida,12,019,76.8
Collier County,Florida,12,021,82.3
Columbia County,Florida,12,023,80.1
Miami-Dade County,Florida,12,086,80.1
DeSoto County,Florida,12,027,82.6
Dixie County,Florida,12,029,83.8
Duval County,Florida,12,031,78.1
Escambia County,Florida,12,033,80.7
Flagler County,Florida,12,035,82.0
Franklin County,Florida,12,037,85.9
Gadsden County,Florida,12,039,79.7
Gilchrist County,Florida,12,041,82.6
Glades County,Florida,12,043,81.8
Gulf County,Florida,12,045,88.4
Hamilton County,Florida,12,047,84.6
Hardee County,Florida,12,049,77.0
Hendry County,Florida,12,051,74.8
Hernando County,Florida,12,053,81.8
Highlands County,Florida,12,055,83.0
Hillsborough County,Florida,12,057,78.2
Holmes County,Florida,12,059,83.2
Indian River County,Florida,12,061,83.0
Jackson County,Florida,12,063,83.7
Jefferson County,Florida,12,065,84.5
Lafayette County,Florida,12,067,83.0
Lake County,Florida,12,069,80.8
Lee County,Florida,12,071,82.0
Leon County,Florida,12,073,81.8
Levy County,Florida,12,075,80.1
Liberty County,Florida,12,077,86.0
Madison County,Florida,12,079,81.5
Manatee County,Florida,12,081,81.2
Marion County,Florida,12,083,82.2
Martin County,Florida,12,085,84.3
Monroe County,Florida,12,087,86.7
Nassau County,Florida,12,089,80.8
Okaloosa County,Florida,12,091,80.1
Okeechobee County,Florida,12,093,79.8
Orange County,Florida,12,095,78.8
Osceola County,Florida,12,097,76.5
Palm Beach County,Florida,12,099,81.4
Pasco County,Florida,12,101,80.4
Pinellas County,Florida,12,103,83.7
Polk County,Florida,12,105,78.4
