County,State,State_FIPS,County_FIPS,masters_degree
Autauga County,Alabama,01,001,1878
Baldwin County,Alabama,01,003,7880
Barbour County,Alabama,01,005,839
Bibb County,Alabama,01,007,335
Blount County,Alabama,01,009,1210
Bullock County,Alabama,01,011,290
Butler County,Alabama,01,013,471
Calhoun County,Alabama,01,015,3355
Chambers County,Alabama,01,017,644
Cherokee County,Alabama,01,019,721
Chilton County,Alabama,01,021,1109
Choctaw County,Alabama,01,023,328
Clarke County,Alabama,01,025,624
Clay County,Alabama,01,027,259
Cleburne County,Alabama,01,029,300
Coffee County,Alabama,01,031,2214
Colbert County,Alabama,01,033,1605
Conecuh County,Alabama,01,035,339
Coosa County,Alabama,01,037,364
Covington County,Alabama,01,039,1016
Crenshaw County,Alabama,01,041,365
Cullman County,Alabama,01,043,2155
Dale County,Alabama,01,045,1630
Dallas County,Alabama,01,047,1143
DeKalb County,Alabama,01,049,1536
Elmore County,Alabama,01,051,3163
Escambia County,Alabama,01,053,878
Etowah County,Alabama,01,055,2975
Fayette County,Alabama,01,057,607
Franklin County,Alabama,01,059,618
Geneva County,Alabama,01,061,512
Greene County,Alabama,01,063,254
Hale County,Alabama,01,065,321
Henry County,Alabama,01,067,587
Houston County,Alabama,01,069,3268
Jackson County,Alabama,01,071,1365
Jefferson County,Alabama,01,073,31709
Lamar County,Alabama,01,075,325
Lauderdale County,Alabama,01,077,3642
Lawrence County,Alabama,01,079,723
Lee County,Alabama,01,081,6695
Limestone County,Alabama,01,083,3319
Lowndes County,Alabama,01,085,282
Macon County,Alabama,01,087,845
Madison County,Alabama,01,089,23609
Marengo County,Alabama,01,091,558
Marion County,Alabama,01,093,576
Marshall County,Alabama,01,095,2616
Mobile County,Alabama,01,097,13173
Monroe County,Alabama,01,099,198
Montgomery County,Alabama,01,101,12600
Morgan County,Alabama,01,103,3768
Perry County,Alabama,01,105,243
Pickens County,Alabama,01,107,325
Pike County,Alabama,01,109,1148
Randolph County,Alabama,01,111,644
Russell County,Alabama,01,113,1099
Saint Clair County,Alabama,01,115,2143
