County,State,State_FIPS,County_FIPS,some_college_1_plus_year
Jackson County,Arkansas,05,067,1402
Jefferson County,Arkansas,05,069,8486
Johnson County,Arkansas,05,071,1919
Lafayette County,Arkansas,05,073,707
Lawrence County,Arkansas,05,075,1126
Lee County,Arkansas,05,077,882
Lincoln County,Arkansas,05,079,1165
Little River County,Arkansas,05,081,1597
Logan County,Arkansas,05,083,2182
Lonoke County,Arkansas,05,085,7965
Madison County,Arkansas,05,087,1445
Marion County,Arkansas,05,089,2163
Miller County,Arkansas,05,091,5267
Mississippi County,Arkansas,05,093,4635
Monroe County,Arkansas,05,095,707
Montgomery County,Arkansas,05,097,942
Nevada County,Arkansas,05,099,1028
Newton County,Arkansas,05,101,843
Ouachita County,Arkansas,05,103,2535
Perry County,Arkansas,05,105,1130
Phillips County,Arkansas,05,107,1910
Pike County,Arkansas,05,109,1242
Poinsett County,Arkansas,05,111,1904
Polk County,Arkansas,05,113,2212
Pope County,Arkansas,05,115,6270
Prairie County,Arkansas,05,117,818
Pulaski County,Arkansas,05,119,46496
Randolph County,Arkansas,05,121,1880
Saint Francis County,Arkansas,05,123,2913
Saline County,Arkansas,05,125,12608
Scott County,Arkansas,05,127,1152
Searcy County,Arkansas,05,129,853
Sebastian County,Arkansas,05,131,13795
Sevier County,Arkansas,05,133,1391
Sharp County,Arkansas,05,135,1610
Stone County,Arkansas,05,137,1514
Union County,Arkansas,05,139,4156
Van Buren County,Arkansas,05,141,1788
Washington County,Arkansas,05,143,18598
White County,Arkansas,05,145,7012
Woodruff County,Arkansas,05,147,497
Yell County,Arkansas,05,149,1609
Alameda County,California,06,001,148441
Alpine County,California,06,003,122
Amador County,California,06,005,6173
Butte County,California,06,007,29829
Calaveras County,California,06,009,8227
Colusa County,California,06,011,1935
Contra Costa County,California,06,013,116245
Del Norte County,California,06,015,3352
El Dorado County,California,06,017,26201
Fresno County,California,06,019,92092
Glenn County,California,06,021,3083
Humboldt County,California,06,023,18262
Imperial County,California,06,025,18193
Inyo County,California,06,027,2630
Kern County,California,06,029,84605
Kings County,California,06,031,16129
Lake County,California,06,033,10196
Lassen County,California,06,035,5035
Los Angeles County,California,06,037,969732
Madera County,California,06,039,16164
