County,State,State_FIPS,County_FIPS,ged_or_alternative
Autauga County,Alabama,01,001,2015.0
Baldwin County,Alabama,01,003,7271.0
Barbour County,Alabama,01,005,1446.0
Bibb County,Alabama,01,007,1475.0
Blount County,Alabama,01,009,2244.0
Bullock County,Alabama,01,011,287.0
Butler County,Alabama,01,013,806.0
Calhoun County,Alabama,01,015,4939.0
Chambers County,Alabama,01,017,1889.0
Cherokee County,Alabama,01,019,1290.0
Chilton County,Alabama,01,021,2185.0
Choctaw County,Alabama,01,023,607.0
Clarke County,Alabama,01,025,943.0
Clay County,Alabama,01,027,386.0
Cleburne County,Alabama,01,029,845.0
Coffee County,Alabama,01,031,1782.0
Colbert County,Alabama,01,033,2533.0
Conecuh County,Alabama,01,035,563.0
Coosa County,Alabama,01,037,564.0
Covington County,Alabama,01,039,1670.0
Crenshaw County,Alabama,01,041,580.0
Cullman County,Alabama,01,043,3931.0
Dale County,Alabama,01,045,2406.0
Dallas County,Alabama,01,047,1417.0
DeKalb County,Alabama,01,049,3457.0
Elmore County,Alabama,01,051,4304.0
Escambia County,Alabama,01,053,2220.0
Etowah County,Alabama,01,055,5139.0
Fayette County,Alabama,01,057,1005.0
Franklin County,Alabama,01,059,1283.0
Geneva County,Alabama,01,061,1403.0
Greene County,Alabama,01,063,134.0
Hale County,Alabama,01,065,750.0
Henry County,Alabama,01,067,637.0
Houston County,Alabama,01,069,4075.0
Jackson County,Alabama,01,071,3280.0
Jefferson County,Alabama,01,073,17230.0
Lamar County,Alabama,01,075,691.0
Lauderdale County,Alabama,01,077,3711.0
Lawrence County,Alabama,01,079,1598.0
Lee County,Alabama,01,081,4539.0
Limestone County,Alabama,01,083,4483.0
Lowndes County,Alabama,01,085,296.0
Macon County,Alabama,01,087,632.0
Madison County,Alabama,01,089,10471.0
Marengo County,Alabama,01,091,495.0
Marion County,Alabama,01,093,1323.0
Marshall County,Alabama,01,095,4690.0
Mobile County,Alabama,01,097,14654.0
Monroe County,Alabama,01,099,489.0
Montgomery County,Alabama,01,101,7464.0
Morgan County,Alabama,01,103,5037.0
Perry County,Alabama,01,105,492.0
Pickens County,Alabama,01,107,878.0
Pike County,Alabama,01,109,1000.0
Randolph County,Alabama,01,111,1178.0
Russell County,Alabama,01,113,2328.0
Saint Clair County,Alabama,01,115,4175.0
Shelby County,Alabama,01,117,4440.0
Sumter County,Alabama,01,119,159.0
Talladega County,Alabama,01,121,3853.0
Tallapoosa County,Alabama,01,123,1756.0
Tuscaloosa County,Alabama,01,125,6082.0
Walker County,Alabama,01,127,3568.0
Washington County,Alabama,01,129,569.0
Wilcox County,Alabama,01,131,263.0
Winston County,Alabama,01,133,1091.0
Anchorage Municipality,Alaska,02,020,8803.0
Bethel Census Area,Alaska,02,050,679.0
Bristol Bay Borough,Alaska,02,060,24.0
Fairbanks North Star Borough,Alaska,02,090,3406.0
Haines Borough,Alaska,02,100,114.0
Juneau City and Borough,Alaska,02,110,1191.0
Kenai Peninsula Borough,Alaska,02,122,2744.0
Kodiak Island Borough,Alaska,02,150,553.0
Matanuska-Susitna Borough,Alaska,02,170,4434.0
Nome Census Area,Alaska,02,180,366.0
North Slope Borough,Alaska,02,185,267.0
Sitka City and Borough,Alaska,02,220,356.0
Southeast Fairbanks Census Area,Alaska,02,240,239.0
Valdez-Cordova Census Area,Alaska,02,261,161.0
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,373.0
Aleutians East Borough,Alaska,02,013,86.0
Aleutians West Census Area,Alaska,02,016,151.0
Dillingham Census Area,Alaska,02,070,142.0
Lake and Peninsula Borough,Alaska,02,164,46.0
Denali Borough,Alaska,02,068,79.0
Yukon-Koyukuk Census Area,Alaska,02,290,248.0
Hoonah-Angoon Census Area,Alaska,02,105,75.0
Skagway Municipality,Alaska,02,230,31.0
Yakutat City and Borough,Alaska,02,282,11.0
Ketchikan Gateway Borough,Alaska,02,130,652.0
Petersburg Borough,Alaska,02,195,63.0
Prince of Wales-Hyder Census Area,Alaska,02,198,310.0
Wrangell City and Borough,Alaska,02,275,76.0
Apache County,Arizona,04,001,1288.0
Cochise County,Arizona,04,003,4158.0
Coconino County,Arizona,04,005,2395.0
Gila County,Arizona,04,007,1721.0
Graham County,Arizona,04,009,1801.0
Greenlee County,Arizona,04,011,498.0
Maricopa County,Arizona,04,013,98161.0
Mohave County,Arizona,04,015,9102.0
Navajo County,Arizona,04,017,3432.0
Pima County,Arizona,04,019,27286.0
Pinal County,Arizona,04,021,18901.0
Santa Cruz County,Arizona,04,023,1442.0
Yavapai County,Arizona,04,025,7780.0
La Paz County,Arizona,04,012,745.0
Yuma County,Arizona,04,027,5986.0
Arkansas County,Arkansas,05,001,799.0
Ashley County,Arkansas,05,003,959.0
Baxter County,Arkansas,05,005,2308.0
Benton County,Arkansas,05,007,7570.0
Boone County,Arkansas,05,009,1710.0
Bradley County,Arkansas,05,011,293.0
Calhoun County,Arkansas,05,013,210.0
Carroll County,Arkansas,05,015,1312.0
Chicot County,Arkansas,05,017,624.0
Clark County,Arkansas,05,019,644.0
Clay County,Arkansas,05,021,1040.0
Cleburne County,Arkansas,05,023,1501.0
Cleveland County,Arkansas,05,025,402.0
Columbia County,Arkansas,05,027,575.0
Conway County,Arkansas,05,029,1086.0
Craighead County,Arkansas,05,031,5478.0
Crawford County,Arkansas,05,033,3156.0
Crittenden County,Arkansas,05,035,1721.0
Cross County,Arkansas,05,037,785.0
Dallas County,Arkansas,05,039,148.0
Desha County,Arkansas,05,041,483.0
Drew County,Arkansas,05,043,627.0
Faulkner County,Arkansas,05,045,4562.0
Franklin County,Arkansas,05,047,1014.0
Fulton County,Arkansas,05,049,503.0
Garland County,Arkansas,05,051,3890.0
Grant County,Arkansas,05,053,1140.0
Greene County,Arkansas,05,055,3383.0
Hempstead County,Arkansas,05,057,556.0
Hot Spring County,Arkansas,05,059,1908.0
Howard County,Arkansas,05,061,408.0
Independence County,Arkansas,05,063,1836.0
Izard County,Arkansas,05,065,870.0
Jackson County,Arkansas,05,067,1505.0
Jefferson County,Arkansas,05,069,3362.0
Johnson County,Arkansas,05,071,1733.0
Lafayette County,Arkansas,05,073,371.0
Lawrence County,Arkansas,05,075,831.0
Lee County,Arkansas,05,077,764.0
Lincoln County,Arkansas,05,079,1441.0
Little River County,Arkansas,05,081,452.0
Logan County,Arkansas,05,083,1415.0
Lonoke County,Arkansas,05,085,3175.0
Madison County,Arkansas,05,087,970.0
Marion County,Arkansas,05,089,841.0
Miller County,Arkansas,05,091,2113.0
Mississippi County,Arkansas,05,093,2258.0
Monroe County,Arkansas,05,095,261.0
Montgomery County,Arkansas,05,097,376.0
Nevada County,Arkansas,05,099,245.0
Newton County,Arkansas,05,101,343.0
Ouachita County,Arkansas,05,103,879.0
Perry County,Arkansas,05,105,485.0
Phillips County,Arkansas,05,107,661.0
Pike County,Arkansas,05,109,597.0
Poinsett County,Arkansas,05,111,1421.0
Polk County,Arkansas,05,113,1189.0
Pope County,Arkansas,05,115,3047.0
Prairie County,Arkansas,05,117,407.0
Pulaski County,Arkansas,05,119,10455.0
Randolph County,Arkansas,05,121,895.0
Saint Francis County,Arkansas,05,123,1692.0
Saline County,Arkansas,05,125,3706.0
Scott County,Arkansas,05,127,524.0
Searcy County,Arkansas,05,129,637.0
Sebastian County,Arkansas,05,131,5152.0
Sevier County,Arkansas,05,133,729.0
Sharp County,Arkansas,05,135,1076.0
Stone County,Arkansas,05,137,616.0
Union County,Arkansas,05,139,1590.0
Van Buren County,Arkansas,05,141,1048.0
Washington County,Arkansas,05,143,6410.0
White County,Arkansas,05,145,3110.0
Woodruff County,Arkansas,05,147,225.0
Yell County,Arkansas,05,149,907.0
Alameda County,California,06,001,18746.0
Alpine County,California,06,003,34.0
Amador County,California,06,005,1263.0
Butte County,California,06,007,5774.0
Calaveras County,California,06,009,1060.0
Colusa County,California,06,011,241.0
Contra Costa County,California,06,013,17223.0
Del Norte County,California,06,015,1106.0
El Dorado County,California,06,017,4362.0
Fresno County,California,06,019,17675.0
Glenn County,California,06,021,805.0
Humboldt County,California,06,023,3147.0
Imperial County,California,06,025,4600.0
Inyo County,California,06,027,308.0
Kern County,California,06,029,20503.0
Kings County,California,06,031,4019.0
Lake County,California,06,033,2337.0
Lassen County,California,06,035,2358.0
Los Angeles County,California,06,037,119443.0
Madera County,California,06,039,3417.0
Marin County,California,06,041,2216.0
Mariposa County,California,06,043,493.0
Mendocino County,California,06,045,2156.0
Merced County,California,06,047,6183.0
Modoc County,California,06,049,310.0
Mono County,California,06,051,160.0
Monterey County,California,06,053,9678.0
Napa County,California,06,055,2055.0
Nevada County,California,06,057,1889.0
Orange County,California,06,059,37931.0
Placer County,California,06,061,4564.0
Plumas County,California,06,063,426.0
Riverside County,California,06,065,44144.0
Sacramento County,California,06,067,27803.0
San Benito County,California,06,069,1008.0
San Bernardino County,California,06,071,41821.0
San Diego County,California,06,073,49002.0
San Francisco County,California,06,075,10023.0
San Joaquin County,California,06,077,17083.0
San Luis Obispo County,California,06,079,5302.0
San Mateo County,California,06,081,9218.0
Santa Barbara County,California,06,083,6867.0
Santa Clara County,California,06,085,21672.0
Santa Cruz County,California,06,087,4138.0
Shasta County,California,06,089,5156.0
Sierra County,California,06,091,26.0
Siskiyou County,California,06,093,942.0
Solano County,California,06,095,10311.0
Sonoma County,California,06,097,9575.0
Stanislaus County,California,06,099,12181.0
Sutter County,California,06,101,1670.0
Tehama County,California,06,103,2307.0
Trinity County,California,06,105,285.0
Tulare County,California,06,107,9905.0
Tuolumne County,California,06,109,1979.0
Ventura County,California,06,111,10529.0
Yolo County,California,06,113,3100.0
Yuba County,California,06,115,1699.0
Alamosa County,Colorado,08,003,579.0
Archuleta County,Colorado,08,007,396.0
Baca County,Colorado,08,009,98.0
Bent County,Colorado,08,011,1072.0
Chaffee County,Colorado,08,015,1028.0
Cheyenne County,Colorado,08,017,55.0
Clear Creek County,Colorado,08,019,304.0
Conejos County,Colorado,08,021,213.0
Costilla County,Colorado,08,023,68.0
Crowley County,Colorado,08,025,967.0
Custer County,Colorado,08,027,43.0
Delta County,Colorado,08,029,1853.0
Dolores County,Colorado,08,033,38.0
Douglas County,Colorado,08,035,3757.0
Eagle County,Colorado,08,037,628.0
Elbert County,Colorado,08,039,479.0
El Paso County,Colorado,08,041,15785.0
Fremont County,Colorado,08,043,6187.0
Garfield County,Colorado,08,045,1798.0
Gilpin County,Colorado,08,047,228.0
Grand County,Colorado,08,049,706.0
Gunnison County,Colorado,08,051,350.0
Huerfano County,Colorado,08,055,166.0
Jackson County,Colorado,08,057,22.0
Kiowa County,Colorado,08,061,50.0
Kit Carson County,Colorado,08,063,513.0
Lake County,Colorado,08,065,290.0
La Plata County,Colorado,08,067,1218.0
Larimer County,Colorado,08,069,6759.0
Las Animas County,Colorado,08,071,724.0
Lincoln County,Colorado,08,073,1179.0
Logan County,Colorado,08,075,1195.0
Mesa County,Colorado,08,077,5446.0
Moffat County,Colorado,08,081,689.0
Montezuma County,Colorado,08,083,767.0
Montrose County,Colorado,08,085,1332.0
Morgan County,Colorado,08,087,1123.0
Otero County,Colorado,08,089,906.0
Ouray County,Colorado,08,091,106.0
Park County,Colorado,08,093,449.0
Phillips County,Colorado,08,095,204.0
Pitkin County,Colorado,08,097,238.0
Prowers County,Colorado,08,099,452.0
Pueblo County,Colorado,08,101,6214.0
Rio Blanco County,Colorado,08,103,143.0
Rio Grande County,Colorado,08,105,440.0
Routt County,Colorado,08,107,702.0
Saguache County,Colorado,08,109,252.0
San Miguel County,Colorado,08,113,76.0
Sedgwick County,Colorado,08,115,94.0
Summit County,Colorado,08,117,838.0
Teller County,Colorado,08,119,857.0
Washington County,Colorado,08,121,160.0
Yuma County,Colorado,08,125,297.0
Adams County,Colorado,08,001,16512.0
Arapahoe County,Colorado,08,005,13838.0
Boulder County,Colorado,08,013,4236.0
Broomfield County,Colorado,08,014,1036.0
Denver County,Colorado,08,031,17207.0
Jefferson County,Colorado,08,059,14255.0
Weld County,Colorado,08,123,8727.0
Fairfield County,Connecticut,09,001,13986.0
Hartford County,Connecticut,09,003,21837.0
Litchfield County,Connecticut,09,005,4905.0
Middlesex County,Connecticut,09,007,2988.0
New Haven County,Connecticut,09,009,19984.0
New London County,Connecticut,09,011,7590.0
Tolland County,Connecticut,09,013,3730.0
Windham County,Connecticut,09,015,4341.0
Kent County,Delaware,10,001,4841.0
New Castle County,Delaware,10,003,10960.0
Sussex County,Delaware,10,005,5714.0
Alachua County,Florida,12,001,5875.0
Baker County,Florida,12,003,1707.0
Bay County,Florida,12,005,8437.0
Bradford County,Florida,12,007,1676.0
Brevard County,Florida,12,009,19885.0
Broward County,Florida,12,011,45157.0
Calhoun County,Florida,12,013,1053.0
Charlotte County,Florida,12,015,6837.0
Citrus County,Florida,12,017,7693.0
Clay County,Florida,12,019,8672.0
Collier County,Florida,12,021,7366.0
Columbia County,Florida,12,023,3830.0
Miami-Dade County,Florida,12,086,50800.0
DeSoto County,Florida,12,027,1795.0
