County,State,State_FIPS,County_FIPS,high_school_grads
Lee County,Arkansas,05,077,2230.0
Lincoln County,Arkansas,05,079,4098.0
Little River County,Arkansas,05,081,2878.0
Logan County,Arkansas,05,083,5378.0
Lonoke County,Arkansas,05,085,12380.0
Madison County,Arkansas,05,087,4251.0
Marion County,Arkansas,05,089,4032.0
Miller County,Arkansas,05,091,9370.0
Mississippi County,Arkansas,05,093,8043.0
Monroe County,Arkansas,05,095,1872.0
Montgomery County,Arkansas,05,097,1986.0
Nevada County,Arkansas,05,099,2333.0
Newton County,Arkansas,05,101,2067.0
Ouachita County,Arkansas,05,103,6464.0
Perry County,Arkansas,05,105,2537.0
Phillips County,Arkansas,05,107,3172.0
Pike County,Arkansas,05,109,2091.0
Poinsett County,Arkansas,05,111,5468.0
Polk County,Arkansas,05,113,3920.0
Pope County,Arkansas,05,115,10934.0
Prairie County,Arkansas,05,117,2114.0
Pulaski County,Arkansas,05,119,60815.0
Randolph County,Arkansas,05,121,3752.0
Saint Francis County,Arkansas,05,123,5369.0
Saline County,Arkansas,05,125,22391.0
Scott County,Arkansas,05,127,2278.0
Searcy County,Arkansas,05,129,1981.0
Sebastian County,Arkansas,05,131,21658.0
Sevier County,Arkansas,05,133,2998.0
Sharp County,Arkansas,05,135,4308.0
Stone County,Arkansas,05,137,2514.0
Union County,Arkansas,05,139,8496.0
Van Buren County,Arkansas,05,141,4480.0
Washington County,Arkansas,05,143,29343.0
White County,Arkansas,05,145,15880.0
Woodruff County,Arkansas,05,147,1890.0
Yell County,Arkansas,05,149,4920.0
Alameda County,California,06,001,182207.0
Alpine County,California,06,003,189.0
Amador County,California,06,005,6562.0
Butte County,California,06,007,27537.0
Calaveras County,California,06,009,8057.0
Colusa County,California,06,011,2712.0
Contra Costa County,California,06,013,121647.0
Del Norte County,California,06,015,4703.0
El Dorado County,California,06,017,24533.0
Fresno County,California,06,019,114262.0
Glenn County,California,06,021,4171.0
Humboldt County,California,06,023,19343.0
Imperial County,California,06,025,20118.0
Inyo County,California,06,027,3829.0
Kern County,California,06,029,120917.0
Kings County,California,06,031,20156.0
Lake County,California,06,033,10868.0
Lassen County,California,06,035,4981.0
Los Angeles County,California,06,037,1273072.0
Madera County,California,06,039,21180.0
Marin County,California,06,041,18946.0
Mariposa County,California,06,043,3357.0
Mendocino County,California,06,045,13991.0
Merced County,California,06,047,33137.0
Modoc County,California,06,049,1590.0
Mono County,California,06,051,1530.0
Monterey County,California,06,053,45890.0
Napa County,California,06,055,15919.0
Nevada County,California,06,057,12579.0
Orange County,California,06,059,331483.0
Placer County,California,06,061,44205.0
Plumas County,California,06,063,3040.0
Riverside County,California,06,065,337537.0
Sacramento County,California,06,067,190520.0
San Benito County,California,06,069,7903.0
San Bernardino County,California,06,071,297696.0
San Diego County,California,06,073,359018.0
San Francisco County,California,06,075,74280.0
San Joaquin County,California,06,077,100593.0
San Luis Obispo County,California,06,079,30903.0
San Mateo County,California,06,081,76639.0
Santa Barbara County,California,06,083,41809.0
Santa Clara County,California,06,085,168399.0
Santa Cruz County,California,06,087,23374.0
Shasta County,California,06,089,27310.0
Sierra County,California,06,091,607.0
Siskiyou County,California,06,093,7064.0
Solano County,California,06,095,58798.0
Sonoma County,California,06,097,59394.0
Stanislaus County,California,06,099,80455.0
Sutter County,California,06,101,13276.0
Tehama County,California,06,103,11436.0
Trinity County,California,06,105,2862.0
Tulare County,California,06,107,58274.0
Tuolumne County,California,06,109,9655.0
Ventura County,California,06,111,94160.0
Yolo County,California,06,113,20263.0
Yuba County,California,06,115,9343.0
Alamosa County,Colorado,08,003,1836.0
Archuleta County,Colorado,08,007,2006.0
Baca County,Colorado,08,009,697.0
Bent County,Colorado,08,011,1121.0
Chaffee County,Colorado,08,015,2923.0
Cheyenne County,Colorado,08,017,401.0
Clear Creek County,Colorado,08,019,1302.0
Conejos County,Colorado,08,021,1507.0
Costilla County,Colorado,08,023,582.0
Crowley County,Colorado,08,025,691.0
Custer County,Colorado,08,027,660.0
Delta County,Colorado,08,029,6351.0
Dolores County,Colorado,08,033,474.0
Douglas County,Colorado,08,035,21863.0
Eagle County,Colorado,08,037,5840.0
Elbert County,Colorado,08,039,4005.0
El Paso County,Colorado,08,041,71697.0
Fremont County,Colorado,08,043,8344.0
Garfield County,Colorado,08,045,9011.0
Gilpin County,Colorado,08,047,847.0
Grand County,Colorado,08,049,2100.0
Gunnison County,Colorado,08,051,1482.0
Huerfano County,Colorado,08,055,1149.0
Jackson County,Colorado,08,057,340.0
Kiowa County,Colorado,08,061,278.0
Kit Carson County,Colorado,08,063,1606.0
Lake County,Colorado,08,065,1461.0
La Plata County,Colorado,08,067,6403.0
Larimer County,Colorado,08,069,34204.0
Las Animas County,Colorado,08,071,2443.0
Lincoln County,Colorado,08,073,1043.0
Logan County,Colorado,08,075,3823.0
Mesa County,Colorado,08,077,23829.0
Moffat County,Colorado,08,081,2878.0
Montezuma County,Colorado,08,083,4677.0
Montrose County,Colorado,08,085,7971.0
Morgan County,Colorado,08,087,4675.0
Otero County,Colorado,08,089,2551.0
Ouray County,Colorado,08,091,570.0
Park County,Colorado,08,093,2905.0
Phillips County,Colorado,08,095,678.0
Pitkin County,Colorado,08,097,1640.0
Prowers County,Colorado,08,099,1650.0
Pueblo County,Colorado,08,101,25913.0
Rio Blanco County,Colorado,08,103,1250.0
Rio Grande County,Colorado,08,105,1783.0
Routt County,Colorado,08,107,3042.0
Saguache County,Colorado,08,109,962.0
San Miguel County,Colorado,08,113,781.0
Sedgwick County,Colorado,08,115,468.0
Summit County,Colorado,08,117,3120.0
Teller County,Colorado,08,119,3808.0
Washington County,Colorado,08,121,923.0
Yuma County,Colorado,08,125,1894.0
