County,State,State_FIPS,County_FIPS,less_than_9th_grade_percentage
Autauga County,Alabama,01,001,5.1
Baldwin County,Alabama,01,003,4.3
Barbour County,Alabama,01,005,8.5
Bibb County,Alabama,01,007,10.4
Blount County,Alabama,01,009,9.9
Bullock County,Alabama,01,011,9.2
Butler County,Alabama,01,013,9.0
Calhoun County,Alabama,01,015,7.7
Chambers County,Alabama,01,017,10.0
Cherokee County,Alabama,01,019,10.0
Chilton County,Alabama,01,021,9.5
Choctaw County,Alabama,01,023,17.4
Clarke County,Alabama,01,025,10.1
Clay County,Alabama,01,027,9.4
Cleburne County,Alabama,01,029,11.3
Coffee County,Alabama,01,031,9.8
Colbert County,Alabama,01,033,7.5
Conecuh County,Alabama,01,035,11.0
Coosa County,Alabama,01,037,9.4
Covington County,Alabama,01,039,9.4
Crenshaw County,Alabama,01,041,11.2
Cullman County,Alabama,01,043,9.4
Dale County,Alabama,01,045,6.3
Dallas County,Alabama,01,047,8.3
DeKalb County,Alabama,01,049,14.4
Elmore County,Alabama,01,051,5.8
Escambia County,Alabama,01,053,10.3
Etowah County,Alabama,01,055,6.5
Fayette County,Alabama,01,057,10.9
Franklin County,Alabama,01,059,12.2
Geneva County,Alabama,01,061,11.0
Greene County,Alabama,01,063,12.8
Hale County,Alabama,01,065,8.2
Henry County,Alabama,01,067,9.0
Houston County,Alabama,01,069,6.7
Jackson County,Alabama,01,071,10.7
Jefferson County,Alabama,01,073,4.5
Lamar County,Alabama,01,075,6.6
Lauderdale County,Alabama,01,077,5.7
Lawrence County,Alabama,01,079,8.8
Lee County,Alabama,01,081,5.6
Limestone County,Alabama,01,083,7.8
Lowndes County,Alabama,01,085,12.4
Macon County,Alabama,01,087,8.3
Madison County,Alabama,01,089,3.8
Marengo County,Alabama,01,091,8.7
Marion County,Alabama,01,093,11.1
Marshall County,Alabama,01,095,12.4
Mobile County,Alabama,01,097,5.4
Monroe County,Alabama,01,099,6.2
Montgomery County,Alabama,01,101,4.8
Morgan County,Alabama,01,103,8.6
Perry County,Alabama,01,105,14.6
Pickens County,Alabama,01,107,7.0
Pike County,Alabama,01,109,7.4
Randolph County,Alabama,01,111,11.6
Russell County,Alabama,01,113,8.8
Saint Clair County,Alabama,01,115,6.6
Shelby County,Alabama,01,117,3.3
Sumter County,Alabama,01,119,13.1
Talladega County,Alabama,01,121,8.2
Tallapoosa County,Alabama,01,123,9.0
Tuscaloosa County,Alabama,01,125,5.5
Walker County,Alabama,01,127,9.0
Washington County,Alabama,01,129,9.4
Wilcox County,Alabama,01,131,15.4
Winston County,Alabama,01,133,14.1
Anchorage Municipality,Alaska,02,020,2.6
Bethel Census Area,Alaska,02,050,13.1
