County,State,State_FIPS,County_FIPS,less_than_9th_grade_percentage
Autauga County,Alabama,01,001,2.5
Baldwin County,Alabama,01,003,2.3
Barbour County,Alabama,01,005,8.5
Bibb County,Alabama,01,007,6.5
Blount County,Alabama,01,009,8.5
Bullock County,Alabama,01,011,5.3
Butler County,Alabama,01,013,4.6
Calhoun County,Alabama,01,015,5.2
Chambers County,Alabama,01,017,6.2
Cherokee County,Alabama,01,019,6.8
Chilton County,Alabama,01,021,5.8
Choctaw County,Alabama,01,023,5.3
Clarke County,Alabama,01,025,5.2
Clay County,Alabama,01,027,10.1
Cleburne County,Alabama,01,029,6.6
Coffee County,Alabama,01,031,4.5
Colbert County,Alabama,01,033,4.3
Conecuh County,Alabama,01,035,4.2
Coosa County,Alabama,01,037,4.8
Covington County,Alabama,01,039,5.7
Crenshaw County,Alabama,01,041,7.4
Cullman County,Alabama,01,043,5.4
Dale County,Alabama,01,045,4.3
Dallas County,Alabama,01,047,4.3
DeKalb County,Alabama,01,049,11.7
Elmore County,Alabama,01,051,4.5
Escambia County,Alabama,01,053,4.5
Etowah County,Alabama,01,055,4.8
Fayette County,Alabama,01,057,7.2
Franklin County,Alabama,01,059,10.0
Geneva County,Alabama,01,061,7.5
Greene County,Alabama,01,063,6.0
Hale County,Alabama,01,065,4.6
Henry County,Alabama,01,067,6.8
Houston County,Alabama,01,069,4.1
Jackson County,Alabama,01,071,5.2
Jefferson County,Alabama,01,073,2.8
Lamar County,Alabama,01,075,6.6
Lauderdale County,Alabama,01,077,4.2
Lawrence County,Alabama,01,079,6.7
Lee County,Alabama,01,081,2.8
Limestone County,Alabama,01,083,5.5
Lowndes County,Alabama,01,085,5.6
Macon County,Alabama,01,087,4.1
Madison County,Alabama,01,089,2.6
Marengo County,Alabama,01,091,5.2
Marion County,Alabama,01,093,7.9
Marshall County,Alabama,01,095,6.9
Mobile County,Alabama,01,097,3.1
Monroe County,Alabama,01,099,4.2
Montgomery County,Alabama,01,101,4.0
Morgan County,Alabama,01,103,6.1
Perry County,Alabama,01,105,8.7
Pickens County,Alabama,01,107,6.0
Pike County,Alabama,01,109,4.7
Randolph County,Alabama,01,111,7.2
Russell County,Alabama,01,113,5.1
Saint Clair County,Alabama,01,115,5.2
Shelby County,Alabama,01,117,2.4
Sumter County,Alabama,01,119,3.7
Talladega County,Alabama,01,121,5.3
Tallapoosa County,Alabama,01,123,5.0
Tuscaloosa County,Alabama,01,125,3.1
Walker County,Alabama,01,127,6.7
Washington County,Alabama,01,129,5.4
Wilcox County,Alabama,01,131,5.7
Winston County,Alabama,01,133,7.1
Anchorage Municipality,Alaska,02,020,2.4
Bethel Census Area,Alaska,02,050,7.2
Bristol Bay Borough,Alaska,02,060,3.0
Fairbanks North Star Borough,Alaska,02,090,2.0
Haines Borough,Alaska,02,100,1.0
Juneau City and Borough,Alaska,02,110,1.1
Kenai Peninsula Borough,Alaska,02,122,2.0
Kodiak Island Borough,Alaska,02,150,5.5
Matanuska-Susitna Borough,Alaska,02,170,2.0
Nome Census Area,Alaska,02,180,4.2
North Slope Borough,Alaska,02,185,3.7
Sitka City and Borough,Alaska,02,220,1.8
Southeast Fairbanks Census Area,Alaska,02,240,3.7
Valdez-Cordova Census Area,Alaska,02,261,0.8
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,5.5
Aleutians East Borough,Alaska,02,013,6.6
Aleutians West Census Area,Alaska,02,016,5.1
Dillingham Census Area,Alaska,02,070,6.2
Lake and Peninsula Borough,Alaska,02,164,5.9
Denali Borough,Alaska,02,068,0.1
Yukon-Koyukuk Census Area,Alaska,02,290,5.0
Hoonah-Angoon Census Area,Alaska,02,105,1.1
Skagway Municipality,Alaska,02,230,2.4
Yakutat City and Borough,Alaska,02,282,2.5
Ketchikan Gateway Borough,Alaska,02,130,1.9
Petersburg Borough,Alaska,02,195,3.6
Prince of Wales-Hyder Census Area,Alaska,02,198,1.7
Wrangell City and Borough,Alaska,02,275,2.5
Apache County,Arizona,04,001,9.0
Cochise County,Arizona,04,003,5.3
Coconino County,Arizona,04,005,3.7
Gila County,Arizona,04,007,3.9
Graham County,Arizona,04,009,3.7
Greenlee County,Arizona,04,011,3.2
Maricopa County,Arizona,04,013,5.6
Mohave County,Arizona,04,015,3.5
Navajo County,Arizona,04,017,5.9
Pima County,Arizona,04,019,4.5
Pinal County,Arizona,04,021,5.2
Santa Cruz County,Arizona,04,023,11.5
Yavapai County,Arizona,04,025,2.4
La Paz County,Arizona,04,012,8.5
Yuma County,Arizona,04,027,13.5
Arkansas County,Arkansas,05,001,6.6
Ashley County,Arkansas,05,003,6.2
Baxter County,Arkansas,05,005,2.6
Benton County,Arkansas,05,007,5.4
Boone County,Arkansas,05,009,4.5
Bradley County,Arkansas,05,011,7.4
Calhoun County,Arkansas,05,013,4.5
Carroll County,Arkansas,05,015,6.5
Chicot County,Arkansas,05,017,5.7
Clark County,Arkansas,05,019,3.2
Clay County,Arkansas,05,021,7.8
Cleburne County,Arkansas,05,023,4.6
Cleveland County,Arkansas,05,025,2.5
Columbia County,Arkansas,05,027,4.9
Conway County,Arkansas,05,029,4.8
Craighead County,Arkansas,05,031,3.9
Crawford County,Arkansas,05,033,5.3
Crittenden County,Arkansas,05,035,6.0
Cross County,Arkansas,05,037,5.8
Dallas County,Arkansas,05,039,4.5
Desha County,Arkansas,05,041,6.6
Drew County,Arkansas,05,043,5.5
Faulkner County,Arkansas,05,045,2.4
Franklin County,Arkansas,05,047,6.1
Fulton County,Arkansas,05,049,6.8
Garland County,Arkansas,05,051,3.0
Grant County,Arkansas,05,053,2.7
Greene County,Arkansas,05,055,3.2
Hempstead County,Arkansas,05,057,7.0
Hot Spring County,Arkansas,05,059,4.1
Howard County,Arkansas,05,061,4.9
Independence County,Arkansas,05,063,4.9
Izard County,Arkansas,05,065,6.1
Jackson County,Arkansas,05,067,7.0
Jefferson County,Arkansas,05,069,3.9
Johnson County,Arkansas,05,071,8.5
Lafayette County,Arkansas,05,073,5.6
Lawrence County,Arkansas,05,075,6.0
Lee County,Arkansas,05,077,6.5
Lincoln County,Arkansas,05,079,5.1
Little River County,Arkansas,05,081,2.0
Logan County,Arkansas,05,083,4.9
Lonoke County,Arkansas,05,085,3.4
Madison County,Arkansas,05,087,8.3
Marion County,Arkansas,05,089,3.8
Miller County,Arkansas,05,091,3.9
Mississippi County,Arkansas,05,093,7.3
Monroe County,Arkansas,05,095,8.0
Montgomery County,Arkansas,05,097,6.7
Nevada County,Arkansas,05,099,3.3
Newton County,Arkansas,05,101,5.5
Ouachita County,Arkansas,05,103,2.8
Perry County,Arkansas,05,105,5.2
Phillips County,Arkansas,05,107,7.0
Pike County,Arkansas,05,109,5.4
Poinsett County,Arkansas,05,111,7.6
Polk County,Arkansas,05,113,5.5
Pope County,Arkansas,05,115,6.2
Prairie County,Arkansas,05,117,4.8
Pulaski County,Arkansas,05,119,3.3
Randolph County,Arkansas,05,121,6.7
Saint Francis County,Arkansas,05,123,5.4
Saline County,Arkansas,05,125,2.4
Scott County,Arkansas,05,127,5.9
Searcy County,Arkansas,05,129,6.7
Sebastian County,Arkansas,05,131,6.3
Sevier County,Arkansas,05,133,11.8
Sharp County,Arkansas,05,135,4.9
Stone County,Arkansas,05,137,8.7
Union County,Arkansas,05,139,3.4
Van Buren County,Arkansas,05,141,4.6
Washington County,Arkansas,05,143,6.7
White County,Arkansas,05,145,5.5
Woodruff County,Arkansas,05,147,6.9
Yell County,Arkansas,05,149,9.2
Alameda County,California,06,001,5.9
Alpine County,California,06,003,5.2
Amador County,California,06,005,2.4
Butte County,California,06,007,3.9
Calaveras County,California,06,009,2.7
Colusa County,California,06,011,19.1
Contra Costa County,California,06,013,5.6
Del Norte County,California,06,015,5.0
El Dorado County,California,06,017,2.2
Fresno County,California,06,019,13.8
Glenn County,California,06,021,14.6
Humboldt County,California,06,023,2.5
Imperial County,California,06,025,15.6
Inyo County,California,06,027,4.6
Kern County,California,06,029,13.5
Kings County,California,06,031,12.8
Lake County,California,06,033,5.3
Lassen County,California,06,035,3.8
Los Angeles County,California,06,037,12.3
Madera County,California,06,039,16.4
Marin County,California,06,041,3.9
Mariposa County,California,06,043,3.6
Mendocino County,California,06,045,6.0
Merced County,California,06,047,18.7
Modoc County,California,06,049,6.8
Mono County,California,06,051,6.0
Monterey County,California,06,053,19.6
Napa County,California,06,055,9.2
Nevada County,California,06,057,1.7
Orange County,California,06,059,7.9
Placer County,California,06,061,2.2
Plumas County,California,06,063,0.6
Riverside County,California,06,065,9.1
Sacramento County,California,06,067,6.3
San Benito County,California,06,069,13.1
