County,State,State_FIPS,County_FIPS,high_school_only_percentage
Miller County,Arkansas,05,091,43.5
Mississippi County,Arkansas,05,093,39.6
Monroe County,Arkansas,05,095,33.4
Montgomery County,Arkansas,05,097,40.7
Nevada County,Arkansas,05,099,38.6
Newton County,Arkansas,05,101,44.0
Ouachita County,Arkansas,05,103,42.6
Perry County,Arkansas,05,105,43.1
Phillips County,Arkansas,05,107,33.7
Pike County,Arkansas,05,109,44.1
Poinsett County,Arkansas,05,111,42.4
Polk County,Arkansas,05,113,41.3
Pope County,Arkansas,05,115,34.3
Prairie County,Arkansas,05,117,44.8
Pulaski County,Arkansas,05,119,28.2
Randolph County,Arkansas,05,121,41.0
Saint Francis County,Arkansas,05,123,40.3
Saline County,Arkansas,05,125,36.8
Scott County,Arkansas,05,127,42.9
Searcy County,Arkansas,05,129,41.2
Sebastian County,Arkansas,05,131,31.5
Sevier County,Arkansas,05,133,35.7
Sharp County,Arkansas,05,135,45.7
Stone County,Arkansas,05,137,39.1
Union County,Arkansas,05,139,35.4
Van Buren County,Arkansas,05,141,39.1
Washington County,Arkansas,05,143,27.9
White County,Arkansas,05,145,40.2
Woodruff County,Arkansas,05,147,49.6
Yell County,Arkansas,05,149,40.4
Alameda County,California,06,001,20.1
Alpine County,California,06,003,22.9
Amador County,California,06,005,31.3
Butte County,California,06,007,23.3
Calaveras County,California,06,009,33.0
Colusa County,California,06,011,24.1
Contra Costa County,California,06,013,19.5
Del Norte County,California,06,015,32.5
El Dorado County,California,06,017,23.3
Fresno County,California,06,019,23.0
Glenn County,California,06,021,26.6
Humboldt County,California,06,023,27.0
Imperial County,California,06,025,24.1
Inyo County,California,06,027,28.7
Kern County,California,06,029,27.2
Kings County,California,06,031,26.2
Lake County,California,06,033,33.1
Lassen County,California,06,035,28.2
Los Angeles County,California,06,037,21.0
Madera County,California,06,039,22.5
Marin County,California,06,041,13.8
Mariposa County,California,06,043,31.8
Mendocino County,California,06,045,27.2
Merced County,California,06,047,25.9
