County,State,State_FIPS,County_FIPS,high_school_grads
Autauga County,Alabama,01,001,9817.0
Baldwin County,Alabama,01,003,31837.0
Barbour County,Alabama,01,005,4965.0
Bibb County,Alabama,01,007,5197.0
Blount County,Alabama,01,009,10938.0
Bullock County,Alabama,01,011,2047.0
Butler County,Alabama,01,013,4556.0
Calhoun County,Alabama,01,015,20659.0
Chambers County,Alabama,01,017,7026.0
Cherokee County,Alabama,01,019,5679.0
Chilton County,Alabama,01,021,10247.0
Choctaw County,Alabama,01,023,2955.0
Clarke County,Alabama,01,025,6614.0
Clay County,Alabama,01,027,2954.0
Cleburne County,Alabama,01,029,3144.0
Coffee County,Alabama,01,031,8341.0
Colbert County,Alabama,01,033,10016.0
Conecuh County,Alabama,01,035,3381.0
Coosa County,Alabama,01,037,2832.0
Covington County,Alabama,01,039,7230.0
Crenshaw County,Alabama,01,041,3030.0
Cullman County,Alabama,01,043,15143.0
Dale County,Alabama,01,045,8043.0
Dallas County,Alabama,01,047,8638.0
DeKalb County,Alabama,01,049,13658.0
Elmore County,Alabama,01,051,14232.0
Escambia County,Alabama,01,053,8290.0
Etowah County,Alabama,01,055,18745.0
Fayette County,Alabama,01,057,3509.0
Franklin County,Alabama,01,059,6432.0
Geneva County,Alabama,01,061,5406.0
Greene County,Alabama,01,063,1958.0
Hale County,Alabama,01,065,3559.0
Henry County,Alabama,01,067,3520.0
Houston County,Alabama,01,069,19545.0
Jackson County,Alabama,01,071,10837.0
Jefferson County,Alabama,01,073,101025.0
Lamar County,Alabama,01,075,3131.0
Lauderdale County,Alabama,01,077,17165.0
Lawrence County,Alabama,01,079,7380.0
Lee County,Alabama,01,081,18016.0
Limestone County,Alabama,01,083,14290.0
Lowndes County,Alabama,01,085,2264.0
Macon County,Alabama,01,087,3328.0
Madison County,Alabama,01,089,39492.0
Marengo County,Alabama,01,091,5301.0
Marion County,Alabama,01,093,5680.0
Marshall County,Alabama,01,095,16291.0
Mobile County,Alabama,01,097,75888.0
Monroe County,Alabama,01,099,5401.0
Montgomery County,Alabama,01,101,30898.0
Morgan County,Alabama,01,103,20356.0
Perry County,Alabama,01,105,2078.0
Pickens County,Alabama,01,107,5189.0
Pike County,Alabama,01,109,5506.0
Randolph County,Alabama,01,111,4925.0
Russell County,Alabama,01,113,9947.0
Saint Clair County,Alabama,01,115,16859.0
Shelby County,Alabama,01,117,24562.0
Sumter County,Alabama,01,119,2943.0
Talladega County,Alabama,01,121,17273.0
Tallapoosa County,Alabama,01,123,8340.0
Tuscaloosa County,Alabama,01,125,31673.0
Walker County,Alabama,01,127,12484.0
Washington County,Alabama,01,129,4929.0
Wilcox County,Alabama,01,131,2893.0
Winston County,Alabama,01,133,4492.0
Anchorage Municipality,Alaska,02,020,35800.0
Bethel Census Area,Alaska,02,050,3247.0
Bristol Bay Borough,Alaska,02,060,173.0
Fairbanks North Star Borough,Alaska,02,090,11606.0
Haines Borough,Alaska,02,100,548.0
Juneau City and Borough,Alaska,02,110,3724.0
Kenai Peninsula Borough,Alaska,02,122,9932.0
Kodiak Island Borough,Alaska,02,150,1810.0
Matanuska-Susitna Borough,Alaska,02,170,15377.0
Nome Census Area,Alaska,02,180,1917.0
North Slope Borough,Alaska,02,185,1886.0
Sitka City and Borough,Alaska,02,220,1087.0
Southeast Fairbanks Census Area,Alaska,02,240,1186.0
Valdez-Cordova Census Area,Alaska,02,261,1413.0
Wade Hampton Census Area,Alaska,02,270,1469.0
Northwest Arctic Borough,Alaska,02,188,1352.0
Aleutians East Borough,Alaska,02,013,926.0
Aleutians West Census Area,Alaska,02,016,1364.0
Dillingham Census Area,Alaska,02,070,835.0
Lake and Peninsula Borough,Alaska,02,164,272.0
Denali Borough,Alaska,02,068,347.0
Yukon-Koyukuk Census Area,Alaska,02,290,1073.0
Hoonah-Angoon Census Area,Alaska,02,105,410.0
Skagway Municipality,Alaska,02,230,196.0
Yakutat City and Borough,Alaska,02,282,147.0
Ketchikan Gateway Borough,Alaska,02,130,2429.0
Petersburg Borough,Alaska,02,195,698.0
Prince of Wales-Hyder Census Area,Alaska,02,198,1522.0
Wrangell City and Borough,Alaska,02,275,599.0
Apache County,Arizona,04,001,12399.0
Cochise County,Arizona,04,003,16257.0
Coconino County,Arizona,04,005,14310.0
Gila County,Arizona,04,007,9957.0
Graham County,Arizona,04,009,5529.0
Greenlee County,Arizona,04,011,1582.0
Maricopa County,Arizona,04,013,502248.0
Mohave County,Arizona,04,015,42092.0
Navajo County,Arizona,04,017,16634.0
Pima County,Arizona,04,019,123629.0
Pinal County,Arizona,04,021,61704.0
Santa Cruz County,Arizona,04,023,6320.0
Yavapai County,Arizona,04,025,35269.0
La Paz County,Arizona,04,012,4647.0
Yuma County,Arizona,04,027,24586.0
Arkansas County,Arkansas,05,001,4881.0
Ashley County,Arkansas,05,003,5523.0
Baxter County,Arkansas,05,005,9055.0
Benton County,Arkansas,05,007,38642.0
Boone County,Arkansas,05,009,7804.0
Bradley County,Arkansas,05,011,2791.0
Calhoun County,Arkansas,05,013,1640.0
Carroll County,Arkansas,05,015,5812.0
Chicot County,Arkansas,05,017,2655.0
Clark County,Arkansas,05,019,3931.0
Clay County,Arkansas,05,021,3702.0
Cleburne County,Arkansas,05,023,5450.0
Cleveland County,Arkansas,05,025,2152.0
Columbia County,Arkansas,05,027,4945.0
Conway County,Arkansas,05,029,5335.0
Craighead County,Arkansas,05,031,16643.0
Crawford County,Arkansas,05,033,13176.0
Crittenden County,Arkansas,05,035,9825.0
Cross County,Arkansas,05,037,4607.0
Dallas County,Arkansas,05,039,2674.0
Desha County,Arkansas,05,041,3103.0
Drew County,Arkansas,05,043,3636.0
Faulkner County,Arkansas,05,045,18676.0
Franklin County,Arkansas,05,047,4092.0
Fulton County,Arkansas,05,049,3454.0
Garland County,Arkansas,05,051,18398.0
Grant County,Arkansas,05,053,4335.0
Greene County,Arkansas,05,055,8998.0
Hempstead County,Arkansas,05,057,4790.0
Hot Spring County,Arkansas,05,059,7199.0
Howard County,Arkansas,05,061,2874.0
Independence County,Arkansas,05,063,7887.0
Izard County,Arkansas,05,065,3120.0
Jackson County,Arkansas,05,067,4475.0
Jefferson County,Arkansas,05,069,15537.0
Johnson County,Arkansas,05,071,5299.0
Lafayette County,Arkansas,05,073,1827.0
Lawrence County,Arkansas,05,075,4140.0
Lee County,Arkansas,05,077,2495.0
Lincoln County,Arkansas,05,079,3669.0
Little River County,Arkansas,05,081,2958.0
Logan County,Arkansas,05,083,5260.0
Lonoke County,Arkansas,05,085,12877.0
Madison County,Arkansas,05,087,4053.0
Marion County,Arkansas,05,089,4334.0
Miller County,Arkansas,05,091,9523.0
Mississippi County,Arkansas,05,093,8200.0
Monroe County,Arkansas,05,095,1809.0
Montgomery County,Arkansas,05,097,2123.0
Nevada County,Arkansas,05,099,2000.0
Newton County,Arkansas,05,101,2290.0
Ouachita County,Arkansas,05,103,6579.0
Perry County,Arkansas,05,105,2472.0
Phillips County,Arkansas,05,107,3124.0
Pike County,Arkansas,05,109,2045.0
Poinsett County,Arkansas,05,111,5527.0
Polk County,Arkansas,05,113,4360.0
Pope County,Arkansas,05,115,10593.0
Prairie County,Arkansas,05,117,2239.0
Pulaski County,Arkansas,05,119,62085.0
Randolph County,Arkansas,05,121,3806.0
Saint Francis County,Arkansas,05,123,5556.0
Saline County,Arkansas,05,125,22140.0
Scott County,Arkansas,05,127,2226.0
Searcy County,Arkansas,05,129,1845.0
Sebastian County,Arkansas,05,131,21746.0
Sevier County,Arkansas,05,133,2882.0
Sharp County,Arkansas,05,135,4301.0
Stone County,Arkansas,05,137,2624.0
Union County,Arkansas,05,139,8838.0
Van Buren County,Arkansas,05,141,4174.0
Washington County,Arkansas,05,143,29179.0
White County,Arkansas,05,145,14750.0
Woodruff County,Arkansas,05,147,1807.0
Yell County,Arkansas,05,149,4974.0
Alameda County,California,06,001,185090.0
Alpine County,California,06,003,176.0
Amador County,California,06,005,6723.0
Butte County,California,06,007,28699.0
Calaveras County,California,06,009,8010.0
Colusa County,California,06,011,2819.0
Contra Costa County,California,06,013,123050.0
Del Norte County,California,06,015,4959.0
El Dorado County,California,06,017,25047.0
Fresno County,California,06,019,111360.0
Glenn County,California,06,021,4284.0
Humboldt County,California,06,023,20460.0
Imperial County,California,06,025,19831.0
Inyo County,California,06,027,3968.0
Kern County,California,06,029,114545.0
Kings County,California,06,031,19171.0
Lake County,California,06,033,11352.0
Lassen County,California,06,035,4604.0
Los Angeles County,California,06,037,1239809.0
Madera County,California,06,039,19309.0
Marin County,California,06,041,20088.0
Mariposa County,California,06,043,3350.0
Mendocino County,California,06,045,14190.0
Merced County,California,06,047,32459.0
Modoc County,California,06,049,1621.0
Mono County,California,06,051,1465.0
Monterey County,California,06,053,47010.0
Napa County,California,06,055,16300.0
Nevada County,California,06,057,13606.0
Orange County,California,06,059,329874.0
Placer County,California,06,061,43646.0
Plumas County,California,06,063,3063.0
Riverside County,California,06,065,318752.0
Sacramento County,California,06,067,181461.0
San Benito County,California,06,069,7280.0
San Bernardino County,California,06,071,290592.0
San Diego County,California,06,073,351706.0
San Francisco County,California,06,075,75599.0
San Joaquin County,California,06,077,95495.0
