County,State,State_FIPS,County_FIPS,ged_or_alternative
Autauga County,Alabama,01,001,2397
Baldwin County,Alabama,01,003,6528
Barbour County,Alabama,01,005,1252
Bibb County,Alabama,01,007,833
Blount County,Alabama,01,009,2806
Bullock County,Alabama,01,011,325
Butler County,Alabama,01,013,630
Calhoun County,Alabama,01,015,5041
Chambers County,Alabama,01,017,1824
Cherokee County,Alabama,01,019,985
Chilton County,Alabama,01,021,1542
Choctaw County,Alabama,01,023,422
Clarke County,Alabama,01,025,893
Clay County,Alabama,01,027,576
Cleburne County,Alabama,01,029,749
Coffee County,Alabama,01,031,1775
Colbert County,Alabama,01,033,3027
Conecuh County,Alabama,01,035,470
Coosa County,Alabama,01,037,413
Covington County,Alabama,01,039,1806
Crenshaw County,Alabama,01,041,593
Cullman County,Alabama,01,043,3055
Dale County,Alabama,01,045,2270
Dallas County,Alabama,01,047,1134
DeKalb County,Alabama,01,049,2773
Elmore County,Alabama,01,051,4305
Escambia County,Alabama,01,053,2011
Etowah County,Alabama,01,055,4721
Fayette County,Alabama,01,057,1018
Franklin County,Alabama,01,059,1274
Geneva County,Alabama,01,061,1741
Greene County,Alabama,01,063,182
Hale County,Alabama,01,065,701
Henry County,Alabama,01,067,855
Houston County,Alabama,01,069,4064
Jackson County,Alabama,01,071,3071
Jefferson County,Alabama,01,073,16559
Lamar County,Alabama,01,075,734
Lauderdale County,Alabama,01,077,3740
Lawrence County,Alabama,01,079,1913
Lee County,Alabama,01,081,4090
Limestone County,Alabama,01,083,4155
Lowndes County,Alabama,01,085,264
Macon County,Alabama,01,087,413
Madison County,Alabama,01,089,9380
Marengo County,Alabama,01,091,563
Marion County,Alabama,01,093,1883
Marshall County,Alabama,01,095,4207
Mobile County,Alabama,01,097,12703
Monroe County,Alabama,01,099,1036
Montgomery County,Alabama,01,101,7574
Morgan County,Alabama,01,103,5378
Perry County,Alabama,01,105,278
Pickens County,Alabama,01,107,580
Pike County,Alabama,01,109,993
Randolph County,Alabama,01,111,931
Russell County,Alabama,01,113,2160
Saint Clair County,Alabama,01,115,4196
Shelby County,Alabama,01,117,4327
Sumter County,Alabama,01,119,386
Talladega County,Alabama,01,121,3837
Tallapoosa County,Alabama,01,123,1914
Tuscaloosa County,Alabama,01,125,5379
Walker County,Alabama,01,127,3626
Washington County,Alabama,01,129,581
Wilcox County,Alabama,01,131,210
Winston County,Alabama,01,133,1363
Anchorage Municipality,Alaska,02,020,8005
Bethel Census Area,Alaska,02,050,539
Bristol Bay Borough,Alaska,02,060,21
Fairbanks North Star Borough,Alaska,02,090,3219
Haines Borough,Alaska,02,100,59
Juneau City and Borough,Alaska,02,110,1044
Kenai Peninsula Borough,Alaska,02,122,2359
Kodiak Island Borough,Alaska,02,150,293
Matanuska-Susitna Borough,Alaska,02,170,3477
Nome Census Area,Alaska,02,180,354
North Slope Borough,Alaska,02,185,290
Sitka City and Borough,Alaska,02,220,254
Southeast Fairbanks Census Area,Alaska,02,240,197
Valdez-Cordova Census Area,Alaska,02,261,248
Wade Hampton Census Area,Alaska,02,270,227
Northwest Arctic Borough,Alaska,02,188,316
Aleutians East Borough,Alaska,02,013,78
Aleutians West Census Area,Alaska,02,016,199
Dillingham Census Area,Alaska,02,070,154
Lake and Peninsula Borough,Alaska,02,164,46
Denali Borough,Alaska,02,068,23
Yukon-Koyukuk Census Area,Alaska,02,290,235
Hoonah-Angoon Census Area,Alaska,02,105,83
Skagway Municipality,Alaska,02,230,14
Yakutat City and Borough,Alaska,02,282,18
Ketchikan Gateway Borough,Alaska,02,130,656
Petersburg Borough,Alaska,02,195,76
Prince of Wales-Hyder Census Area,Alaska,02,198,250
Wrangell City and Borough,Alaska,02,275,58
Apache County,Arizona,04,001,1535
Cochise County,Arizona,04,003,5250
Coconino County,Arizona,04,005,2771
Gila County,Arizona,04,007,1631
Graham County,Arizona,04,009,1821
Greenlee County,Arizona,04,011,365
Maricopa County,Arizona,04,013,88083
Mohave County,Arizona,04,015,9529
Navajo County,Arizona,04,017,2578
Pima County,Arizona,04,019,24742
Pinal County,Arizona,04,021,14922
Santa Cruz County,Arizona,04,023,1275
Yavapai County,Arizona,04,025,6335
La Paz County,Arizona,04,012,1016
Yuma County,Arizona,04,027,6951
Arkansas County,Arkansas,05,001,821
Ashley County,Arkansas,05,003,887
Baxter County,Arkansas,05,005,1959
Benton County,Arkansas,05,007,7226
Boone County,Arkansas,05,009,1612
Bradley County,Arkansas,05,011,553
Calhoun County,Arkansas,05,013,190
Carroll County,Arkansas,05,015,1251
Chicot County,Arkansas,05,017,697
Clark County,Arkansas,05,019,821
Clay County,Arkansas,05,021,1271
Cleburne County,Arkansas,05,023,1591
Cleveland County,Arkansas,05,025,425
Columbia County,Arkansas,05,027,449
Conway County,Arkansas,05,029,814
Craighead County,Arkansas,05,031,4073
Crawford County,Arkansas,05,033,2905
Crittenden County,Arkansas,05,035,1487
Cross County,Arkansas,05,037,810
Dallas County,Arkansas,05,039,231
Desha County,Arkansas,05,041,426
Drew County,Arkansas,05,043,741
Faulkner County,Arkansas,05,045,3569
Franklin County,Arkansas,05,047,883
Fulton County,Arkansas,05,049,588
Garland County,Arkansas,05,051,3985
Grant County,Arkansas,05,053,750
Greene County,Arkansas,05,055,2933
Hempstead County,Arkansas,05,057,577
Hot Spring County,Arkansas,05,059,2309
Howard County,Arkansas,05,061,411
Independence County,Arkansas,05,063,1728
Izard County,Arkansas,05,065,923
Jackson County,Arkansas,05,067,1222
Jefferson County,Arkansas,05,069,3075
Johnson County,Arkansas,05,071,1779
Lafayette County,Arkansas,05,073,411
Lawrence County,Arkansas,05,075,989
Lee County,Arkansas,05,077,488
Lincoln County,Arkansas,05,079,1047
Little River County,Arkansas,05,081,689
Logan County,Arkansas,05,083,1204
Lonoke County,Arkansas,05,085,2825
Madison County,Arkansas,05,087,764
Marion County,Arkansas,05,089,847
Miller County,Arkansas,05,091,2188
Mississippi County,Arkansas,05,093,2297
Monroe County,Arkansas,05,095,281
Montgomery County,Arkansas,05,097,498
Nevada County,Arkansas,05,099,567
Newton County,Arkansas,05,101,316
Ouachita County,Arkansas,05,103,684
Perry County,Arkansas,05,105,734
Phillips County,Arkansas,05,107,744
Pike County,Arkansas,05,109,649
Poinsett County,Arkansas,05,111,1400
Polk County,Arkansas,05,113,1093
Pope County,Arkansas,05,115,2389
Prairie County,Arkansas,05,117,442
Pulaski County,Arkansas,05,119,9738
Randolph County,Arkansas,05,121,1020
Saint Francis County,Arkansas,05,123,1525
Saline County,Arkansas,05,125,4566
Scott County,Arkansas,05,127,336
Searcy County,Arkansas,05,129,406
Sebastian County,Arkansas,05,131,4742
Sevier County,Arkansas,05,133,629
Sharp County,Arkansas,05,135,902
Stone County,Arkansas,05,137,635
Union County,Arkansas,05,139,1495
