County,State,State_FIPS,County_FIPS,masters_degree
Autauga County,Alabama,01,001,1980
Baldwin County,Alabama,01,003,8169
Barbour County,Alabama,01,005,773
Bibb County,Alabama,01,007,416
Blount County,Alabama,01,009,1223
Bullock County,Alabama,01,011,366
Butler County,Alabama,01,013,606
Calhoun County,Alabama,01,015,3455
Chambers County,Alabama,01,017,720
Cherokee County,Alabama,01,019,674
Chilton County,Alabama,01,021,1124
Choctaw County,Alabama,01,023,337
Clarke County,Alabama,01,025,549
Clay County,Alabama,01,027,241
Cleburne County,Alabama,01,029,290
Coffee County,Alabama,01,031,2174
Colbert County,Alabama,01,033,1642
Conecuh County,Alabama,01,035,318
Coosa County,Alabama,01,037,304
Covington County,Alabama,01,039,978
Crenshaw County,Alabama,01,041,366
Cullman County,Alabama,01,043,2082
Dale County,Alabama,01,045,1522
Dallas County,Alabama,01,047,1144
DeKalb County,Alabama,01,049,1641
Elmore County,Alabama,01,051,3371
Escambia County,Alabama,01,053,814
Etowah County,Alabama,01,055,2769
Fayette County,Alabama,01,057,699
Franklin County,Alabama,01,059,554
Geneva County,Alabama,01,061,479
Greene County,Alabama,01,063,197
Hale County,Alabama,01,065,350
Henry County,Alabama,01,067,697
Houston County,Alabama,01,069,3468
Jackson County,Alabama,01,071,1428
Jefferson County,Alabama,01,073,32777
Lamar County,Alabama,01,075,255
Lauderdale County,Alabama,01,077,3527
Lawrence County,Alabama,01,079,677
Lee County,Alabama,01,081,7290
Limestone County,Alabama,01,083,3561
Lowndes County,Alabama,01,085,242
Macon County,Alabama,01,087,868
Madison County,Alabama,01,089,24744
Marengo County,Alabama,01,091,660
Marion County,Alabama,01,093,646
Marshall County,Alabama,01,095,2475
Mobile County,Alabama,01,097,13009
Monroe County,Alabama,01,099,226
Montgomery County,Alabama,01,101,12652
Morgan County,Alabama,01,103,3987
Perry County,Alabama,01,105,222
Pickens County,Alabama,01,107,351
Pike County,Alabama,01,109,1172
Randolph County,Alabama,01,111,566
Russell County,Alabama,01,113,1305
Saint Clair County,Alabama,01,115,2104
Shelby County,Alabama,01,117,12169
Sumter County,Alabama,01,119,454
Talladega County,Alabama,01,121,2012
Tallapoosa County,Alabama,01,123,1183
Tuscaloosa County,Alabama,01,125,8677
Walker County,Alabama,01,127,1184
Washington County,Alabama,01,129,276
Wilcox County,Alabama,01,131,152
Winston County,Alabama,01,133,509
Anchorage Municipality,Alaska,02,020,15355
Bethel Census Area,Alaska,02,050,233
Bristol Bay Borough,Alaska,02,060,48
Fairbanks North Star Borough,Alaska,02,090,5069
Haines Borough,Alaska,02,100,103
Juneau City and Borough,Alaska,02,110,2220
Kenai Peninsula Borough,Alaska,02,122,2447
Kodiak Island Borough,Alaska,02,150,329
Matanuska-Susitna Borough,Alaska,02,170,2673
Nome Census Area,Alaska,02,180,188
North Slope Borough,Alaska,02,185,204
Sitka City and Borough,Alaska,02,220,599
Southeast Fairbanks Census Area,Alaska,02,240,316
Valdez-Cordova Census Area,Alaska,02,261,407
Wade Hampton Census Area,Alaska,02,270,53
Northwest Arctic Borough,Alaska,02,188,130
Aleutians East Borough,Alaska,02,013,15
Aleutians West Census Area,Alaska,02,016,160
Dillingham Census Area,Alaska,02,070,117
Lake and Peninsula Borough,Alaska,02,164,43
Denali Borough,Alaska,02,068,81
Yukon-Koyukuk Census Area,Alaska,02,290,96
Hoonah-Angoon Census Area,Alaska,02,105,132
Skagway Municipality,Alaska,02,230,36
Yakutat City and Borough,Alaska,02,282,17
Ketchikan Gateway Borough,Alaska,02,130,527
Petersburg Borough,Alaska,02,195,184
Prince of Wales-Hyder Census Area,Alaska,02,198,154
Wrangell City and Borough,Alaska,02,275,52
Apache County,Arizona,04,001,1273
Cochise County,Arizona,04,003,6037
Coconino County,Arizona,04,005,6766
Gila County,Arizona,04,007,1953
Graham County,Arizona,04,009,879
Greenlee County,Arizona,04,011,148
Maricopa County,Arizona,04,013,190924
Mohave County,Arizona,04,015,4308
Navajo County,Arizona,04,017,2687
Pima County,Arizona,04,019,54681
Pinal County,Arizona,04,021,12079
Santa Cruz County,Arizona,04,023,1148
Yavapai County,Arizona,04,025,9686
La Paz County,Arizona,04,012,384
Yuma County,Arizona,04,027,4026
Arkansas County,Arkansas,05,001,468
Ashley County,Arkansas,05,003,392
Baxter County,Arkansas,05,005,920
Benton County,Arkansas,05,007,10336
Boone County,Arkansas,05,009,977
Bradley County,Arkansas,05,011,132
Calhoun County,Arkansas,05,013,63
Carroll County,Arkansas,05,015,769
Chicot County,Arkansas,05,017,202
Clark County,Arkansas,05,019,860
Clay County,Arkansas,05,021,248
Cleburne County,Arkansas,05,023,650
Cleveland County,Arkansas,05,025,152
Columbia County,Arkansas,05,027,764
Conway County,Arkansas,05,029,521
Craighead County,Arkansas,05,031,3448
Crawford County,Arkansas,05,033,1286
Crittenden County,Arkansas,05,035,877
Cross County,Arkansas,05,037,306
Dallas County,Arkansas,05,039,131
Desha County,Arkansas,05,041,271
Drew County,Arkansas,05,043,481
Faulkner County,Arkansas,05,045,4507
Franklin County,Arkansas,05,047,377
Fulton County,Arkansas,05,049,315
Garland County,Arkansas,05,051,3557
Grant County,Arkansas,05,053,553
Greene County,Arkansas,05,055,1044
Hempstead County,Arkansas,05,057,502
Hot Spring County,Arkansas,05,059,902
Howard County,Arkansas,05,061,332
Independence County,Arkansas,05,063,745
Izard County,Arkansas,05,065,368
Jackson County,Arkansas,05,067,287
Jefferson County,Arkansas,05,069,1963
Johnson County,Arkansas,05,071,485
Lafayette County,Arkansas,05,073,140
Lawrence County,Arkansas,05,075,323
Lee County,Arkansas,05,077,112
Lincoln County,Arkansas,05,079,157
Little River County,Arkansas,05,081,233
Logan County,Arkansas,05,083,305
Lonoke County,Arkansas,05,085,2099
Madison County,Arkansas,05,087,232
Marion County,Arkansas,05,089,360
Miller County,Arkansas,05,091,900
Mississippi County,Arkansas,05,093,1038
Monroe County,Arkansas,05,095,122
Montgomery County,Arkansas,05,097,230
Nevada County,Arkansas,05,099,207
Newton County,Arkansas,05,101,196
Ouachita County,Arkansas,05,103,660
Perry County,Arkansas,05,105,191
Phillips County,Arkansas,05,107,377
Pike County,Arkansas,05,109,365
Poinsett County,Arkansas,05,111,282
Polk County,Arkansas,05,113,448
Pope County,Arkansas,05,115,1896
Prairie County,Arkansas,05,117,176
Pulaski County,Arkansas,05,119,18937
Randolph County,Arkansas,05,121,408
Saint Francis County,Arkansas,05,123,580
Saline County,Arkansas,05,125,4091
Scott County,Arkansas,05,127,228
Searcy County,Arkansas,05,129,252
Sebastian County,Arkansas,05,131,3542
Sevier County,Arkansas,05,133,231
Sharp County,Arkansas,05,135,532
Stone County,Arkansas,05,137,268
Union County,Arkansas,05,139,963
Van Buren County,Arkansas,05,141,452
Washington County,Arkansas,05,143,8958
White County,Arkansas,05,145,2376
Woodruff County,Arkansas,05,147,87
Yell County,Arkansas,05,149,311
Alameda County,California,06,001,121868
Alpine County,California,06,003,55
Amador County,California,06,005,902
Butte County,California,06,007,7340
Calaveras County,California,06,009,1451
Colusa County,California,06,011,177
Contra Costa County,California,06,013,65884
Del Norte County,California,06,015,617
El Dorado County,California,06,017,8999
Fresno County,California,06,019,22333
Glenn County,California,06,021,550
Humboldt County,California,06,023,4950
Imperial County,California,06,025,3344
Inyo County,California,06,027,714
Kern County,California,06,029,17620
Kings County,California,06,031,2087
Lake County,California,06,033,1573
Lassen County,California,06,035,669
Los Angeles County,California,06,037,427211
Madera County,California,06,039,2514
Marin County,California,06,041,26823
Mariposa County,California,06,043,600
Mendocino County,California,06,045,3548
Merced County,California,06,047,3689
Modoc County,California,06,049,194
Mono County,California,06,051,700
Monterey County,California,06,053,15556
Napa County,California,06,055,6430
Nevada County,California,06,057,5345
Orange County,California,06,059,173290
Placer County,California,06,061,19025
Plumas County,California,06,063,987
Riverside County,California,06,065,70877
Sacramento County,California,06,067,56896
San Benito County,California,06,069,1133
San Bernardino County,California,06,071,57453
San Diego County,California,06,073,174933
San Francisco County,California,06,075,84503
San Joaquin County,California,06,077,15242
San Luis Obispo County,California,06,079,13615
San Mateo County,California,06,081,57517
Santa Barbara County,California,06,083,21173
Santa Clara County,California,06,085,180189
Santa Cruz County,California,06,087,16524
Shasta County,California,06,089,5242
Sierra County,California,06,091,32
Siskiyou County,California,06,093,1683
Solano County,California,06,095,13229
Sonoma County,California,06,097,25228
Stanislaus County,California,06,099,11229
Sutter County,California,06,101,2070
Tehama County,California,06,103,1258
Trinity County,California,06,105,374
Tulare County,California,06,107,7606
Tuolumne County,California,06,109,1841
Ventura County,California,06,111,42413
Yolo County,California,06,113,10886
Yuba County,California,06,115,1134
Alamosa County,Colorado,08,003,895
Archuleta County,Colorado,08,007,725
Baca County,Colorado,08,009,102
Bent County,Colorado,08,011,125
Chaffee County,Colorado,08,015,1186
Cheyenne County,Colorado,08,017,69
Clear Creek County,Colorado,08,019,718
Conejos County,Colorado,08,021,243
Costilla County,Colorado,08,023,226
Crowley County,Colorado,08,025,62
Custer County,Colorado,08,027,311
Delta County,Colorado,08,029,1072
Dolores County,Colorado,08,033,73
Douglas County,Colorado,08,035,26048
Eagle County,Colorado,08,037,2755
Elbert County,Colorado,08,039,998
El Paso County,Colorado,08,041,42173
Fremont County,Colorado,08,043,1538
Garfield County,Colorado,08,045,2292
Gilpin County,Colorado,08,047,458
Grand County,Colorado,08,049,563
Gunnison County,Colorado,08,051,956
Huerfano County,Colorado,08,055,441
Jackson County,Colorado,08,057,42
Kiowa County,Colorado,08,061,36
Kit Carson County,Colorado,08,063,190
Lake County,Colorado,08,065,343
La Plata County,Colorado,08,067,3665
Larimer County,Colorado,08,069,23161
Las Animas County,Colorado,08,071,460
Lincoln County,Colorado,08,073,121
Logan County,Colorado,08,075,633
Mesa County,Colorado,08,077,6274
Moffat County,Colorado,08,081,279
Montezuma County,Colorado,08,083,1554
Montrose County,Colorado,08,085,2116
Morgan County,Colorado,08,087,704
Otero County,Colorado,08,089,436
Ouray County,Colorado,08,091,472
Park County,Colorado,08,093,849
Phillips County,Colorado,08,095,103
Pitkin County,Colorado,08,097,1455
Prowers County,Colorado,08,099,264
Pueblo County,Colorado,08,101,6291
Rio Blanco County,Colorado,08,103,286
Rio Grande County,Colorado,08,105,372
Routt County,Colorado,08,107,1629
Saguache County,Colorado,08,109,320
San Miguel County,Colorado,08,113,531
Sedgwick County,Colorado,08,115,45
Summit County,Colorado,08,117,2197
Teller County,Colorado,08,119,1920
Washington County,Colorado,08,121,143
Yuma County,Colorado,08,125,248
Adams County,Colorado,08,001,14099
Arapahoe County,Colorado,08,005,38671
Boulder County,Colorado,08,013,34013
Broomfield County,Colorado,08,014,4783
Denver County,Colorado,08,031,47181
Jefferson County,Colorado,08,059,40904
Weld County,Colorado,08,123,9788
Fairfield County,Connecticut,09,001,90028
Hartford County,Connecticut,09,003,66157
Litchfield County,Connecticut,09,005,13831
Middlesex County,Connecticut,09,007,15483
New Haven County,Connecticut,09,009,60597
New London County,Connecticut,09,011,19886
Tolland County,Connecticut,09,013,12198
Windham County,Connecticut,09,015,5482
Kent County,Delaware,10,001,6600
New Castle County,Delaware,10,003,34637
Sussex County,Delaware,10,005,9246
Alachua County,Florida,12,001,15323
Baker County,Florida,12,003,557
Bay County,Florida,12,005,6487
Bradford County,Florida,12,007,451
Brevard County,Florida,12,009,29586
Broward County,Florida,12,011,88582
Calhoun County,Florida,12,013,208
Charlotte County,Florida,12,015,7156
Citrus County,Florida,12,017,4420
Clay County,Florida,12,019,7738
Collier County,Florida,12,021,18761
Columbia County,Florida,12,023,1732
Miami-Dade County,Florida,12,086,102249
DeSoto County,Florida,12,027,587
Dixie County,Florida,12,029,264
Duval County,Florida,12,031,33466
Escambia County,Florida,12,033,11817
Flagler County,Florida,12,035,4137
Franklin County,Florida,12,037,192
Gadsden County,Florida,12,039,1459
Gilchrist County,Florida,12,041,350
Glades County,Florida,12,043,346
Gulf County,Florida,12,045,282
Hamilton County,Florida,12,047,205
Hardee County,Florida,12,049,271
Hendry County,Florida,12,051,633
Hernando County,Florida,12,053,4597
Highlands County,Florida,12,055,2703
Hillsborough County,Florida,12,057,59207
Holmes County,Florida,12,059,476
Indian River County,Florida,12,061,7299
Jackson County,Florida,12,063,1311
Jefferson County,Florida,12,065,476
Lafayette County,Florida,12,067,140
Lake County,Florida,12,069,10974
Lee County,Florida,12,071,28550
Leon County,Florida,12,073,19919
Levy County,Florida,12,075,730
Liberty County,Florida,12,077,185
Madison County,Florida,12,079,403
Manatee County,Florida,12,081,17451
Marion County,Florida,12,083,9844
Martin County,Florida,12,085,7887
Monroe County,Florida,12,087,3753
Nassau County,Florida,12,089,2910
Okaloosa County,Florida,12,091,10771
Okeechobee County,Florida,12,093,572
Orange County,Florida,12,095,53673
Osceola County,Florida,12,097,6747
Palm Beach County,Florida,12,099,75481
Pasco County,Florida,12,101,17024
Pinellas County,Florida,12,103,43653
Polk County,Florida,12,105,17088
Putnam County,Florida,12,107,1482
Saint Johns County,Florida,12,109,12984
Saint Lucie County,Florida,12,111,10322
