County,State,State_FIPS,County_FIPS,population_aged_25_plus
Autauga County,Alabama,01,001,36319.0
Baldwin County,Alabama,01,003,137001.0
Barbour County,Alabama,01,005,18808.0
Bibb County,Alabama,01,007,15629.0
Blount County,Alabama,01,009,39408.0
Bullock County,Alabama,01,011,7438.0
Butler County,Alabama,01,013,13996.0
Calhoun County,Alabama,01,015,78700.0
Chambers County,Alabama,01,017,23814.0
Cherokee County,Alabama,01,019,18734.0
Chilton County,Alabama,01,021,29472.0
Choctaw County,Alabama,01,023,9534.0
Clarke County,Alabama,01,025,17128.0
Clay County,Alabama,01,027,9535.0
Cleburne County,Alabama,01,029,10420.0
Coffee County,Alabama,01,031,34464.0
Colbert County,Alabama,01,033,38008.0
Conecuh County,Alabama,01,035,8905.0
Coosa County,Alabama,01,037,8022.0
Covington County,Alabama,01,039,26470.0
Crenshaw County,Alabama,01,041,9548.0
Cullman County,Alabama,01,043,55773.0
Dale County,Alabama,01,045,33245.0
Dallas County,Alabama,01,047,27453.0
DeKalb County,Alabama,01,049,47227.0
Elmore County,Alabama,01,051,54452.0
Escambia County,Alabama,01,053,26007.0
Etowah County,Alabama,01,055,71591.0
Fayette County,Alabama,01,057,11880.0
Franklin County,Alabama,01,059,21075.0
Geneva County,Alabama,01,061,18762.0
Greene County,Alabama,01,063,5923.0
Hale County,Alabama,01,065,10271.0
Henry County,Alabama,01,067,12213.0
Houston County,Alabama,01,069,70274.0
Jackson County,Alabama,01,071,37190.0
Jefferson County,Alabama,01,073,444969.0
Lamar County,Alabama,01,075,10017.0
Lauderdale County,Alabama,01,077,62870.0
Lawrence County,Alabama,01,079,23292.0
Lee County,Alabama,01,081,87947.0
Limestone County,Alabama,01,083,61004.0
Lowndes County,Alabama,01,085,7205.0
Macon County,Alabama,01,087,12382.0
Madison County,Alabama,01,089,233276.0
Marengo County,Alabama,01,091,13783.0
Marion County,Alabama,01,093,21650.0
Marshall County,Alabama,01,095,63035.0
Mobile County,Alabama,01,097,273199.0
Monroe County,Alabama,01,099,14913.0
Montgomery County,Alabama,01,101,147536.0
Morgan County,Alabama,01,103,81977.0
Perry County,Alabama,01,105,6115.0
Pickens County,Alabama,01,107,13839.0
Pike County,Alabama,01,109,19506.0
Randolph County,Alabama,01,111,15549.0
Russell County,Alabama,01,113,38172.0
Saint Clair County,Alabama,01,115,59246.0
Shelby County,Alabama,01,117,137126.0
Sumter County,Alabama,01,119,8128.0
Talladega County,Alabama,01,121,56114.0
Tallapoosa County,Alabama,01,123,28908.0
Tuscaloosa County,Alabama,01,125,120960.0
Walker County,Alabama,01,127,45786.0
Washington County,Alabama,01,129,11508.0
Wilcox County,Alabama,01,131,7399.0
Winston County,Alabama,01,133,17251.0
Anchorage Municipality,Alaska,02,020,189300.0
Bethel Census Area,Alaska,02,050,9444.0
Bristol Bay Borough,Alaska,02,060,649.0
Fairbanks North Star Borough,Alaska,02,090,60737.0
Haines Borough,Alaska,02,100,1934.0
Juneau City and Borough,Alaska,02,110,22269.0
Kenai Peninsula Borough,Alaska,02,122,39037.0
Kodiak Island Borough,Alaska,02,150,8536.0
Matanuska-Susitna Borough,Alaska,02,170,60694.0
Nome Census Area,Alaska,02,180,5391.0
North Slope Borough,Alaska,02,185,6283.0
Sitka City and Borough,Alaska,02,220,6173.0
Southeast Fairbanks Census Area,Alaska,02,240,4450.0
Valdez-Cordova Census Area,Alaska,02,261,6324.0
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,4025.0
Aleutians East Borough,Alaska,02,013,2520.0
Aleutians West Census Area,Alaska,02,016,3908.0
Dillingham Census Area,Alaska,02,070,2829.0
Lake and Peninsula Borough,Alaska,02,164,858.0
Denali Borough,Alaska,02,068,1383.0
Yukon-Koyukuk Census Area,Alaska,02,290,3543.0
Hoonah-Angoon Census Area,Alaska,02,105,1615.0
Skagway Municipality,Alaska,02,230,792.0
Yakutat City and Borough,Alaska,02,282,438.0
Ketchikan Gateway Borough,Alaska,02,130,9320.0
Petersburg Borough,Alaska,02,195,2172.0
Prince of Wales-Hyder Census Area,Alaska,02,198,4300.0
Wrangell City and Borough,Alaska,02,275,1818.0
