County,State,State_FIPS,County_FIPS,population_aged_25_plus
Lawrence County,Arkansas,05,075,11229.0
Lee County,Arkansas,05,077,6754.0
Lincoln County,Arkansas,05,079,10314.0
Little River County,Arkansas,05,081,8694.0
Logan County,Arkansas,05,083,15309.0
Lonoke County,Arkansas,05,085,48254.0
Madison County,Arkansas,05,087,11179.0
Marion County,Arkansas,05,089,12600.0
Miller County,Arkansas,05,091,29661.0
Mississippi County,Arkansas,05,093,27251.0
Monroe County,Arkansas,05,095,5032.0
Montgomery County,Arkansas,05,097,6687.0
Nevada County,Arkansas,05,099,5845.0
Newton County,Arkansas,05,101,5726.0
Ouachita County,Arkansas,05,103,16380.0
Perry County,Arkansas,05,105,7252.0
Phillips County,Arkansas,05,107,11999.0
Pike County,Arkansas,05,109,7525.0
Poinsett County,Arkansas,05,111,16292.0
Polk County,Arkansas,05,113,14053.0
Pope County,Arkansas,05,115,40501.0
Prairie County,Arkansas,05,117,5978.0
Pulaski County,Arkansas,05,119,266765.0
Randolph County,Arkansas,05,121,12232.0
Saint Francis County,Arkansas,05,123,17914.0
Saline County,Arkansas,05,125,82700.0
Scott County,Arkansas,05,127,6999.0
Searcy County,Arkansas,05,129,5793.0
Sebastian County,Arkansas,05,131,85006.0
Sevier County,Arkansas,05,133,10686.0
Sharp County,Arkansas,05,135,12406.0
Stone County,Arkansas,05,137,9218.0
Union County,Arkansas,05,139,26763.0
Van Buren County,Arkansas,05,141,12235.0
Washington County,Arkansas,05,143,141000.0
White County,Arkansas,05,145,51108.0
Woodruff County,Arkansas,05,147,4662.0
Yell County,Arkansas,05,149,14497.0
Alameda County,California,06,001,1172662.0
Alpine County,California,06,003,770.0
Amador County,California,06,005,30295.0
Butte County,California,06,007,147509.0
Calaveras County,California,06,009,34848.0
Colusa County,California,06,011,13677.0
Contra Costa County,California,06,013,787178.0
Del Norte County,California,06,015,19644.0
El Dorado County,California,06,017,137028.0
Fresno County,California,06,019,604137.0
Glenn County,California,06,021,17951.0
Humboldt County,California,06,023,92463.0
Imperial County,California,06,025,110125.0
Inyo County,California,06,027,13204.0
Kern County,California,06,029,537799.0
Kings County,California,06,031,92916.0
Lake County,California,06,033,46426.0
Lassen County,California,06,035,22615.0
Los Angeles County,California,06,037,6886895.0
Madera County,California,06,039,97527.0
Marin County,California,06,041,190403.0
Mariposa County,California,06,043,13632.0
Mendocino County,California,06,045,62005.0
Merced County,California,06,047,160388.0
Modoc County,California,06,049,6740.0
Mono County,California,06,051,9927.0
Monterey County,California,06,053,275668.0
Napa County,California,06,055,98223.0
Nevada County,California,06,057,76000.0
Orange County,California,06,059,2168424.0
Placer County,California,06,061,270397.0
Plumas County,California,06,063,14479.0
Riverside County,California,06,065,1559869.0
Sacramento County,California,06,067,1028580.0
San Benito County,California,06,069,38958.0
San Bernardino County,California,06,071,1350620.0
San Diego County,California,06,073,2246571.0
San Francisco County,California,06,075,695330.0
San Joaquin County,California,06,077,467455.0
San Luis Obispo County,California,06,079,188857.0
San Mateo County,California,06,081,551290.0
Santa Barbara County,California,06,083,275092.0
Santa Clara County,California,06,085,1334958.0
Santa Cruz County,California,06,087,180000.0
Shasta County,California,06,089,126524.0
Sierra County,California,06,091,2420.0
Siskiyou County,California,06,093,31682.0
Solano County,California,06,095,303699.0
Sonoma County,California,06,097,359314.0
Stanislaus County,California,06,099,343626.0
Sutter County,California,06,101,62626.0
Tehama County,California,06,103,43850.0
Trinity County,California,06,105,9847.0
Tulare County,California,06,107,271351.0
Tuolumne County,California,06,109,41304.0
Ventura County,California,06,111,570146.0
Yolo County,California,06,113,127586.0
Yuba County,California,06,115,48033.0
Alamosa County,Colorado,08,003,9619.0
Archuleta County,Colorado,08,007,10137.0
Baca County,Colorado,08,009,2608.0
Bent County,Colorado,08,011,4534.0
Chaffee County,Colorado,08,015,15523.0
Cheyenne County,Colorado,08,017,1338.0
Clear Creek County,Colorado,08,019,7376.0
Conejos County,Colorado,08,021,5286.0
Costilla County,Colorado,08,023,2793.0
Crowley County,Colorado,08,025,3883.0
Custer County,Colorado,08,027,3812.0
Delta County,Colorado,08,029,22293.0
Dolores County,Colorado,08,033,1398.0
Douglas County,Colorado,08,035,221839.0
Eagle County,Colorado,08,037,38505.0
Elbert County,Colorado,08,039,18326.0
El Paso County,Colorado,08,041,452115.0
Fremont County,Colorado,08,043,36942.0
Garfield County,Colorado,08,045,39298.0
Gilpin County,Colorado,08,047,4923.0
Grand County,Colorado,08,049,11581.0
Gunnison County,Colorado,08,051,10601.0
Huerfano County,Colorado,08,055,5216.0
Jackson County,Colorado,08,057,974.0
Kiowa County,Colorado,08,061,996.0
Kit Carson County,Colorado,08,063,5198.0
Lake County,Colorado,08,065,5563.0
La Plata County,Colorado,08,067,39773.0
Larimer County,Colorado,08,069,226787.0
Las Animas County,Colorado,08,071,10527.0
Lincoln County,Colorado,08,073,4117.0
Logan County,Colorado,08,075,15155.0
Mesa County,Colorado,08,077,104174.0
Moffat County,Colorado,08,081,8893.0
Montezuma County,Colorado,08,083,18612.0
Montrose County,Colorado,08,085,29724.0
Morgan County,Colorado,08,087,18401.0
Otero County,Colorado,08,089,12137.0
Ouray County,Colorado,08,091,3851.0
Park County,Colorado,08,093,14149.0
Phillips County,Colorado,08,095,2800.0
Pitkin County,Colorado,08,097,13680.0
Prowers County,Colorado,08,099,7774.0
Pueblo County,Colorado,08,101,113465.0
Rio Blanco County,Colorado,08,103,4213.0
Rio Grande County,Colorado,08,105,7655.0
Routt County,Colorado,08,107,18540.0
Saguache County,Colorado,08,109,4829.0
San Miguel County,Colorado,08,113,6049.0
Sedgwick County,Colorado,08,115,1614.0
Summit County,Colorado,08,117,23359.0
Teller County,Colorado,08,119,18731.0
Washington County,Colorado,08,121,3390.0
Yuma County,Colorado,08,125,6646.0
Adams County,Colorado,08,001,324255.0
Arapahoe County,Colorado,08,005,437887.0
Boulder County,Colorado,08,013,212755.0
Broomfield County,Colorado,08,014,46992.0
Denver County,Colorado,08,031,508718.0
Jefferson County,Colorado,08,059,414825.0
Weld County,Colorado,08,123,196540.0
Fairfield County,Connecticut,09,001,643285.0
Hartford County,Connecticut,09,003,623222.0
Litchfield County,Connecticut,09,005,134619.0
Middlesex County,Connecticut,09,007,119333.0
New Haven County,Connecticut,09,009,597200.0
New London County,Connecticut,09,011,187957.0
Tolland County,Connecticut,09,013,96087.0
Windham County,Connecticut,09,015,81392.0
Kent County,Delaware,10,001,118054.0
New Castle County,Delaware,10,003,383326.0
Sussex County,Delaware,10,005,167940.0
Alachua County,Florida,12,001,161824.0
Baker County,Florida,12,003,19065.0
Bay County,Florida,12,005,128438.0
Bradford County,Florida,12,007,19879.0
Brevard County,Florida,12,009,434825.0
Broward County,Florida,12,011,1362196.0
Calhoun County,Florida,12,013,10524.0
Charlotte County,Florida,12,015,149434.0
Citrus County,Florida,12,017,115528.0
Clay County,Florida,12,019,144566.0
Collier County,Florida,12,021,282120.0
Columbia County,Florida,12,023,48455.0
Miami-Dade County,Florida,12,086,1914094.0
DeSoto County,Florida,12,027,26434.0
Dixie County,Florida,12,029,12527.0
Duval County,Florida,12,031,639634.0
Escambia County,Florida,12,033,211050.0
Flagler County,Florida,12,035,83852.0
Franklin County,Florida,12,037,9123.0
Gadsden County,Florida,12,039,32151.0
Gilchrist County,Florida,12,041,12269.0
Glades County,Florida,12,043,10212.0
Gulf County,Florida,12,045,11954.0
Hamilton County,Florida,12,047,10388.0
Hardee County,Florida,12,049,17470.0
Hendry County,Florida,12,051,25671.0
Hernando County,Florida,12,053,139440.0
Highlands County,Florida,12,055,79028.0
Hillsborough County,Florida,12,057,973813.0
Holmes County,Florida,12,059,14080.0
Indian River County,Florida,12,061,118504.0
Jackson County,Florida,12,063,35094.0
Jefferson County,Florida,12,065,10980.0
Lafayette County,Florida,12,067,5938.0
Lake County,Florida,12,069,255871.0
Lee County,Florida,12,071,554846.0
Leon County,Florida,12,073,172223.0
Levy County,Florida,12,075,29615.0
Liberty County,Florida,12,077,5962.0
Madison County,Florida,12,079,13595.0
Manatee County,Florida,12,081,287043.0
Marion County,Florida,12,083,263547.0
Martin County,Florida,12,085,122630.0
Monroe County,Florida,12,087,59492.0
Nassau County,Florida,12,089,61082.0
Okaloosa County,Florida,12,091,140078.0
Okeechobee County,Florida,12,093,28952.0
Orange County,Florida,12,095,904375.0
Osceola County,Florida,12,097,232156.0
Palm Beach County,Florida,12,099,1071994.0
Pasco County,Florida,12,101,380729.0
Pinellas County,Florida,12,103,741396.0
Polk County,Florida,12,105,475256.0
Putnam County,Florida,12,107,52277.0
Saint Johns County,Florida,12,109,173403.0
Saint Lucie County,Florida,12,111,227271.0
Santa Rosa County,Florida,12,113,122166.0
Sarasota County,Florida,12,115,335030.0
Seminole County,Florida,12,117,324951.0
Sumter County,Florida,12,119,112211.0
Suwannee County,Florida,12,121,31135.0
Taylor County,Florida,12,123,16100.0
Union County,Florida,12,125,11218.0
Volusia County,Florida,12,127,397329.0
Wakulla County,Florida,12,129,23343.0
Walton County,Florida,12,131,50028.0
Washington County,Florida,12,133,17881.0
Appling County,Georgia,13,001,12288.0
Atkinson County,Georgia,13,003,5200.0
Bacon County,Georgia,13,005,7354.0
Baker County,Georgia,13,007,2249.0
Baldwin County,Georgia,13,009,28170.0
Banks County,Georgia,13,011,12958.0
Barrow County,Georgia,13,013,51919.0
Bartow County,Georgia,13,015,70245.0
Ben Hill County,Georgia,13,017,11161.0
Berrien County,Georgia,13,019,13193.0
Bibb County,Georgia,13,021,99931.0
Bleckley County,Georgia,13,023,7851.0
Brantley County,Georgia,13,025,12768.0
Brooks County,Georgia,13,027,11065.0
Bryan County,Georgia,13,029,23357.0
Bulloch County,Georgia,13,031,42557.0
Burke County,Georgia,13,033,14728.0
Butts County,Georgia,13,035,16983.0
Calhoun County,Georgia,13,037,4710.0
Camden County,Georgia,13,039,33629.0
Candler County,Georgia,13,043,7197.0
Carroll County,Georgia,13,045,74131.0
Catoosa County,Georgia,13,047,45959.0
Charlton County,Georgia,13,049,9145.0
Chatham County,Georgia,13,051,194332.0
Chattahoochee County,Georgia,13,053,5122.0
Chattooga County,Georgia,13,055,17107.0
Cherokee County,Georgia,13,057,166280.0
Clarke County,Georgia,13,059,70914.0
Clay County,Georgia,13,061,2197.0
Clayton County,Georgia,13,063,175814.0
Clinch County,Georgia,13,065,4431.0
Cobb County,Georgia,13,067,503789.0
Coffee County,Georgia,13,069,28217.0
Colquitt County,Georgia,13,071,29488.0
Columbia County,Georgia,13,073,100048.0
Cook County,Georgia,13,075,11302.0
Coweta County,Georgia,13,077,95812.0
Crawford County,Georgia,13,079,8706.0
Crisp County,Georgia,13,081,15141.0
Dade County,Georgia,13,083,11111.0
Dawson County,Georgia,13,085,17525.0
Decatur County,Georgia,13,087,17744.0
DeKalb County,Georgia,13,089,509691.0
Dodge County,Georgia,13,091,14872.0
Dooly County,Georgia,13,093,9919.0
Dougherty County,Georgia,13,095,57540.0
Douglas County,Georgia,13,097,92600.0
Early County,Georgia,13,099,6826.0
Echols County,Georgia,13,101,2790.0
Effingham County,Georgia,13,103,39433.0
Elbert County,Georgia,13,105,13373.0
Emanuel County,Georgia,13,107,14881.0
Evans County,Georgia,13,109,7207.0
Fannin County,Georgia,13,111,19573.0
Fayette County,Georgia,13,113,76272.0
Floyd County,Georgia,13,115,64816.0
Forsyth County,Georgia,13,117,148069.0
Franklin County,Georgia,13,119,15505.0
Fulton County,Georgia,13,121,700646.0
Gilmer County,Georgia,13,123,22298.0
Glascock County,Georgia,13,125,2041.0
Glynn County,Georgia,13,127,59132.0
Gordon County,Georgia,13,129,38159.0
Grady County,Georgia,13,131,16933.0
Greene County,Georgia,13,133,12863.0
Gwinnett County,Georgia,13,135,583049.0
Habersham County,Georgia,13,137,30284.0
Hall County,Georgia,13,139,129688.0
Hancock County,Georgia,13,141,6590.0
Haralson County,Georgia,13,143,19915.0
Harris County,Georgia,13,145,23912.0
Hart County,Georgia,13,147,18641.0
Heard County,Georgia,13,149,8093.0
Henry County,Georgia,13,151,145565.0
Houston County,Georgia,13,153,100473.0
Irwin County,Georgia,13,155,6238.0
Jackson County,Georgia,13,157,45857.0
Jasper County,Georgia,13,159,9644.0
Jeff Davis County,Georgia,13,161,9735.0
Jefferson County,Georgia,13,163,10645.0
Jenkins County,Georgia,13,165,5847.0
Johnson County,Georgia,13,167,6969.0
Jones County,Georgia,13,169,19643.0
Lamar County,Georgia,13,171,12144.0
Lanier County,Georgia,13,173,6850.0
Laurens County,Georgia,13,175,31739.0
Lee County,Georgia,13,177,19336.0
Liberty County,Georgia,13,179,35502.0
Lincoln County,Georgia,13,181,5764.0
Long County,Georgia,13,183,11714.0
Lowndes County,Georgia,13,185,68109.0
Lumpkin County,Georgia,13,187,20417.0
McDuffie County,Georgia,13,189,14116.0
McIntosh County,Georgia,13,191,11057.0
Macon County,Georgia,13,193,9527.0
Madison County,Georgia,13,195,20147.0
Marion County,Georgia,13,197,6052.0
Meriwether County,Georgia,13,199,14815.0
Miller County,Georgia,13,201,4109.0
Mitchell County,Georgia,13,205,15239.0
Monroe County,Georgia,13,207,19060.0
Montgomery County,Georgia,13,209,6035.0
Morgan County,Georgia,13,211,12820.0
Murray County,Georgia,13,213,26473.0
Muscogee County,Georgia,13,215,127141.0
Newton County,Georgia,13,217,69268.0
Oconee County,Georgia,13,219,24955.0
Oglethorpe County,Georgia,13,221,10488.0
Paulding County,Georgia,13,223,103393.0
Peach County,Georgia,13,225,17670.0
Pickens County,Georgia,13,227,22844.0
Pierce County,Georgia,13,229,12962.0
Pike County,Georgia,13,231,12478.0
Polk County,Georgia,13,233,27499.0
Pulaski County,Georgia,13,235,8349.0
Putnam County,Georgia,13,237,15687.0
Quitman County,Georgia,13,239,1755.0
Rabun County,Georgia,13,241,12695.0
Randolph County,Georgia,13,243,4686.0
Richmond County,Georgia,13,245,132014.0
Rockdale County,Georgia,13,247,59040.0
Schley County,Georgia,13,249,3392.0
Screven County,Georgia,13,251,9722.0
Seminole County,Georgia,13,253,5996.0
Spalding County,Georgia,13,255,44529.0
Stephens County,Georgia,13,257,17427.0
Stewart County,Georgia,13,259,4890.0
Sumter County,Georgia,13,261,19035.0
Talbot County,Georgia,13,263,4701.0
Taliaferro County,Georgia,13,265,1235.0
Tattnall County,Georgia,13,267,17880.0
Taylor County,Georgia,13,269,5659.0
Telfair County,Georgia,13,271,12059.0
Terrell County,Georgia,13,273,5995.0
Thomas County,Georgia,13,275,30392.0
Tift County,Georgia,13,277,25790.0
Toombs County,Georgia,13,279,17547.0
Towns County,Georgia,13,281,8484.0
Treutlen County,Georgia,13,283,4708.0
Troup County,Georgia,13,285,45720.0
Turner County,Georgia,13,287,5563.0
Twiggs County,Georgia,13,289,6175.0
Union County,Georgia,13,291,18147.0
Upson County,Georgia,13,293,17929.0
Walker County,Georgia,13,295,48546.0
Walton County,Georgia,13,297,60893.0
Ware County,Georgia,13,299,24478.0
Warren County,Georgia,13,301,3899.0
Washington County,Georgia,13,303,14272.0
Wayne County,Georgia,13,305,20026.0
Webster County,Georgia,13,307,1876.0
Wheeler County,Georgia,13,309,5424.0
White County,Georgia,13,311,20966.0
Whitfield County,Georgia,13,313,67156.0
Wilcox County,Georgia,13,315,6366.0
Wilkes County,Georgia,13,317,6928.0
Wilkinson County,Georgia,13,319,6247.0
Worth County,Georgia,13,321,14223.0
Hawaii County,Hawaii,15,001,141677.0
Honolulu County,Hawaii,15,003,682097.0
Kauai County,Hawaii,15,007,51052.0
Kalawao County,Hawaii,15,005,62.0
Maui County,Hawaii,15,009,118117.0
Ada County,Idaho,16,001,307855.0
Adams County,Idaho,16,003,3209.0
Bannock County,Idaho,16,005,54266.0
Bear Lake County,Idaho,16,007,3976.0
Benewah County,Idaho,16,009,6483.0
Bingham County,Idaho,16,011,27543.0
Blaine County,Idaho,16,013,15859.0
Boise County,Idaho,16,015,5747.0
Bonner County,Idaho,16,017,32261.0
Bonneville County,Idaho,16,019,69273.0
Boundary County,Idaho,16,021,8156.0
Butte County,Idaho,16,023,1912.0
Camas County,Idaho,16,025,732.0
Canyon County,Idaho,16,027,133890.0
Caribou County,Idaho,16,029,4404.0
Cassia County,Idaho,16,031,13993.0
Clearwater County,Idaho,16,035,6774.0
Custer County,Idaho,16,037,3195.0
Elmore County,Idaho,16,039,16764.0
Franklin County,Idaho,16,041,7947.0
Fremont County,Idaho,16,043,8412.0
Gem County,Idaho,16,045,11962.0
Gooding County,Idaho,16,047,9741.0
Idaho County,Idaho,16,049,12100.0
Jefferson County,Idaho,16,051,16444.0
Jerome County,Idaho,16,053,14411.0
Kootenai County,Idaho,16,055,108997.0
Latah County,Idaho,16,057,22317.0
Lemhi County,Idaho,16,059,5925.0
Lewis County,Idaho,16,061,2716.0
Lincoln County,Idaho,16,063,3361.0
Madison County,Idaho,16,065,16345.0
Minidoka County,Idaho,16,067,12941.0
Nez Perce County,Idaho,16,069,28014.0
Oneida County,Idaho,16,071,2736.0
Owyhee County,Idaho,16,073,7541.0
Payette County,Idaho,16,075,15266.0
Power County,Idaho,16,077,4963.0
Shoshone County,Idaho,16,079,9201.0
Teton County,Idaho,16,081,7702.0
Twin Falls County,Idaho,16,083,54031.0
Valley County,Idaho,16,085,8520.0
Washington County,Idaho,16,087,7121.0
Adams County,Illinois,17,001,46125.0
Alexander County,Illinois,17,003,4497.0
Bond County,Illinois,17,005,11741.0
Boone County,Illinois,17,007,35008.0
Brown County,Illinois,17,009,4863.0
Bureau County,Illinois,17,011,23582.0
Calhoun County,Illinois,17,013,3490.0
Carroll County,Illinois,17,015,10663.0
Cass County,Illinois,17,017,8503.0
Champaign County,Illinois,17,019,121964.0
Christian County,Illinois,17,021,23675.0
Clark County,Illinois,17,023,10941.0
