County,State,State_FIPS,County_FIPS,less_than_9th_grade_percentage
Miller County,Arkansas,05,091,6.6
Mississippi County,Arkansas,05,093,9.8
Monroe County,Arkansas,05,095,15.3
Montgomery County,Arkansas,05,097,8.0
Nevada County,Arkansas,05,099,5.2
Newton County,Arkansas,05,101,9.3
Ouachita County,Arkansas,05,103,4.6
Perry County,Arkansas,05,105,6.5
Phillips County,Arkansas,05,107,9.4
Pike County,Arkansas,05,109,7.9
Poinsett County,Arkansas,05,111,12.0
Polk County,Arkansas,05,113,6.3
Pope County,Arkansas,05,115,8.0
Prairie County,Arkansas,05,117,10.2
Pulaski County,Arkansas,05,119,4.0
Randolph County,Arkansas,05,121,10.2
Saint Francis County,Arkansas,05,123,10.2
Saline County,Arkansas,05,125,3.8
Scott County,Arkansas,05,127,9.5
Searcy County,Arkansas,05,129,9.1
Sebastian County,Arkansas,05,131,7.6
Sevier County,Arkansas,05,133,17.5
Sharp County,Arkansas,05,135,5.7
Stone County,Arkansas,05,137,9.4
Union County,Arkansas,05,139,6.4
Van Buren County,Arkansas,05,141,10.4
Washington County,Arkansas,05,143,8.6
White County,Arkansas,05,145,5.6
Woodruff County,Arkansas,05,147,14.5
Yell County,Arkansas,05,149,13.0
Alameda County,California,06,001,7.3
Alpine County,California,06,003,0.2
Amador County,California,06,005,4.4
Butte County,California,06,007,5.5
Calaveras County,California,06,009,2.3
Colusa County,California,06,011,19.7
Contra Costa County,California,06,013,5.9
Del Norte County,California,06,015,9.0
El Dorado County,California,06,017,2.3
Fresno County,California,06,019,17.3
Glenn County,California,06,021,16.0
Humboldt County,California,06,023,3.5
Imperial County,California,06,025,18.6
Inyo County,California,06,027,3.7
Kern County,California,06,029,14.8
Kings County,California,06,031,16.3
Lake County,California,06,033,5.7
Lassen County,California,06,035,5.6
Los Angeles County,California,06,037,13.2
Madera County,California,06,039,20.9
Marin County,California,06,041,4.7
Mariposa County,California,06,043,3.1
Mendocino County,California,06,045,8.7
Merced County,California,06,047,21.9
Modoc County,California,06,049,5.5
Mono County,California,06,051,5.5
Monterey County,California,06,053,19.7
Napa County,California,06,055,11.7
Nevada County,California,06,057,1.3
Orange County,California,06,059,8.6
Placer County,California,06,061,2.7
Plumas County,California,06,063,2.4
Riverside County,California,06,065,9.9
Sacramento County,California,06,067,6.9
San Benito County,California,06,069,17.7
San Bernardino County,California,06,071,10.1
San Diego County,California,06,073,6.7
San Francisco County,California,06,075,7.0
San Joaquin County,California,06,077,12.4
San Luis Obispo County,California,06,079,5.0
San Mateo County,California,06,081,6.5
Santa Barbara County,California,06,083,12.9
Santa Clara County,California,06,085,6.6
Santa Cruz County,California,06,087,9.9
Shasta County,California,06,089,2.9
Sierra County,California,06,091,4.1
Siskiyou County,California,06,093,3.3
Solano County,California,06,095,6.5
Sonoma County,California,06,097,8.2
Stanislaus County,California,06,099,13.9
Sutter County,California,06,101,11.5
Tehama County,California,06,103,8.7
Trinity County,California,06,105,2.4
Tulare County,California,06,107,21.1
Tuolumne County,California,06,109,2.7
Ventura County,California,06,111,9.8
Yolo County,California,06,113,8.5
Yuba County,California,06,115,9.8
Alamosa County,Colorado,08,003,5.9
Archuleta County,Colorado,08,007,2.1
Baca County,Colorado,08,009,6.0
Bent County,Colorado,08,011,11.9
Chaffee County,Colorado,08,015,5.8
Cheyenne County,Colorado,08,017,8.3
Clear Creek County,Colorado,08,019,0.2
Conejos County,Colorado,08,021,9.5
Costilla County,Colorado,08,023,13.1
Crowley County,Colorado,08,025,16.1
Custer County,Colorado,08,027,2.1
Delta County,Colorado,08,029,7.0
Dolores County,Colorado,08,033,1.6
Douglas County,Colorado,08,035,0.7
Eagle County,Colorado,08,037,7.0
Elbert County,Colorado,08,039,0.9
El Paso County,Colorado,08,041,2.5
Fremont County,Colorado,08,043,8.7
Garfield County,Colorado,08,045,6.7
Gilpin County,Colorado,08,047,0.6
Grand County,Colorado,08,049,1.5
Gunnison County,Colorado,08,051,4.7
Huerfano County,Colorado,08,055,9.9
Jackson County,Colorado,08,057,4.4
Kiowa County,Colorado,08,061,5.2
Kit Carson County,Colorado,08,063,11.2
Lake County,Colorado,08,065,16.8
La Plata County,Colorado,08,067,1.7
Larimer County,Colorado,08,069,2.7
Las Animas County,Colorado,08,071,5.3
Lincoln County,Colorado,08,073,12.2
Logan County,Colorado,08,075,5.8
Mesa County,Colorado,08,077,3.9
Moffat County,Colorado,08,081,3.9
Montezuma County,Colorado,08,083,2.5
Montrose County,Colorado,08,085,8.1
Morgan County,Colorado,08,087,14.3
Otero County,Colorado,08,089,9.1
Ouray County,Colorado,08,091,0.4
Park County,Colorado,08,093,0.8
Phillips County,Colorado,08,095,6.6
Pitkin County,Colorado,08,097,1.1
Prowers County,Colorado,08,099,11.2
Pueblo County,Colorado,08,101,5.1
Rio Blanco County,Colorado,08,103,2.1
Rio Grande County,Colorado,08,105,7.2
Routt County,Colorado,08,107,0.7
Saguache County,Colorado,08,109,11.5
San Miguel County,Colorado,08,113,1.6
Sedgwick County,Colorado,08,115,9.4
Summit County,Colorado,08,117,3.9
Teller County,Colorado,08,119,1.7
Washington County,Colorado,08,121,5.9
Yuma County,Colorado,08,125,8.3
Adams County,Colorado,08,001,7.7
Arapahoe County,Colorado,08,005,4.1
Boulder County,Colorado,08,013,3.2
Broomfield County,Colorado,08,014,1.6
Denver County,Colorado,08,031,7.5
Jefferson County,Colorado,08,059,2.1
Weld County,Colorado,08,123,7.5
Fairfield County,Connecticut,09,001,5.8
Hartford County,Connecticut,09,003,5.4
Litchfield County,Connecticut,09,005,3.1
Middlesex County,Connecticut,09,007,2.3
New Haven County,Connecticut,09,009,4.8
New London County,Connecticut,09,011,3.2
Tolland County,Connecticut,09,013,2.3
Windham County,Connecticut,09,015,6.2
Kent County,Delaware,10,001,5.0
New Castle County,Delaware,10,003,4.0
Sussex County,Delaware,10,005,6.0
Alachua County,Florida,12,001,3.8
Baker County,Florida,12,003,7.6
Bay County,Florida,12,005,3.8
Bradford County,Florida,12,007,7.8
Brevard County,Florida,12,009,2.6
Broward County,Florida,12,011,5.2
Calhoun County,Florida,12,013,13.2
Charlotte County,Florida,12,015,3.3
Citrus County,Florida,12,017,4.5
Clay County,Florida,12,019,2.7
Collier County,Florida,12,021,7.9
Columbia County,Florida,12,023,6.5
Miami-Dade County,Florida,12,086,11.5
DeSoto County,Florida,12,027,19.1
Dixie County,Florida,12,029,6.0
Duval County,Florida,12,031,4.0
Escambia County,Florida,12,033,4.0
Flagler County,Florida,12,035,3.2
Franklin County,Florida,12,037,6.9
Gadsden County,Florida,12,039,8.0
Gilchrist County,Florida,12,041,6.4
Glades County,Florida,12,043,14.5
Gulf County,Florida,12,045,7.7
Hamilton County,Florida,12,047,10.0
Hardee County,Florida,12,049,26.3
Hendry County,Florida,12,051,25.6
Hernando County,Florida,12,053,3.9
Highlands County,Florida,12,055,9.6
Hillsborough County,Florida,12,057,5.3
Holmes County,Florida,12,059,10.6
Indian River County,Florida,12,061,5.6
Jackson County,Florida,12,063,8.2
Jefferson County,Florida,12,065,6.1
Lafayette County,Florida,12,067,3.8
Lake County,Florida,12,069,4.1
Lee County,Florida,12,071,5.4
Leon County,Florida,12,073,2.4
Levy County,Florida,12,075,7.0
Liberty County,Florida,12,077,7.7
Madison County,Florida,12,079,9.4
Manatee County,Florida,12,081,6.0
Marion County,Florida,12,083,5.0
Martin County,Florida,12,085,5.6
Monroe County,Florida,12,087,4.2
Nassau County,Florida,12,089,3.3
Okaloosa County,Florida,12,091,2.5
Okeechobee County,Florida,12,093,18.7
Orange County,Florida,12,095,5.4
Osceola County,Florida,12,097,7.1
Palm Beach County,Florida,12,099,6.5
Pasco County,Florida,12,101,4.2
