County,State,State_FIPS,County_FIPS,high_school_grads
Autauga County,Alabama,01,001,10641.0
Baldwin County,Alabama,01,003,33842.0
Barbour County,Alabama,01,005,5098.0
Bibb County,Alabama,01,007,5701.0
Blount County,Alabama,01,009,10712.0
Bullock County,Alabama,01,011,2547.0
Butler County,Alabama,01,013,5366.0
Calhoun County,Alabama,01,015,20762.0
Chambers County,Alabama,01,017,6945.0
Cherokee County,Alabama,01,019,6168.0
Chilton County,Alabama,01,021,11101.0
Choctaw County,Alabama,01,023,2938.0
Clarke County,Alabama,01,025,6190.0
Clay County,Alabama,01,027,3074.0
Cleburne County,Alabama,01,029,3249.0
Coffee County,Alabama,01,031,7880.0
Colbert County,Alabama,01,033,12117.0
Conecuh County,Alabama,01,035,4074.0
Coosa County,Alabama,01,037,2679.0
Covington County,Alabama,01,039,8138.0
Crenshaw County,Alabama,01,041,3256.0
Cullman County,Alabama,01,043,16006.0
Dale County,Alabama,01,045,8504.0
Dallas County,Alabama,01,047,8195.0
DeKalb County,Alabama,01,049,12774.0
Elmore County,Alabama,01,051,14639.0
Escambia County,Alabama,01,053,9129.0
Etowah County,Alabama,01,055,18608.0
Fayette County,Alabama,01,057,3860.0
Franklin County,Alabama,01,059,6568.0
Geneva County,Alabama,01,061,5379.0
Greene County,Alabama,01,063,2099.0
Hale County,Alabama,01,065,3574.0
Henry County,Alabama,01,067,3301.0
Houston County,Alabama,01,069,18477.0
Jackson County,Alabama,01,071,11966.0
Jefferson County,Alabama,01,073,101582.0
Lamar County,Alabama,01,075,3187.0
Lauderdale County,Alabama,01,077,19289.0
Lawrence County,Alabama,01,079,8020.0
Lee County,Alabama,01,081,18571.0
Limestone County,Alabama,01,083,15670.0
Lowndes County,Alabama,01,085,2553.0
Macon County,Alabama,01,087,3029.0
Madison County,Alabama,01,089,40244.0
Marengo County,Alabama,01,091,4428.0
Marion County,Alabama,01,093,6107.0
Marshall County,Alabama,01,095,14911.0
Mobile County,Alabama,01,097,80336.0
Monroe County,Alabama,01,099,6343.0
Montgomery County,Alabama,01,101,30328.0
Morgan County,Alabama,01,103,19861.0
Perry County,Alabama,01,105,1871.0
Pickens County,Alabama,01,107,4477.0
