County,State,State_FIPS,County_FIPS,masters_degree
Autauga County,Alabama,01,001,3041.0
Baldwin County,Alabama,01,003,10063.0
Barbour County,Alabama,01,005,736.0
Bibb County,Alabama,01,007,763.0
Blount County,Alabama,01,009,1261.0
Bullock County,Alabama,01,011,270.0
Butler County,Alabama,01,013,674.0
Calhoun County,Alabama,01,015,4138.0
Chambers County,Alabama,01,017,624.0
Cherokee County,Alabama,01,019,766.0
Chilton County,Alabama,01,021,1243.0
Choctaw County,Alabama,01,023,296.0
Clarke County,Alabama,01,025,551.0
Clay County,Alabama,01,027,291.0
Cleburne County,Alabama,01,029,340.0
Coffee County,Alabama,01,031,2252.0
Colbert County,Alabama,01,033,1990.0
Conecuh County,Alabama,01,035,281.0
Coosa County,Alabama,01,037,259.0
Covington County,Alabama,01,039,977.0
Crenshaw County,Alabama,01,041,318.0
Cullman County,Alabama,01,043,2159.0
Dale County,Alabama,01,045,1445.0
Dallas County,Alabama,01,047,1134.0
DeKalb County,Alabama,01,049,1630.0
Elmore County,Alabama,01,051,3736.0
Escambia County,Alabama,01,053,759.0
Etowah County,Alabama,01,055,3101.0
Fayette County,Alabama,01,057,521.0
Franklin County,Alabama,01,059,702.0
Geneva County,Alabama,01,061,588.0
Greene County,Alabama,01,063,103.0
Hale County,Alabama,01,065,302.0
Henry County,Alabama,01,067,722.0
Houston County,Alabama,01,069,3799.0
Jackson County,Alabama,01,071,1378.0
Jefferson County,Alabama,01,073,34094.0
Lamar County,Alabama,01,075,380.0
Lauderdale County,Alabama,01,077,4132.0
Lawrence County,Alabama,01,079,619.0
Lee County,Alabama,01,081,8781.0
Limestone County,Alabama,01,083,3843.0
Lowndes County,Alabama,01,085,162.0
Macon County,Alabama,01,087,793.0
Madison County,Alabama,01,089,28283.0
Marengo County,Alabama,01,091,455.0
Marion County,Alabama,01,093,816.0
Marshall County,Alabama,01,095,2765.0
Mobile County,Alabama,01,097,15122.0
Monroe County,Alabama,01,099,505.0
Montgomery County,Alabama,01,101,13291.0
Morgan County,Alabama,01,103,4384.0
Perry County,Alabama,01,105,307.0
Pickens County,Alabama,01,107,354.0
Pike County,Alabama,01,109,1425.0
Randolph County,Alabama,01,111,723.0
Russell County,Alabama,01,113,1862.0
Saint Clair County,Alabama,01,115,2493.0
Shelby County,Alabama,01,117,14250.0
Sumter County,Alabama,01,119,464.0
Talladega County,Alabama,01,121,2197.0
Tallapoosa County,Alabama,01,123,1189.0
Tuscaloosa County,Alabama,01,125,9408.0
Walker County,Alabama,01,127,1409.0
Washington County,Alabama,01,129,321.0
Wilcox County,Alabama,01,131,184.0
Winston County,Alabama,01,133,615.0
Anchorage Municipality,Alaska,02,020,16889.0
Bethel Census Area,Alaska,02,050,290.0
Bristol Bay Borough,Alaska,02,060,37.0
Fairbanks North Star Borough,Alaska,02,090,5576.0
Haines Borough,Alaska,02,100,143.0
Juneau City and Borough,Alaska,02,110,2266.0
Kenai Peninsula Borough,Alaska,02,122,2823.0
Kodiak Island Borough,Alaska,02,150,584.0
Matanuska-Susitna Borough,Alaska,02,170,3207.0
Nome Census Area,Alaska,02,180,149.0
North Slope Borough,Alaska,02,185,240.0
Sitka City and Borough,Alaska,02,220,603.0
Southeast Fairbanks Census Area,Alaska,02,240,308.0
Valdez-Cordova Census Area,Alaska,02,261,473.0
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,93.0
Aleutians East Borough,Alaska,02,013,43.0
Aleutians West Census Area,Alaska,02,016,147.0
Dillingham Census Area,Alaska,02,070,133.0
Lake and Peninsula Borough,Alaska,02,164,41.0
Denali Borough,Alaska,02,068,99.0
Yukon-Koyukuk Census Area,Alaska,02,290,147.0
Hoonah-Angoon Census Area,Alaska,02,105,88.0
Skagway Municipality,Alaska,02,230,47.0
Yakutat City and Borough,Alaska,02,282,9.0
Ketchikan Gateway Borough,Alaska,02,130,504.0
Petersburg Borough,Alaska,02,195,130.0
Prince of Wales-Hyder Census Area,Alaska,02,198,184.0
Wrangell City and Borough,Alaska,02,275,102.0
Apache County,Arizona,04,001,1416.0
Cochise County,Arizona,04,003,5886.0
Coconino County,Arizona,04,005,7938.0
Gila County,Arizona,04,007,1987.0
Graham County,Arizona,04,009,944.0
Greenlee County,Arizona,04,011,153.0
Maricopa County,Arizona,04,013,216435.0
Mohave County,Arizona,04,015,4326.0
Navajo County,Arizona,04,017,2975.0
Pima County,Arizona,04,019,58810.0
Pinal County,Arizona,04,021,13874.0
Santa Cruz County,Arizona,04,023,1342.0
Yavapai County,Arizona,04,025,11918.0
La Paz County,Arizona,04,012,433.0
Yuma County,Arizona,04,027,4789.0
Arkansas County,Arkansas,05,001,451.0
Ashley County,Arkansas,05,003,475.0
Baxter County,Arkansas,05,005,1257.0
Benton County,Arkansas,05,007,12489.0
Boone County,Arkansas,05,009,1067.0
Bradley County,Arkansas,05,011,221.0
Calhoun County,Arkansas,05,013,102.0
Carroll County,Arkansas,05,015,951.0
Chicot County,Arkansas,05,017,220.0
Clark County,Arkansas,05,019,928.0
Clay County,Arkansas,05,021,354.0
Cleburne County,Arkansas,05,023,690.0
Cleveland County,Arkansas,05,025,250.0
Columbia County,Arkansas,05,027,939.0
Conway County,Arkansas,05,029,633.0
Craighead County,Arkansas,05,031,4154.0
Crawford County,Arkansas,05,033,1180.0
Crittenden County,Arkansas,05,035,1347.0
Cross County,Arkansas,05,037,520.0
Dallas County,Arkansas,05,039,166.0
Desha County,Arkansas,05,041,299.0
Drew County,Arkansas,05,043,571.0
Faulkner County,Arkansas,05,045,5737.0
Franklin County,Arkansas,05,047,312.0
Fulton County,Arkansas,05,049,360.0
Garland County,Arkansas,05,051,3757.0
Grant County,Arkansas,05,053,677.0
Greene County,Arkansas,05,055,1165.0
