County,State,State_FIPS,County_FIPS,high_school_only_percentage
Autauga County,Alabama,01,001,33.6
Baldwin County,Alabama,01,003,27.7
Barbour County,Alabama,01,005,35.6
Bibb County,Alabama,01,007,44.9
Blount County,Alabama,01,009,33.4
Bullock County,Alabama,01,011,40.3
Butler County,Alabama,01,013,45.2
Calhoun County,Alabama,01,015,32.8
Chambers County,Alabama,01,017,36.7
Cherokee County,Alabama,01,019,40.3
Chilton County,Alabama,01,021,44.4
Choctaw County,Alabama,01,023,37.7
Clarke County,Alabama,01,025,41.8
Clay County,Alabama,01,027,37.8
Cleburne County,Alabama,01,029,38.0
Coffee County,Alabama,01,031,27.2
Colbert County,Alabama,01,033,37.8
Conecuh County,Alabama,01,035,51.1
Coosa County,Alabama,01,037,40.3
Covington County,Alabama,01,039,37.3
Crenshaw County,Alabama,01,041,39.5
Cullman County,Alabama,01,043,34.1
Dale County,Alabama,01,045,32.3
Dallas County,Alabama,01,047,35.9
DeKalb County,Alabama,01,049,34.2
Elmore County,Alabama,01,051,32.5
Escambia County,Alabama,01,053,43.7
Etowah County,Alabama,01,055,32.9
Fayette County,Alabama,01,057,41.3
Franklin County,Alabama,01,059,36.6
Geneva County,Alabama,01,061,36.0
Greene County,Alabama,01,063,38.6
Hale County,Alabama,01,065,43.4
Henry County,Alabama,01,067,32.6
Houston County,Alabama,01,069,31.2
Jackson County,Alabama,01,071,41.0
Jefferson County,Alabama,01,073,26.4
Lamar County,Alabama,01,075,39.8
Lauderdale County,Alabama,01,077,36.0
Lawrence County,Alabama,01,079,41.2
Lee County,Alabama,01,081,23.7
Limestone County,Alabama,01,083,30.4
Lowndes County,Alabama,01,085,39.6
Macon County,Alabama,01,087,30.2
Madison County,Alabama,01,089,20.6
Marengo County,Alabama,01,091,38.0
Marion County,Alabama,01,093,34.8
Marshall County,Alabama,01,095,31.1
Mobile County,Alabama,01,097,34.0
Monroe County,Alabama,01,099,47.2
Montgomery County,Alabama,01,101,25.0
Morgan County,Alabama,01,103,30.4
Perry County,Alabama,01,105,36.9
Pickens County,Alabama,01,107,37.2
Pike County,Alabama,01,109,35.7
Randolph County,Alabama,01,111,34.9
Russell County,Alabama,01,113,31.4
Saint Clair County,Alabama,01,115,35.6
Shelby County,Alabama,01,117,19.8
Sumter County,Alabama,01,119,35.4
Talladega County,Alabama,01,121,33.7
Tallapoosa County,Alabama,01,123,32.7
Tuscaloosa County,Alabama,01,125,29.9
Walker County,Alabama,01,127,37.5
Washington County,Alabama,01,129,43.1
Wilcox County,Alabama,01,131,39.5
Winston County,Alabama,01,133,38.2
Anchorage Municipality,Alaska,02,020,23.4
Bethel Census Area,Alaska,02,050,46.4
Bristol Bay Borough,Alaska,02,060,37.0
Fairbanks North Star Borough,Alaska,02,090,22.6
Haines Borough,Alaska,02,100,30.2
Juneau City and Borough,Alaska,02,110,21.6
Kenai Peninsula Borough,Alaska,02,122,31.2
Kodiak Island Borough,Alaska,02,150,29.7
Matanuska-Susitna Borough,Alaska,02,170,33.1
Nome Census Area,Alaska,02,180,41.1
North Slope Borough,Alaska,02,185,43.0
Sitka City and Borough,Alaska,02,220,27.4
Southeast Fairbanks Census Area,Alaska,02,240,34.2
Valdez-Cordova Census Area,Alaska,02,261,30.8
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,46.7
Aleutians East Borough,Alaska,02,013,43.5
Aleutians West Census Area,Alaska,02,016,39.0
Dillingham Census Area,Alaska,02,070,37.2
Lake and Peninsula Borough,Alaska,02,164,44.2
