County,State,State_FIPS,County_FIPS,population_aged_25_plus
Autauga County,Alabama,01,001,35696
Baldwin County,Alabama,01,003,130063
Barbour County,Alabama,01,005,18988
Bibb County,Alabama,01,007,15340
Blount County,Alabama,01,009,38846
Bullock County,Alabama,01,011,7510
Butler County,Alabama,01,013,14080
Calhoun County,Alabama,01,015,78545
Chambers County,Alabama,01,017,23756
Cherokee County,Alabama,01,019,18777
Chilton County,Alabama,01,021,29302
Choctaw County,Alabama,01,023,9603
Clarke County,Alabama,01,025,17239
Clay County,Alabama,01,027,9631
Cleburne County,Alabama,01,029,10215
Coffee County,Alabama,01,031,34017
Colbert County,Alabama,01,033,37893
Conecuh County,Alabama,01,035,8959
Coosa County,Alabama,01,037,8136
Covington County,Alabama,01,039,26292
Crenshaw County,Alabama,01,041,9536
Cullman County,Alabama,01,043,55151
Dale County,Alabama,01,045,33127
Dallas County,Alabama,01,047,27847
DeKalb County,Alabama,01,049,46996
Elmore County,Alabama,01,051,53571
Escambia County,Alabama,01,053,26202
Etowah County,Alabama,01,055,71477
Fayette County,Alabama,01,057,11974
Franklin County,Alabama,01,059,21058
Geneva County,Alabama,01,061,18779
Greene County,Alabama,01,063,6015
Hale County,Alabama,01,065,10492
Henry County,Alabama,01,067,12162
Houston County,Alabama,01,069,68997
Jackson County,Alabama,01,071,37111
Jefferson County,Alabama,01,073,441488
Lamar County,Alabama,01,075,10164
Lauderdale County,Alabama,01,077,62721
Lawrence County,Alabama,01,079,23299
Lee County,Alabama,01,081,82970
Limestone County,Alabama,01,083,58244
Lowndes County,Alabama,01,085,7376
Macon County,Alabama,01,087,12719
Madison County,Alabama,01,089,225696
Marengo County,Alabama,01,091,13974
Marion County,Alabama,01,093,21751
Marshall County,Alabama,01,095,62130
Mobile County,Alabama,01,097,269898
Monroe County,Alabama,01,099,15282
Montgomery County,Alabama,01,101,146521
Morgan County,Alabama,01,103,81263
Perry County,Alabama,01,105,6581
Pickens County,Alabama,01,107,13326
Pike County,Alabama,01,109,19256
Randolph County,Alabama,01,111,15495
Russell County,Alabama,01,113,36064
Saint Clair County,Alabama,01,115,57946
Shelby County,Alabama,01,117,132782
Sumter County,Alabama,01,119,8272
Talladega County,Alabama,01,121,55967
Tallapoosa County,Alabama,01,123,29019
Tuscaloosa County,Alabama,01,125,117196
Walker County,Alabama,01,127,46142
Washington County,Alabama,01,129,11579
Wilcox County,Alabama,01,131,7499
Winston County,Alabama,01,133,17335
Anchorage Municipality,Alaska,02,020,185891
Bethel Census Area,Alaska,02,050,9063
Bristol Bay Borough,Alaska,02,060,618
Fairbanks North Star Borough,Alaska,02,090,59985
