County,State,State_FIPS,County_FIPS,bachelors_degree
Autauga County,Alabama,01,001,4899
Baldwin County,Alabama,01,003,24337
Barbour County,Alabama,01,005,1546
Bibb County,Alabama,01,007,1267
Blount County,Alabama,01,009,3107
Bullock County,Alabama,01,011,386
Butler County,Alabama,01,013,1232
Calhoun County,Alabama,01,015,7960
Chambers County,Alabama,01,017,1852
Cherokee County,Alabama,01,019,1416
Chilton County,Alabama,01,021,2399
Choctaw County,Alabama,01,023,708
Clarke County,Alabama,01,025,1194
Clay County,Alabama,01,027,578
Cleburne County,Alabama,01,029,461
Coffee County,Alabama,01,031,4861
Colbert County,Alabama,01,033,4328
Conecuh County,Alabama,01,035,396
Coosa County,Alabama,01,037,439
Covington County,Alabama,01,039,2433
Crenshaw County,Alabama,01,041,772
Cullman County,Alabama,01,043,5047
Dale County,Alabama,01,045,3745
Dallas County,Alabama,01,047,2470
DeKalb County,Alabama,01,049,3028
Elmore County,Alabama,01,051,7237
Escambia County,Alabama,01,053,2048
Etowah County,Alabama,01,055,6839
Fayette County,Alabama,01,057,834
Franklin County,Alabama,01,059,1615
Geneva County,Alabama,01,061,1417
Greene County,Alabama,01,063,529
Hale County,Alabama,01,065,941
Henry County,Alabama,01,067,1181
Houston County,Alabama,01,069,8707
Jackson County,Alabama,01,071,2879
Jefferson County,Alabama,01,073,81219
Lamar County,Alabama,01,075,615
Lauderdale County,Alabama,01,077,8260
Lawrence County,Alabama,01,079,1896
Lee County,Alabama,01,081,15324
Limestone County,Alabama,01,083,9009
Lowndes County,Alabama,01,085,763
Macon County,Alabama,01,087,1292
Madison County,Alabama,01,089,54199
Marengo County,Alabama,01,091,1569
Marion County,Alabama,01,093,1221
Marshall County,Alabama,01,095,6159
Mobile County,Alabama,01,097,36855
Monroe County,Alabama,01,099,1183
Montgomery County,Alabama,01,101,28476
Morgan County,Alabama,01,103,10766
Perry County,Alabama,01,105,421
Pickens County,Alabama,01,107,977
Pike County,Alabama,01,109,2733
Randolph County,Alabama,01,111,1096
Russell County,Alabama,01,113,4164
Saint Clair County,Alabama,01,115,6038
Shelby County,Alabama,01,117,36365
Sumter County,Alabama,01,119,693
Talladega County,Alabama,01,121,4565
Tallapoosa County,Alabama,01,123,3091
Tuscaloosa County,Alabama,01,125,18830
Walker County,Alabama,01,127,3088
Washington County,Alabama,01,129,750
Wilcox County,Alabama,01,131,631
Winston County,Alabama,01,133,1057
Anchorage Municipality,Alaska,02,020,39223
Bethel Census Area,Alaska,02,050,708
Bristol Bay Borough,Alaska,02,060,72
Fairbanks North Star Borough,Alaska,02,090,10138
Haines Borough,Alaska,02,100,438
Juneau City and Borough,Alaska,02,110,4846
Kenai Peninsula Borough,Alaska,02,122,6006
Kodiak Island Borough,Alaska,02,150,1185
Matanuska-Susitna Borough,Alaska,02,170,8423
Nome Census Area,Alaska,02,180,657
North Slope Borough,Alaska,02,185,618
Sitka City and Borough,Alaska,02,220,1294
Southeast Fairbanks Census Area,Alaska,02,240,685
Valdez-Cordova Census Area,Alaska,02,261,1023
Wade Hampton Census Area,Alaska,02,270,129
Northwest Arctic Borough,Alaska,02,188,233
Aleutians East Borough,Alaska,02,013,274
Aleutians West Census Area,Alaska,02,016,371
Dillingham Census Area,Alaska,02,070,312
Lake and Peninsula Borough,Alaska,02,164,76
Denali Borough,Alaska,02,068,295
Yukon-Koyukuk Census Area,Alaska,02,290,224
Hoonah-Angoon Census Area,Alaska,02,105,266
Skagway Municipality,Alaska,02,230,154
Yakutat City and Borough,Alaska,02,282,69
Ketchikan Gateway Borough,Alaska,02,130,1605
Petersburg Borough,Alaska,02,195,463
Prince of Wales-Hyder Census Area,Alaska,02,198,418
Wrangell City and Borough,Alaska,02,275,242
Apache County,Arizona,04,001,2838
Cochise County,Arizona,04,003,12527
Coconino County,Arizona,04,005,14060
Gila County,Arizona,04,007,3488
Graham County,Arizona,04,009,1643
Greenlee County,Arizona,04,011,434
Maricopa County,Arizona,04,013,479256
Mohave County,Arizona,04,015,11201
Navajo County,Arizona,04,017,6020
Pima County,Arizona,04,019,114657
Pinal County,Arizona,04,021,29527
Santa Cruz County,Arizona,04,023,3847
Yavapai County,Arizona,04,025,24541
La Paz County,Arizona,04,012,994
Yuma County,Arizona,04,027,11701
Arkansas County,Arkansas,05,001,1033
Ashley County,Arkansas,05,003,1249
