County,State,State_FIPS,County_FIPS,some_college_1_plus_year
Autauga County,Alabama,01,001,5332
Baldwin County,Alabama,01,003,21668
Barbour County,Alabama,01,005,2564
Bibb County,Alabama,01,007,2327
Blount County,Alabama,01,009,5219
Bullock County,Alabama,01,011,1212
Butler County,Alabama,01,013,1872
Calhoun County,Alabama,01,015,12399
Chambers County,Alabama,01,017,3246
Cherokee County,Alabama,01,019,3220
Chilton County,Alabama,01,021,3692
Choctaw County,Alabama,01,023,1105
Clarke County,Alabama,01,025,1753
Clay County,Alabama,01,027,1276
Cleburne County,Alabama,01,029,1298
Coffee County,Alabama,01,031,4814
Colbert County,Alabama,01,033,6027
Conecuh County,Alabama,01,035,1081
Coosa County,Alabama,01,037,949
Covington County,Alabama,01,039,3691
Crenshaw County,Alabama,01,041,1339
Cullman County,Alabama,01,043,9003
Dale County,Alabama,01,045,5960
Dallas County,Alabama,01,047,3824
DeKalb County,Alabama,01,049,5823
Elmore County,Alabama,01,051,9347
Escambia County,Alabama,01,053,3809
Etowah County,Alabama,01,055,13460
Fayette County,Alabama,01,057,1383
Franklin County,Alabama,01,059,3083
Geneva County,Alabama,01,061,2423
Greene County,Alabama,01,063,1021
Hale County,Alabama,01,065,1407
Henry County,Alabama,01,067,1733
Houston County,Alabama,01,069,10049
Jackson County,Alabama,01,071,4662
Jefferson County,Alabama,01,073,78806
Lamar County,Alabama,01,075,1576
Lauderdale County,Alabama,01,077,9302
Lawrence County,Alabama,01,079,3190
Lee County,Alabama,01,081,11508
Limestone County,Alabama,01,083,8097
Lowndes County,Alabama,01,085,949
Macon County,Alabama,01,087,2533
Madison County,Alabama,01,089,37281
Marengo County,Alabama,01,091,2277
Marion County,Alabama,01,093,2918
Marshall County,Alabama,01,095,8466
Mobile County,Alabama,01,097,44336
Monroe County,Alabama,01,099,2022
Montgomery County,Alabama,01,101,24826
Morgan County,Alabama,01,103,13211
Perry County,Alabama,01,105,741
Pickens County,Alabama,01,107,1780
Pike County,Alabama,01,109,2836
Randolph County,Alabama,01,111,1757
Russell County,Alabama,01,113,5435
Saint Clair County,Alabama,01,115,9463
Shelby County,Alabama,01,117,21605
Sumter County,Alabama,01,119,1133
Talladega County,Alabama,01,121,8258
Tallapoosa County,Alabama,01,123,3760
Tuscaloosa County,Alabama,01,125,19139
Walker County,Alabama,01,127,6799
Washington County,Alabama,01,129,1242
Wilcox County,Alabama,01,131,852
Winston County,Alabama,01,133,2573
Anchorage Municipality,Alaska,02,020,38052
Bethel Census Area,Alaska,02,050,1315
Bristol Bay Borough,Alaska,02,060,215
Fairbanks North Star Borough,Alaska,02,090,13640
Haines Borough,Alaska,02,100,382
Juneau City and Borough,Alaska,02,110,4645
Kenai Peninsula Borough,Alaska,02,122,8625
Kodiak Island Borough,Alaska,02,150,2185
Matanuska-Susitna Borough,Alaska,02,170,12518
Nome Census Area,Alaska,02,180,758
North Slope Borough,Alaska,02,185,1269
Sitka City and Borough,Alaska,02,220,1040
Southeast Fairbanks Census Area,Alaska,02,240,1009
Valdez-Cordova Census Area,Alaska,02,261,1520
Wade Hampton Census Area,Alaska,02,270,449
Northwest Arctic Borough,Alaska,02,188,587
Aleutians East Borough,Alaska,02,013,469
Aleutians West Census Area,Alaska,02,016,939
Dillingham Census Area,Alaska,02,070,457
Lake and Peninsula Borough,Alaska,02,164,202
Denali Borough,Alaska,02,068,332
Yukon-Koyukuk Census Area,Alaska,02,290,713
