County,State,State_FIPS,County_FIPS,ged_or_alternative
Drew County,Arkansas,05,043,672.0
Faulkner County,Arkansas,05,045,3876.0
Franklin County,Arkansas,05,047,799.0
Fulton County,Arkansas,05,049,551.0
Garland County,Arkansas,05,051,4006.0
Grant County,Arkansas,05,053,960.0
Greene County,Arkansas,05,055,3208.0
Hempstead County,Arkansas,05,057,484.0
Hot Spring County,Arkansas,05,059,2446.0
Howard County,Arkansas,05,061,312.0
Independence County,Arkansas,05,063,1777.0
Izard County,Arkansas,05,065,832.0
Jackson County,Arkansas,05,067,1489.0
Jefferson County,Arkansas,05,069,2934.0
Johnson County,Arkansas,05,071,1703.0
Lafayette County,Arkansas,05,073,422.0
Lawrence County,Arkansas,05,075,1037.0
Lee County,Arkansas,05,077,399.0
Lincoln County,Arkansas,05,079,891.0
Little River County,Arkansas,05,081,731.0
Logan County,Arkansas,05,083,1289.0
Lonoke County,Arkansas,05,085,3098.0
Madison County,Arkansas,05,087,783.0
Marion County,Arkansas,05,089,931.0
Miller County,Arkansas,05,091,2322.0
Mississippi County,Arkansas,05,093,2385.0
Monroe County,Arkansas,05,095,314.0
Montgomery County,Arkansas,05,097,389.0
Nevada County,Arkansas,05,099,416.0
Newton County,Arkansas,05,101,368.0
Ouachita County,Arkansas,05,103,914.0
Perry County,Arkansas,05,105,526.0
Phillips County,Arkansas,05,107,832.0
Pike County,Arkansas,05,109,705.0
Poinsett County,Arkansas,05,111,1324.0
Polk County,Arkansas,05,113,1167.0
Pope County,Arkansas,05,115,2556.0
Prairie County,Arkansas,05,117,482.0
Pulaski County,Arkansas,05,119,10160.0
Randolph County,Arkansas,05,121,964.0
Saint Francis County,Arkansas,05,123,1747.0
Saline County,Arkansas,05,125,4201.0
Scott County,Arkansas,05,127,435.0
Searcy County,Arkansas,05,129,442.0
Sebastian County,Arkansas,05,131,5220.0
Sevier County,Arkansas,05,133,610.0
Sharp County,Arkansas,05,135,1054.0
Stone County,Arkansas,05,137,703.0
Union County,Arkansas,05,139,1382.0
Van Buren County,Arkansas,05,141,1065.0
Washington County,Arkansas,05,143,6886.0
White County,Arkansas,05,145,3327.0
Woodruff County,Arkansas,05,147,280.0
Yell County,Arkansas,05,149,1015.0
Alameda County,California,06,001,17340.0
Alpine County,California,06,003,61.0
Amador County,California,06,005,1229.0
Butte County,California,06,007,4681.0
Calaveras County,California,06,009,1153.0
Colusa County,California,06,011,252.0
Contra Costa County,California,06,013,15021.0
Del Norte County,California,06,015,1014.0
El Dorado County,California,06,017,3258.0
Fresno County,California,06,019,16939.0
Glenn County,California,06,021,691.0
Humboldt County,California,06,023,3196.0
Imperial County,California,06,025,3544.0
Inyo County,California,06,027,371.0
Kern County,California,06,029,19726.0
Kings County,California,06,031,4235.0
Lake County,California,06,033,1880.0
Lassen County,California,06,035,2155.0
Los Angeles County,California,06,037,111160.0
Madera County,California,06,039,3386.0
Marin County,California,06,041,2583.0
Mariposa County,California,06,043,379.0
Mendocino County,California,06,045,1935.0
Merced County,California,06,047,5705.0
Modoc County,California,06,049,176.0
Mono County,California,06,051,130.0
Monterey County,California,06,053,9416.0
Napa County,California,06,055,2088.0
Nevada County,California,06,057,1694.0
Orange County,California,06,059,33538.0
Placer County,California,06,061,5430.0
Plumas County,California,06,063,400.0
Riverside County,California,06,065,42455.0
Sacramento County,California,06,067,28279.0
San Benito County,California,06,069,1119.0
San Bernardino County,California,06,071,41290.0
San Diego County,California,06,073,45901.0
San Francisco County,California,06,075,9390.0
San Joaquin County,California,06,077,16826.0
San Luis Obispo County,California,06,079,4990.0
San Mateo County,California,06,081,8729.0
Santa Barbara County,California,06,083,6327.0
Santa Clara County,California,06,085,21635.0
Santa Cruz County,California,06,087,3637.0
Shasta County,California,06,089,4521.0
Sierra County,California,06,091,103.0
Siskiyou County,California,06,093,1056.0
Solano County,California,06,095,8852.0
