County,State,State_FIPS,County_FIPS,some_college_1_plus_year
Autauga County,Alabama,01,001,5501.0
Baldwin County,Alabama,01,003,22477.0
Barbour County,Alabama,01,005,2757.0
Bibb County,Alabama,01,007,2772.0
Blount County,Alabama,01,009,5512.0
Bullock County,Alabama,01,011,1022.0
Butler County,Alabama,01,013,1801.0
Calhoun County,Alabama,01,015,12860.0
Chambers County,Alabama,01,017,3411.0
Cherokee County,Alabama,01,019,3066.0
Chilton County,Alabama,01,021,3555.0
Choctaw County,Alabama,01,023,1234.0
Clarke County,Alabama,01,025,1932.0
Clay County,Alabama,01,027,1627.0
Cleburne County,Alabama,01,029,1332.0
Coffee County,Alabama,01,031,5009.0
Colbert County,Alabama,01,033,6302.0
Conecuh County,Alabama,01,035,1108.0
Coosa County,Alabama,01,037,1262.0
Covington County,Alabama,01,039,4075.0
Crenshaw County,Alabama,01,041,1207.0
Cullman County,Alabama,01,043,8903.0
Dale County,Alabama,01,045,6252.0
Dallas County,Alabama,01,047,3981.0
DeKalb County,Alabama,01,049,6063.0
Elmore County,Alabama,01,051,8675.0
Escambia County,Alabama,01,053,3729.0
Etowah County,Alabama,01,055,13555.0
Fayette County,Alabama,01,057,1343.0
Franklin County,Alabama,01,059,3263.0
Geneva County,Alabama,01,061,2413.0
Greene County,Alabama,01,063,918.0
Hale County,Alabama,01,065,1343.0
Henry County,Alabama,01,067,1758.0
Houston County,Alabama,01,069,10618.0
Jackson County,Alabama,01,071,4673.0
Jefferson County,Alabama,01,073,79552.0
Lamar County,Alabama,01,075,1376.0
Lauderdale County,Alabama,01,077,9710.0
Lawrence County,Alabama,01,079,3496.0
Lee County,Alabama,01,081,12782.0
Limestone County,Alabama,01,083,8636.0
Lowndes County,Alabama,01,085,998.0
Macon County,Alabama,01,087,2634.0
Madison County,Alabama,01,089,38462.0
Marengo County,Alabama,01,091,2108.0
Marion County,Alabama,01,093,3053.0
Marshall County,Alabama,01,095,9284.0
Mobile County,Alabama,01,097,46186.0
Monroe County,Alabama,01,099,1973.0
Montgomery County,Alabama,01,101,23789.0
Morgan County,Alabama,01,103,12645.0
Perry County,Alabama,01,105,804.0
Pickens County,Alabama,01,107,1822.0
Pike County,Alabama,01,109,2379.0
Randolph County,Alabama,01,111,1886.0
Russell County,Alabama,01,113,6422.0
Saint Clair County,Alabama,01,115,9496.0
Shelby County,Alabama,01,117,22504.0
Sumter County,Alabama,01,119,1101.0
Talladega County,Alabama,01,121,8433.0
Tallapoosa County,Alabama,01,123,3781.0
Tuscaloosa County,Alabama,01,125,20407.0
Walker County,Alabama,01,127,7280.0
Washington County,Alabama,01,129,1240.0
Wilcox County,Alabama,01,131,969.0
Winston County,Alabama,01,133,2419.0
