County,State,State_FIPS,County_FIPS,population_aged_25_plus
Autauga County,Alabama,01,001,35144
Baldwin County,Alabama,01,003,127271
Barbour County,Alabama,01,005,18982
Bibb County,Alabama,01,007,15518
Blount County,Alabama,01,009,38703
Bullock County,Alabama,01,011,7575
Butler County,Alabama,01,013,14081
Calhoun County,Alabama,01,015,78303
Chambers County,Alabama,01,017,23621
Cherokee County,Alabama,01,019,18503
Chilton County,Alabama,01,021,28945
Choctaw County,Alabama,01,023,9617
Clarke County,Alabama,01,025,17214
Clay County,Alabama,01,027,9673
Cleburne County,Alabama,01,029,10173
Coffee County,Alabama,01,031,33409
Colbert County,Alabama,01,033,37936
Conecuh County,Alabama,01,035,8930
Coosa County,Alabama,01,037,8153
Covington County,Alabama,01,039,26210
Crenshaw County,Alabama,01,041,9477
Cullman County,Alabama,01,043,54919
Dale County,Alabama,01,045,33020
Dallas County,Alabama,01,047,27909
DeKalb County,Alabama,01,049,46841
Elmore County,Alabama,01,051,53090
Escambia County,Alabama,01,053,26230
Etowah County,Alabama,01,055,71383
Fayette County,Alabama,01,057,12046
Franklin County,Alabama,01,059,21054
Geneva County,Alabama,01,061,18737
Greene County,Alabama,01,063,5966
Hale County,Alabama,01,065,10463
Henry County,Alabama,01,067,12081
Houston County,Alabama,01,069,68215
Jackson County,Alabama,01,071,37186
Jefferson County,Alabama,01,073,439531
Lamar County,Alabama,01,075,10226
Lauderdale County,Alabama,01,077,62668
Lawrence County,Alabama,01,079,23274
Lee County,Alabama,01,081,80386
Limestone County,Alabama,01,083,56813
Lowndes County,Alabama,01,085,7429
Macon County,Alabama,01,087,12915
Madison County,Alabama,01,089,221377
Marengo County,Alabama,01,091,14061
Marion County,Alabama,01,093,21690
Marshall County,Alabama,01,095,61577
Mobile County,Alabama,01,097,267708
Monroe County,Alabama,01,099,15359
Montgomery County,Alabama,01,101,146368
Morgan County,Alabama,01,103,80903
Perry County,Alabama,01,105,6745
Pickens County,Alabama,01,107,13390
Pike County,Alabama,01,109,19055
Randolph County,Alabama,01,111,15474
Russell County,Alabama,01,113,34948
Saint Clair County,Alabama,01,115,57090
Shelby County,Alabama,01,117,130376
Sumter County,Alabama,01,119,8408
Talladega County,Alabama,01,121,55822
Tallapoosa County,Alabama,01,123,29016
Tuscaloosa County,Alabama,01,125,114468
Walker County,Alabama,01,127,46419
Washington County,Alabama,01,129,11561
Wilcox County,Alabama,01,131,7593
Winston County,Alabama,01,133,17196
Anchorage Municipality,Alaska,02,020,183298
Bethel Census Area,Alaska,02,050,8911
Bristol Bay Borough,Alaska,02,060,621
Fairbanks North Star Borough,Alaska,02,090,59076
Haines Borough,Alaska,02,100,1833
Juneau City and Borough,Alaska,02,110,21358
Kenai Peninsula Borough,Alaska,02,122,37786
Kodiak Island Borough,Alaska,02,150,8191
Matanuska-Susitna Borough,Alaska,02,170,56077
Nome Census Area,Alaska,02,180,5185
North Slope Borough,Alaska,02,185,5911
Sitka City and Borough,Alaska,02,220,6040
Southeast Fairbanks Census Area,Alaska,02,240,4479
Valdez-Cordova Census Area,Alaska,02,261,6461
Wade Hampton Census Area,Alaska,02,270,3348
Northwest Arctic Borough,Alaska,02,188,3897
Aleutians East Borough,Alaska,02,013,2429
Aleutians West Census Area,Alaska,02,016,4032
Dillingham Census Area,Alaska,02,070,2683
Lake and Peninsula Borough,Alaska,02,164,845
Denali Borough,Alaska,02,068,1382
Yukon-Koyukuk Census Area,Alaska,02,290,3549
Hoonah-Angoon Census Area,Alaska,02,105,1631
Skagway Municipality,Alaska,02,230,783
Yakutat City and Borough,Alaska,02,282,430
Ketchikan Gateway Borough,Alaska,02,130,9088
Petersburg Borough,Alaska,02,195,2704
Prince of Wales-Hyder Census Area,Alaska,02,198,3748
Wrangell City and Borough,Alaska,02,275,1767
Apache County,Arizona,04,001,41544
Cochise County,Arizona,04,003,88805
Coconino County,Arizona,04,005,78132
Gila County,Arizona,04,007,38365
Graham County,Arizona,04,009,22181
Greenlee County,Arizona,04,011,5347
Maricopa County,Arizona,04,013,2451398
Mohave County,Arizona,04,015,145864
Navajo County,Arizona,04,017,65234
Pima County,Arizona,04,019,649597
Pinal County,Arizona,04,021,243196
Santa Cruz County,Arizona,04,023,28522
Yavapai County,Arizona,04,025,156277
La Paz County,Arizona,04,012,15871
Yuma County,Arizona,04,027,119622
Arkansas County,Arkansas,05,001,13162
Ashley County,Arkansas,05,003,14739
Baxter County,Arkansas,05,005,31437
Benton County,Arkansas,05,007,141788
Boone County,Arkansas,05,009,25620
Bradley County,Arkansas,05,011,7763
Calhoun County,Arkansas,05,013,3811
Carroll County,Arkansas,05,015,19203
Chicot County,Arkansas,05,017,8067
Clark County,Arkansas,05,019,13429
Clay County,Arkansas,05,021,11248
Cleburne County,Arkansas,05,023,18981
Cleveland County,Arkansas,05,025,5859
Columbia County,Arkansas,05,027,15364
Conway County,Arkansas,05,029,14297
Craighead County,Arkansas,05,031,60440
Crawford County,Arkansas,05,033,40254
Crittenden County,Arkansas,05,035,31267
Cross County,Arkansas,05,037,12026
Dallas County,Arkansas,05,039,5511
Desha County,Arkansas,05,041,8620
Drew County,Arkansas,05,043,11794
Faulkner County,Arkansas,05,045,68149
Franklin County,Arkansas,05,047,12188
Fulton County,Arkansas,05,049,8913
Garland County,Arkansas,05,051,68495
Grant County,Arkansas,05,053,12094
Greene County,Arkansas,05,055,27845
Hempstead County,Arkansas,05,057,14618
Hot Spring County,Arkansas,05,059,22576
Howard County,Arkansas,05,061,9017
Independence County,Arkansas,05,063,24613
Izard County,Arkansas,05,065,10164
Jackson County,Arkansas,05,067,12603
Jefferson County,Arkansas,05,069,50184
Johnson County,Arkansas,05,071,16487
Lafayette County,Arkansas,05,073,5158
Lawrence County,Arkansas,05,075,11729
Lee County,Arkansas,05,077,7099
