County,State,State_FIPS,County_FIPS,some_college_less_1_year
Autauga County,Alabama,01,001,2572.0
Baldwin County,Alabama,01,003,9207.0
Barbour County,Alabama,01,005,1244.0
Bibb County,Alabama,01,007,773.0
Blount County,Alabama,01,009,3162.0
Bullock County,Alabama,01,011,198.0
Butler County,Alabama,01,013,541.0
Calhoun County,Alabama,01,015,5880.0
Chambers County,Alabama,01,017,1374.0
Cherokee County,Alabama,01,019,1203.0
Chilton County,Alabama,01,021,1577.0
Choctaw County,Alabama,01,023,641.0
Clarke County,Alabama,01,025,865.0
Clay County,Alabama,01,027,489.0
Cleburne County,Alabama,01,029,816.0
Coffee County,Alabama,01,031,2359.0
Colbert County,Alabama,01,033,2526.0
Conecuh County,Alabama,01,035,485.0
Coosa County,Alabama,01,037,394.0
Covington County,Alabama,01,039,1817.0
Crenshaw County,Alabama,01,041,535.0
Cullman County,Alabama,01,043,4078.0
Dale County,Alabama,01,045,2629.0
Dallas County,Alabama,01,047,1341.0
DeKalb County,Alabama,01,049,2955.0
Elmore County,Alabama,01,051,3399.0
Escambia County,Alabama,01,053,1226.0
Etowah County,Alabama,01,055,4862.0
Fayette County,Alabama,01,057,937.0
Franklin County,Alabama,01,059,1106.0
Geneva County,Alabama,01,061,1438.0
Greene County,Alabama,01,063,354.0
Hale County,Alabama,01,065,486.0
Henry County,Alabama,01,067,828.0
Houston County,Alabama,01,069,4671.0
Jackson County,Alabama,01,071,1984.0
Jefferson County,Alabama,01,073,23469.0
Lamar County,Alabama,01,075,675.0
Lauderdale County,Alabama,01,077,3718.0
Lawrence County,Alabama,01,079,1217.0
Lee County,Alabama,01,081,5878.0
Limestone County,Alabama,01,083,3868.0
Lowndes County,Alabama,01,085,226.0
Macon County,Alabama,01,087,522.0
Madison County,Alabama,01,089,13112.0
Marengo County,Alabama,01,091,800.0
Marion County,Alabama,01,093,1567.0
Marshall County,Alabama,01,095,4545.0
Mobile County,Alabama,01,097,16100.0
Monroe County,Alabama,01,099,683.0
Montgomery County,Alabama,01,101,8177.0
Morgan County,Alabama,01,103,5883.0
Perry County,Alabama,01,105,155.0
Pickens County,Alabama,01,107,1011.0
Pike County,Alabama,01,109,938.0
Randolph County,Alabama,01,111,999.0
Russell County,Alabama,01,113,2812.0
Saint Clair County,Alabama,01,115,3968.0
Shelby County,Alabama,01,117,8994.0
Sumter County,Alabama,01,119,279.0
Talladega County,Alabama,01,121,4162.0
Tallapoosa County,Alabama,01,123,1780.0
Tuscaloosa County,Alabama,01,125,6252.0
Walker County,Alabama,01,127,3449.0
Washington County,Alabama,01,129,556.0
Wilcox County,Alabama,01,131,374.0
Winston County,Alabama,01,133,1332.0
Anchorage Municipality,Alaska,02,020,13654.0
Bethel Census Area,Alaska,02,050,597.0
Bristol Bay Borough,Alaska,02,060,32.0
Fairbanks North Star Borough,Alaska,02,090,5229.0
Haines Borough,Alaska,02,100,78.0
Juneau City and Borough,Alaska,02,110,1619.0
Kenai Peninsula Borough,Alaska,02,122,2898.0
Kodiak Island Borough,Alaska,02,150,693.0
Matanuska-Susitna Borough,Alaska,02,170,5453.0
Nome Census Area,Alaska,02,180,449.0
North Slope Borough,Alaska,02,185,293.0
Sitka City and Borough,Alaska,02,220,515.0
Southeast Fairbanks Census Area,Alaska,02,240,347.0
Valdez-Cordova Census Area,Alaska,02,261,496.0
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,220.0
Aleutians East Borough,Alaska,02,013,73.0
