County,State,State_FIPS,County_FIPS,population_aged_25_plus
Autauga County,Alabama,01,001,36757.0
Baldwin County,Alabama,01,003,143022.0
Barbour County,Alabama,01,005,18434.0
Bibb County,Alabama,01,007,15859.0
Blount County,Alabama,01,009,39475.0
Bullock County,Alabama,01,011,7377.0
Butler County,Alabama,01,013,13958.0
Calhoun County,Alabama,01,015,78975.0
Chambers County,Alabama,01,017,23698.0
Cherokee County,Alabama,01,019,18797.0
Chilton County,Alabama,01,021,29697.0
Choctaw County,Alabama,01,023,9449.0
Clarke County,Alabama,01,025,16921.0
Clay County,Alabama,01,027,9455.0
Cleburne County,Alabama,01,029,10387.0
Coffee County,Alabama,01,031,34736.0
Colbert County,Alabama,01,033,38423.0
Conecuh County,Alabama,01,035,8772.0
Coosa County,Alabama,01,037,8117.0
Covington County,Alabama,01,039,26416.0
Crenshaw County,Alabama,01,041,9588.0
Cullman County,Alabama,01,043,56720.0
Dale County,Alabama,01,045,33288.0
Dallas County,Alabama,01,047,26849.0
DeKalb County,Alabama,01,049,47694.0
Elmore County,Alabama,01,051,55278.0
Escambia County,Alabama,01,053,25896.0
Etowah County,Alabama,01,055,71745.0
Fayette County,Alabama,01,057,11715.0
Franklin County,Alabama,01,059,20734.0
Geneva County,Alabama,01,061,18666.0
Greene County,Alabama,01,063,5830.0
Hale County,Alabama,01,065,10161.0
Henry County,Alabama,01,067,12123.0
Houston County,Alabama,01,069,71238.0
Jackson County,Alabama,01,071,37016.0
Jefferson County,Alabama,01,073,447048.0
Lamar County,Alabama,01,075,9938.0
Lauderdale County,Alabama,01,077,63168.0
Lawrence County,Alabama,01,079,23370.0
Lee County,Alabama,01,081,92452.0
Limestone County,Alabama,01,083,63026.0
Lowndes County,Alabama,01,085,7065.0
Macon County,Alabama,01,087,12280.0
Madison County,Alabama,01,089,239756.0
Marengo County,Alabama,01,091,13557.0
Marion County,Alabama,01,093,21406.0
Marshall County,Alabama,01,095,63248.0
Mobile County,Alabama,01,097,275878.0
Monroe County,Alabama,01,099,14794.0
Montgomery County,Alabama,01,101,149318.0
Morgan County,Alabama,01,103,82094.0
Perry County,Alabama,01,105,5858.0
Pickens County,Alabama,01,107,14241.0
Pike County,Alabama,01,109,19657.0
Randolph County,Alabama,01,111,15594.0
Russell County,Alabama,01,113,38710.0
Saint Clair County,Alabama,01,115,60248.0
Shelby County,Alabama,01,117,141263.0
Sumter County,Alabama,01,119,8244.0
Talladega County,Alabama,01,121,56103.0
Tallapoosa County,Alabama,01,123,28609.0
Tuscaloosa County,Alabama,01,125,125145.0
Walker County,Alabama,01,127,45197.0
Washington County,Alabama,01,129,11607.0
Wilcox County,Alabama,01,131,7242.0
Winston County,Alabama,01,133,17255.0
Anchorage Municipality,Alaska,02,020,192310.0
Bethel Census Area,Alaska,02,050,9578.0
Bristol Bay Borough,Alaska,02,060,650.0
Fairbanks North Star Borough,Alaska,02,090,61853.0
Haines Borough,Alaska,02,100,1867.0
Juneau City and Borough,Alaska,02,110,22346.0
Kenai Peninsula Borough,Alaska,02,122,39960.0
Kodiak Island Borough,Alaska,02,150,8968.0
Matanuska-Susitna Borough,Alaska,02,170,64554.0
Nome Census Area,Alaska,02,180,5443.0
North Slope Borough,Alaska,02,185,6490.0
Sitka City and Borough,Alaska,02,220,6168.0
Southeast Fairbanks Census Area,Alaska,02,240,4473.0
Valdez-Cordova Census Area,Alaska,02,261,6392.0
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,4095.0
Aleutians East Borough,Alaska,02,013,2555.0
Aleutians West Census Area,Alaska,02,016,4147.0
Dillingham Census Area,Alaska,02,070,2876.0
Lake and Peninsula Borough,Alaska,02,164,789.0
Denali Borough,Alaska,02,068,1590.0
Yukon-Koyukuk Census Area,Alaska,02,290,3450.0
Hoonah-Angoon Census Area,Alaska,02,105,1651.0
Skagway Municipality,Alaska,02,230,829.0
Yakutat City and Borough,Alaska,02,282,480.0
Ketchikan Gateway Borough,Alaska,02,130,9514.0
Petersburg Borough,Alaska,02,195,2179.0
Prince of Wales-Hyder Census Area,Alaska,02,198,4455.0
Wrangell City and Borough,Alaska,02,275,1857.0
Apache County,Arizona,04,001,43766.0
Cochise County,Arizona,04,003,87509.0
Coconino County,Arizona,04,005,80822.0
Gila County,Arizona,04,007,38632.0
Graham County,Arizona,04,009,23350.0
Greenlee County,Arizona,04,011,5834.0
Maricopa County,Arizona,04,013,2730613.0
Mohave County,Arizona,04,015,153930.0
Navajo County,Arizona,04,017,68236.0
Pima County,Arizona,04,019,666989.0
Pinal County,Arizona,04,021,276364.0
Santa Cruz County,Arizona,04,023,28877.0
Yavapai County,Arizona,04,025,168134.0
La Paz County,Arizona,04,012,15536.0
Yuma County,Arizona,04,027,127583.0
Arkansas County,Arkansas,05,001,12722.0
Ashley County,Arkansas,05,003,14166.0
Baxter County,Arkansas,05,005,31590.0
Benton County,Arkansas,05,007,163405.0
Boone County,Arkansas,05,009,25897.0
Bradley County,Arkansas,05,011,7530.0
Calhoun County,Arkansas,05,013,3719.0
Carroll County,Arkansas,05,015,19549.0
Chicot County,Arkansas,05,017,7711.0
Clark County,Arkansas,05,019,13186.0
Clay County,Arkansas,05,021,10667.0
Cleburne County,Arkansas,05,023,18802.0
Cleveland County,Arkansas,05,025,5735.0
Columbia County,Arkansas,05,027,14863.0
Conway County,Arkansas,05,029,14496.0
Craighead County,Arkansas,05,031,66594.0
Crawford County,Arkansas,05,033,41681.0
Crittenden County,Arkansas,05,035,31104.0
Cross County,Arkansas,05,037,11552.0
Dallas County,Arkansas,05,039,5331.0
Desha County,Arkansas,05,041,7981.0
Drew County,Arkansas,05,043,11647.0
Faulkner County,Arkansas,05,045,73744.0
Franklin County,Arkansas,05,047,12127.0
Fulton County,Arkansas,05,049,8828.0
Garland County,Arkansas,05,051,70624.0
Grant County,Arkansas,05,053,12460.0
Greene County,Arkansas,05,055,29424.0
Hempstead County,Arkansas,05,057,14441.0
Hot Spring County,Arkansas,05,059,23757.0
Howard County,Arkansas,05,061,8938.0
Independence County,Arkansas,05,063,25097.0
Izard County,Arkansas,05,065,10150.0
Jackson County,Arkansas,05,067,12454.0
Jefferson County,Arkansas,05,069,47738.0
Johnson County,Arkansas,05,071,17133.0
Lafayette County,Arkansas,05,073,5088.0
Lawrence County,Arkansas,05,075,11386.0
Lee County,Arkansas,05,077,6893.0
Lincoln County,Arkansas,05,079,10268.0
Little River County,Arkansas,05,081,8956.0
Logan County,Arkansas,05,083,15234.0
Lonoke County,Arkansas,05,085,46871.0
Madison County,Arkansas,05,087,10914.0
Marion County,Arkansas,05,089,12502.0
Miller County,Arkansas,05,091,29694.0
Mississippi County,Arkansas,05,093,27903.0
Monroe County,Arkansas,05,095,5193.0
Montgomery County,Arkansas,05,097,6762.0
Nevada County,Arkansas,05,099,5855.0
Newton County,Arkansas,05,101,5795.0
Ouachita County,Arkansas,05,103,16834.0
Perry County,Arkansas,05,105,7202.0
Phillips County,Arkansas,05,107,12482.0
Pike County,Arkansas,05,109,7609.0
Poinsett County,Arkansas,05,111,16332.0
Polk County,Arkansas,05,113,14096.0
Pope County,Arkansas,05,115,39964.0
Prairie County,Arkansas,05,117,6009.0
Pulaski County,Arkansas,05,119,264775.0
Randolph County,Arkansas,05,121,12164.0
Saint Francis County,Arkansas,05,123,18484.0
Saline County,Arkansas,05,125,80044.0
Scott County,Arkansas,05,127,7143.0
Searcy County,Arkansas,05,129,5841.0
Sebastian County,Arkansas,05,131,84291.0
Sevier County,Arkansas,05,133,10640.0
Sharp County,Arkansas,05,135,12317.0
Stone County,Arkansas,05,137,9127.0
Union County,Arkansas,05,139,27264.0
Van Buren County,Arkansas,05,141,12321.0
Washington County,Arkansas,05,143,134615.0
White County,Arkansas,05,145,50686.0
Woodruff County,Arkansas,05,147,4827.0
Yell County,Arkansas,05,149,14546.0
Alameda County,California,06,001,1139149.0
Alpine County,California,06,003,811.0
Amador County,California,06,005,28953.0
Butte County,California,06,007,145918.0
Calaveras County,California,06,009,34250.0
Colusa County,California,06,011,13509.0
Contra Costa County,California,06,013,767132.0
Del Norte County,California,06,015,19424.0
El Dorado County,California,06,017,132744.0
Fresno County,California,06,019,588491.0
Glenn County,California,06,021,17927.0
Humboldt County,California,06,023,91359.0
Imperial County,California,06,025,108522.0
Inyo County,California,06,027,13230.0
Kern County,California,06,029,526286.0
Kings County,California,06,031,91889.0
Lake County,California,06,033,46386.0
Lassen County,California,06,035,22422.0
Los Angeles County,California,06,037,6801851.0
Madera County,California,06,039,96096.0
Marin County,California,06,041,191055.0
Mariposa County,California,06,043,13656.0
Mendocino County,California,06,045,61673.0
Merced County,California,06,047,156562.0
Modoc County,California,06,049,6852.0
Mono County,California,06,051,9692.0
Monterey County,California,06,053,273560.0
Napa County,California,06,055,97924.0
Nevada County,California,06,057,75012.0
Orange County,California,06,059,2132158.0
Placer County,California,06,061,260802.0
Plumas County,California,06,063,14480.0
Riverside County,California,06,065,1500538.0
Sacramento County,California,06,067,996195.0
San Benito County,California,06,069,37357.0
San Bernardino County,California,06,071,1313298.0
San Diego County,California,06,073,2197045.0
San Francisco County,California,06,075,683074.0
San Joaquin County,California,06,077,450857.0
San Luis Obispo County,California,06,079,185803.0
San Mateo County,California,06,081,544336.0
Santa Barbara County,California,06,083,272818.0
Santa Clara County,California,06,085,1310623.0
Santa Cruz County,California,06,087,177627.0
Shasta County,California,06,089,125093.0
Sierra County,California,06,091,2313.0
Siskiyou County,California,06,093,31749.0
Solano County,California,06,095,295232.0
Sonoma County,California,06,097,355303.0
Stanislaus County,California,06,099,336086.0
Sutter County,California,06,101,61768.0
Tehama County,California,06,103,43113.0
Trinity County,California,06,105,10098.0
Tulare County,California,06,107,266582.0
Tuolumne County,California,06,109,40935.0
Ventura County,California,06,111,562386.0
Yolo County,California,06,113,124232.0
Yuba County,California,06,115,46582.0
Alamosa County,Colorado,08,003,9411.0
Archuleta County,Colorado,08,007,9489.0
Baca County,Colorado,08,009,2608.0
Bent County,Colorado,08,011,4572.0
Chaffee County,Colorado,08,015,14907.0
Cheyenne County,Colorado,08,017,1325.0
Clear Creek County,Colorado,08,019,7106.0
Conejos County,Colorado,08,021,5278.0
Costilla County,Colorado,08,023,2650.0
Crowley County,Colorado,08,025,3926.0
Custer County,Colorado,08,027,3546.0
Delta County,Colorado,08,029,21983.0
Dolores County,Colorado,08,033,1312.0
Douglas County,Colorado,08,035,209032.0
Eagle County,Colorado,08,037,37519.0
Elbert County,Colorado,08,039,17308.0
El Paso County,Colorado,08,041,432176.0
Fremont County,Colorado,08,043,36356.0
Garfield County,Colorado,08,045,38287.0
Gilpin County,Colorado,08,047,4492.0
Grand County,Colorado,08,049,11139.0
Gunnison County,Colorado,08,051,10354.0
Huerfano County,Colorado,08,055,5142.0
Jackson County,Colorado,08,057,993.0
Kiowa County,Colorado,08,061,911.0
Kit Carson County,Colorado,08,063,5572.0
Lake County,Colorado,08,065,5420.0
La Plata County,Colorado,08,067,38496.0
Larimer County,Colorado,08,069,215266.0
Las Animas County,Colorado,08,071,10322.0
Lincoln County,Colorado,08,073,4057.0
Logan County,Colorado,08,075,14592.0
Mesa County,Colorado,08,077,101365.0
Moffat County,Colorado,08,081,8853.0
Montezuma County,Colorado,08,083,18102.0
Montrose County,Colorado,08,085,28958.0
Morgan County,Colorado,08,087,18183.0
Otero County,Colorado,08,089,12283.0
Ouray County,Colorado,08,091,3748.0
Park County,Colorado,08,093,13259.0
Phillips County,Colorado,08,095,2910.0
Pitkin County,Colorado,08,097,13579.0
Prowers County,Colorado,08,099,7831.0
Pueblo County,Colorado,08,101,110442.0
Rio Blanco County,Colorado,08,103,4260.0
Rio Grande County,Colorado,08,105,7804.0
Routt County,Colorado,08,107,17841.0
Saguache County,Colorado,08,109,4551.0
San Miguel County,Colorado,08,113,5843.0
Sedgwick County,Colorado,08,115,1656.0
Summit County,Colorado,08,117,22379.0
Teller County,Colorado,08,119,17929.0
Washington County,Colorado,08,121,3377.0
Yuma County,Colorado,08,125,6649.0
Adams County,Colorado,08,001,310590.0
Arapahoe County,Colorado,08,005,421551.0
Boulder County,Colorado,08,013,205757.0
Broomfield County,Colorado,08,014,44055.0
Denver County,Colorado,08,031,483128.0
Jefferson County,Colorado,08,059,402392.0
Weld County,Colorado,08,123,181832.0
Fairfield County,Connecticut,09,001,642401.0
Hartford County,Connecticut,09,003,622863.0
Litchfield County,Connecticut,09,005,135410.0
Middlesex County,Connecticut,09,007,118781.0
New Haven County,Connecticut,09,009,595779.0
New London County,Connecticut,09,011,188628.0
Tolland County,Connecticut,09,013,95679.0
Windham County,Connecticut,09,015,80756.0
Kent County,Delaware,10,001,114160.0
New Castle County,Delaware,10,003,377959.0
Sussex County,Delaware,10,005,159421.0
Alachua County,Florida,12,001,156332.0
Baker County,Florida,12,003,18290.0
Bay County,Florida,12,005,125643.0
Bradford County,Florida,12,007,19351.0
Brevard County,Florida,12,009,418908.0
Broward County,Florida,12,011,1327173.0
Calhoun County,Florida,12,013,10281.0
Charlotte County,Florida,12,015,141419.0
Citrus County,Florida,12,017,112033.0
Clay County,Florida,12,019,137354.0
Collier County,Florida,12,021,268314.0
Columbia County,Florida,12,023,47213.0
Miami-Dade County,Florida,12,086,1906299.0
DeSoto County,Florida,12,027,25193.0
Dixie County,Florida,12,029,12309.0
Duval County,Florida,12,031,617788.0
Escambia County,Florida,12,033,206004.0
Flagler County,Florida,12,035,79267.0
Franklin County,Florida,12,037,8891.0
Gadsden County,Florida,12,039,31955.0
Gilchrist County,Florida,12,041,11602.0
Glades County,Florida,12,043,9894.0
Gulf County,Florida,12,045,12127.0
Hamilton County,Florida,12,047,9895.0
Hardee County,Florida,12,049,17288.0
Hendry County,Florida,12,051,24397.0
Hernando County,Florida,12,053,133405.0
Highlands County,Florida,12,055,76171.0
Hillsborough County,Florida,12,057,912588.0
Holmes County,Florida,12,059,13927.0
Indian River County,Florida,12,061,112585.0
Jackson County,Florida,12,063,35379.0
Jefferson County,Florida,12,065,10932.0
Lafayette County,Florida,12,067,6159.0
Lake County,Florida,12,069,239378.0
Lee County,Florida,12,071,521569.0
Leon County,Florida,12,073,167484.0
Levy County,Florida,12,075,28851.0
Liberty County,Florida,12,077,5655.0
Madison County,Florida,12,079,13354.0
Manatee County,Florida,12,081,268791.0
Marion County,Florida,12,083,255204.0
Martin County,Florida,12,085,119437.0
Monroe County,Florida,12,087,59730.0
Nassau County,Florida,12,089,56914.0
Okaloosa County,Florida,12,091,134736.0
Okeechobee County,Florida,12,093,27884.0
Orange County,Florida,12,095,853821.0
Osceola County,Florida,12,097,212567.0
