County,State,State_FIPS,County_FIPS,population_aged_25_plus
Autauga County,Alabama,01,001,36466.0
Baldwin County,Alabama,01,003,139946.0
Barbour County,Alabama,01,005,18387.0
Bibb County,Alabama,01,007,15750.0
Blount County,Alabama,01,009,39472.0
Bullock County,Alabama,01,011,7333.0
Butler County,Alabama,01,013,13949.0
Calhoun County,Alabama,01,015,78661.0
Chambers County,Alabama,01,017,23854.0
Cherokee County,Alabama,01,019,18694.0
Chilton County,Alabama,01,021,29735.0
Choctaw County,Alabama,01,023,9448.0
Clarke County,Alabama,01,025,17022.0
Clay County,Alabama,01,027,9446.0
Cleburne County,Alabama,01,029,10366.0
Coffee County,Alabama,01,031,34614.0
Colbert County,Alabama,01,033,38271.0
Conecuh County,Alabama,01,035,8808.0
Coosa County,Alabama,01,037,7907.0
Covington County,Alabama,01,039,26492.0
Crenshaw County,Alabama,01,041,9551.0
Cullman County,Alabama,01,043,56323.0
Dale County,Alabama,01,045,33363.0
Dallas County,Alabama,01,047,27038.0
DeKalb County,Alabama,01,049,47440.0
Elmore County,Alabama,01,051,54950.0
Escambia County,Alabama,01,053,25762.0
Etowah County,Alabama,01,055,71696.0
Fayette County,Alabama,01,057,11806.0
Franklin County,Alabama,01,059,20928.0
Geneva County,Alabama,01,061,18805.0
Greene County,Alabama,01,063,5965.0
Hale County,Alabama,01,065,10229.0
Henry County,Alabama,01,067,12221.0
Houston County,Alabama,01,069,70773.0
Jackson County,Alabama,01,071,37119.0
Jefferson County,Alabama,01,073,446097.0
Lamar County,Alabama,01,075,9998.0
Lauderdale County,Alabama,01,077,63148.0
Lawrence County,Alabama,01,079,23427.0
Lee County,Alabama,01,081,90099.0
Limestone County,Alabama,01,083,62036.0
Lowndes County,Alabama,01,085,7165.0
Macon County,Alabama,01,087,12414.0
Madison County,Alabama,01,089,236871.0
Marengo County,Alabama,01,091,13679.0
Marion County,Alabama,01,093,21538.0
Marshall County,Alabama,01,095,63366.0
Mobile County,Alabama,01,097,274893.0
Monroe County,Alabama,01,099,14893.0
Montgomery County,Alabama,01,101,150072.0
Morgan County,Alabama,01,103,82033.0
Perry County,Alabama,01,105,5941.0
Pickens County,Alabama,01,107,14084.0
Pike County,Alabama,01,109,19618.0
Randolph County,Alabama,01,111,15599.0
Russell County,Alabama,01,113,38568.0
Saint Clair County,Alabama,01,115,60054.0
Shelby County,Alabama,01,117,139017.0
Sumter County,Alabama,01,119,8278.0
Talladega County,Alabama,01,121,55993.0
Tallapoosa County,Alabama,01,123,28910.0
Tuscaloosa County,Alabama,01,125,123155.0
Walker County,Alabama,01,127,45633.0
Washington County,Alabama,01,129,11524.0
Wilcox County,Alabama,01,131,7441.0
Winston County,Alabama,01,133,17274.0
