County,State,State_FIPS,County_FIPS,high_school_grads
Autauga County,Alabama,01,001,9814
Baldwin County,Alabama,01,003,31399
Barbour County,Alabama,01,005,4993
Bibb County,Alabama,01,007,5423
Blount County,Alabama,01,009,10657
Bullock County,Alabama,01,011,2223
Butler County,Alabama,01,013,4582
Calhoun County,Alabama,01,015,20825
Chambers County,Alabama,01,017,6701
Cherokee County,Alabama,01,019,5523
Chilton County,Alabama,01,021,10209
Choctaw County,Alabama,01,023,3158
Clarke County,Alabama,01,025,6356
Clay County,Alabama,01,027,3045
Cleburne County,Alabama,01,029,3264
Coffee County,Alabama,01,031,8266
Colbert County,Alabama,01,033,10072
Conecuh County,Alabama,01,035,3435
Coosa County,Alabama,01,037,3059
Covington County,Alabama,01,039,7201
Crenshaw County,Alabama,01,041,3026
Cullman County,Alabama,01,043,14412
Dale County,Alabama,01,045,7919
Dallas County,Alabama,01,047,8828
DeKalb County,Alabama,01,049,13656
Elmore County,Alabama,01,051,13972
Escambia County,Alabama,01,053,7550
Etowah County,Alabama,01,055,18664
Fayette County,Alabama,01,057,3659
Franklin County,Alabama,01,059,5708
Geneva County,Alabama,01,061,5432
Greene County,Alabama,01,063,2185
Hale County,Alabama,01,065,3618
Henry County,Alabama,01,067,3414
Houston County,Alabama,01,069,19378
Jackson County,Alabama,01,071,10760
Jefferson County,Alabama,01,073,100676
Lamar County,Alabama,01,075,3143
Lauderdale County,Alabama,01,077,17770
Lawrence County,Alabama,01,079,7150
Lee County,Alabama,01,081,17830
Limestone County,Alabama,01,083,13828
Lowndes County,Alabama,01,085,2449
Macon County,Alabama,01,087,3429
Madison County,Alabama,01,089,38911
Marengo County,Alabama,01,091,5015
Marion County,Alabama,01,093,5850
Marshall County,Alabama,01,095,16026
Mobile County,Alabama,01,097,76295
Monroe County,Alabama,01,099,4928
Montgomery County,Alabama,01,101,30886
Morgan County,Alabama,01,103,20263
Perry County,Alabama,01,105,2257
Pickens County,Alabama,01,107,5004
Pike County,Alabama,01,109,5818
Randolph County,Alabama,01,111,4757
Russell County,Alabama,01,113,9400
Saint Clair County,Alabama,01,115,16155
Shelby County,Alabama,01,117,24045
Sumter County,Alabama,01,119,2767
Talladega County,Alabama,01,121,17028
Tallapoosa County,Alabama,01,123,8445
Tuscaloosa County,Alabama,01,125,30905
Walker County,Alabama,01,127,12669
Washington County,Alabama,01,129,5026
Wilcox County,Alabama,01,131,2963
Winston County,Alabama,01,133,4241
Anchorage Municipality,Alaska,02,020,35089
Bethel Census Area,Alaska,02,050,3163
Bristol Bay Borough,Alaska,02,060,140
Fairbanks North Star Borough,Alaska,02,090,12010
Haines Borough,Alaska,02,100,537
Juneau City and Borough,Alaska,02,110,3790
Kenai Peninsula Borough,Alaska,02,122,9763
Kodiak Island Borough,Alaska,02,150,1904
Matanuska-Susitna Borough,Alaska,02,170,14652
Nome Census Area,Alaska,02,180,1748
North Slope Borough,Alaska,02,185,1740
Sitka City and Borough,Alaska,02,220,1058
Southeast Fairbanks Census Area,Alaska,02,240,1182
Valdez-Cordova Census Area,Alaska,02,261,1338
Wade Hampton Census Area,Alaska,02,270,1348
Northwest Arctic Borough,Alaska,02,188,1334
Aleutians East Borough,Alaska,02,013,945
Aleutians West Census Area,Alaska,02,016,1288
Dillingham Census Area,Alaska,02,070,701
Lake and Peninsula Borough,Alaska,02,164,238
Denali Borough,Alaska,02,068,339
Yukon-Koyukuk Census Area,Alaska,02,290,1077
Hoonah-Angoon Census Area,Alaska,02,105,379
Skagway Municipality,Alaska,02,230,228
Yakutat City and Borough,Alaska,02,282,104
Ketchikan Gateway Borough,Alaska,02,130,2399
Petersburg Borough,Alaska,02,195,754
Prince of Wales-Hyder Census Area,Alaska,02,198,1393
Wrangell City and Borough,Alaska,02,275,626
Apache County,Arizona,04,001,12041
Cochise County,Arizona,04,003,16233
Coconino County,Arizona,04,005,14805
Gila County,Arizona,04,007,10298
Graham County,Arizona,04,009,5839
Greenlee County,Arizona,04,011,1680
Maricopa County,Arizona,04,013,492977
Mohave County,Arizona,04,015,41535
Navajo County,Arizona,04,017,15982
Pima County,Arizona,04,019,123069
Pinal County,Arizona,04,021,59194
Santa Cruz County,Arizona,04,023,6754
Yavapai County,Arizona,04,025,34664
La Paz County,Arizona,04,012,4349
Yuma County,Arizona,04,027,23790
Arkansas County,Arkansas,05,001,5127
Ashley County,Arkansas,05,003,5679
Baxter County,Arkansas,05,005,9551
Benton County,Arkansas,05,007,38156
Boone County,Arkansas,05,009,8218
