County,State,State_FIPS,County_FIPS,high_school_only_percentage
Autauga County,Alabama,01,001,34.3
Baldwin County,Alabama,01,003,28.7
Barbour County,Alabama,01,005,34.9
Bibb County,Alabama,01,007,41.8
Blount County,Alabama,01,009,32.9
Bullock County,Alabama,01,011,34.1
Butler County,Alabama,01,013,39.9
Calhoun County,Alabama,01,015,32.1
Chambers County,Alabama,01,017,39.4
Cherokee County,Alabama,01,019,36.0
Chilton County,Alabama,01,021,41.3
Choctaw County,Alabama,01,023,37.3
Clarke County,Alabama,01,025,45.1
Clay County,Alabama,01,027,34.6
Cleburne County,Alabama,01,029,38.0
Coffee County,Alabama,01,031,29.3
Colbert County,Alabama,01,033,34.8
Conecuh County,Alabama,01,035,46.2
Coosa County,Alabama,01,037,36.3
Covington County,Alabama,01,039,34.4
Crenshaw County,Alabama,01,041,38.5
Cullman County,Alabama,01,043,35.1
Dale County,Alabama,01,045,33.1
Dallas County,Alabama,01,047,36.5
DeKalb County,Alabama,01,049,34.3
Elmore County,Alabama,01,051,35.4
Escambia County,Alabama,01,053,43.4
Etowah County,Alabama,01,055,32.5
Fayette County,Alabama,01,057,39.0
Franklin County,Alabama,01,059,36.7
Geneva County,Alabama,01,061,36.0
Greene County,Alabama,01,063,41.0
Hale County,Alabama,01,065,42.8
Henry County,Alabama,01,067,36.1
Houston County,Alabama,01,069,32.1
Jackson County,Alabama,01,071,41.1
Jefferson County,Alabama,01,073,26.5
Lamar County,Alabama,01,075,35.4
Lauderdale County,Alabama,01,077,34.6
Lawrence County,Alabama,01,079,39.9
Lee County,Alabama,01,081,24.5
Limestone County,Alabama,01,083,32.0
Lowndes County,Alabama,01,085,37.7
Macon County,Alabama,01,087,31.2
Madison County,Alabama,01,089,20.9
Marengo County,Alabama,01,091,40.2
Marion County,Alabama,01,093,35.0
Marshall County,Alabama,01,095,31.9
Mobile County,Alabama,01,097,32.6
Monroe County,Alabama,01,099,45.1
Montgomery County,Alabama,01,101,25.4
Morgan County,Alabama,01,103,30.1
Perry County,Alabama,01,105,39.5
Pickens County,Alabama,01,107,39.9
Pike County,Alabama,01,109,32.7
Randolph County,Alabama,01,111,36.4
Russell County,Alabama,01,113,31.2
Saint Clair County,Alabama,01,115,36.1
Shelby County,Alabama,01,117,21.0
Sumter County,Alabama,01,119,41.6
Talladega County,Alabama,01,121,35.7
Tallapoosa County,Alabama,01,123,35.3
Tuscaloosa County,Alabama,01,125,30.3
Walker County,Alabama,01,127,36.6
Washington County,Alabama,01,129,45.8
Wilcox County,Alabama,01,131,44.9
Winston County,Alabama,01,133,34.3
Anchorage Municipality,Alaska,02,020,24.0
Bethel Census Area,Alaska,02,050,45.4
Bristol Bay Borough,Alaska,02,060,34.8
Fairbanks North Star Borough,Alaska,02,090,22.2
Haines Borough,Alaska,02,100,25.7
Juneau City and Borough,Alaska,02,110,21.2
Kenai Peninsula Borough,Alaska,02,122,32.2
Kodiak Island Borough,Alaska,02,150,27.3
Matanuska-Susitna Borough,Alaska,02,170,31.8
Nome Census Area,Alaska,02,180,43.1
North Slope Borough,Alaska,02,185,37.8
Sitka City and Borough,Alaska,02,220,25.7
Southeast Fairbanks Census Area,Alaska,02,240,33.4
Valdez-Cordova Census Area,Alaska,02,261,27.3
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,45.0
Aleutians East Borough,Alaska,02,013,42.0
Aleutians West Census Area,Alaska,02,016,40.3
Dillingham Census Area,Alaska,02,070,36.9
Lake and Peninsula Borough,Alaska,02,164,42.5
Denali Borough,Alaska,02,068,23.4
Yukon-Koyukuk Census Area,Alaska,02,290,39.9
Hoonah-Angoon Census Area,Alaska,02,105,33.9
Skagway Municipality,Alaska,02,230,24.9
Yakutat City and Borough,Alaska,02,282,40.8
Ketchikan Gateway Borough,Alaska,02,130,31.7
Petersburg Borough,Alaska,02,195,33.7
Prince of Wales-Hyder Census Area,Alaska,02,198,39.1
Wrangell City and Borough,Alaska,02,275,34.3
Apache County,Arizona,04,001,33.5
Cochise County,Arizona,04,003,23.2
Coconino County,Arizona,04,005,21.6
Gila County,Arizona,04,007,28.7
Graham County,Arizona,04,009,32.9
Greenlee County,Arizona,04,011,36.8
Maricopa County,Arizona,04,013,22.9
Mohave County,Arizona,04,015,36.0
Navajo County,Arizona,04,017,30.3
Pima County,Arizona,04,019,22.6
Pinal County,Arizona,04,021,29.2
Santa Cruz County,Arizona,04,023,26.2
Yavapai County,Arizona,04,025,25.8
La Paz County,Arizona,04,012,36.4
Yuma County,Arizona,04,027,25.6
Arkansas County,Arkansas,05,001,40.6
Ashley County,Arkansas,05,003,39.7
Baxter County,Arkansas,05,005,34.4
Benton County,Arkansas,05,007,30.5
Boone County,Arkansas,05,009,34.6
Bradley County,Arkansas,05,011,41.5
Calhoun County,Arkansas,05,013,49.6
Carroll County,Arkansas,05,015,34.9
Chicot County,Arkansas,05,017,42.0
Clark County,Arkansas,05,019,30.9
Clay County,Arkansas,05,021,42.4
Cleburne County,Arkansas,05,023,38.2
Cleveland County,Arkansas,05,025,43.9
Columbia County,Arkansas,05,027,39.2
Conway County,Arkansas,05,029,42.3
Craighead County,Arkansas,05,031,34.2
Crawford County,Arkansas,05,033,40.0
Crittenden County,Arkansas,05,035,35.6
Cross County,Arkansas,05,037,44.0
Dallas County,Arkansas,05,039,48.9
Desha County,Arkansas,05,041,39.7
Drew County,Arkansas,05,043,36.9
Faulkner County,Arkansas,05,045,30.7
Franklin County,Arkansas,05,047,40.8
Fulton County,Arkansas,05,049,40.7
Garland County,Arkansas,05,051,31.3
Grant County,Arkansas,05,053,41.6
Greene County,Arkansas,05,055,43.0
Hempstead County,Arkansas,05,057,38.0
Hot Spring County,Arkansas,05,059,41.6
Howard County,Arkansas,05,061,33.8
Independence County,Arkansas,05,063,37.5
Izard County,Arkansas,05,065,40.7
Jackson County,Arkansas,05,067,42.1
Jefferson County,Arkansas,05,069,38.4
Johnson County,Arkansas,05,071,43.1
Lafayette County,Arkansas,05,073,42.7
Lawrence County,Arkansas,05,075,41.2
Lee County,Arkansas,05,077,38.6
Lincoln County,Arkansas,05,079,50.2
Little River County,Arkansas,05,081,40.6
Logan County,Arkansas,05,083,43.9
Lonoke County,Arkansas,05,085,33.9
Madison County,Arkansas,05,087,47.1
Marion County,Arkansas,05,089,39.4
Miller County,Arkansas,05,091,39.2
Mississippi County,Arkansas,05,093,36.8
Monroe County,Arkansas,05,095,41.7
Montgomery County,Arkansas,05,097,35.4
Nevada County,Arkansas,05,099,45.0
Newton County,Arkansas,05,101,40.7
Ouachita County,Arkansas,05,103,42.6
Perry County,Arkansas,05,105,43.0
Phillips County,Arkansas,05,107,31.4
Pike County,Arkansas,05,109,35.6
Poinsett County,Arkansas,05,111,42.5
Polk County,Arkansas,05,113,36.9
Pope County,Arkansas,05,115,33.8
Prairie County,Arkansas,05,117,43.4
Pulaski County,Arkansas,05,119,27.1
Randolph County,Arkansas,05,121,38.3
Saint Francis County,Arkansas,05,123,38.7
Saline County,Arkansas,05,125,33.4
Scott County,Arkansas,05,127,38.5
Searcy County,Arkansas,05,129,42.1
Sebastian County,Arkansas,05,131,31.9
Sevier County,Arkansas,05,133,34.6
Sharp County,Arkansas,05,135,43.2
Stone County,Arkansas,05,137,35.1
Union County,Arkansas,05,139,36.0
Van Buren County,Arkansas,05,141,45.2
Washington County,Arkansas,05,143,27.5
White County,Arkansas,05,145,38.2
Woodruff County,Arkansas,05,147,45.4
Yell County,Arkansas,05,149,40.9
Alameda County,California,06,001,18.0
Alpine County,California,06,003,32.5
Amador County,California,06,005,26.8
Butte County,California,06,007,22.7
Calaveras County,California,06,009,27.2
Colusa County,California,06,011,21.8
Contra Costa County,California,06,013,18.2
Del Norte County,California,06,015,30.7
El Dorado County,California,06,017,21.8
Fresno County,California,06,019,22.7
Glenn County,California,06,021,27.9
Humboldt County,California,06,023,24.7
Imperial County,California,06,025,22.5
Inyo County,California,06,027,31.2
Kern County,California,06,029,27.2
Kings County,California,06,031,26.4
Lake County,California,06,033,27.8
Lassen County,California,06,035,30.9
Los Angeles County,California,06,037,20.7
Madera County,California,06,039,25.9
Marin County,California,06,041,11.3
Mariposa County,California,06,043,28.4
Mendocino County,California,06,045,26.2
Merced County,California,06,047,25.2
Modoc County,California,06,049,27.1
Mono County,California,06,051,18.0
Monterey County,California,06,053,20.4
Napa County,California,06,055,18.8
Nevada County,California,06,057,19.6
Orange County,California,06,059,17.4
Placer County,California,06,061,19.2
Plumas County,California,06,063,23.9
Riverside County,California,06,065,25.9
Sacramento County,California,06,067,22.4
San Benito County,California,06,069,24.6
San Bernardino County,California,06,071,26.2
San Diego County,California,06,073,18.8
San Francisco County,California,06,075,12.5
San Joaquin County,California,06,077,26.6
San Luis Obispo County,California,06,079,19.4
San Mateo County,California,06,081,15.9
Santa Barbara County,California,06,083,17.9
Santa Clara County,California,06,085,14.8
Santa Cruz County,California,06,087,15.5
Shasta County,California,06,089,25.5
Sierra County,California,06,091,26.5
Siskiyou County,California,06,093,25.4
Solano County,California,06,095,23.5
Sonoma County,California,06,097,19.4
Stanislaus County,California,06,099,28.1
Sutter County,California,06,101,24.4
Tehama County,California,06,103,31.1
Trinity County,California,06,105,32.4
Tulare County,California,06,107,25.4
Tuolumne County,California,06,109,28.6
Ventura County,California,06,111,18.8
Yolo County,California,06,113,19.2
Yuba County,California,06,115,24.3
Alamosa County,Colorado,08,003,24.4
Archuleta County,Colorado,08,007,25.6
Baca County,Colorado,08,009,29.6
Bent County,Colorado,08,011,45.5
Chaffee County,Colorado,08,015,26.2
Cheyenne County,Colorado,08,017,34.0
Clear Creek County,Colorado,08,019,20.3
Conejos County,Colorado,08,021,31.7
Costilla County,Colorado,08,023,26.4
Crowley County,Colorado,08,025,40.4
Custer County,Colorado,08,027,21.8
Delta County,Colorado,08,029,36.9
Dolores County,Colorado,08,033,38.7
Douglas County,Colorado,08,035,12.3
