County,State,State_FIPS,County_FIPS,some_college_less_1_year
Logan County,Arkansas,05,083,993.0
Lonoke County,Arkansas,05,085,3609.0
Madison County,Arkansas,05,087,463.0
Marion County,Arkansas,05,089,1034.0
Miller County,Arkansas,05,091,2796.0
Mississippi County,Arkansas,05,093,2451.0
Monroe County,Arkansas,05,095,238.0
Montgomery County,Arkansas,05,097,574.0
Nevada County,Arkansas,05,099,256.0
Newton County,Arkansas,05,101,164.0
Ouachita County,Arkansas,05,103,998.0
Perry County,Arkansas,05,105,621.0
Phillips County,Arkansas,05,107,1113.0
Pike County,Arkansas,05,109,718.0
Poinsett County,Arkansas,05,111,956.0
Polk County,Arkansas,05,113,1163.0
Pope County,Arkansas,05,115,3125.0
Prairie County,Arkansas,05,117,282.0
Pulaski County,Arkansas,05,119,15721.0
Randolph County,Arkansas,05,121,1029.0
Saint Francis County,Arkansas,05,123,1234.0
Saline County,Arkansas,05,125,5655.0
Scott County,Arkansas,05,127,619.0
Searcy County,Arkansas,05,129,308.0
Sebastian County,Arkansas,05,131,6396.0
Sevier County,Arkansas,05,133,539.0
Sharp County,Arkansas,05,135,863.0
Stone County,Arkansas,05,137,610.0
Union County,Arkansas,05,139,1575.0
Van Buren County,Arkansas,05,141,804.0
Washington County,Arkansas,05,143,7619.0
White County,Arkansas,05,145,2811.0
Woodruff County,Arkansas,05,147,279.0
Yell County,Arkansas,05,149,1207.0
Alameda County,California,06,001,50857.0
Alpine County,California,06,003,51.0
Amador County,California,06,005,2715.0
Butte County,California,06,007,12569.0
Calaveras County,California,06,009,3141.0
Colusa County,California,06,011,661.0
Contra Costa County,California,06,013,47500.0
Del Norte County,California,06,015,1560.0
El Dorado County,California,06,017,11428.0
Fresno County,California,06,019,39113.0
Glenn County,California,06,021,1294.0
Humboldt County,California,06,023,7506.0
Imperial County,California,06,025,5843.0
Inyo County,California,06,027,1143.0
Kern County,California,06,029,36818.0
Kings County,California,06,031,5518.0
Lake County,California,06,033,4539.0
Lassen County,California,06,035,2764.0
Los Angeles County,California,06,037,305590.0
Madera County,California,06,039,6800.0
Marin County,California,06,041,7506.0
Mariposa County,California,06,043,1464.0
Mendocino County,California,06,045,5730.0
Merced County,California,06,047,10713.0
Modoc County,California,06,049,936.0
Mono County,California,06,051,361.0
Monterey County,California,06,053,13337.0
Napa County,California,06,055,6787.0
Nevada County,California,06,057,6341.0
Orange County,California,06,059,115826.0
Placer County,California,06,061,19904.0
Plumas County,California,06,063,1338.0
Riverside County,California,06,065,113207.0
Sacramento County,California,06,067,71218.0
San Benito County,California,06,069,2175.0
San Bernardino County,California,06,071,100224.0
San Diego County,California,06,073,128261.0
San Francisco County,California,06,075,22567.0
San Joaquin County,California,06,077,34917.0
San Luis Obispo County,California,06,079,13563.0
San Mateo County,California,06,081,25474.0
Santa Barbara County,California,06,083,16120.0
Santa Clara County,California,06,085,52154.0
Santa Cruz County,California,06,087,10060.0
Shasta County,California,06,089,12122.0
Sierra County,California,06,091,170.0
Siskiyou County,California,06,093,2800.0
Solano County,California,06,095,24481.0
Sonoma County,California,06,097,26974.0
Stanislaus County,California,06,099,26859.0
Sutter County,California,06,101,4524.0
Tehama County,California,06,103,4361.0
Trinity County,California,06,105,654.0
Tulare County,California,06,107,15359.0
Tuolumne County,California,06,109,4464.0
Ventura County,California,06,111,36039.0
Yolo County,California,06,113,7349.0
Yuba County,California,06,115,4403.0
Alamosa County,Colorado,08,003,741.0
Archuleta County,Colorado,08,007,530.0
Baca County,Colorado,08,009,221.0
Bent County,Colorado,08,011,314.0
Chaffee County,Colorado,08,015,1011.0
Cheyenne County,Colorado,08,017,83.0
Clear Creek County,Colorado,08,019,340.0
Conejos County,Colorado,08,021,294.0
Costilla County,Colorado,08,023,149.0
