County,State,State_FIPS,County_FIPS,bachelors_and_above_percentage
Autauga County,Alabama,01,001,23.2
Baldwin County,Alabama,01,003,29.0
Barbour County,Alabama,01,005,12.5
Bibb County,Alabama,01,007,10.6
Blount County,Alabama,01,009,12.9
Bullock County,Alabama,01,011,13.9
Butler County,Alabama,01,013,14.5
Calhoun County,Alabama,01,015,17.6
Chambers County,Alabama,01,017,11.6
Cherokee County,Alabama,01,019,13.8
Chilton County,Alabama,01,021,14.1
Choctaw County,Alabama,01,023,11.8
Clarke County,Alabama,01,025,12.9
Clay County,Alabama,01,027,9.6
Cleburne County,Alabama,01,029,12.1
Coffee County,Alabama,01,031,23.9
Colbert County,Alabama,01,033,18.6
Conecuh County,Alabama,01,035,8.2
Coosa County,Alabama,01,037,8.5
Covington County,Alabama,01,039,14.3
Crenshaw County,Alabama,01,041,14.3
Cullman County,Alabama,01,043,14.6
Dale County,Alabama,01,045,16.4
Dallas County,Alabama,01,047,14.0
DeKalb County,Alabama,01,049,11.2
Elmore County,Alabama,01,051,21.4
Escambia County,Alabama,01,053,12.5
Etowah County,Alabama,01,055,16.0
Fayette County,Alabama,01,057,14.1
Franklin County,Alabama,01,059,11.4
Geneva County,Alabama,01,061,12.3
Greene County,Alabama,01,063,10.9
Hale County,Alabama,01,065,13.9
Henry County,Alabama,01,067,16.5
Houston County,Alabama,01,069,20.6
Jackson County,Alabama,01,071,12.4
Jefferson County,Alabama,01,073,30.8
Lamar County,Alabama,01,075,11.5
Lauderdale County,Alabama,01,077,21.8
Lawrence County,Alabama,01,079,11.1
Lee County,Alabama,01,081,34.0
Limestone County,Alabama,01,083,23.2
Lowndes County,Alabama,01,085,14.1
Macon County,Alabama,01,087,19.3
Madison County,Alabama,01,089,39.4
Marengo County,Alabama,01,091,15.3
Marion County,Alabama,01,093,11.5
Marshall County,Alabama,01,095,16.6
Mobile County,Alabama,01,097,22.0
Monroe County,Alabama,01,099,12.2
Montgomery County,Alabama,01,101,31.1
Morgan County,Alabama,01,103,21.3
Perry County,Alabama,01,105,13.2
Pickens County,Alabama,01,107,9.9
Pike County,Alabama,01,109,23.4
Randolph County,Alabama,01,111,15.1
Russell County,Alabama,01,113,17.1
Saint Clair County,Alabama,01,115,15.6
Shelby County,Alabama,01,117,40.8
Sumter County,Alabama,01,119,16.3
Talladega County,Alabama,01,121,13.1
Tallapoosa County,Alabama,01,123,17.3
Tuscaloosa County,Alabama,01,125,28.5
Walker County,Alabama,01,127,10.8
Washington County,Alabama,01,129,9.9
Wilcox County,Alabama,01,131,12.5
Winston County,Alabama,01,133,11.4
Anchorage Municipality,Alaska,02,020,33.2
Bethel Census Area,Alaska,02,050,11.6
Bristol Bay Borough,Alaska,02,060,20.0
Fairbanks North Star Borough,Alaska,02,090,31.7
Haines Borough,Alaska,02,100,35.6
Juneau City and Borough,Alaska,02,110,38.5
Kenai Peninsula Borough,Alaska,02,122,22.8
Kodiak Island Borough,Alaska,02,150,24.7
Matanuska-Susitna Borough,Alaska,02,170,20.7
Nome Census Area,Alaska,02,180,14.1
North Slope Borough,Alaska,02,185,13.9
Sitka City and Borough,Alaska,02,220,31.2
Southeast Fairbanks Census Area,Alaska,02,240,17.9
Valdez-Cordova Census Area,Alaska,02,261,28.7
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,10.6
Aleutians East Borough,Alaska,02,013,14.0
Aleutians West Census Area,Alaska,02,016,14.7
Dillingham Census Area,Alaska,02,070,16.2
Lake and Peninsula Borough,Alaska,02,164,12.9
Denali Borough,Alaska,02,068,33.3
Yukon-Koyukuk Census Area,Alaska,02,290,11.2
Hoonah-Angoon Census Area,Alaska,02,105,26.6
Skagway Municipality,Alaska,02,230,35.9
Yakutat City and Borough,Alaska,02,282,15.3
Ketchikan Gateway Borough,Alaska,02,130,23.8
Petersburg Borough,Alaska,02,195,25.3
Prince of Wales-Hyder Census Area,Alaska,02,198,15.5
Wrangell City and Borough,Alaska,02,275,19.9
Apache County,Arizona,04,001,10.8
Cochise County,Arizona,04,003,22.9
Coconino County,Arizona,04,005,33.6
Gila County,Arizona,04,007,16.7
Graham County,Arizona,04,009,13.2
Greenlee County,Arizona,04,011,10.8
Maricopa County,Arizona,04,013,30.4
Mohave County,Arizona,04,015,11.8
Navajo County,Arizona,04,017,14.7
Pima County,Arizona,04,019,30.3
Pinal County,Arizona,04,021,18.0
Santa Cruz County,Arizona,04,023,22.0
Yavapai County,Arizona,04,025,25.6
La Paz County,Arizona,04,012,9.9
Yuma County,Arizona,04,027,14.4
Arkansas County,Arkansas,05,001,12.4
Ashley County,Arkansas,05,003,13.2
Baxter County,Arkansas,05,005,17.9
Benton County,Arkansas,05,007,30.2
Boone County,Arkansas,05,009,14.7
Bradley County,Arkansas,05,011,13.0
Calhoun County,Arkansas,05,013,10.4
Carroll County,Arkansas,05,015,16.7
Chicot County,Arkansas,05,017,11.1
Clark County,Arkansas,05,019,23.9
Clay County,Arkansas,05,021,11.0
Cleburne County,Arkansas,05,023,16.8
Cleveland County,Arkansas,05,025,15.4
Columbia County,Arkansas,05,027,20.0
Conway County,Arkansas,05,029,16.5
Craighead County,Arkansas,05,031,25.4
Crawford County,Arkansas,05,033,14.5
Crittenden County,Arkansas,05,035,16.4
Cross County,Arkansas,05,037,13.7
Dallas County,Arkansas,05,039,13.1
Desha County,Arkansas,05,041,11.9
Drew County,Arkansas,05,043,20.5
Faulkner County,Arkansas,05,045,28.3
Franklin County,Arkansas,05,047,12.3
Fulton County,Arkansas,05,049,10.6
Garland County,Arkansas,05,051,21.4
Grant County,Arkansas,05,053,17.1
Greene County,Arkansas,05,055,15.4
Hempstead County,Arkansas,05,057,12.2
Hot Spring County,Arkansas,05,059,13.0
Howard County,Arkansas,05,061,15.1
Independence County,Arkansas,05,063,15.9
Izard County,Arkansas,05,065,12.7
Jackson County,Arkansas,05,067,8.8
Jefferson County,Arkansas,05,069,17.5
Johnson County,Arkansas,05,071,17.1
Lafayette County,Arkansas,05,073,11.8
Lawrence County,Arkansas,05,075,12.9
Lee County,Arkansas,05,077,7.9
Lincoln County,Arkansas,05,079,8.9
Little River County,Arkansas,05,081,10.0
Logan County,Arkansas,05,083,12.6
Lonoke County,Arkansas,05,085,19.1
Madison County,Arkansas,05,087,10.7
Marion County,Arkansas,05,089,13.2
Miller County,Arkansas,05,091,14.3
Mississippi County,Arkansas,05,093,13.2
Monroe County,Arkansas,05,095,9.4
Montgomery County,Arkansas,05,097,12.3
Nevada County,Arkansas,05,099,14.1
Newton County,Arkansas,05,101,14.6
Ouachita County,Arkansas,05,103,16.1
Perry County,Arkansas,05,105,11.5
Phillips County,Arkansas,05,107,10.8
Pike County,Arkansas,05,109,14.6
Poinsett County,Arkansas,05,111,8.4
Polk County,Arkansas,05,113,12.0
Pope County,Arkansas,05,115,20.9
Prairie County,Arkansas,05,117,10.3
Pulaski County,Arkansas,05,119,32.9
Randolph County,Arkansas,05,121,13.4
Saint Francis County,Arkansas,05,123,11.4
Saline County,Arkansas,05,125,23.0
Scott County,Arkansas,05,127,11.6
Searcy County,Arkansas,05,129,13.9
Sebastian County,Arkansas,05,131,19.2
Sevier County,Arkansas,05,133,7.9
Sharp County,Arkansas,05,135,9.9
Stone County,Arkansas,05,137,15.9
Union County,Arkansas,05,139,17.5
Van Buren County,Arkansas,05,141,12.3
Washington County,Arkansas,05,143,30.5
White County,Arkansas,05,145,19.5
Woodruff County,Arkansas,05,147,10.4
Yell County,Arkansas,05,149,12.6
Alameda County,California,06,001,43.0
Alpine County,California,06,003,27.5
Amador County,California,06,005,21.3
Butte County,California,06,007,25.9
Calaveras County,California,06,009,20.9
Colusa County,California,06,011,14.6
Contra Costa County,California,06,013,39.6
