County,State,State_FIPS,County_FIPS,some_college_less_1_year
Autauga County,Alabama,01,001,2794.0
Baldwin County,Alabama,01,003,7980.0
Barbour County,Alabama,01,005,1095.0
Bibb County,Alabama,01,007,593.0
Blount County,Alabama,01,009,3195.0
Bullock County,Alabama,01,011,91.0
Butler County,Alabama,01,013,638.0
Calhoun County,Alabama,01,015,5542.0
Chambers County,Alabama,01,017,1526.0
Cherokee County,Alabama,01,019,1301.0
Chilton County,Alabama,01,021,1450.0
Choctaw County,Alabama,01,023,528.0
Clarke County,Alabama,01,025,911.0
Clay County,Alabama,01,027,550.0
Cleburne County,Alabama,01,029,875.0
Coffee County,Alabama,01,031,2257.0
Colbert County,Alabama,01,033,2950.0
Conecuh County,Alabama,01,035,499.0
Coosa County,Alabama,01,037,458.0
Covington County,Alabama,01,039,1771.0
Crenshaw County,Alabama,01,041,545.0
Cullman County,Alabama,01,043,3729.0
Dale County,Alabama,01,045,2446.0
Dallas County,Alabama,01,047,1715.0
DeKalb County,Alabama,01,049,2624.0
Elmore County,Alabama,01,051,3125.0
Escambia County,Alabama,01,053,1374.0
Etowah County,Alabama,01,055,4937.0
Fayette County,Alabama,01,057,702.0
Franklin County,Alabama,01,059,1204.0
Geneva County,Alabama,01,061,1582.0
Greene County,Alabama,01,063,317.0
Hale County,Alabama,01,065,475.0
Henry County,Alabama,01,067,619.0
Houston County,Alabama,01,069,4599.0
Jackson County,Alabama,01,071,1982.0
Jefferson County,Alabama,01,073,23399.0
Lamar County,Alabama,01,075,825.0
Lauderdale County,Alabama,01,077,4038.0
Lawrence County,Alabama,01,079,1423.0
Lee County,Alabama,01,081,5026.0
Limestone County,Alabama,01,083,3904.0
Lowndes County,Alabama,01,085,401.0
Macon County,Alabama,01,087,639.0
Madison County,Alabama,01,089,12805.0
Marengo County,Alabama,01,091,700.0
Marion County,Alabama,01,093,1695.0
Marshall County,Alabama,01,095,3575.0
Mobile County,Alabama,01,097,16314.0
Monroe County,Alabama,01,099,694.0
Montgomery County,Alabama,01,101,7724.0
Morgan County,Alabama,01,103,5972.0
Perry County,Alabama,01,105,128.0
Pickens County,Alabama,01,107,925.0
Pike County,Alabama,01,109,1052.0
Randolph County,Alabama,01,111,803.0
Russell County,Alabama,01,113,2773.0
Saint Clair County,Alabama,01,115,4206.0
Shelby County,Alabama,01,117,7683.0
Sumter County,Alabama,01,119,254.0
Talladega County,Alabama,01,121,3662.0
Tallapoosa County,Alabama,01,123,1886.0
Tuscaloosa County,Alabama,01,125,5813.0
Walker County,Alabama,01,127,3488.0
Washington County,Alabama,01,129,629.0
Wilcox County,Alabama,01,131,459.0
