County,State,State_FIPS,County_FIPS,bachelors_degree
Autauga County,Alabama,01,001,5316.0
Baldwin County,Alabama,01,003,29237.0
Barbour County,Alabama,01,005,1403.0
Bibb County,Alabama,01,007,1289.0
Blount County,Alabama,01,009,3416.0
Bullock County,Alabama,01,011,485.0
Butler County,Alabama,01,013,1342.0
Calhoun County,Alabama,01,015,8092.0
Chambers County,Alabama,01,017,2131.0
Cherokee County,Alabama,01,019,1237.0
Chilton County,Alabama,01,021,2809.0
Choctaw County,Alabama,01,023,745.0
Clarke County,Alabama,01,025,1422.0
Clay County,Alabama,01,027,562.0
Cleburne County,Alabama,01,029,807.0
Coffee County,Alabama,01,031,5111.0
Colbert County,Alabama,01,033,4403.0
Conecuh County,Alabama,01,035,458.0
Coosa County,Alabama,01,037,611.0
Covington County,Alabama,01,039,2740.0
Crenshaw County,Alabama,01,041,1143.0
Cullman County,Alabama,01,043,5409.0
Dale County,Alabama,01,045,3688.0
Dallas County,Alabama,01,047,2181.0
DeKalb County,Alabama,01,049,3638.0
Elmore County,Alabama,01,051,7983.0
Escambia County,Alabama,01,053,1956.0
Etowah County,Alabama,01,055,7435.0
Fayette County,Alabama,01,057,1178.0
Franklin County,Alabama,01,059,1722.0
Geneva County,Alabama,01,061,1407.0
Greene County,Alabama,01,063,486.0
Hale County,Alabama,01,065,1008.0
Henry County,Alabama,01,067,1087.0
Houston County,Alabama,01,069,9418.0
Jackson County,Alabama,01,071,3192.0
Jefferson County,Alabama,01,073,86862.0
Lamar County,Alabama,01,075,880.0
Lauderdale County,Alabama,01,077,8710.0
Lawrence County,Alabama,01,079,1671.0
Lee County,Alabama,01,081,18261.0
Limestone County,Alabama,01,083,10410.0
Lowndes County,Alabama,01,085,671.0
Macon County,Alabama,01,087,1332.0
Madison County,Alabama,01,089,60410.0
Marengo County,Alabama,01,091,1315.0
Marion County,Alabama,01,093,1784.0
Marshall County,Alabama,01,095,7353.0
Mobile County,Alabama,01,097,42066.0
Monroe County,Alabama,01,099,1079.0
Montgomery County,Alabama,01,101,28898.0
Morgan County,Alabama,01,103,11822.0
Perry County,Alabama,01,105,512.0
Pickens County,Alabama,01,107,1248.0
Pike County,Alabama,01,109,2930.0
Randolph County,Alabama,01,111,1415.0
Russell County,Alabama,01,113,4092.0
Saint Clair County,Alabama,01,115,6366.0
Shelby County,Alabama,01,117,39369.0
Sumter County,Alabama,01,119,872.0
Talladega County,Alabama,01,121,4620.0
Tallapoosa County,Alabama,01,123,3474.0
Tuscaloosa County,Alabama,01,125,23230.0
Walker County,Alabama,01,127,3014.0
Washington County,Alabama,01,129,785.0
Wilcox County,Alabama,01,131,578.0
Winston County,Alabama,01,133,1354.0
Anchorage Municipality,Alaska,02,020,42216.0
Bethel Census Area,Alaska,02,050,748.0
Bristol Bay Borough,Alaska,02,060,99.0
Fairbanks North Star Borough,Alaska,02,090,12885.0
Haines Borough,Alaska,02,100,403.0
Juneau City and Borough,Alaska,02,110,5832.0
Kenai Peninsula Borough,Alaska,02,122,6139.0
Kodiak Island Borough,Alaska,02,150,1374.0
Matanuska-Susitna Borough,Alaska,02,170,8812.0
Nome Census Area,Alaska,02,180,534.0
North Slope Borough,Alaska,02,185,707.0
Sitka City and Borough,Alaska,02,220,1210.0
Southeast Fairbanks Census Area,Alaska,02,240,449.0
Valdez-Cordova Census Area,Alaska,02,261,1475.0
