County,State,State_FIPS,County_FIPS,associates_degree
Autauga County,Alabama,01,001,2804.0
Baldwin County,Alabama,01,003,13760.0
Barbour County,Alabama,01,005,1353.0
Bibb County,Alabama,01,007,831.0
Blount County,Alabama,01,009,4952.0
Bullock County,Alabama,01,011,318.0
Butler County,Alabama,01,013,1099.0
Calhoun County,Alabama,01,015,5830.0
Chambers County,Alabama,01,017,1785.0
Cherokee County,Alabama,01,019,1502.0
Chilton County,Alabama,01,021,1997.0
Choctaw County,Alabama,01,023,857.0
Clarke County,Alabama,01,025,1165.0
Clay County,Alabama,01,027,845.0
Cleburne County,Alabama,01,029,463.0
Coffee County,Alabama,01,031,3694.0
Colbert County,Alabama,01,033,2995.0
Conecuh County,Alabama,01,035,480.0
Coosa County,Alabama,01,037,489.0
Covington County,Alabama,01,039,2557.0
Crenshaw County,Alabama,01,041,603.0
Cullman County,Alabama,01,043,6057.0
Dale County,Alabama,01,045,3179.0
Dallas County,Alabama,01,047,2482.0
DeKalb County,Alabama,01,049,4255.0
Elmore County,Alabama,01,051,5110.0
Escambia County,Alabama,01,053,1914.0
Etowah County,Alabama,01,055,6006.0
Fayette County,Alabama,01,057,836.0
Franklin County,Alabama,01,059,1557.0
Geneva County,Alabama,01,061,1760.0
Greene County,Alabama,01,063,397.0
Hale County,Alabama,01,065,639.0
Henry County,Alabama,01,067,925.0
Houston County,Alabama,01,069,6606.0
Jackson County,Alabama,01,071,3256.0
Jefferson County,Alabama,01,073,36167.0
Lamar County,Alabama,01,075,737.0
Lauderdale County,Alabama,01,077,3986.0
Lawrence County,Alabama,01,079,1822.0
Lee County,Alabama,01,081,7431.0
Limestone County,Alabama,01,083,4831.0
Lowndes County,Alabama,01,085,536.0
Macon County,Alabama,01,087,713.0
Madison County,Alabama,01,089,20143.0
Marengo County,Alabama,01,091,1084.0
Marion County,Alabama,01,093,1902.0
Marshall County,Alabama,01,095,5276.0
Mobile County,Alabama,01,097,22939.0
Monroe County,Alabama,01,099,1172.0
Montgomery County,Alabama,01,101,9835.0
Morgan County,Alabama,01,103,7014.0
Perry County,Alabama,01,105,233.0
Pickens County,Alabama,01,107,1067.0
Pike County,Alabama,01,109,1114.0
Randolph County,Alabama,01,111,1311.0
Russell County,Alabama,01,113,3434.0
Saint Clair County,Alabama,01,115,5296.0
Shelby County,Alabama,01,117,10158.0
Sumter County,Alabama,01,119,581.0
Talladega County,Alabama,01,121,4888.0
Tallapoosa County,Alabama,01,123,2429.0
Tuscaloosa County,Alabama,01,125,8901.0
Walker County,Alabama,01,127,3966.0
Washington County,Alabama,01,129,1122.0
Wilcox County,Alabama,01,131,383.0
Winston County,Alabama,01,133,1416.0
Anchorage Municipality,Alaska,02,020,16763.0
Bethel Census Area,Alaska,02,050,403.0
Bristol Bay Borough,Alaska,02,060,47.0
Fairbanks North Star Borough,Alaska,02,090,5994.0
Haines Borough,Alaska,02,100,111.0
Juneau City and Borough,Alaska,02,110,1598.0
Kenai Peninsula Borough,Alaska,02,122,3653.0
Kodiak Island Borough,Alaska,02,150,737.0
Matanuska-Susitna Borough,Alaska,02,170,6085.0
Nome Census Area,Alaska,02,180,194.0
North Slope Borough,Alaska,02,185,443.0
Sitka City and Borough,Alaska,02,220,621.0
Southeast Fairbanks Census Area,Alaska,02,240,387.0
Valdez-Cordova Census Area,Alaska,02,261,558.0
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,197.0
Aleutians East Borough,Alaska,02,013,184.0
Aleutians West Census Area,Alaska,02,016,273.0
Dillingham Census Area,Alaska,02,070,138.0
Lake and Peninsula Borough,Alaska,02,164,24.0
Denali Borough,Alaska,02,068,73.0
