County,State,State_FIPS,County_FIPS,population_aged_25_plus
Autauga County,Alabama,01,001,36233.0
Baldwin County,Alabama,01,003,133267.0
Barbour County,Alabama,01,005,18836.0
Bibb County,Alabama,01,007,15683.0
Blount County,Alabama,01,009,39052.0
Bullock County,Alabama,01,011,7283.0
Butler County,Alabama,01,013,14041.0
Calhoun County,Alabama,01,015,78667.0
Chambers County,Alabama,01,017,23821.0
Cherokee County,Alabama,01,019,18806.0
Chilton County,Alabama,01,021,29393.0
Choctaw County,Alabama,01,023,9564.0
Clarke County,Alabama,01,025,17220.0
Clay County,Alabama,01,027,9620.0
Cleburne County,Alabama,01,029,10308.0
Coffee County,Alabama,01,031,34363.0
Colbert County,Alabama,01,033,38009.0
Conecuh County,Alabama,01,035,8930.0
Coosa County,Alabama,01,037,8218.0
Covington County,Alabama,01,039,26478.0
Crenshaw County,Alabama,01,041,9527.0
Cullman County,Alabama,01,043,55380.0
Dale County,Alabama,01,045,33129.0
Dallas County,Alabama,01,047,27699.0
DeKalb County,Alabama,01,049,47081.0
Elmore County,Alabama,01,051,53964.0
Escambia County,Alabama,01,053,25894.0
Etowah County,Alabama,01,055,71636.0
Fayette County,Alabama,01,057,11935.0
Franklin County,Alabama,01,059,21162.0
Geneva County,Alabama,01,061,18733.0
Greene County,Alabama,01,063,5888.0
Hale County,Alabama,01,065,10364.0
Henry County,Alabama,01,067,12307.0
Houston County,Alabama,01,069,69723.0
Jackson County,Alabama,01,071,37170.0
Jefferson County,Alabama,01,073,443123.0
Lamar County,Alabama,01,075,10112.0
Lauderdale County,Alabama,01,077,62760.0
Lawrence County,Alabama,01,079,23411.0
Lee County,Alabama,01,081,85595.0
Limestone County,Alabama,01,083,59598.0
Lowndes County,Alabama,01,085,7277.0
Macon County,Alabama,01,087,12609.0
Madison County,Alabama,01,089,229780.0
Marengo County,Alabama,01,091,13943.0
Marion County,Alabama,01,093,21713.0
Marshall County,Alabama,01,095,62506.0
Mobile County,Alabama,01,097,271571.0
Monroe County,Alabama,01,099,15093.0
Montgomery County,Alabama,01,101,147168.0
Morgan County,Alabama,01,103,81509.0
Perry County,Alabama,01,105,6252.0
Pickens County,Alabama,01,107,13562.0
Pike County,Alabama,01,109,19278.0
Randolph County,Alabama,01,111,15525.0
Russell County,Alabama,01,113,37235.0
Saint Clair County,Alabama,01,115,58701.0
Shelby County,Alabama,01,117,135055.0
Sumter County,Alabama,01,119,8268.0
Talladega County,Alabama,01,121,55951.0
Tallapoosa County,Alabama,01,123,28921.0
Tuscaloosa County,Alabama,01,125,119835.0
Walker County,Alabama,01,127,45901.0
Washington County,Alabama,01,129,11490.0
Wilcox County,Alabama,01,131,7466.0
Winston County,Alabama,01,133,17310.0
Anchorage Municipality,Alaska,02,020,188115.0
Bethel Census Area,Alaska,02,050,9253.0
Bristol Bay Borough,Alaska,02,060,668.0
Fairbanks North Star Borough,Alaska,02,090,60377.0
Haines Borough,Alaska,02,100,1876.0
Juneau City and Borough,Alaska,02,110,21948.0
Kenai Peninsula Borough,Alaska,02,122,38636.0
Kodiak Island Borough,Alaska,02,150,8480.0
Matanuska-Susitna Borough,Alaska,02,170,59136.0
Nome Census Area,Alaska,02,180,5349.0
North Slope Borough,Alaska,02,185,6247.0
Sitka City and Borough,Alaska,02,220,6169.0
Southeast Fairbanks Census Area,Alaska,02,240,4469.0
Valdez-Cordova Census Area,Alaska,02,261,6472.0
Wade Hampton Census Area,Alaska,02,270,3529.0
Northwest Arctic Borough,Alaska,02,188,3981.0
Aleutians East Borough,Alaska,02,013,2544.0
Aleutians West Census Area,Alaska,02,016,4084.0
Dillingham Census Area,Alaska,02,070,2755.0
Lake and Peninsula Borough,Alaska,02,164,832.0
Denali Borough,Alaska,02,068,1412.0
Yukon-Koyukuk Census Area,Alaska,02,290,3524.0
Hoonah-Angoon Census Area,Alaska,02,105,1611.0
Skagway Municipality,Alaska,02,230,731.0
Yakutat City and Borough,Alaska,02,282,429.0
Ketchikan Gateway Borough,Alaska,02,130,9258.0
Petersburg Borough,Alaska,02,195,2268.0
Prince of Wales-Hyder Census Area,Alaska,02,198,4285.0
Wrangell City and Borough,Alaska,02,275,1881.0
Apache County,Arizona,04,001,42767.0
Cochise County,Arizona,04,003,88904.0
Coconino County,Arizona,04,005,79300.0
Gila County,Arizona,04,007,38319.0
Graham County,Arizona,04,009,22527.0
Greenlee County,Arizona,04,011,5574.0
Maricopa County,Arizona,04,013,2550592.0
