County,State,State_FIPS,County_FIPS,high_school_only_percentage
Autauga County,Alabama,01,001,33.6
Baldwin County,Alabama,01,003,27.8
Barbour County,Alabama,01,005,35.5
Bibb County,Alabama,01,007,43.9
Blount County,Alabama,01,009,32.3
Bullock County,Alabama,01,011,36.6
Butler County,Alabama,01,013,40.4
Calhoun County,Alabama,01,015,32.2
Chambers County,Alabama,01,017,38.4
Cherokee County,Alabama,01,019,38.2
Chilton County,Alabama,01,021,43.4
Choctaw County,Alabama,01,023,39.9
Clarke County,Alabama,01,025,44.3
Clay County,Alabama,01,027,33.7
Cleburne County,Alabama,01,029,37.4
Coffee County,Alabama,01,031,29.3
Colbert County,Alabama,01,033,33.7
Conecuh County,Alabama,01,035,48.0
Coosa County,Alabama,01,037,38.5
Covington County,Alabama,01,039,35.6
Crenshaw County,Alabama,01,041,37.8
Cullman County,Alabama,01,043,35.9
Dale County,Alabama,01,045,32.6
Dallas County,Alabama,01,047,36.6
DeKalb County,Alabama,01,049,34.0
Elmore County,Alabama,01,051,34.1
Escambia County,Alabama,01,053,43.8
Etowah County,Alabama,01,055,32.5
Fayette County,Alabama,01,057,37.9
Franklin County,Alabama,01,059,37.5
Geneva County,Alabama,01,061,35.7
Greene County,Alabama,01,063,37.0
Hale County,Alabama,01,065,42.7
Henry County,Alabama,01,067,33.9
Houston County,Alabama,01,069,31.9
Jackson County,Alabama,01,071,40.7
Jefferson County,Alabama,01,073,26.8
Lamar County,Alabama,01,075,37.6
Lauderdale County,Alabama,01,077,35.3
Lawrence County,Alabama,01,079,40.8
Lee County,Alabama,01,081,24.5
Limestone County,Alabama,01,083,30.7
Lowndes County,Alabama,01,085,36.1
Macon County,Alabama,01,087,32.3
Madison County,Alabama,01,089,21.1
Marengo County,Alabama,01,091,39.6
Marion County,Alabama,01,093,35.3
Marshall County,Alabama,01,095,31.3
Mobile County,Alabama,01,097,32.6
Monroe County,Alabama,01,099,46.7
Montgomery County,Alabama,01,101,25.6
Morgan County,Alabama,01,103,29.9
Perry County,Alabama,01,105,42.0
Pickens County,Alabama,01,107,37.8
Pike County,Alabama,01,109,33.0
Randolph County,Alabama,01,111,36.7
Russell County,Alabama,01,113,32.4
Saint Clair County,Alabama,01,115,36.2
Shelby County,Alabama,01,117,20.9
Sumter County,Alabama,01,119,39.7
Talladega County,Alabama,01,121,35.1
Tallapoosa County,Alabama,01,123,34.0
Tuscaloosa County,Alabama,01,125,29.4
Walker County,Alabama,01,127,37.3
Washington County,Alabama,01,129,44.8
Wilcox County,Alabama,01,131,43.2
Winston County,Alabama,01,133,36.2
Anchorage Municipality,Alaska,02,020,23.8
Bethel Census Area,Alaska,02,050,44.7
Bristol Bay Borough,Alaska,02,060,34.9
Fairbanks North Star Borough,Alaska,02,090,21.7
Haines Borough,Alaska,02,100,28.4
Juneau City and Borough,Alaska,02,110,20.5
Kenai Peninsula Borough,Alaska,02,122,31.2
Kodiak Island Borough,Alaska,02,150,28.9
Matanuska-Susitna Borough,Alaska,02,170,32.1
Nome Census Area,Alaska,02,180,43.5
North Slope Borough,Alaska,02,185,40.0
Sitka City and Borough,Alaska,02,220,26.5
Southeast Fairbanks Census Area,Alaska,02,240,33.1
Valdez-Cordova Census Area,Alaska,02,261,28.0
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,46.4
Aleutians East Borough,Alaska,02,013,41.6
Aleutians West Census Area,Alaska,02,016,39.1
Dillingham Census Area,Alaska,02,070,38.7
Lake and Peninsula Borough,Alaska,02,164,45.1
Denali Borough,Alaska,02,068,28.6
Yukon-Koyukuk Census Area,Alaska,02,290,41.7
Hoonah-Angoon Census Area,Alaska,02,105,37.3
Skagway Municipality,Alaska,02,230,23.4
Yakutat City and Borough,Alaska,02,282,40.6
Ketchikan Gateway Borough,Alaska,02,130,30.4
Petersburg Borough,Alaska,02,195,29.9
Prince of Wales-Hyder Census Area,Alaska,02,198,37.8
Wrangell City and Borough,Alaska,02,275,36.6
Apache County,Arizona,04,001,33.0
Cochise County,Arizona,04,003,23.0
Coconino County,Arizona,04,005,21.3
Gila County,Arizona,04,007,27.5
Graham County,Arizona,04,009,31.3
Greenlee County,Arizona,04,011,37.0
Maricopa County,Arizona,04,013,22.8
Mohave County,Arizona,04,015,35.6
Navajo County,Arizona,04,017,30.0
Pima County,Arizona,04,019,22.5
Pinal County,Arizona,04,021,29.9
Santa Cruz County,Arizona,04,023,26.4
Yavapai County,Arizona,04,025,25.9
La Paz County,Arizona,04,012,37.0
Yuma County,Arizona,04,027,26.0
Arkansas County,Arkansas,05,001,39.0
Ashley County,Arkansas,05,003,41.5
Baxter County,Arkansas,05,005,35.2
Benton County,Arkansas,05,007,29.7
Boone County,Arkansas,05,009,32.4
Bradley County,Arkansas,05,011,42.2
Calhoun County,Arkansas,05,013,47.7
Carroll County,Arkansas,05,015,35.9
Chicot County,Arkansas,05,017,40.8
Clark County,Arkansas,05,019,31.7
Clay County,Arkansas,05,021,41.4
Cleburne County,Arkansas,05,023,39.2
Cleveland County,Arkansas,05,025,45.1
Columbia County,Arkansas,05,027,40.4
Conway County,Arkansas,05,029,43.8
Craighead County,Arkansas,05,031,33.2
Crawford County,Arkansas,05,033,39.2
Crittenden County,Arkansas,05,035,35.7
Cross County,Arkansas,05,037,43.6
Dallas County,Arkansas,05,039,42.4
Desha County,Arkansas,05,041,41.0
Drew County,Arkansas,05,043,38.1
Faulkner County,Arkansas,05,045,30.5
Franklin County,Arkansas,05,047,40.0
Fulton County,Arkansas,05,049,39.4
Garland County,Arkansas,05,051,30.9
Grant County,Arkansas,05,053,42.5
Greene County,Arkansas,05,055,42.5
Hempstead County,Arkansas,05,057,39.0
Hot Spring County,Arkansas,05,059,41.4
Howard County,Arkansas,05,061,35.0
Independence County,Arkansas,05,063,37.6
Izard County,Arkansas,05,065,37.9
Jackson County,Arkansas,05,067,43.2
Jefferson County,Arkansas,05,069,38.2
Johnson County,Arkansas,05,071,43.3
Lafayette County,Arkansas,05,073,41.8
Lawrence County,Arkansas,05,075,39.7
Lee County,Arkansas,05,077,39.3
Lincoln County,Arkansas,05,079,52.2
Little River County,Arkansas,05,081,40.4
Logan County,Arkansas,05,083,44.4
Lonoke County,Arkansas,05,085,34.3
Madison County,Arkansas,05,087,45.9
Marion County,Arkansas,05,089,37.6
Miller County,Arkansas,05,091,36.8
Mississippi County,Arkansas,05,093,39.2
Monroe County,Arkansas,05,095,42.7
Montgomery County,Arkansas,05,097,36.9
Nevada County,Arkansas,05,099,44.7
Newton County,Arkansas,05,101,40.7
Ouachita County,Arkansas,05,103,42.1
Perry County,Arkansas,05,105,40.3
Phillips County,Arkansas,05,107,31.1
Pike County,Arkansas,05,109,36.3
Poinsett County,Arkansas,05,111,43.1
Polk County,Arkansas,05,113,39.7
Pope County,Arkansas,05,115,34.1
Prairie County,Arkansas,05,117,42.4
Pulaski County,Arkansas,05,119,26.5
Randolph County,Arkansas,05,121,36.3
Saint Francis County,Arkansas,05,123,39.4
Saline County,Arkansas,05,125,32.1
Scott County,Arkansas,05,127,40.7
Searcy County,Arkansas,05,129,43.7
Sebastian County,Arkansas,05,131,31.8
Sevier County,Arkansas,05,133,34.8
Sharp County,Arkansas,05,135,42.1
Stone County,Arkansas,05,137,33.6
Union County,Arkansas,05,139,36.3
Van Buren County,Arkansas,05,141,45.5
Washington County,Arkansas,05,143,26.6
White County,Arkansas,05,145,38.4
Woodruff County,Arkansas,05,147,42.3
Yell County,Arkansas,05,149,42.8
Alameda County,California,06,001,17.9
Alpine County,California,06,003,34.2
Amador County,California,06,005,27.1
Butte County,California,06,007,22.6
Calaveras County,California,06,009,27.6
Colusa County,California,06,011,23.2
Contra Costa County,California,06,013,17.9
Del Norte County,California,06,015,32.1
El Dorado County,California,06,017,21.5
Fresno County,California,06,019,22.8
Glenn County,California,06,021,27.3
Humboldt County,California,06,023,24.0
Imperial County,California,06,025,23.5
Inyo County,California,06,027,30.3
Kern County,California,06,029,27.7
Kings County,California,06,031,25.5
Lake County,California,06,033,30.3
Lassen County,California,06,035,32.4
Los Angeles County,California,06,037,20.7
Madera County,California,06,039,24.8
Marin County,California,06,041,11.2
Mariposa County,California,06,043,28.2
Mendocino County,California,06,045,26.2
Merced County,California,06,047,25.1
Modoc County,California,06,049,30.5
Mono County,California,06,051,18.9
Monterey County,California,06,053,20.7
Napa County,California,06,055,18.1
Nevada County,California,06,057,18.5
Orange County,California,06,059,17.3
Placer County,California,06,061,19.1
Plumas County,California,06,063,25.5
Riverside County,California,06,065,26.4
Sacramento County,California,06,067,22.5
San Benito County,California,06,069,24.7
San Bernardino County,California,06,071,26.2
San Diego County,California,06,073,18.6
San Francisco County,California,06,075,12.3
San Joaquin County,California,06,077,27.4
San Luis Obispo County,California,06,079,19.8
San Mateo County,California,06,081,15.5
Santa Barbara County,California,06,083,17.4
Santa Clara County,California,06,085,14.8
Santa Cruz County,California,06,087,15.5
Shasta County,California,06,089,25.7
Sierra County,California,06,091,25.4
Siskiyou County,California,06,093,25.1
Solano County,California,06,095,23.3
Sonoma County,California,06,097,19.1
Stanislaus County,California,06,099,28.2
Sutter County,California,06,101,24.9
Tehama County,California,06,103,32.4
Trinity County,California,06,105,31.9
Tulare County,California,06,107,25.8
Tuolumne County,California,06,109,29.2
Ventura County,California,06,111,18.9
Yolo County,California,06,113,18.9
Yuba County,California,06,115,24.6
Alamosa County,Colorado,08,003,25.2
Archuleta County,Colorado,08,007,23.3
Baca County,Colorado,08,009,26.6
Bent County,Colorado,08,011,46.2
Chaffee County,Colorado,08,015,26.9
Cheyenne County,Colorado,08,017,32.8
Clear Creek County,Colorado,08,019,20.5
Conejos County,Colorado,08,021,30.4
Costilla County,Colorado,08,023,25.2
Crowley County,Colorado,08,025,43.7
Custer County,Colorado,08,027,20.0
Delta County,Colorado,08,029,37.6
Dolores County,Colorado,08,033,37.7
Douglas County,Colorado,08,035,12.2
Eagle County,Colorado,08,037,17.2
Elbert County,Colorado,08,039,25.2
El Paso County,Colorado,08,041,20.1
Fremont County,Colorado,08,043,39.0
Garfield County,Colorado,08,045,28.5
Gilpin County,Colorado,08,047,22.6
Grand County,Colorado,08,049,27.5
Gunnison County,Colorado,08,051,17.3
Huerfano County,Colorado,08,055,26.6
Jackson County,Colorado,08,057,34.5
Kiowa County,Colorado,08,061,40.9
