County,State,State_FIPS,County_FIPS,bachelors_degree
Autauga County,Alabama,01,001,5903.0
Baldwin County,Alabama,01,003,30431.0
Barbour County,Alabama,01,005,1417.0
Bibb County,Alabama,01,007,1197.0
Blount County,Alabama,01,009,3217.0
Bullock County,Alabama,01,011,526.0
Butler County,Alabama,01,013,1344.0
Calhoun County,Alabama,01,015,8060.0
Chambers County,Alabama,01,017,2200.0
Cherokee County,Alabama,01,019,1273.0
Chilton County,Alabama,01,021,2728.0
Choctaw County,Alabama,01,023,770.0
Clarke County,Alabama,01,025,1342.0
Clay County,Alabama,01,027,510.0
Cleburne County,Alabama,01,029,927.0
Coffee County,Alabama,01,031,5439.0
Colbert County,Alabama,01,033,4573.0
Conecuh County,Alabama,01,035,632.0
Coosa County,Alabama,01,037,706.0
Covington County,Alabama,01,039,2539.0
Crenshaw County,Alabama,01,041,1100.0
Cullman County,Alabama,01,043,5047.0
Dale County,Alabama,01,045,3739.0
Dallas County,Alabama,01,047,2300.0
DeKalb County,Alabama,01,049,3557.0
Elmore County,Alabama,01,051,8948.0
Escambia County,Alabama,01,053,2079.0
Etowah County,Alabama,01,055,7837.0
Fayette County,Alabama,01,057,1070.0
Franklin County,Alabama,01,059,1624.0
Geneva County,Alabama,01,061,1298.0
Greene County,Alabama,01,063,371.0
Hale County,Alabama,01,065,936.0
Henry County,Alabama,01,067,1300.0
Houston County,Alabama,01,069,9505.0
Jackson County,Alabama,01,071,3450.0
Jefferson County,Alabama,01,073,88777.0
Lamar County,Alabama,01,075,823.0
Lauderdale County,Alabama,01,077,9403.0
Lawrence County,Alabama,01,079,1795.0
Lee County,Alabama,01,081,18645.0
Limestone County,Alabama,01,083,10857.0
Lowndes County,Alabama,01,085,656.0
Macon County,Alabama,01,087,1363.0
Madison County,Alabama,01,089,62705.0
Marengo County,Alabama,01,091,1203.0
Marion County,Alabama,01,093,1706.0
Marshall County,Alabama,01,095,7915.0
Mobile County,Alabama,01,097,42033.0
Monroe County,Alabama,01,099,1283.0
Montgomery County,Alabama,01,101,28342.0
Morgan County,Alabama,01,103,12416.0
Perry County,Alabama,01,105,474.0
Pickens County,Alabama,01,107,1357.0
Pike County,Alabama,01,109,2846.0
Randolph County,Alabama,01,111,1436.0
Russell County,Alabama,01,113,3876.0
Saint Clair County,Alabama,01,115,6805.0
Shelby County,Alabama,01,117,40021.0
Sumter County,Alabama,01,119,913.0
Talladega County,Alabama,01,121,4993.0
Tallapoosa County,Alabama,01,123,3426.0
Tuscaloosa County,Alabama,01,125,23410.0
Walker County,Alabama,01,127,3224.0
Washington County,Alabama,01,129,771.0
Wilcox County,Alabama,01,131,642.0
Winston County,Alabama,01,133,1432.0
Anchorage Municipality,Alaska,02,020,42077.0
Bethel Census Area,Alaska,02,050,746.0
Bristol Bay Borough,Alaska,02,060,116.0
Fairbanks North Star Borough,Alaska,02,090,12681.0
Haines Borough,Alaska,02,100,439.0
Juneau City and Borough,Alaska,02,110,5735.0
Kenai Peninsula Borough,Alaska,02,122,5847.0
Kodiak Island Borough,Alaska,02,150,1405.0
Matanuska-Susitna Borough,Alaska,02,170,9107.0
Nome Census Area,Alaska,02,180,453.0
North Slope Borough,Alaska,02,185,741.0
Sitka City and Borough,Alaska,02,220,1256.0
Southeast Fairbanks Census Area,Alaska,02,240,447.0
Valdez-Cordova Census Area,Alaska,02,261,1226.0
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,315.0
Aleutians East Borough,Alaska,02,013,235.0
Aleutians West Census Area,Alaska,02,016,536.0
Dillingham Census Area,Alaska,02,070,296.0
Lake and Peninsula Borough,Alaska,02,164,69.0
Denali Borough,Alaska,02,068,461.0
Yukon-Koyukuk Census Area,Alaska,02,290,263.0
Hoonah-Angoon Census Area,Alaska,02,105,294.0
Skagway Municipality,Alaska,02,230,222.0
Yakutat City and Borough,Alaska,02,282,76.0
Ketchikan Gateway Borough,Alaska,02,130,1632.0
Petersburg Borough,Alaska,02,195,469.0
Prince of Wales-Hyder Census Area,Alaska,02,198,514.0
Wrangell City and Borough,Alaska,02,275,263.0
Apache County,Arizona,04,001,3408.0
Cochise County,Arizona,04,003,12527.0
Coconino County,Arizona,04,005,17349.0
Gila County,Arizona,04,007,4590.0
Graham County,Arizona,04,009,2272.0
Greenlee County,Arizona,04,011,550.0
Maricopa County,Arizona,04,013,571408.0
Mohave County,Arizona,04,015,13083.0
Navajo County,Arizona,04,017,6509.0
Pima County,Arizona,04,019,124844.0
Pinal County,Arizona,04,021,34853.0
Santa Cruz County,Arizona,04,023,3993.0
Yavapai County,Arizona,04,025,25694.0
La Paz County,Arizona,04,012,1324.0
Yuma County,Arizona,04,027,12716.0
Arkansas County,Arkansas,05,001,1337.0
Ashley County,Arkansas,05,003,1282.0
Baxter County,Arkansas,05,005,3675.0
Benton County,Arkansas,05,007,36456.0
Boone County,Arkansas,05,009,2720.0
Bradley County,Arkansas,05,011,816.0
Calhoun County,Arkansas,05,013,313.0
Carroll County,Arkansas,05,015,2546.0
Chicot County,Arkansas,05,017,800.0
Clark County,Arkansas,05,019,2330.0
Clay County,Arkansas,05,021,736.0
Cleburne County,Arkansas,05,023,1621.0
Cleveland County,Arkansas,05,025,610.0
Columbia County,Arkansas,05,027,1915.0
Conway County,Arkansas,05,029,1652.0
Craighead County,Arkansas,05,031,10897.0
Crawford County,Arkansas,05,033,4416.0
Crittenden County,Arkansas,05,035,3801.0
Cross County,Arkansas,05,037,963.0
Dallas County,Arkansas,05,039,570.0
Desha County,Arkansas,05,041,640.0
Drew County,Arkansas,05,043,1519.0
Faulkner County,Arkansas,05,045,13973.0
Franklin County,Arkansas,05,047,1088.0
Fulton County,Arkansas,05,049,755.0
Garland County,Arkansas,05,051,9088.0
Grant County,Arkansas,05,053,1454.0
Greene County,Arkansas,05,055,3328.0
Hempstead County,Arkansas,05,057,1367.0
Hot Spring County,Arkansas,05,059,2354.0
Howard County,Arkansas,05,061,996.0
Independence County,Arkansas,05,063,3048.0
Izard County,Arkansas,05,065,1005.0
Jackson County,Arkansas,05,067,763.0
Jefferson County,Arkansas,05,069,5355.0
Johnson County,Arkansas,05,071,1777.0
Lafayette County,Arkansas,05,073,645.0
Lawrence County,Arkansas,05,075,1170.0
Lee County,Arkansas,05,077,455.0
Lincoln County,Arkansas,05,079,639.0
Little River County,Arkansas,05,081,640.0
Logan County,Arkansas,05,083,1266.0
Lonoke County,Arkansas,05,085,6767.0
Madison County,Arkansas,05,087,761.0
Marion County,Arkansas,05,089,1350.0
Miller County,Arkansas,05,091,3283.0
Mississippi County,Arkansas,05,093,2180.0
Monroe County,Arkansas,05,095,390.0
Montgomery County,Arkansas,05,097,390.0
Nevada County,Arkansas,05,099,627.0
Newton County,Arkansas,05,101,586.0
