County,State,State_FIPS,County_FIPS,bachelors_and_above_percentage
Autauga County,Alabama,01,001,26.6
Baldwin County,Alabama,01,003,31.9
Barbour County,Alabama,01,005,11.6
Bibb County,Alabama,01,007,10.4
Blount County,Alabama,01,009,13.1
Bullock County,Alabama,01,011,12.1
Butler County,Alabama,01,013,16.1
Calhoun County,Alabama,01,015,18.5
Chambers County,Alabama,01,017,13.3
Cherokee County,Alabama,01,019,12.8
Chilton County,Alabama,01,021,12.7
Choctaw County,Alabama,01,023,11.9
Clarke County,Alabama,01,025,12.2
Clay County,Alabama,01,027,10.6
Cleburne County,Alabama,01,029,15.4
Coffee County,Alabama,01,031,22.8
Colbert County,Alabama,01,033,18.1
Conecuh County,Alabama,01,035,12.8
Coosa County,Alabama,01,037,12.8
Covington County,Alabama,01,039,15.3
Crenshaw County,Alabama,01,041,17.4
Cullman County,Alabama,01,043,13.9
Dale County,Alabama,01,045,18.1
Dallas County,Alabama,01,047,14.7
DeKalb County,Alabama,01,049,13.0
Elmore County,Alabama,01,051,25.1
Escambia County,Alabama,01,053,12.5
Etowah County,Alabama,01,055,17.8
Fayette County,Alabama,01,057,12.4
Franklin County,Alabama,01,059,14.0
Geneva County,Alabama,01,061,12.5
Greene County,Alabama,01,063,10.1
Hale County,Alabama,01,065,14.2
Henry County,Alabama,01,067,17.1
Houston County,Alabama,01,069,21.7
Jackson County,Alabama,01,071,14.0
Jefferson County,Alabama,01,073,33.4
Lamar County,Alabama,01,075,11.9
Lauderdale County,Alabama,01,077,23.5
Lawrence County,Alabama,01,079,12.6
Lee County,Alabama,01,081,35.3
Limestone County,Alabama,01,083,25.7
Lowndes County,Alabama,01,085,14.7
Macon County,Alabama,01,087,20.4
Madison County,Alabama,01,089,42.8
Marengo County,Alabama,01,091,16.1
Marion County,Alabama,01,093,12.8
Marshall County,Alabama,01,095,19.4
Mobile County,Alabama,01,097,23.2
Monroe County,Alabama,01,099,13.5
Montgomery County,Alabama,01,101,33.4
Morgan County,Alabama,01,103,22.4
Perry County,Alabama,01,105,22.8
Pickens County,Alabama,01,107,14.1
Pike County,Alabama,01,109,23.7
Randolph County,Alabama,01,111,16.5
Russell County,Alabama,01,113,17.8
Saint Clair County,Alabama,01,115,16.1
Shelby County,Alabama,01,117,42.9
