County,State,State_FIPS,County_FIPS,some_college_less_1_year
Autauga County,Alabama,01,001,2410
Baldwin County,Alabama,01,003,8459
Barbour County,Alabama,01,005,956
Bibb County,Alabama,01,007,675
Blount County,Alabama,01,009,2509
Bullock County,Alabama,01,011,137
Butler County,Alabama,01,013,690
Calhoun County,Alabama,01,015,5501
Chambers County,Alabama,01,017,1838
Cherokee County,Alabama,01,019,1307
Chilton County,Alabama,01,021,1302
Choctaw County,Alabama,01,023,458
Clarke County,Alabama,01,025,907
Clay County,Alabama,01,027,591
Cleburne County,Alabama,01,029,748
Coffee County,Alabama,01,031,2158
Colbert County,Alabama,01,033,2812
Conecuh County,Alabama,01,035,334
Coosa County,Alabama,01,037,434
Covington County,Alabama,01,039,1790
Crenshaw County,Alabama,01,041,551
Cullman County,Alabama,01,043,3436
Dale County,Alabama,01,045,2420
Dallas County,Alabama,01,047,1569
DeKalb County,Alabama,01,049,2446
Elmore County,Alabama,01,051,3190
Escambia County,Alabama,01,053,1614
Etowah County,Alabama,01,055,4988
Fayette County,Alabama,01,057,820
Franklin County,Alabama,01,059,1336
Geneva County,Alabama,01,061,1442
Greene County,Alabama,01,063,259
Hale County,Alabama,01,065,434
Henry County,Alabama,01,067,673
Houston County,Alabama,01,069,4646
Jackson County,Alabama,01,071,2369
Jefferson County,Alabama,01,073,23305
Lamar County,Alabama,01,075,620
Lauderdale County,Alabama,01,077,4193
Lawrence County,Alabama,01,079,1325
Lee County,Alabama,01,081,4557
Limestone County,Alabama,01,083,4082
Lowndes County,Alabama,01,085,365
Macon County,Alabama,01,087,588
Madison County,Alabama,01,089,12533
Marengo County,Alabama,01,091,752
Marion County,Alabama,01,093,1516
Marshall County,Alabama,01,095,3754
Mobile County,Alabama,01,097,15401
Monroe County,Alabama,01,099,773
Montgomery County,Alabama,01,101,7732
Morgan County,Alabama,01,103,6075
Perry County,Alabama,01,105,244
Pickens County,Alabama,01,107,920
Pike County,Alabama,01,109,1006
Randolph County,Alabama,01,111,1150
Russell County,Alabama,01,113,2569
Saint Clair County,Alabama,01,115,4137
Shelby County,Alabama,01,117,7221
Sumter County,Alabama,01,119,234
Talladega County,Alabama,01,121,3264
Tallapoosa County,Alabama,01,123,1871
Tuscaloosa County,Alabama,01,125,5895
Walker County,Alabama,01,127,3614
