County,State,State_FIPS,County_FIPS,high_school_grads
Autauga County,Alabama,01,001,9686
Baldwin County,Alabama,01,003,30682
Barbour County,Alabama,01,005,5095
Bibb County,Alabama,01,007,5694
Blount County,Alabama,01,009,10875
Bullock County,Alabama,01,011,2334
Butler County,Alabama,01,013,4884
Calhoun County,Alabama,01,015,20810
Chambers County,Alabama,01,017,6419
Cherokee County,Alabama,01,019,5282
Chilton County,Alabama,01,021,9433
Choctaw County,Alabama,01,023,3257
Clarke County,Alabama,01,025,6310
Clay County,Alabama,01,027,3105
Cleburne County,Alabama,01,029,3202
Coffee County,Alabama,01,031,8081
Colbert County,Alabama,01,033,10370
Conecuh County,Alabama,01,035,3188
Coosa County,Alabama,01,037,3077
Covington County,Alabama,01,039,7102
Crenshaw County,Alabama,01,041,3108
Cullman County,Alabama,01,043,14697
Dale County,Alabama,01,045,7612
Dallas County,Alabama,01,047,8796
DeKalb County,Alabama,01,049,13698
Elmore County,Alabama,01,051,14219
Escambia County,Alabama,01,053,7465
Etowah County,Alabama,01,055,18346
Fayette County,Alabama,01,057,3746
Franklin County,Alabama,01,059,5976
Geneva County,Alabama,01,061,5491
Greene County,Alabama,01,063,2123
Hale County,Alabama,01,065,3187
Henry County,Alabama,01,067,3652
Houston County,Alabama,01,069,19552
Jackson County,Alabama,01,071,10515
Jefferson County,Alabama,01,073,103577
Lamar County,Alabama,01,075,3226
Lauderdale County,Alabama,01,077,17304
Lawrence County,Alabama,01,079,7334
Lee County,Alabama,01,081,17726
Limestone County,Alabama,01,083,13099
Lowndes County,Alabama,01,085,2669
Macon County,Alabama,01,087,3319
Madison County,Alabama,01,089,39493
Marengo County,Alabama,01,091,4779
Marion County,Alabama,01,093,5821
Marshall County,Alabama,01,095,15293
Mobile County,Alabama,01,097,76767
Monroe County,Alabama,01,099,5246
Montgomery County,Alabama,01,101,31306
Morgan County,Alabama,01,103,20371
Perry County,Alabama,01,105,2531
Pickens County,Alabama,01,107,4957
Pike County,Alabama,01,109,5859
Randolph County,Alabama,01,111,4594
Russell County,Alabama,01,113,8991
Saint Clair County,Alabama,01,115,15322
Shelby County,Alabama,01,117,23632
Sumter County,Alabama,01,119,2840
Talladega County,Alabama,01,121,16864
Tallapoosa County,Alabama,01,123,8319
Tuscaloosa County,Alabama,01,125,31183
Walker County,Alabama,01,127,12920
Washington County,Alabama,01,129,5036
Wilcox County,Alabama,01,131,2709
Winston County,Alabama,01,133,4006
Anchorage Municipality,Alaska,02,020,34514
Bethel Census Area,Alaska,02,050,3031
Bristol Bay Borough,Alaska,02,060,120
Fairbanks North Star Borough,Alaska,02,090,11807
Haines Borough,Alaska,02,100,513
Juneau City and Borough,Alaska,02,110,3734
Kenai Peninsula Borough,Alaska,02,122,9822
Kodiak Island Borough,Alaska,02,150,1572
Matanuska-Susitna Borough,Alaska,02,170,14208
Nome Census Area,Alaska,02,180,1744
North Slope Borough,Alaska,02,185,1572
Sitka City and Borough,Alaska,02,220,1159
Southeast Fairbanks Census Area,Alaska,02,240,1138
Valdez-Cordova Census Area,Alaska,02,261,1313
Wade Hampton Census Area,Alaska,02,270,1282
Northwest Arctic Borough,Alaska,02,188,1313
Aleutians East Borough,Alaska,02,013,869
Aleutians West Census Area,Alaska,02,016,1191
Dillingham Census Area,Alaska,02,070,677
Lake and Peninsula Borough,Alaska,02,164,198
Denali Borough,Alaska,02,068,283
Yukon-Koyukuk Census Area,Alaska,02,290,1070
Hoonah-Angoon Census Area,Alaska,02,105,376
Skagway Municipality,Alaska,02,230,235
Yakutat City and Borough,Alaska,02,282,96
Ketchikan Gateway Borough,Alaska,02,130,2303
Petersburg Borough,Alaska,02,195,776
Prince of Wales-Hyder Census Area,Alaska,02,198,1324
Wrangell City and Borough,Alaska,02,275,525
Apache County,Arizona,04,001,11498
Cochise County,Arizona,04,003,16870
Coconino County,Arizona,04,005,14463
Gila County,Arizona,04,007,10400
Graham County,Arizona,04,009,5717
Greenlee County,Arizona,04,011,1640
Maricopa County,Arizona,04,013,483833
Mohave County,Arizona,04,015,39894
Navajo County,Arizona,04,017,15799
Pima County,Arizona,04,019,123770
Pinal County,Arizona,04,021,55692
Santa Cruz County,Arizona,04,023,6906
Yavapai County,Arizona,04,025,34307
La Paz County,Arizona,04,012,4199
Yuma County,Arizona,04,027,23010
Arkansas County,Arkansas,05,001,4825
Ashley County,Arkansas,05,003,5413
Baxter County,Arkansas,05,005,9714
Benton County,Arkansas,05,007,37112
Boone County,Arkansas,05,009,8239
Bradley County,Arkansas,05,011,2621
Calhoun County,Arkansas,05,013,1608
Carroll County,Arkansas,05,015,6052
