County,State,State_FIPS,County_FIPS,bachelors_degree
Little River County,Arkansas,05,081,761.0
Logan County,Arkansas,05,083,1372.0
Lonoke County,Arkansas,05,085,6027.0
Madison County,Arkansas,05,087,768.0
Marion County,Arkansas,05,089,1197.0
Miller County,Arkansas,05,091,2506.0
Mississippi County,Arkansas,05,093,2336.0
Monroe County,Arkansas,05,095,499.0
Montgomery County,Arkansas,05,097,584.0
Nevada County,Arkansas,05,099,624.0
Newton County,Arkansas,05,101,449.0
Ouachita County,Arkansas,05,103,1972.0
Perry County,Arkansas,05,105,761.0
Phillips County,Arkansas,05,107,1111.0
Pike County,Arkansas,05,109,596.0
Poinsett County,Arkansas,05,111,1002.0
Polk County,Arkansas,05,113,1169.0
Pope County,Arkansas,05,115,5550.0
Prairie County,Arkansas,05,117,402.0
Pulaski County,Arkansas,05,119,53233.0
Randolph County,Arkansas,05,121,1209.0
Saint Francis County,Arkansas,05,123,1305.0
Saline County,Arkansas,05,125,12089.0
Scott County,Arkansas,05,127,561.0
Searcy County,Arkansas,05,129,494.0
Sebastian County,Arkansas,05,131,10841.0
Sevier County,Arkansas,05,133,600.0
Sharp County,Arkansas,05,135,662.0
Stone County,Arkansas,05,137,961.0
Union County,Arkansas,05,139,3477.0
Van Buren County,Arkansas,05,141,973.0
Washington County,Arkansas,05,143,21709.0
White County,Arkansas,05,145,5877.0
Woodruff County,Arkansas,05,147,315.0
Yell County,Arkansas,05,149,1328.0
Alameda County,California,06,001,262854.0
Alpine County,California,06,003,153.0
Amador County,California,06,005,4095.0
Butte County,California,06,007,23653.0
Calaveras County,California,06,009,5034.0
Colusa County,California,06,011,1491.0
Contra Costa County,California,06,013,183654.0
Del Norte County,California,06,015,2022.0
El Dorado County,California,06,017,27179.0
Fresno County,California,06,019,73566.0
Glenn County,California,06,021,1916.0
Humboldt County,California,06,023,16786.0
Imperial County,California,06,025,9993.0
Inyo County,California,06,027,1800.0
Kern County,California,06,029,51067.0
Kings County,California,06,031,8265.0
Lake County,California,06,033,4935.0
Lassen County,California,06,035,1999.0
Los Angeles County,California,06,037,1281851.0
Madera County,California,06,039,8858.0
Marin County,California,06,041,58107.0
Mariposa County,California,06,043,2006.0
Mendocino County,California,06,045,8930.0
Merced County,California,06,047,12985.0
Modoc County,California,06,049,955.0
Mono County,California,06,051,2322.0
Monterey County,California,06,053,37596.0
Napa County,California,06,055,20343.0
Nevada County,California,06,057,15724.0
Orange County,California,06,059,494995.0
Placer County,California,06,061,59598.0
Plumas County,California,06,063,1956.0
Riverside County,California,06,065,188561.0
Sacramento County,California,06,067,176972.0
San Benito County,California,06,069,4849.0
San Bernardino County,California,06,071,151858.0
San Diego County,California,06,073,455144.0
