County,State,State_FIPS,County_FIPS,some_college_less_1_year
Autauga County,Alabama,01,001,2626.0
Baldwin County,Alabama,01,003,8458.0
Barbour County,Alabama,01,005,1111.0
Bibb County,Alabama,01,007,583.0
Blount County,Alabama,01,009,3117.0
Bullock County,Alabama,01,011,132.0
Butler County,Alabama,01,013,620.0
Calhoun County,Alabama,01,015,5894.0
Chambers County,Alabama,01,017,1518.0
Cherokee County,Alabama,01,019,1181.0
Chilton County,Alabama,01,021,1571.0
Choctaw County,Alabama,01,023,630.0
Clarke County,Alabama,01,025,788.0
Clay County,Alabama,01,027,569.0
Cleburne County,Alabama,01,029,792.0
Coffee County,Alabama,01,031,2419.0
Colbert County,Alabama,01,033,2665.0
Conecuh County,Alabama,01,035,518.0
Coosa County,Alabama,01,037,364.0
Covington County,Alabama,01,039,1920.0
Crenshaw County,Alabama,01,041,541.0
Cullman County,Alabama,01,043,3566.0
Dale County,Alabama,01,045,2349.0
Dallas County,Alabama,01,047,1689.0
DeKalb County,Alabama,01,049,2447.0
Elmore County,Alabama,01,051,3128.0
Escambia County,Alabama,01,053,1406.0
Etowah County,Alabama,01,055,4867.0
Fayette County,Alabama,01,057,751.0
Franklin County,Alabama,01,059,1207.0
Geneva County,Alabama,01,061,1519.0
Greene County,Alabama,01,063,344.0
Hale County,Alabama,01,065,493.0
Henry County,Alabama,01,067,703.0
Houston County,Alabama,01,069,4717.0
Jackson County,Alabama,01,071,1658.0
Jefferson County,Alabama,01,073,23907.0
Lamar County,Alabama,01,075,754.0
Lauderdale County,Alabama,01,077,4267.0
Lawrence County,Alabama,01,079,1338.0
Lee County,Alabama,01,081,5575.0
Limestone County,Alabama,01,083,3972.0
Lowndes County,Alabama,01,085,266.0
Macon County,Alabama,01,087,607.0
Madison County,Alabama,01,089,12183.0
Marengo County,Alabama,01,091,744.0
Marion County,Alabama,01,093,1769.0
Marshall County,Alabama,01,095,4173.0
Mobile County,Alabama,01,097,16592.0
Monroe County,Alabama,01,099,672.0
Montgomery County,Alabama,01,101,8005.0
Morgan County,Alabama,01,103,5690.0
Perry County,Alabama,01,105,197.0
Pickens County,Alabama,01,107,924.0
Pike County,Alabama,01,109,924.0
Randolph County,Alabama,01,111,835.0
Russell County,Alabama,01,113,2962.0
Saint Clair County,Alabama,01,115,4135.0
Shelby County,Alabama,01,117,7919.0
Sumter County,Alabama,01,119,274.0
Talladega County,Alabama,01,121,3720.0
Tallapoosa County,Alabama,01,123,1756.0
Tuscaloosa County,Alabama,01,125,5673.0
Walker County,Alabama,01,127,3436.0
Washington County,Alabama,01,129,589.0
Wilcox County,Alabama,01,131,409.0
Winston County,Alabama,01,133,1328.0
Anchorage Municipality,Alaska,02,020,13410.0
Bethel Census Area,Alaska,02,050,697.0
Bristol Bay Borough,Alaska,02,060,44.0
Fairbanks North Star Borough,Alaska,02,090,4621.0
Haines Borough,Alaska,02,100,86.0
Juneau City and Borough,Alaska,02,110,1750.0
Kenai Peninsula Borough,Alaska,02,122,2714.0
Kodiak Island Borough,Alaska,02,150,840.0
Matanuska-Susitna Borough,Alaska,02,170,5366.0
Nome Census Area,Alaska,02,180,452.0
North Slope Borough,Alaska,02,185,394.0
Sitka City and Borough,Alaska,02,220,587.0
