County,State,State_FIPS,County_FIPS,ged_or_alternative
Autauga County,Alabama,01,001,2322.0
Baldwin County,Alabama,01,003,6564.0
Barbour County,Alabama,01,005,1335.0
Bibb County,Alabama,01,007,1086.0
Blount County,Alabama,01,009,2533.0
Bullock County,Alabama,01,011,306.0
Butler County,Alabama,01,013,658.0
Calhoun County,Alabama,01,015,4836.0
Chambers County,Alabama,01,017,1859.0
Cherokee County,Alabama,01,019,1068.0
Chilton County,Alabama,01,021,1506.0
Choctaw County,Alabama,01,023,413.0
Clarke County,Alabama,01,025,952.0
Clay County,Alabama,01,027,533.0
Cleburne County,Alabama,01,029,838.0
Coffee County,Alabama,01,031,1900.0
Colbert County,Alabama,01,033,2835.0
Conecuh County,Alabama,01,035,445.0
Coosa County,Alabama,01,037,417.0
Covington County,Alabama,01,039,1795.0
Crenshaw County,Alabama,01,041,648.0
Cullman County,Alabama,01,043,3238.0
Dale County,Alabama,01,045,2258.0
Dallas County,Alabama,01,047,1173.0
DeKalb County,Alabama,01,049,2760.0
Elmore County,Alabama,01,051,4770.0
Escambia County,Alabama,01,053,2141.0
Etowah County,Alabama,01,055,4402.0
Fayette County,Alabama,01,057,1034.0
Franklin County,Alabama,01,059,1274.0
Geneva County,Alabama,01,061,1815.0
Greene County,Alabama,01,063,201.0
Hale County,Alabama,01,065,666.0
Henry County,Alabama,01,067,887.0
Houston County,Alabama,01,069,4084.0
Jackson County,Alabama,01,071,3056.0
Jefferson County,Alabama,01,073,16829.0
Lamar County,Alabama,01,075,732.0
Lauderdale County,Alabama,01,077,3900.0
Lawrence County,Alabama,01,079,1844.0
Lee County,Alabama,01,081,4240.0
Limestone County,Alabama,01,083,4382.0
Lowndes County,Alabama,01,085,204.0
Macon County,Alabama,01,087,494.0
Madison County,Alabama,01,089,9153.0
Marengo County,Alabama,01,091,497.0
Marion County,Alabama,01,093,1722.0
Marshall County,Alabama,01,095,4019.0
Mobile County,Alabama,01,097,13187.0
Monroe County,Alabama,01,099,777.0
Montgomery County,Alabama,01,101,7752.0
Morgan County,Alabama,01,103,5665.0
Perry County,Alabama,01,105,343.0
Pickens County,Alabama,01,107,582.0
Pike County,Alabama,01,109,984.0
Randolph County,Alabama,01,111,995.0
Russell County,Alabama,01,113,2172.0
Saint Clair County,Alabama,01,115,4017.0
Shelby County,Alabama,01,117,4349.0
Sumter County,Alabama,01,119,378.0
Talladega County,Alabama,01,121,3857.0
Tallapoosa County,Alabama,01,123,1929.0
Tuscaloosa County,Alabama,01,125,5305.0
Walker County,Alabama,01,127,3695.0
Washington County,Alabama,01,129,640.0
Wilcox County,Alabama,01,131,253.0
Winston County,Alabama,01,133,1278.0
Anchorage Municipality,Alaska,02,020,8114.0
Bethel Census Area,Alaska,02,050,607.0
Bristol Bay Borough,Alaska,02,060,18.0
Fairbanks North Star Borough,Alaska,02,090,3023.0
Haines Borough,Alaska,02,100,43.0
Juneau City and Borough,Alaska,02,110,975.0
Kenai Peninsula Borough,Alaska,02,122,2580.0
