County,State,State_FIPS,County_FIPS,high_school_grads
Autauga County,Alabama,01,001,9860.0
Baldwin County,Alabama,01,003,32245.0
Barbour County,Alabama,01,005,4927.0
Bibb County,Alabama,01,007,5332.0
Blount County,Alabama,01,009,10818.0
Bullock County,Alabama,01,011,2169.0
Butler County,Alabama,01,013,4615.0
Calhoun County,Alabama,01,015,20133.0
Chambers County,Alabama,01,017,7299.0
Cherokee County,Alabama,01,019,5711.0
Chilton County,Alabama,01,021,9897.0
Choctaw County,Alabama,01,023,3086.0
Clarke County,Alabama,01,025,6529.0
Clay County,Alabama,01,027,3007.0
Cleburne County,Alabama,01,029,3210.0
Coffee County,Alabama,01,031,8049.0
Colbert County,Alabama,01,033,10323.0
Conecuh County,Alabama,01,035,3450.0
Coosa County,Alabama,01,037,2572.0
Covington County,Alabama,01,039,7031.0
Crenshaw County,Alabama,01,041,3052.0
Cullman County,Alabama,01,043,15737.0
Dale County,Alabama,01,045,8409.0
Dallas County,Alabama,01,047,8250.0
DeKalb County,Alabama,01,049,13509.0
Elmore County,Alabama,01,051,14663.0
Escambia County,Alabama,01,053,8544.0
Etowah County,Alabama,01,055,18462.0
Fayette County,Alabama,01,057,3655.0
Franklin County,Alabama,01,059,6517.0
Geneva County,Alabama,01,061,5314.0
Greene County,Alabama,01,063,2088.0
Hale County,Alabama,01,065,3641.0
Henry County,Alabama,01,067,3524.0
Houston County,Alabama,01,069,19172.0
Jackson County,Alabama,01,071,11772.0
Jefferson County,Alabama,01,073,100198.0
Lamar County,Alabama,01,075,3013.0
Lauderdale County,Alabama,01,077,17555.0
Lawrence County,Alabama,01,079,7721.0
Lee County,Alabama,01,081,18163.0
Limestone County,Alabama,01,083,14967.0
Lowndes County,Alabama,01,085,2249.0
Macon County,Alabama,01,087,3260.0
Madison County,Alabama,01,089,40022.0
Marengo County,Alabama,01,091,5283.0
Marion County,Alabama,01,093,5944.0
Marshall County,Alabama,01,095,15846.0
Mobile County,Alabama,01,097,76135.0
Monroe County,Alabama,01,099,5942.0
Montgomery County,Alabama,01,101,30823.0
Morgan County,Alabama,01,103,19923.0
Perry County,Alabama,01,105,1888.0
Pickens County,Alabama,01,107,5218.0
Pike County,Alabama,01,109,5618.0
Randolph County,Alabama,01,111,4537.0
Russell County,Alabama,01,113,9839.0
Saint Clair County,Alabama,01,115,16915.0
Shelby County,Alabama,01,117,24778.0
Sumter County,Alabama,01,119,3008.0
Talladega County,Alabama,01,121,16479.0
Tallapoosa County,Alabama,01,123,8064.0
Tuscaloosa County,Alabama,01,125,31297.0
Walker County,Alabama,01,127,12829.0
Washington County,Alabama,01,129,4687.0
Wilcox County,Alabama,01,131,2817.0
Winston County,Alabama,01,133,4682.0
Anchorage Municipality,Alaska,02,020,37276.0
Bethel Census Area,Alaska,02,050,3486.0
Bristol Bay Borough,Alaska,02,060,175.0
Fairbanks North Star Borough,Alaska,02,090,11279.0
Haines Borough,Alaska,02,100,493.0
Juneau City and Borough,Alaska,02,110,3719.0
Kenai Peninsula Borough,Alaska,02,122,10258.0
Kodiak Island Borough,Alaska,02,150,1941.0
Matanuska-Susitna Borough,Alaska,02,170,15455.0
Nome Census Area,Alaska,02,180,1886.0
North Slope Borough,Alaska,02,185,2013.0
Sitka City and Borough,Alaska,02,220,1096.0
Southeast Fairbanks Census Area,Alaska,02,240,1263.0
Valdez-Cordova Census Area,Alaska,02,261,1466.0
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,1431.0
Aleutians East Borough,Alaska,02,013,914.0
Aleutians West Census Area,Alaska,02,016,1287.0
Dillingham Census Area,Alaska,02,070,934.0
Lake and Peninsula Borough,Alaska,02,164,311.0
Denali Borough,Alaska,02,068,311.0
Yukon-Koyukuk Census Area,Alaska,02,290,1146.0
Hoonah-Angoon Census Area,Alaska,02,105,432.0
Skagway Municipality,Alaska,02,230,215.0
Yakutat City and Borough,Alaska,02,282,178.0
Ketchikan Gateway Borough,Alaska,02,130,2327.0
Petersburg Borough,Alaska,02,195,621.0
Prince of Wales-Hyder Census Area,Alaska,02,198,1488.0
Wrangell City and Borough,Alaska,02,275,577.0
Apache County,Arizona,04,001,12866.0
Cochise County,Arizona,04,003,16107.0
Coconino County,Arizona,04,005,14489.0
Gila County,Arizona,04,007,9829.0
Graham County,Arizona,04,009,5463.0
Greenlee County,Arizona,04,011,1650.0
Maricopa County,Arizona,04,013,509569.0
Mohave County,Arizona,04,015,44064.0
Navajo County,Arizona,04,017,16782.0
Pima County,Arizona,04,019,123586.0
Pinal County,Arizona,04,021,62064.0
Santa Cruz County,Arizona,04,023,6182.0
Yavapai County,Arizona,04,025,35046.0
La Paz County,Arizona,04,012,4683.0
Yuma County,Arizona,04,027,24684.0
Arkansas County,Arkansas,05,001,4636.0
Ashley County,Arkansas,05,003,5203.0
Baxter County,Arkansas,05,005,8931.0
Benton County,Arkansas,05,007,40043.0
Boone County,Arkansas,05,009,7697.0
Bradley County,Arkansas,05,011,2801.0
Calhoun County,Arkansas,05,013,1571.0
Carroll County,Arkansas,05,015,5584.0
Chicot County,Arkansas,05,017,2752.0
Clark County,Arkansas,05,019,3706.0
Clay County,Arkansas,05,021,3488.0
Cleburne County,Arkansas,05,023,5855.0
Cleveland County,Arkansas,05,025,2192.0
Columbia County,Arkansas,05,027,5225.0
Conway County,Arkansas,05,029,5314.0
Craighead County,Arkansas,05,031,16984.0
Crawford County,Arkansas,05,033,12861.0
Crittenden County,Arkansas,05,035,9747.0
Cross County,Arkansas,05,037,4550.0
Dallas County,Arkansas,05,039,2517.0
Desha County,Arkansas,05,041,2906.0
Drew County,Arkansas,05,043,3462.0
Faulkner County,Arkansas,05,045,18166.0
Franklin County,Arkansas,05,047,4089.0
Fulton County,Arkansas,05,049,3304.0
Garland County,Arkansas,05,051,18295.0
Grant County,Arkansas,05,053,4388.0
Greene County,Arkansas,05,055,9156.0
Hempstead County,Arkansas,05,057,5141.0
Hot Spring County,Arkansas,05,059,7377.0
Howard County,Arkansas,05,061,2683.0
Independence County,Arkansas,05,063,7920.0
Izard County,Arkansas,05,065,3190.0
Jackson County,Arkansas,05,067,4218.0
Jefferson County,Arkansas,05,069,15923.0
Johnson County,Arkansas,05,071,5281.0
Lafayette County,Arkansas,05,073,1807.0
Lawrence County,Arkansas,05,075,3869.0
Lee County,Arkansas,05,077,2356.0
Lincoln County,Arkansas,05,079,3950.0
Little River County,Arkansas,05,081,2924.0
Logan County,Arkansas,05,083,5351.0
Lonoke County,Arkansas,05,085,12477.0
Madison County,Arkansas,05,087,4175.0
Marion County,Arkansas,05,089,4532.0
Miller County,Arkansas,05,091,9225.0
Mississippi County,Arkansas,05,093,8048.0
Monroe County,Arkansas,05,095,1916.0
Montgomery County,Arkansas,05,097,2141.0
Nevada County,Arkansas,05,099,2168.0
Newton County,Arkansas,05,101,2141.0
Ouachita County,Arkansas,05,103,6576.0
Perry County,Arkansas,05,105,2491.0
Phillips County,Arkansas,05,107,3257.0
Pike County,Arkansas,05,109,2023.0
Poinsett County,Arkansas,05,111,5614.0
Polk County,Arkansas,05,113,4342.0
Pope County,Arkansas,05,115,10571.0
Prairie County,Arkansas,05,117,2058.0
Pulaski County,Arkansas,05,119,60501.0
Randolph County,Arkansas,05,121,3853.0
Saint Francis County,Arkansas,05,123,5678.0
Saline County,Arkansas,05,125,22335.0
Scott County,Arkansas,05,127,2444.0
Searcy County,Arkansas,05,129,1909.0
Sebastian County,Arkansas,05,131,21492.0
Sevier County,Arkansas,05,133,3113.0
Sharp County,Arkansas,05,135,4577.0
