County,State,State_FIPS,County_FIPS,some_college_1_plus_year
Autauga County,Alabama,01,001,5321.0
Baldwin County,Alabama,01,003,22319.0
Barbour County,Alabama,01,005,2110.0
Bibb County,Alabama,01,007,2367.0
Blount County,Alabama,01,009,5469.0
Bullock County,Alabama,01,011,1059.0
Butler County,Alabama,01,013,1783.0
Calhoun County,Alabama,01,015,14458.0
Chambers County,Alabama,01,017,3735.0
Cherokee County,Alabama,01,019,2719.0
Chilton County,Alabama,01,021,3346.0
Choctaw County,Alabama,01,023,1204.0
Clarke County,Alabama,01,025,2059.0
Clay County,Alabama,01,027,1438.0
Cleburne County,Alabama,01,029,1426.0
Coffee County,Alabama,01,031,5541.0
Colbert County,Alabama,01,033,6556.0
Conecuh County,Alabama,01,035,989.0
Coosa County,Alabama,01,037,1332.0
Covington County,Alabama,01,039,3803.0
Crenshaw County,Alabama,01,041,1282.0
Cullman County,Alabama,01,043,7643.0
Dale County,Alabama,01,045,6381.0
Dallas County,Alabama,01,047,4370.0
DeKalb County,Alabama,01,049,5500.0
Elmore County,Alabama,01,051,7780.0
Escambia County,Alabama,01,053,3337.0
Etowah County,Alabama,01,055,13287.0
Fayette County,Alabama,01,057,1401.0
Franklin County,Alabama,01,059,2623.0
Geneva County,Alabama,01,061,2817.0
Greene County,Alabama,01,063,895.0
Hale County,Alabama,01,065,1304.0
Henry County,Alabama,01,067,1843.0
Houston County,Alabama,01,069,11909.0
Jackson County,Alabama,01,071,4847.0
Jefferson County,Alabama,01,073,77553.0
Lamar County,Alabama,01,075,1439.0
Lauderdale County,Alabama,01,077,10031.0
Lawrence County,Alabama,01,079,3269.0
Lee County,Alabama,01,081,14958.0
Limestone County,Alabama,01,083,9238.0
Lowndes County,Alabama,01,085,1085.0
Macon County,Alabama,01,087,2353.0
Madison County,Alabama,01,089,36640.0
Marengo County,Alabama,01,091,1930.0
Marion County,Alabama,01,093,3362.0
Marshall County,Alabama,01,095,9772.0
Mobile County,Alabama,01,097,45473.0
Monroe County,Alabama,01,099,1673.0
Montgomery County,Alabama,01,101,23556.0
Morgan County,Alabama,01,103,13204.0
Perry County,Alabama,01,105,850.0
Pickens County,Alabama,01,107,2230.0
Pike County,Alabama,01,109,2527.0
Randolph County,Alabama,01,111,1954.0
Russell County,Alabama,01,113,6774.0
Saint Clair County,Alabama,01,115,10014.0
Shelby County,Alabama,01,117,21682.0
Sumter County,Alabama,01,119,1177.0
Talladega County,Alabama,01,121,8802.0
Tallapoosa County,Alabama,01,123,3976.0
Tuscaloosa County,Alabama,01,125,20569.0
Walker County,Alabama,01,127,6872.0
Washington County,Alabama,01,129,1453.0
Wilcox County,Alabama,01,131,976.0
Winston County,Alabama,01,133,2106.0
Anchorage Municipality,Alaska,02,020,36972.0
Bethel Census Area,Alaska,02,050,1196.0
Bristol Bay Borough,Alaska,02,060,164.0
Fairbanks North Star Borough,Alaska,02,090,13390.0
Haines Borough,Alaska,02,100,436.0
Juneau City and Borough,Alaska,02,110,4655.0
Kenai Peninsula Borough,Alaska,02,122,8333.0
Kodiak Island Borough,Alaska,02,150,1753.0
Matanuska-Susitna Borough,Alaska,02,170,13892.0
Nome Census Area,Alaska,02,180,849.0
North Slope Borough,Alaska,02,185,1409.0
Sitka City and Borough,Alaska,02,220,968.0
Southeast Fairbanks Census Area,Alaska,02,240,1004.0
Valdez-Cordova Census Area,Alaska,02,261,1197.0
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,546.0
Aleutians East Borough,Alaska,02,013,578.0
Aleutians West Census Area,Alaska,02,016,983.0
Dillingham Census Area,Alaska,02,070,463.0
Lake and Peninsula Borough,Alaska,02,164,145.0
Denali Borough,Alaska,02,068,277.0
Yukon-Koyukuk Census Area,Alaska,02,290,653.0
Hoonah-Angoon Census Area,Alaska,02,105,324.0
Skagway Municipality,Alaska,02,230,200.0
Yakutat City and Borough,Alaska,02,282,108.0
Ketchikan Gateway Borough,Alaska,02,130,1805.0
Petersburg Borough,Alaska,02,195,423.0
Prince of Wales-Hyder Census Area,Alaska,02,198,1038.0
Wrangell City and Borough,Alaska,02,275,319.0
Apache County,Arizona,04,001,10384.0
Cochise County,Arizona,04,003,18534.0
Coconino County,Arizona,04,005,14246.0
Gila County,Arizona,04,007,7543.0
Graham County,Arizona,04,009,4995.0
Greenlee County,Arizona,04,011,1427.0
Maricopa County,Arizona,04,013,467510.0
Mohave County,Arizona,04,015,29495.0
Navajo County,Arizona,04,017,15470.0
Pima County,Arizona,04,019,120296.0
Pinal County,Arizona,04,021,49133.0
Santa Cruz County,Arizona,04,023,4676.0
Yavapai County,Arizona,04,025,34795.0
La Paz County,Arizona,04,012,2816.0
Yuma County,Arizona,04,027,21889.0
Arkansas County,Arkansas,05,001,2152.0
Ashley County,Arkansas,05,003,2485.0
Baxter County,Arkansas,05,005,5200.0
Benton County,Arkansas,05,007,23752.0
Boone County,Arkansas,05,009,5094.0
Bradley County,Arkansas,05,011,1126.0
Calhoun County,Arkansas,05,013,409.0
Carroll County,Arkansas,05,015,3390.0
Chicot County,Arkansas,05,017,1393.0
Clark County,Arkansas,05,019,2154.0
Clay County,Arkansas,05,021,1429.0
Cleburne County,Arkansas,05,023,2819.0
Cleveland County,Arkansas,05,025,786.0
Columbia County,Arkansas,05,027,1958.0
Conway County,Arkansas,05,029,1794.0
Craighead County,Arkansas,05,031,9884.0
Crawford County,Arkansas,05,033,6137.0
Crittenden County,Arkansas,05,035,5048.0
Cross County,Arkansas,05,037,1231.0
Dallas County,Arkansas,05,039,818.0
Desha County,Arkansas,05,041,924.0
Drew County,Arkansas,05,043,1808.0
Faulkner County,Arkansas,05,045,12749.0
Franklin County,Arkansas,05,047,1674.0
Fulton County,Arkansas,05,049,1371.0
Garland County,Arkansas,05,051,14550.0
Grant County,Arkansas,05,053,1782.0
Greene County,Arkansas,05,055,4400.0
Hempstead County,Arkansas,05,057,2073.0
Hot Spring County,Arkansas,05,059,3398.0
Howard County,Arkansas,05,061,1676.0
Independence County,Arkansas,05,063,3777.0
Izard County,Arkansas,05,065,1618.0
