County,State,State_FIPS,County_FIPS,bachelors_degree
Autauga County,Alabama,01,001,5085
Baldwin County,Alabama,01,003,23840
Barbour County,Alabama,01,005,1613
Bibb County,Alabama,01,007,928
Blount County,Alabama,01,009,3137
Bullock County,Alabama,01,011,485
Butler County,Alabama,01,013,1229
Calhoun County,Alabama,01,015,7831
Chambers County,Alabama,01,017,1738
Cherokee County,Alabama,01,019,1430
Chilton County,Alabama,01,021,2276
Choctaw County,Alabama,01,023,742
Clarke County,Alabama,01,025,1383
Clay County,Alabama,01,027,554
Cleburne County,Alabama,01,029,531
Coffee County,Alabama,01,031,4668
Colbert County,Alabama,01,033,4520
Conecuh County,Alabama,01,035,455
Coosa County,Alabama,01,037,400
Covington County,Alabama,01,039,2249
Crenshaw County,Alabama,01,041,607
Cullman County,Alabama,01,043,4735
Dale County,Alabama,01,045,3862
Dallas County,Alabama,01,047,2242
DeKalb County,Alabama,01,049,2735
Elmore County,Alabama,01,051,7340
Escambia County,Alabama,01,053,2159
Etowah County,Alabama,01,055,6850
Fayette County,Alabama,01,057,736
Franklin County,Alabama,01,059,1728
Geneva County,Alabama,01,061,1472
Greene County,Alabama,01,063,405
Hale County,Alabama,01,065,854
Henry County,Alabama,01,067,1188
Houston County,Alabama,01,069,8433
Jackson County,Alabama,01,071,3042
Jefferson County,Alabama,01,073,79583
Lamar County,Alabama,01,075,620
Lauderdale County,Alabama,01,077,8560
Lawrence County,Alabama,01,079,2057
Lee County,Alabama,01,081,14278
Limestone County,Alabama,01,083,8430
Lowndes County,Alabama,01,085,736
Macon County,Alabama,01,087,1352
Madison County,Alabama,01,089,52377
Marengo County,Alabama,01,091,1737
Marion County,Alabama,01,093,1137
Marshall County,Alabama,01,095,6112
Mobile County,Alabama,01,097,35419
Monroe County,Alabama,01,099,1209
Montgomery County,Alabama,01,101,28033
Morgan County,Alabama,01,103,10759
Perry County,Alabama,01,105,421
Pickens County,Alabama,01,107,876
Pike County,Alabama,01,109,2703
Randolph County,Alabama,01,111,1127
Russell County,Alabama,01,113,3690
Saint Clair County,Alabama,01,115,5728
Shelby County,Alabama,01,117,36111
Sumter County,Alabama,01,119,643
Talladega County,Alabama,01,121,4379
Tallapoosa County,Alabama,01,123,3057
Tuscaloosa County,Alabama,01,125,18105
Walker County,Alabama,01,127,2875
Washington County,Alabama,01,129,754
Wilcox County,Alabama,01,131,663
Winston County,Alabama,01,133,1104
Anchorage Municipality,Alaska,02,020,38651
Bethel Census Area,Alaska,02,050,657
Bristol Bay Borough,Alaska,02,060,84
Fairbanks North Star Borough,Alaska,02,090,9857
Haines Borough,Alaska,02,100,466
Juneau City and Borough,Alaska,02,110,4684
Kenai Peninsula Borough,Alaska,02,122,5900
Kodiak Island Borough,Alaska,02,150,1492
Matanuska-Susitna Borough,Alaska,02,170,8167
Nome Census Area,Alaska,02,180,640
North Slope Borough,Alaska,02,185,607
Sitka City and Borough,Alaska,02,220,1388
Southeast Fairbanks Census Area,Alaska,02,240,665
Valdez-Cordova Census Area,Alaska,02,261,945
Wade Hampton Census Area,Alaska,02,270,143
Northwest Arctic Borough,Alaska,02,188,239
Aleutians East Borough,Alaska,02,013,365
Aleutians West Census Area,Alaska,02,016,330
Dillingham Census Area,Alaska,02,070,304
Lake and Peninsula Borough,Alaska,02,164,92
Denali Borough,Alaska,02,068,266
Yukon-Koyukuk Census Area,Alaska,02,290,216
Hoonah-Angoon Census Area,Alaska,02,105,255
Skagway Municipality,Alaska,02,230,136
Yakutat City and Borough,Alaska,02,282,117
Ketchikan Gateway Borough,Alaska,02,130,1569
Petersburg Borough,Alaska,02,195,444
Prince of Wales-Hyder Census Area,Alaska,02,198,421
Wrangell City and Borough,Alaska,02,275,341
Apache County,Arizona,04,001,2661
Cochise County,Arizona,04,003,12436
