Feature Set,Num Features,Train R²,Test R²,Train RMSE,Test RMSE,Train MAE,Test MAE
All Features,43,0.9805567451045697,0.8520012871052751,0.3537470301939071,0.9765999287478261,0.26931923584190187,0.7385736517017558
Top 20,20,0.9701617716141065,0.8438484462635485,0.4382226639211541,1.00313844276332,0.3345034659397363,0.7638870050811012
Top 10,10,0.8950653538665536,0.8159922159407516,0.8218030880062662,1.0889446779103513,0.629946581191893,0.8409983020378717
Top 5,5,0.8155596461169159,0.7578659478971651,1.0895227199990742,1.2491530537915012,0.8358618261988041,0.9517741917995487
