County,State,State_FIPS,County_FIPS,less_than_9th_grade_percentage
Autauga County,Alabama,01,001,4.8
Baldwin County,Alabama,01,003,4.7
Barbour County,Alabama,01,005,9.4
Bibb County,Alabama,01,007,10.6
Blount County,Alabama,01,009,8.2
Bullock County,Alabama,01,011,13.8
Butler County,Alabama,01,013,9.3
Calhoun County,Alabama,01,015,6.8
Chambers County,Alabama,01,017,8.2
Cherokee County,Alabama,01,019,9.4
Chilton County,Alabama,01,021,9.7
Choctaw County,Alabama,01,023,10.5
Clarke County,Alabama,01,025,5.3
Clay County,Alabama,01,027,12.3
Cleburne County,Alabama,01,029,8.4
Coffee County,Alabama,01,031,7.2
Colbert County,Alabama,01,033,4.8
Conecuh County,Alabama,01,035,10.8
Coosa County,Alabama,01,037,8.4
Covington County,Alabama,01,039,7.5
Crenshaw County,Alabama,01,041,9.9
Cullman County,Alabama,01,043,8.0
Dale County,Alabama,01,045,5.3
Dallas County,Alabama,01,047,7.6
DeKalb County,Alabama,01,049,12.5
Elmore County,Alabama,01,051,3.6
Escambia County,Alabama,01,053,9.5
Etowah County,Alabama,01,055,5.9
Fayette County,Alabama,01,057,9.7
Franklin County,Alabama,01,059,12.2
Geneva County,Alabama,01,061,7.7
Greene County,Alabama,01,063,10.4
Hale County,Alabama,01,065,7.2
Henry County,Alabama,01,067,8.6
Houston County,Alabama,01,069,5.4
Jackson County,Alabama,01,071,9.1
Jefferson County,Alabama,01,073,3.8
Lamar County,Alabama,01,075,8.0
Lauderdale County,Alabama,01,077,4.6
Lawrence County,Alabama,01,079,8.4
Lee County,Alabama,01,081,3.9
Limestone County,Alabama,01,083,6.4
Lowndes County,Alabama,01,085,11.8
Macon County,Alabama,01,087,6.2
Madison County,Alabama,01,089,3.1
Marengo County,Alabama,01,091,5.2
Marion County,Alabama,01,093,10.5
Marshall County,Alabama,01,095,11.2
Mobile County,Alabama,01,097,4.5
Monroe County,Alabama,01,099,7.0
Montgomery County,Alabama,01,101,5.6
Morgan County,Alabama,01,103,7.6
Perry County,Alabama,01,105,9.2
Pickens County,Alabama,01,107,6.2
Pike County,Alabama,01,109,4.9
Randolph County,Alabama,01,111,12.6
