County,State,State_FIPS,County_FIPS,poverty_rate
Autauga County,Alabama,01,001,15.2
Baldwin County,Alabama,01,003,10.4
Barbour County,Alabama,01,005,30.7
Bibb County,Alabama,01,007,18.1
Blount County,Alabama,01,009,13.6
Bullock County,Alabama,01,011,28.9
Butler County,Alabama,01,013,22.5
Calhoun County,Alabama,01,015,17.9
Chambers County,Alabama,01,017,17.3
Cherokee County,Alabama,01,019,13.9
Chilton County,Alabama,01,021,19.1
Choctaw County,Alabama,01,023,23.3
Clarke County,Alabama,01,025,23.2
Clay County,Alabama,01,027,17.9
Cleburne County,Alabama,01,029,17.3
Coffee County,Alabama,01,031,15.1
Colbert County,Alabama,01,033,15.5
Conecuh County,Alabama,01,035,17.6
Coosa County,Alabama,01,037,13.5
Covington County,Alabama,01,039,18.6
Crenshaw County,Alabama,01,041,15.2
Cullman County,Alabama,01,043,14.9
Dale County,Alabama,01,045,17.6
Dallas County,Alabama,01,047,29.1
DeKalb County,Alabama,01,049,21.1
Elmore County,Alabama,01,051,11.5
Escambia County,Alabama,01,053,22.2
Etowah County,Alabama,01,055,17.4
Fayette County,Alabama,01,057,19.4
Franklin County,Alabama,01,059,19.4
Geneva County,Alabama,01,061,22.0
Greene County,Alabama,01,063,38.1
Hale County,Alabama,01,065,24.2
Henry County,Alabama,01,067,13.8
Houston County,Alabama,01,069,18.2
Jackson County,Alabama,01,071,18.6
Jefferson County,Alabama,01,073,16.0
Lamar County,Alabama,01,075,20.6
Lauderdale County,Alabama,01,077,14.6
Lawrence County,Alabama,01,079,18.0
Lee County,Alabama,01,081,19.6
Limestone County,Alabama,01,083,13.6
Lowndes County,Alabama,01,085,26.8
Macon County,Alabama,01,087,24.4
Madison County,Alabama,01,089,12.5
Marengo County,Alabama,01,091,21.9
Marion County,Alabama,01,093,17.5
Marshall County,Alabama,01,095,20.3
Mobile County,Alabama,01,097,18.8
Monroe County,Alabama,01,099,27.9
Montgomery County,Alabama,01,101,19.4
Morgan County,Alabama,01,103,14.6
Perry County,Alabama,01,105,30.8
Pickens County,Alabama,01,107,22.7
Pike County,Alabama,01,109,24.4
Randolph County,Alabama,01,111,16.9
Russell County,Alabama,01,113,20.7
Saint Clair County,Alabama,01,115,12.2
Shelby County,Alabama,01,117,7.5
Sumter County,Alabama,01,119,31.8
Talladega County,Alabama,01,121,19.1
Tallapoosa County,Alabama,01,123,18.9
Tuscaloosa County,Alabama,01,125,17.7
Walker County,Alabama,01,127,18.1
Washington County,Alabama,01,129,21.1
Wilcox County,Alabama,01,131,30.1
Winston County,Alabama,01,133,17.6
Anchorage Municipality,Alaska,02,020,9.0
Bethel Census Area,Alaska,02,050,28.3
Bristol Bay Borough,Alaska,02,060,7.2
Fairbanks North Star Borough,Alaska,02,090,8.0
Haines Borough,Alaska,02,100,11.3
Juneau City and Borough,Alaska,02,110,7.7
Kenai Peninsula Borough,Alaska,02,122,12.1
Kodiak Island Borough,Alaska,02,150,7.8
Matanuska-Susitna Borough,Alaska,02,170,10.3
Nome Census Area,Alaska,02,180,21.5
North Slope Borough,Alaska,02,185,10.1
Sitka City and Borough,Alaska,02,220,8.7
Southeast Fairbanks Census Area,Alaska,02,240,10.9
Valdez-Cordova Census Area,Alaska,02,261,7.8
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,26.1
Aleutians East Borough,Alaska,02,013,13.8
Aleutians West Census Area,Alaska,02,016,6.8
Dillingham Census Area,Alaska,02,070,17.2
Lake and Peninsula Borough,Alaska,02,164,16.5
Denali Borough,Alaska,02,068,16.3
Yukon-Koyukuk Census Area,Alaska,02,290,25.4
Hoonah-Angoon Census Area,Alaska,02,105,10.3
Skagway Municipality,Alaska,02,230,6.4
Yakutat City and Borough,Alaska,02,282,7.4
Ketchikan Gateway Borough,Alaska,02,130,9.6
Petersburg Borough,Alaska,02,195,5.7
Prince of Wales-Hyder Census Area,Alaska,02,198,17.3
Wrangell City and Borough,Alaska,02,275,7.8
Apache County,Arizona,04,001,35.5
Cochise County,Arizona,04,003,16.6
Coconino County,Arizona,04,005,17.6
Gila County,Arizona,04,007,21.6
Graham County,Arizona,04,009,22.6
Greenlee County,Arizona,04,011,13.3
Maricopa County,Arizona,04,013,13.8
Mohave County,Arizona,04,015,16.4
Navajo County,Arizona,04,017,27.9
Pima County,Arizona,04,019,16.8
Pinal County,Arizona,04,021,13.2
Santa Cruz County,Arizona,04,023,23.3
Yavapai County,Arizona,04,025,13.0
La Paz County,Arizona,04,012,22.4
Yuma County,Arizona,04,027,19.4
Arkansas County,Arkansas,05,001,17.3
Ashley County,Arkansas,05,003,16.7
Baxter County,Arkansas,05,005,13.1
Benton County,Arkansas,05,007,9.4
Boone County,Arkansas,05,009,14.7
Bradley County,Arkansas,05,011,20.5
Calhoun County,Arkansas,05,013,13.4
Carroll County,Arkansas,05,015,14.8
Chicot County,Arkansas,05,017,28.9
Clark County,Arkansas,05,019,20.3
Clay County,Arkansas,05,021,21.1
Cleburne County,Arkansas,05,023,14.0
Cleveland County,Arkansas,05,025,18.4
Columbia County,Arkansas,05,027,25.0
Conway County,Arkansas,05,029,17.6
Craighead County,Arkansas,05,031,16.6
Crawford County,Arkansas,05,033,17.2
Crittenden County,Arkansas,05,035,22.2
Cross County,Arkansas,05,037,15.4
Dallas County,Arkansas,05,039,14.7
Desha County,Arkansas,05,041,29.1
Drew County,Arkansas,05,043,18.8
Faulkner County,Arkansas,05,045,16.7
Franklin County,Arkansas,05,047,23.0
Fulton County,Arkansas,05,049,20.7
Garland County,Arkansas,05,051,18.6
Grant County,Arkansas,05,053,14.5
Greene County,Arkansas,05,055,16.4
Hempstead County,Arkansas,05,057,22.7
Hot Spring County,Arkansas,05,059,18.0
Howard County,Arkansas,05,061,19.4
Independence County,Arkansas,05,063,16.7
Izard County,Arkansas,05,065,15.1
Jackson County,Arkansas,05,067,24.4
Jefferson County,Arkansas,05,069,22.2
Johnson County,Arkansas,05,071,22.7
Lafayette County,Arkansas,05,073,25.9
Lawrence County,Arkansas,05,075,15.6
Lee County,Arkansas,05,077,22.1
Lincoln County,Arkansas,05,079,20.0
Little River County,Arkansas,05,081,16.1
Logan County,Arkansas,05,083,18.7
Lonoke County,Arkansas,05,085,12.2
Madison County,Arkansas,05,087,17.4
Marion County,Arkansas,05,089,18.2
Miller County,Arkansas,05,091,20.1
Mississippi County,Arkansas,05,093,24.3
Monroe County,Arkansas,05,095,27.1
Montgomery County,Arkansas,05,097,21.3
Nevada County,Arkansas,05,099,23.1
Newton County,Arkansas,05,101,15.8
Ouachita County,Arkansas,05,103,23.2
Perry County,Arkansas,05,105,17.9
Phillips County,Arkansas,05,107,34.5
Pike County,Arkansas,05,109,15.4
Poinsett County,Arkansas,05,111,21.4
Polk County,Arkansas,05,113,23.8
Pope County,Arkansas,05,115,18.8
Prairie County,Arkansas,05,117,14.8
Pulaski County,Arkansas,05,119,16.8
Randolph County,Arkansas,05,121,18.8
Saint Francis County,Arkansas,05,123,24.9
Saline County,Arkansas,05,125,9.2
Scott County,Arkansas,05,127,19.1
Searcy County,Arkansas,05,129,21.9
Sebastian County,Arkansas,05,131,18.5
Sevier County,Arkansas,05,133,21.3
Sharp County,Arkansas,05,135,22.2
Stone County,Arkansas,05,137,19.8
Union County,Arkansas,05,139,19.1
Van Buren County,Arkansas,05,141,18.5
Washington County,Arkansas,05,143,16.4
White County,Arkansas,05,145,15.7
Woodruff County,Arkansas,05,147,25.2
Yell County,Arkansas,05,149,16.6
Alameda County,California,06,001,9.9
Alpine County,California,06,003,19.7
Amador County,California,06,005,9.9
Butte County,California,06,007,19.1
Calaveras County,California,06,009,11.4
Colusa County,California,06,011,13.0
Contra Costa County,California,06,013,8.7
Del Norte County,California,06,015,19.5
El Dorado County,California,06,017,8.4
Fresno County,California,06,019,22.5
Glenn County,California,06,021,17.5
Humboldt County,California,06,023,20.1
Imperial County,California,06,025,24.1
Inyo County,California,06,027,9.3
Kern County,California,06,029,21.0
Kings County,California,06,031,18.2
Lake County,California,06,033,18.6
Lassen County,California,06,035,13.5
Los Angeles County,California,06,037,14.9
