County,State,State_FIPS,County_FIPS,age_15_to_44_percentage
Garland County,Arkansas,05,051,80.4
Grant County,Arkansas,05,053,79.7
Greene County,Arkansas,05,055,78.1
Hempstead County,Arkansas,05,057,75.5
Hot Spring County,Arkansas,05,059,81.2
Howard County,Arkansas,05,061,77.4
Independence County,Arkansas,05,063,77.9
Izard County,Arkansas,05,065,83.2
Jackson County,Arkansas,05,067,81.4
Jefferson County,Arkansas,05,069,78.0
Johnson County,Arkansas,05,071,77.9
Lafayette County,Arkansas,05,073,80.7
Lawrence County,Arkansas,05,075,79.0
Lee County,Arkansas,05,077,84.4
Lincoln County,Arkansas,05,079,86.8
Little River County,Arkansas,05,081,75.4
Logan County,Arkansas,05,083,80.0
Lonoke County,Arkansas,05,085,75.1
Madison County,Arkansas,05,087,78.3
Marion County,Arkansas,05,089,84.6
Miller County,Arkansas,05,091,77.4
Mississippi County,Arkansas,05,093,74.9
Monroe County,Arkansas,05,095,81.4
Montgomery County,Arkansas,05,097,80.7
Nevada County,Arkansas,05,099,75.3
Newton County,Arkansas,05,101,81.2
Ouachita County,Arkansas,05,103,78.6
Perry County,Arkansas,05,105,81.2
Phillips County,Arkansas,05,107,73.5
Pike County,Arkansas,05,109,79.2
Poinsett County,Arkansas,05,111,77.4
Polk County,Arkansas,05,113,78.3
Pope County,Arkansas,05,115,79.2
Prairie County,Arkansas,05,117,81.4
Pulaski County,Arkansas,05,119,77.6
Randolph County,Arkansas,05,121,78.9
Saint Francis County,Arkansas,05,123,81.4
Saline County,Arkansas,05,125,78.0
Scott County,Arkansas,05,127,77.3
Searcy County,Arkansas,05,129,79.5
Sebastian County,Arkansas,05,131,77.4
Sevier County,Arkansas,05,133,73.4
Sharp County,Arkansas,05,135,81.2
Stone County,Arkansas,05,137,81.3
Union County,Arkansas,05,139,77.1
Van Buren County,Arkansas,05,141,82.1
Washington County,Arkansas,05,143,76.9
White County,Arkansas,05,145,77.9
Woodruff County,Arkansas,05,147,81.4
Yell County,Arkansas,05,149,77.2
Alameda County,California,06,001,80.1
Alpine County,California,06,003,79.8
Amador County,California,06,005,87.4
Butte County,California,06,007,81.4
Calaveras County,California,06,009,84.3
Colusa County,California,06,011,74.7
Contra Costa County,California,06,013,78.3
Del Norte County,California,06,015,82.1
El Dorado County,California,06,017,81.3
Fresno County,California,06,019,73.4
Glenn County,California,06,021,75.5
Humboldt County,California,06,023,82.5
Imperial County,California,06,025,74.6
Inyo County,California,06,027,81.7
Kern County,California,06,029,74.0
Kings County,California,06,031,77.2
Lake County,California,06,033,81.5
Lassen County,California,06,035,88.3
Los Angeles County,California,06,037,79.2
Madera County,California,06,039,74.2
Marin County,California,06,041,80.9
Mariposa County,California,06,043,84.5
Mendocino County,California,06,045,80.4
Merced County,California,06,047,72.9
Modoc County,California,06,049,81.5
Mono County,California,06,051,84.1
Monterey County,California,06,053,76.1
Napa County,California,06,055,80.3
Nevada County,California,06,057,83.9
Orange County,California,06,059,79.1
Placer County,California,06,061,78.9
Plumas County,California,06,063,83.9
Riverside County,California,06,065,76.1
Sacramento County,California,06,067,77.4
San Benito County,California,06,069,75.8
San Bernardino County,California,06,071,75.3
San Diego County,California,06,073,79.8
San Francisco County,California,06,075,87.8
San Joaquin County,California,06,077,74.6
San Luis Obispo County,California,06,079,83.9
San Mateo County,California,06,081,80.0
Santa Barbara County,California,06,083,79.7
Santa Clara County,California,06,085,79.1
Santa Cruz County,California,06,087,81.7
Shasta County,California,06,089,80.2
Sierra County,California,06,091,87.0
Siskiyou County,California,06,093,81.7
Solano County,California,06,095,79.2
Sonoma County,California,06,097,80.9
Stanislaus County,California,06,099,75.0
Sutter County,California,06,101,75.4
Tehama County,California,06,103,77.6
Trinity County,California,06,105,86.2
Tulare County,California,06,107,71.2
Tuolumne County,California,06,109,85.8
Ventura County,California,06,111,78.1
Yolo County,California,06,113,80.0
Yuba County,California,06,115,74.2
Alamosa County,Colorado,08,003,77.8
Archuleta County,Colorado,08,007,83.8
Baca County,Colorado,08,009,82.0
Bent County,Colorado,08,011,89.7
Chaffee County,Colorado,08,015,86.4
Cheyenne County,Colorado,08,017,73.6
Clear Creek County,Colorado,08,019,85.6
Conejos County,Colorado,08,021,76.1
Costilla County,Colorado,08,023,82.3
Crowley County,Colorado,08,025,90.5
Custer County,Colorado,08,027,88.1
Delta County,Colorado,08,029,82.2
Dolores County,Colorado,08,033,78.8
Douglas County,Colorado,08,035,73.7
Eagle County,Colorado,08,037,79.6
Elbert County,Colorado,08,039,79.4
El Paso County,Colorado,08,041,77.2
Fremont County,Colorado,08,043,87.9
Garfield County,Colorado,08,045,76.8
Gilpin County,Colorado,08,047,77.8
Grand County,Colorado,08,049,83.7
Gunnison County,Colorado,08,051,84.2
Huerfano County,Colorado,08,055,84.8
Jackson County,Colorado,08,057,83.8
Kiowa County,Colorado,08,061,75.4
Kit Carson County,Colorado,08,063,81.2
Lake County,Colorado,08,065,83.1
La Plata County,Colorado,08,067,82.7
Larimer County,Colorado,08,069,81.5
Las Animas County,Colorado,08,071,83.1
Lincoln County,Colorado,08,073,85.7
Logan County,Colorado,08,075,85.0
Mesa County,Colorado,08,077,79.3
Moffat County,Colorado,08,081,75.2
Montezuma County,Colorado,08,083,79.6
Montrose County,Colorado,08,085,79.3
Morgan County,Colorado,08,087,75.9
Otero County,Colorado,08,089,79.0
Ouray County,Colorado,08,091,87.3
Park County,Colorado,08,093,85.9
Phillips County,Colorado,08,095,80.9
Pitkin County,Colorado,08,097,86.4
Prowers County,Colorado,08,099,76.4
Pueblo County,Colorado,08,101,78.5
Rio Blanco County,Colorado,08,103,77.3
Rio Grande County,Colorado,08,105,78.5
Routt County,Colorado,08,107,83.9
Saguache County,Colorado,08,109,80.5
San Miguel County,Colorado,08,113,83.9
Sedgwick County,Colorado,08,115,83.1
Summit County,Colorado,08,117,84.2
Teller County,Colorado,08,119,84.5
Washington County,Colorado,08,121,79.3
Yuma County,Colorado,08,125,75.9
Adams County,Colorado,08,001,74.6
Arapahoe County,Colorado,08,005,77.2
Boulder County,Colorado,08,013,81.7
Broomfield County,Colorado,08,014,77.8
Denver County,Colorado,08,031,80.8
Jefferson County,Colorado,08,059,81.0
Weld County,Colorado,08,123,75.2
Fairfield County,Connecticut,09,001,78.3
Hartford County,Connecticut,09,003,80.0
Litchfield County,Connecticut,09,005,82.3
Middlesex County,Connecticut,09,007,82.6
New Haven County,Connecticut,09,009,80.5
New London County,Connecticut,09,011,81.7
Tolland County,Connecticut,09,013,83.9
Windham County,Connecticut,09,015,81.2
Kent County,Delaware,10,001,77.6
New Castle County,Delaware,10,003,79.4
Sussex County,Delaware,10,005,81.8
Alachua County,Florida,12,001,83.1
Baker County,Florida,12,003,78.6
Bay County,Florida,12,005,80.4
Bradford County,Florida,12,007,82.3
Brevard County,Florida,12,009,82.9
Broward County,Florida,12,011,80.0
Calhoun County,Florida,12,013,82.1
Charlotte County,Florida,12,015,87.7
Citrus County,Florida,12,017,86.2
Clay County,Florida,12,019,77.7
Collier County,Florida,12,021,83.1
Columbia County,Florida,12,023,80.4
Miami-Dade County,Florida,12,086,80.8
DeSoto County,Florida,12,027,83.0
Dixie County,Florida,12,029,84.3
Duval County,Florida,12,031,78.4
Escambia County,Florida,12,033,81.0
Flagler County,Florida,12,035,82.9
Franklin County,Florida,12,037,86.7
Gadsden County,Florida,12,039,79.0
Gilchrist County,Florida,12,041,83.4
Glades County,Florida,12,043,86.8
Gulf County,Florida,12,045,88.2
Hamilton County,Florida,12,047,85.9
Hardee County,Florida,12,049,76.9
Hendry County,Florida,12,051,75.3
Hernando County,Florida,12,053,82.4
Highlands County,Florida,12,055,83.4
Hillsborough County,Florida,12,057,78.4
Holmes County,Florida,12,059,82.2
Indian River County,Florida,12,061,83.6
Jackson County,Florida,12,063,84.3
Jefferson County,Florida,12,065,86.3
Lafayette County,Florida,12,067,87.9
Lake County,Florida,12,069,81.3
Lee County,Florida,12,071,82.6
Leon County,Florida,12,073,82.3
Levy County,Florida,12,075,80.8
Liberty County,Florida,12,077,84.3
Madison County,Florida,12,079,81.9
Manatee County,Florida,12,081,81.9
Marion County,Florida,12,083,82.5
Martin County,Florida,12,085,84.9
Monroe County,Florida,12,087,86.8
Nassau County,Florida,12,089,81.2
Okaloosa County,Florida,12,091,80.0
Okeechobee County,Florida,12,093,81.1
Orange County,Florida,12,095,79.0
Osceola County,Florida,12,097,77.1
Palm Beach County,Florida,12,099,81.7
Pasco County,Florida,12,101,80.9
Pinellas County,Florida,12,103,84.1
Polk County,Florida,12,105,78.9
Putnam County,Florida,12,107,79.5
Saint Johns County,Florida,12,109,80.0
Saint Lucie County,Florida,12,111,80.6
Santa Rosa County,Florida,12,113,79.8
Sarasota County,Florida,12,115,85.9
Seminole County,Florida,12,117,80.1
Sumter County,Florida,12,119,93.2
Suwannee County,Florida,12,121,82.0
Taylor County,Florida,12,123,85.3
Union County,Florida,12,125,87.7
Volusia County,Florida,12,127,83.5
Wakulla County,Florida,12,129,82.7
Walton County,Florida,12,131,81.8
Washington County,Florida,12,133,84.0
Appling County,Georgia,13,001,79.6
Atkinson County,Georgia,13,003,72.7
Bacon County,Georgia,13,005,77.2
Baker County,Georgia,13,007,84.0
Baldwin County,Georgia,13,009,83.0
Banks County,Georgia,13,011,78.1
Barrow County,Georgia,13,013,74.7
Bartow County,Georgia,13,015,76.7
Ben Hill County,Georgia,13,017,75.3
Berrien County,Georgia,13,019,77.3
Bibb County,Georgia,13,021,75.7
Bleckley County,Georgia,13,023,80.0
Brantley County,Georgia,13,025,76.0
Brooks County,Georgia,13,027,80.2
Bryan County,Georgia,13,029,72.7
Bulloch County,Georgia,13,031,81.6
Burke County,Georgia,13,033,74.9
Butts County,Georgia,13,035,82.9
Calhoun County,Georgia,13,037,84.9
Camden County,Georgia,13,039,77.0
Candler County,Georgia,13,043,75.6
Carroll County,Georgia,13,045,77.2
Catoosa County,Georgia,13,047,77.5
Charlton County,Georgia,13,049,83.9
Chatham County,Georgia,13,051,78.9
Chattahoochee County,Georgia,13,053,83.1
Chattooga County,Georgia,13,055,80.6
Cherokee County,Georgia,13,057,76.1
Clarke County,Georgia,13,059,83.1
Clay County,Georgia,13,061,78.5
Clayton County,Georgia,13,063,72.8
Clinch County,Georgia,13,065,72.4
Cobb County,Georgia,13,067,77.1
Coffee County,Georgia,13,069,78.2
Colquitt County,Georgia,13,071,75.3
Columbia County,Georgia,13,073,75.5
Cook County,Georgia,13,075,75.0
Coweta County,Georgia,13,077,75.9
Crawford County,Georgia,13,079,79.3
Crisp County,Georgia,13,081,76.8
Dade County,Georgia,13,083,82.5
Dawson County,Georgia,13,085,81.4
Decatur County,Georgia,13,087,76.4
DeKalb County,Georgia,13,089,77.1
Dodge County,Georgia,13,091,81.3
Dooly County,Georgia,13,093,84.5
Dougherty County,Georgia,13,095,75.4
Douglas County,Georgia,13,097,74.6
Early County,Georgia,13,099,77.1
Echols County,Georgia,13,101,80.5
Effingham County,Georgia,13,103,75.1
Elbert County,Georgia,13,105,79.9
Emanuel County,Georgia,13,107,76.5
Evans County,Georgia,13,109,75.4
Fannin County,Georgia,13,111,83.5
Fayette County,Georgia,13,113,78.9
Floyd County,Georgia,13,115,77.0
Forsyth County,Georgia,13,117,73.4
Franklin County,Georgia,13,119,79.5
Fulton County,Georgia,13,121,78.5
Gilmer County,Georgia,13,123,83.2
Glascock County,Georgia,13,125,74.8
Glynn County,Georgia,13,127,78.1
Gordon County,Georgia,13,129,76.7
Grady County,Georgia,13,131,74.8
Greene County,Georgia,13,133,80.7
Gwinnett County,Georgia,13,135,74.5
Habersham County,Georgia,13,137,77.9
Hall County,Georgia,13,139,75.6
Hancock County,Georgia,13,141,86.6
Haralson County,Georgia,13,143,77.5
Harris County,Georgia,13,145,79.0
Hart County,Georgia,13,147,80.4
Heard County,Georgia,13,149,78.4
Henry County,Georgia,13,151,75.2
Houston County,Georgia,13,153,75.9
Irwin County,Georgia,13,155,79.3
Jackson County,Georgia,13,157,76.1
Jasper County,Georgia,13,159,77.0
Jeff Davis County,Georgia,13,161,74.9
Jefferson County,Georgia,13,163,75.2
Jenkins County,Georgia,13,165,79.5
Johnson County,Georgia,13,167,81.7
Jones County,Georgia,13,169,77.8
Lamar County,Georgia,13,171,80.6
Lanier County,Georgia,13,173,75.9
Laurens County,Georgia,13,175,76.4
Lee County,Georgia,13,177,75.3
Liberty County,Georgia,13,179,73.9
Lincoln County,Georgia,13,181,84.9
Long County,Georgia,13,183,73.2
Lowndes County,Georgia,13,185,77.7
Lumpkin County,Georgia,13,187,82.7
McDuffie County,Georgia,13,189,75.9
McIntosh County,Georgia,13,191,82.3
Macon County,Georgia,13,193,83.1
Madison County,Georgia,13,195,78.0
Marion County,Georgia,13,197,80.2
Meriwether County,Georgia,13,199,79.3
Miller County,Georgia,13,201,79.2
Mitchell County,Georgia,13,205,78.7
Monroe County,Georgia,13,207,81.3
Montgomery County,Georgia,13,209,80.5
Morgan County,Georgia,13,211,79.2
Murray County,Georgia,13,213,76.7
Muscogee County,Georgia,13,215,77.5
Newton County,Georgia,13,217,75.3
Oconee County,Georgia,13,219,75.4
Oglethorpe County,Georgia,13,221,78.6
Paulding County,Georgia,13,223,74.1
Peach County,Georgia,13,225,79.8
Pickens County,Georgia,13,227,80.7
Pierce County,Georgia,13,229,75.7
Pike County,Georgia,13,231,78.0
Polk County,Georgia,13,233,76.9
Pulaski County,Georgia,13,235,81.3
Putnam County,Georgia,13,237,82.8
Quitman County,Georgia,13,239,90.1
Rabun County,Georgia,13,241,83.8
Randolph County,Georgia,13,243,73.3
Richmond County,Georgia,13,245,77.6
Rockdale County,Georgia,13,247,75.7
Schley County,Georgia,13,249,76.7
Screven County,Georgia,13,251,78.7
Seminole County,Georgia,13,253,78.1
Spalding County,Georgia,13,255,76.3
Stephens County,Georgia,13,257,78.9
Stewart County,Georgia,13,259,89.1
Sumter County,Georgia,13,261,77.1
Talbot County,Georgia,13,263,83.2
Taliaferro County,Georgia,13,265,90.0
Tattnall County,Georgia,13,267,84.8
Taylor County,Georgia,13,269,79.9
Telfair County,Georgia,13,271,88.5
Terrell County,Georgia,13,273,76.3
Thomas County,Georgia,13,275,76.9
Tift County,Georgia,13,277,78.0
Toombs County,Georgia,13,279,75.4
Towns County,Georgia,13,281,87.6
Treutlen County,Georgia,13,283,80.6
Troup County,Georgia,13,285,76.4
Turner County,Georgia,13,287,77.1
Twiggs County,Georgia,13,289,80.3
Union County,Georgia,13,291,84.7
Upson County,Georgia,13,293,78.5
Walker County,Georgia,13,295,78.6
Walton County,Georgia,13,297,75.8
Ware County,Georgia,13,299,78.6
Warren County,Georgia,13,301,80.0
Washington County,Georgia,13,303,79.5
Wayne County,Georgia,13,305,78.5
Webster County,Georgia,13,307,78.2
Wheeler County,Georgia,13,309,87.8
White County,Georgia,13,311,80.4
Whitfield County,Georgia,13,313,75.4
Wilcox County,Georgia,13,315,85.7
Wilkes County,Georgia,13,317,80.7
Wilkinson County,Georgia,13,319,78.4
Worth County,Georgia,13,321,78.0
Hawaii County,Hawaii,15,001,79.7
Honolulu County,Hawaii,15,003,80.3
Kauai County,Hawaii,15,007,79.2
Kalawao County,Hawaii,15,005,100.0
Maui County,Hawaii,15,009,79.2
Ada County,Idaho,16,001,77.2
Adams County,Idaho,16,003,83.7
Bannock County,Idaho,16,005,75.4
Bear Lake County,Idaho,16,007,75.9
Benewah County,Idaho,16,009,80.2
Bingham County,Idaho,16,011,70.6
Blaine County,Idaho,16,013,79.4
Boise County,Idaho,16,015,83.3
Bonner County,Idaho,16,017,81.1
Bonneville County,Idaho,16,019,71.3
Boundary County,Idaho,16,021,79.1
Butte County,Idaho,16,023,81.6
Camas County,Idaho,16,025,81.4
Canyon County,Idaho,16,027,72.2
Caribou County,Idaho,16,029,72.5
Cassia County,Idaho,16,031,70.4
Clearwater County,Idaho,16,035,87.2
Custer County,Idaho,16,037,84.1
Elmore County,Idaho,16,039,76.3
Franklin County,Idaho,16,041,68.5
Fremont County,Idaho,16,043,75.9
Gem County,Idaho,16,045,78.1
Gooding County,Idaho,16,047,75.5
Idaho County,Idaho,16,049,82.3
Jefferson County,Idaho,16,051,68.5
Jerome County,Idaho,16,053,72.1
Kootenai County,Idaho,16,055,78.1
Latah County,Idaho,16,057,83.5
Lemhi County,Idaho,16,059,84.9
Lewis County,Idaho,16,061,78.9
Lincoln County,Idaho,16,063,71.2
Madison County,Idaho,16,065,74.3
Minidoka County,Idaho,16,067,74.2
Nez Perce County,Idaho,16,069,80.1
Oneida County,Idaho,16,071,75.6
Owyhee County,Idaho,16,073,75.8
Payette County,Idaho,16,075,76.3
Power County,Idaho,16,077,72.5
Shoshone County,Idaho,16,079,84.1
Teton County,Idaho,16,081,74.3
Twin Falls County,Idaho,16,083,74.3
Valley County,Idaho,16,085,84.0
Washington County,Idaho,16,087,80.4
Adams County,Illinois,17,001,78.9
Alexander County,Illinois,17,003,76.1
Bond County,Illinois,17,005,82.6
Boone County,Illinois,17,007,76.4
Brown County,Illinois,17,009,89.7
Bureau County,Illinois,17,011,80.0
Calhoun County,Illinois,17,013,81.0
Carroll County,Illinois,17,015,82.4
Cass County,Illinois,17,017,76.8
Champaign County,Illinois,17,019,83.0
Christian County,Illinois,17,021,81.3
Clark County,Illinois,17,023,79.4
Clay County,Illinois,17,025,79.4
Clinton County,Illinois,17,027,81.3
Coles County,Illinois,17,029,83.0
Cook County,Illinois,17,031,78.8
Crawford County,Illinois,17,033,83.1
Cumberland County,Illinois,17,035,78.9
DeKalb County,Illinois,17,037,79.7
De Witt County,Illinois,17,039,80.3
Douglas County,Illinois,17,041,76.2
DuPage County,Illinois,17,043,78.5
Edgar County,Illinois,17,045,80.3
Edwards County,Illinois,17,047,80.6
Effingham County,Illinois,17,049,78.0
Fayette County,Illinois,17,051,81.5
Ford County,Illinois,17,053,78.1
Franklin County,Illinois,17,055,79.1
Fulton County,Illinois,17,057,82.4
Gallatin County,Illinois,17,059,82.4
Greene County,Illinois,17,061,81.8
Grundy County,Illinois,17,063,75.9
Hamilton County,Illinois,17,065,79.8
Hancock County,Illinois,17,067,80.1
Hardin County,Illinois,17,069,84.8
Henderson County,Illinois,17,071,83.5
Henry County,Illinois,17,073,79.2
Iroquois County,Illinois,17,075,79.3
Jackson County,Illinois,17,077,83.9
Jasper County,Illinois,17,079,79.4
