County,State,State_FIPS,County_FIPS,total_population_race
Autauga County,Alabama,01,001,54907
Baldwin County,Alabama,01,003,187114
Barbour County,Alabama,01,005,27321
Bibb County,Alabama,01,007,22754
Blount County,Alabama,01,009,57623
Bullock County,Alabama,01,011,10746
Butler County,Alabama,01,013,20624
Calhoun County,Alabama,01,015,117714
Chambers County,Alabama,01,017,34145
Cherokee County,Alabama,01,019,26034
Chilton County,Alabama,01,021,43744
Choctaw County,Alabama,01,023,13687
Clarke County,Alabama,01,025,25573
Clay County,Alabama,01,027,13703
Cleburne County,Alabama,01,029,14945
Coffee County,Alabama,01,031,50468
Colbert County,Alabama,01,033,54456
Conecuh County,Alabama,01,035,13104
Coosa County,Alabama,01,037,11198
Covington County,Alabama,01,039,37847
Crenshaw County,Alabama,01,041,13955
Cullman County,Alabama,01,043,80499
Dale County,Alabama,01,045,50102
Dallas County,Alabama,01,047,43091
DeKalb County,Alabama,01,049,71076
Elmore County,Alabama,01,051,79895
Escambia County,Alabama,01,053,38169
Etowah County,Alabama,01,055,104260
Fayette County,Alabama,01,057,17110
Franklin County,Alabama,01,059,31666
Geneva County,Alabama,01,061,26791
Greene County,Alabama,01,063,8934
Hale County,Alabama,01,065,15594
Henry County,Alabama,01,067,17308
Houston County,Alabama,01,069,102326
Jackson County,Alabama,01,071,53171
Jefferson County,Alabama,01,073,658552
Lamar County,Alabama,01,075,14396
Lauderdale County,Alabama,01,077,92666
Lawrence County,Alabama,01,079,34009
Lee County,Alabama,01,081,144405
Limestone County,Alabama,01,083,85264
Lowndes County,Alabama,01,085,11086
Macon County,Alabama,01,087,20803
Madison County,Alabama,01,089,339279
Marengo County,Alabama,01,091,20669
Marion County,Alabama,01,093,30615
Marshall County,Alabama,01,095,93699
Mobile County,Alabama,01,097,413188
Monroe County,Alabama,01,099,22778
Montgomery County,Alabama,01,101,228980
Morgan County,Alabama,01,103,119673
Perry County,Alabama,01,105,10390
Pickens County,Alabama,01,107,19516
Pike County,Alabama,01,109,32977
