County,State,State_FIPS,County_FIPS,per_capita_income
Autauga County,Alabama,01,001,24571
Baldwin County,Alabama,01,003,26766
Barbour County,Alabama,01,005,16829
Bibb County,Alabama,01,007,17427
Blount County,Alabama,01,009,20730
Bullock County,Alabama,01,011,18628
Butler County,Alabama,01,013,17403
Calhoun County,Alabama,01,015,20828
Chambers County,Alabama,01,017,19291
Cherokee County,Alabama,01,019,22030
Chilton County,Alabama,01,021,20701
Choctaw County,Alabama,01,023,20323
Clarke County,Alabama,01,025,18979
Clay County,Alabama,01,027,18694
Cleburne County,Alabama,01,029,19108
Coffee County,Alabama,01,031,23380
Colbert County,Alabama,01,033,21572
Conecuh County,Alabama,01,035,15605
Coosa County,Alabama,01,037,18493
Covington County,Alabama,01,039,20391
Crenshaw County,Alabama,01,041,21343
Cullman County,Alabama,01,043,20760
Dale County,Alabama,01,045,22685
Dallas County,Alabama,01,047,17245
DeKalb County,Alabama,01,049,18149
Elmore County,Alabama,01,051,23856
Escambia County,Alabama,01,053,16540
Etowah County,Alabama,01,055,20204
Fayette County,Alabama,01,057,18494
Franklin County,Alabama,01,059,18888
Geneva County,Alabama,01,061,20199
Greene County,Alabama,01,063,14930
Hale County,Alabama,01,065,18812
Henry County,Alabama,01,067,21924
Houston County,Alabama,01,069,23316
Jackson County,Alabama,01,071,20486
Jefferson County,Alabama,01,073,26906
Lamar County,Alabama,01,075,19026
Lauderdale County,Alabama,01,077,23510
Lawrence County,Alabama,01,079,20181
Lee County,Alabama,01,081,23506
Limestone County,Alabama,01,083,25020
Lowndes County,Alabama,01,085,18368
Macon County,Alabama,01,087,16826
Madison County,Alabama,01,089,31933
Marengo County,Alabama,01,091,22072
Marion County,Alabama,01,093,19576
Marshall County,Alabama,01,095,20382
Mobile County,Alabama,01,097,22501
Monroe County,Alabama,01,099,15749
Montgomery County,Alabama,01,101,24975
Morgan County,Alabama,01,103,23764
Perry County,Alabama,01,105,13716
Pickens County,Alabama,01,107,17153
Pike County,Alabama,01,109,19715
Randolph County,Alabama,01,111,19830
Russell County,Alabama,01,113,19678
Saint Clair County,Alabama,01,115,23872
Shelby County,Alabama,01,117,33313
Sumter County,Alabama,01,119,14156
Talladega County,Alabama,01,121,19410
Tallapoosa County,Alabama,01,123,21434
Tuscaloosa County,Alabama,01,125,22637
Walker County,Alabama,01,127,20698
Washington County,Alabama,01,129,20395
Wilcox County,Alabama,01,131,13379
Winston County,Alabama,01,133,18995
Anchorage Municipality,Alaska,02,020,36214
Bethel Census Area,Alaska,02,050,18497
Bristol Bay Borough,Alaska,02,060,37024
Fairbanks North Star Borough,Alaska,02,090,32143
Haines Borough,Alaska,02,100,31096
Juneau City and Borough,Alaska,02,110,37558
Kenai Peninsula Borough,Alaska,02,122,31256
Kodiak Island Borough,Alaska,02,150,28562
Matanuska-Susitna Borough,Alaska,02,170,29534
Nome Census Area,Alaska,02,180,20271
North Slope Borough,Alaska,02,185,46457
Sitka City and Borough,Alaska,02,220,32521
Southeast Fairbanks Census Area,Alaska,02,240,29437
Valdez-Cordova Census Area,Alaska,02,261,32579
Wade Hampton Census Area,Alaska,02,270,11210
Northwest Arctic Borough,Alaska,02,188,21461
Aleutians East Borough,Alaska,02,013,26535
Aleutians West Census Area,Alaska,02,016,31790
Dillingham Census Area,Alaska,02,070,21498
Lake and Peninsula Borough,Alaska,02,164,21616
Denali Borough,Alaska,02,068,35295
Yukon-Koyukuk Census Area,Alaska,02,290,19729
Hoonah-Angoon Census Area,Alaska,02,105,28806
Skagway Municipality,Alaska,02,230,37139
Yakutat City and Borough,Alaska,02,282,34317
Ketchikan Gateway Borough,Alaska,02,130,31589
Petersburg Borough,Alaska,02,195,34183
Prince of Wales-Hyder Census Area,Alaska,02,198,24581
Wrangell City and Borough,Alaska,02,275,28474
Apache County,Arizona,04,001,12709
Cochise County,Arizona,04,003,23608
Coconino County,Arizona,04,005,23382
Gila County,Arizona,04,007,20792
Graham County,Arizona,04,009,17168
Greenlee County,Arizona,04,011,20516
Maricopa County,Arizona,04,013,27256
Mohave County,Arizona,04,015,20833
Navajo County,Arizona,04,017,16626
Pima County,Arizona,04,019,25269
Pinal County,Arizona,04,021,20910
Santa Cruz County,Arizona,04,023,17664
Yavapai County,Arizona,04,025,25186
La Paz County,Arizona,04,012,22200
Yuma County,Arizona,04,027,18840
Arkansas County,Arkansas,05,001,23045
Ashley County,Arkansas,05,003,19761
Baxter County,Arkansas,05,005,21334
Benton County,Arkansas,05,007,26715
Boone County,Arkansas,05,009,22160
Bradley County,Arkansas,05,011,19386
Calhoun County,Arkansas,05,013,17763
Carroll County,Arkansas,05,015,20637
Chicot County,Arkansas,05,017,16538
Clark County,Arkansas,05,019,17960
Clay County,Arkansas,05,021,18509
Cleburne County,Arkansas,05,023,23044
Cleveland County,Arkansas,05,025,20622
Columbia County,Arkansas,05,027,19439
Conway County,Arkansas,05,029,20040
Craighead County,Arkansas,05,031,23138
Crawford County,Arkansas,05,033,19477
Crittenden County,Arkansas,05,035,19665
Cross County,Arkansas,05,037,18701
