County,State,State_FIPS,County_FIPS,disability_rate
Miller County,Arkansas,05,091,17.0
Mississippi County,Arkansas,05,093,21.1
Monroe County,Arkansas,05,095,25.3
Montgomery County,Arkansas,05,097,31.4
Nevada County,Arkansas,05,099,22.2
Newton County,Arkansas,05,101,22.1
Ouachita County,Arkansas,05,103,22.0
Perry County,Arkansas,05,105,19.9
Phillips County,Arkansas,05,107,23.3
Pike County,Arkansas,05,109,27.0
Poinsett County,Arkansas,05,111,20.5
Polk County,Arkansas,05,113,24.4
Pope County,Arkansas,05,115,16.2
Prairie County,Arkansas,05,117,24.2
Pulaski County,Arkansas,05,119,13.1
Randolph County,Arkansas,05,121,19.1
Saint Francis County,Arkansas,05,123,20.5
Saline County,Arkansas,05,125,17.7
Scott County,Arkansas,05,127,20.6
Searcy County,Arkansas,05,129,23.5
Sebastian County,Arkansas,05,131,17.3
Sevier County,Arkansas,05,133,14.1
Sharp County,Arkansas,05,135,19.7
Stone County,Arkansas,05,137,22.9
Union County,Arkansas,05,139,20.4
Van Buren County,Arkansas,05,141,22.1
Washington County,Arkansas,05,143,10.7
White County,Arkansas,05,145,16.6
Woodruff County,Arkansas,05,147,23.9
Yell County,Arkansas,05,149,20.3
Alameda County,California,06,001,9.2
Alpine County,California,06,003,21.5
Amador County,California,06,005,18.1
Butte County,California,06,007,17.2
Calaveras County,California,06,009,18.6
Colusa County,California,06,011,12.4
Contra Costa County,California,06,013,10.4
Del Norte County,California,06,015,21.9
El Dorado County,California,06,017,12.2
Fresno County,California,06,019,11.9
Glenn County,California,06,021,17.2
Humboldt County,California,06,023,16.3
Imperial County,California,06,025,13.4
Inyo County,California,06,027,13.5
Kern County,California,06,029,11.4
Kings County,California,06,031,10.8
Lake County,California,06,033,20.5
Lassen County,California,06,035,17.8
Los Angeles County,California,06,037,9.6
Madera County,California,06,039,12.9
Marin County,California,06,041,9.0
Mariposa County,California,06,043,18.0
Mendocino County,California,06,045,16.6
Merced County,California,06,047,15.7
Modoc County,California,06,049,19.1
Mono County,California,06,051,9.2
Monterey County,California,06,053,8.6
Napa County,California,06,055,11.2
Nevada County,California,06,057,14.0
Orange County,California,06,059,8.1
Placer County,California,06,061,10.8
Plumas County,California,06,063,21.4
Riverside County,California,06,065,10.8
Sacramento County,California,06,067,12.9
San Benito County,California,06,069,8.8
San Bernardino County,California,06,071,10.9
San Diego County,California,06,073,9.5
San Francisco County,California,06,075,10.5
San Joaquin County,California,06,077,11.7
San Luis Obispo County,California,06,079,11.0
San Mateo County,California,06,081,8.0
Santa Barbara County,California,06,083,10.0
Santa Clara County,California,06,085,7.7
Santa Cruz County,California,06,087,8.9
Shasta County,California,06,089,18.2
Sierra County,California,06,091,15.9
Siskiyou County,California,06,093,19.8
Solano County,California,06,095,11.1
Sonoma County,California,06,097,11.2
Stanislaus County,California,06,099,13.3
Sutter County,California,06,101,13.7
Tehama County,California,06,103,18.9
Trinity County,California,06,105,22.9
Tulare County,California,06,107,11.0
Tuolumne County,California,06,109,18.2
Ventura County,California,06,111,10.1
Yolo County,California,06,113,10.4
Yuba County,California,06,115,17.0
Alamosa County,Colorado,08,003,15.8
Archuleta County,Colorado,08,007,14.1
Baca County,Colorado,08,009,22.9
Bent County,Colorado,08,011,23.3
Chaffee County,Colorado,08,015,14.6
Cheyenne County,Colorado,08,017,15.2
Clear Creek County,Colorado,08,019,10.8
Conejos County,Colorado,08,021,19.7
Costilla County,Colorado,08,023,30.4
Crowley County,Colorado,08,025,23.1
Custer County,Colorado,08,027,17.9
Delta County,Colorado,08,029,17.7
Dolores County,Colorado,08,033,21.9
Douglas County,Colorado,08,035,6.2
Eagle County,Colorado,08,037,4.4
Elbert County,Colorado,08,039,10.1
El Paso County,Colorado,08,041,11.4
Fremont County,Colorado,08,043,17.8
Garfield County,Colorado,08,045,9.5
Gilpin County,Colorado,08,047,10.3
Grand County,Colorado,08,049,7.0
Gunnison County,Colorado,08,051,6.5
Huerfano County,Colorado,08,055,20.4
Jackson County,Colorado,08,057,10.2
Kiowa County,Colorado,08,061,14.6
Kit Carson County,Colorado,08,063,16.9
Lake County,Colorado,08,065,8.0
La Plata County,Colorado,08,067,8.9
Larimer County,Colorado,08,069,9.4
Las Animas County,Colorado,08,071,18.1
Lincoln County,Colorado,08,073,19.0
Logan County,Colorado,08,075,14.4
Mesa County,Colorado,08,077,13.8
Moffat County,Colorado,08,081,10.7
Montezuma County,Colorado,08,083,14.8
Montrose County,Colorado,08,085,15.2
Morgan County,Colorado,08,087,11.5
Otero County,Colorado,08,089,19.8
Ouray County,Colorado,08,091,10.9
Park County,Colorado,08,093,9.2
Phillips County,Colorado,08,095,13.9
Pitkin County,Colorado,08,097,7.1
Prowers County,Colorado,08,099,19.2
Pueblo County,Colorado,08,101,17.5
Rio Blanco County,Colorado,08,103,11.3
Rio Grande County,Colorado,08,105,16.3
Routt County,Colorado,08,107,6.5
Saguache County,Colorado,08,109,17.9
San Miguel County,Colorado,08,113,9.4
Sedgwick County,Colorado,08,115,14.3
Summit County,Colorado,08,117,5.3
Teller County,Colorado,08,119,14.0
Washington County,Colorado,08,121,12.6
Yuma County,Colorado,08,125,10.3
Adams County,Colorado,08,001,10.4
Arapahoe County,Colorado,08,005,9.1
Boulder County,Colorado,08,013,8.1
