County,State,State_FIPS,County_FIPS,total_population
Lee County,Arkansas,05,077,9781.0
Lincoln County,Arkansas,05,079,13935.0
Little River County,Arkansas,05,081,12616.0
Logan County,Arkansas,05,083,21935.0
Lonoke County,Arkansas,05,085,71279.0
Madison County,Arkansas,05,087,15761.0
Marion County,Arkansas,05,089,16404.0
Miller County,Arkansas,05,091,43666.0
Mississippi County,Arkansas,05,093,44199.0
Monroe County,Arkansas,05,095,7542.0
Montgomery County,Arkansas,05,097,9100.0
Nevada County,Arkansas,05,099,8668.0
Newton County,Arkansas,05,101,7988.0
Ouachita County,Arkansas,05,103,24728.0
Perry County,Arkansas,05,105,10246.0
Phillips County,Arkansas,05,107,19929.0
Pike County,Arkansas,05,109,11017.0
Poinsett County,Arkansas,05,111,24131.0
Polk County,Arkansas,05,113,20290.0
Pope County,Arkansas,05,115,63107.0
Prairie County,Arkansas,05,117,8334.0
Pulaski County,Arkansas,05,119,391806.0
Randolph County,Arkansas,05,121,17584.0
Saint Francis County,Arkansas,05,123,27023.0
Saline County,Arkansas,05,125,115577.0
Scott County,Arkansas,05,127,10661.0
Searcy County,Arkansas,05,129,7938.0
Sebastian County,Arkansas,05,131,127351.0
Sevier County,Arkansas,05,133,17193.0
Sharp County,Arkansas,05,135,17027.0
Stone County,Arkansas,05,137,12503.0
Union County,Arkansas,05,139,40334.0
Van Buren County,Arkansas,05,141,16892.0
Washington County,Arkansas,05,143,219930.0
White County,Arkansas,05,145,78823.0
Woodruff County,Arkansas,05,147,6873.0
Yell County,Arkansas,05,149,21716.0
Alameda County,California,06,001,1605217.0
Alpine County,California,06,003,1184.0
Amador County,California,06,005,36963.0
Butte County,California,06,007,223877.0
Calaveras County,California,06,009,44787.0
Colusa County,California,06,011,21361.0
Contra Costa County,California,06,013,1107925.0
Del Norte County,California,06,015,27628.0
El Dorado County,California,06,017,183000.0
Fresno County,California,06,019,963160.0
Glenn County,California,06,021,27976.0
Humboldt County,California,06,023,135182.0
Imperial County,California,06,025,178807.0
Inyo County,California,06,027,18326.0
Kern County,California,06,029,871337.0
Kings County,California,06,031,150261.0
Lake County,California,06,033,64076.0
Lassen County,California,06,035,31945.0
Los Angeles County,California,06,037,10057155.0
Madera County,California,06,039,153366.0
Marin County,California,06,041,259358.0
Mariposa County,California,06,043,17645.0
Mendocino County,California,06,045,87409.0
Merced County,California,06,047,265001.0
Modoc County,California,06,049,9033.0
Mono County,California,06,051,14051.0
Monterey County,California,06,053,430201.0
Napa County,California,06,055,140823.0
Nevada County,California,06,057,98639.0
Orange County,California,06,059,3132211.0
Placer County,California,06,061,370571.0
Plumas County,California,06,063,18754.0
Riverside County,California,06,065,2323892.0
Sacramento County,California,06,067,1479300.0
San Benito County,California,06,069,58051.0
San Bernardino County,California,06,071,2106754.0
San Diego County,California,06,073,3253356.0
San Francisco County,California,06,075,850282.0
San Joaquin County,California,06,077,714860.0
San Luis Obispo County,California,06,079,278680.0
San Mateo County,California,06,081,754748.0
Santa Barbara County,California,06,083,439395.0
Santa Clara County,California,06,085,1885056.0
Santa Cruz County,California,06,087,270931.0
Shasta County,California,06,089,179228.0
Sierra County,California,06,091,2931.0
Siskiyou County,California,06,093,43668.0
Solano County,California,06,095,429596.0
Sonoma County,California,06,097,497776.0
Stanislaus County,California,06,099,530561.0
Sutter County,California,06,101,95406.0
Tehama County,California,06,103,63015.0
Trinity County,California,06,105,13180.0
Tulare County,California,06,107,455769.0
Tuolumne County,California,06,109,53864.0
Ventura County,California,06,111,843110.0
Yolo County,California,06,113,209671.0
Yuba County,California,06,115,73897.0
Alamosa County,Colorado,08,003,16353.0
Archuleta County,Colorado,08,007,12355.0
Baca County,Colorado,08,009,3648.0
Bent County,Colorado,08,011,5816.0
Chaffee County,Colorado,08,015,18507.0
Cheyenne County,Colorado,08,017,2071.0
Clear Creek County,Colorado,08,019,9238.0
Conejos County,Colorado,08,021,8213.0
Costilla County,Colorado,08,023,3590.0
Crowley County,Colorado,08,025,5537.0
Custer County,Colorado,08,027,4375.0
Delta County,Colorado,08,029,30221.0
Dolores County,Colorado,08,033,1789.0
Douglas County,Colorado,08,035,314238.0
Eagle County,Colorado,08,037,52894.0
Elbert County,Colorado,08,039,24225.0
El Paso County,Colorado,08,041,665171.0
Fremont County,Colorado,08,043,46835.0
Garfield County,Colorado,08,045,57495.0
Gilpin County,Colorado,08,047,5708.0
Grand County,Colorado,08,049,14490.0
Gunnison County,Colorado,08,051,15889.0
Huerfano County,Colorado,08,055,6521.0
Jackson County,Colorado,08,057,1306.0
Kiowa County,Colorado,08,061,1465.0
Kit Carson County,Colorado,08,063,8174.0
Lake County,Colorado,08,065,7401.0
La Plata County,Colorado,08,067,53994.0
Larimer County,Colorado,08,069,325228.0
Las Animas County,Colorado,08,071,14322.0
Lincoln County,Colorado,08,073,5515.0
Logan County,Colorado,08,075,21862.0
Mesa County,Colorado,08,077,148166.0
Moffat County,Colorado,08,081,13034.0
Montezuma County,Colorado,08,083,26006.0
Montrose County,Colorado,08,085,40866.0
Morgan County,Colorado,08,087,28288.0
Otero County,Colorado,08,089,18440.0
Ouray County,Colorado,08,091,4651.0
Park County,Colorado,08,093,16440.0
Phillips County,Colorado,08,095,4347.0
Pitkin County,Colorado,08,097,17543.0
Prowers County,Colorado,08,099,12121.0
Pueblo County,Colorado,08,101,162158.0
Rio Blanco County,Colorado,08,103,6658.0
Rio Grande County,Colorado,08,105,11623.0
Routt County,Colorado,08,107,23980.0
Saguache County,Colorado,08,109,6255.0
San Miguel County,Colorado,08,113,7767.0
Sedgwick County,Colorado,08,115,2367.0
Summit County,Colorado,08,117,29269.0
Teller County,Colorado,08,119,23472.0
Washington County,Colorado,08,121,4814.0
Yuma County,Colorado,08,125,10150.0
Adams County,Colorado,08,001,479977.0
Arapahoe County,Colorado,08,005,617668.0
Boulder County,Colorado,08,013,313961.0
Broomfield County,Colorado,08,014,62449.0
Denver County,Colorado,08,031,663303.0
