County,State,State_FIPS,County_FIPS,age_18_and_under_percentage
Autauga County,Alabama,01,001,24.2
Baldwin County,Alabama,01,003,21.9
Barbour County,Alabama,01,005,21.1
Bibb County,Alabama,01,007,20.7
Blount County,Alabama,01,009,23.4
Bullock County,Alabama,01,011,20.8
Butler County,Alabama,01,013,22.8
Calhoun County,Alabama,01,015,21.9
Chambers County,Alabama,01,017,20.7
Cherokee County,Alabama,01,019,20.4
Chilton County,Alabama,01,021,24.2
Choctaw County,Alabama,01,023,20.3
Clarke County,Alabama,01,025,22.1
Clay County,Alabama,01,027,21.1
Cleburne County,Alabama,01,029,23.0
Coffee County,Alabama,01,031,23.7
Colbert County,Alabama,01,033,21.3
Conecuh County,Alabama,01,035,21.2
Coosa County,Alabama,01,037,17.0
Covington County,Alabama,01,039,21.9
Crenshaw County,Alabama,01,041,22.5
Cullman County,Alabama,01,043,22.6
Dale County,Alabama,01,045,23.4
Dallas County,Alabama,01,047,24.4
DeKalb County,Alabama,01,049,24.6
Elmore County,Alabama,01,051,22.5
Escambia County,Alabama,01,053,22.3
Etowah County,Alabama,01,055,21.6
Fayette County,Alabama,01,057,21.5
Franklin County,Alabama,01,059,24.7
Geneva County,Alabama,01,061,22.1
Greene County,Alabama,01,063,22.1
Hale County,Alabama,01,065,23.4
Henry County,Alabama,01,067,20.9
Houston County,Alabama,01,069,23.4
Jackson County,Alabama,01,071,21.4
Jefferson County,Alabama,01,073,23.0
Lamar County,Alabama,01,075,22.0
Lauderdale County,Alabama,01,077,20.0
Lawrence County,Alabama,01,079,21.8
Lee County,Alabama,01,081,21.5
Limestone County,Alabama,01,083,23.0
Lowndes County,Alabama,01,085,22.8
Macon County,Alabama,01,087,17.9
Madison County,Alabama,01,089,22.1
Marengo County,Alabama,01,091,22.9
Marion County,Alabama,01,093,21.1
Marshall County,Alabama,01,095,24.9
Mobile County,Alabama,01,097,23.7
Monroe County,Alabama,01,099,22.9
Montgomery County,Alabama,01,101,23.6
Morgan County,Alabama,01,103,23.0
Perry County,Alabama,01,105,21.8
Pickens County,Alabama,01,107,19.7
Pike County,Alabama,01,109,19.6
Randolph County,Alabama,01,111,21.8
Russell County,Alabama,01,113,24.7
Saint Clair County,Alabama,01,115,22.9
Shelby County,Alabama,01,117,24.0
Sumter County,Alabama,01,119,19.4
Talladega County,Alabama,01,121,21.5
Tallapoosa County,Alabama,01,123,21.1
Tuscaloosa County,Alabama,01,125,20.9
Walker County,Alabama,01,127,22.3
Washington County,Alabama,01,129,22.2
Wilcox County,Alabama,01,131,24.4
Winston County,Alabama,01,133,20.9
Anchorage Municipality,Alaska,02,020,24.7
Bethel Census Area,Alaska,02,050,35.7
Bristol Bay Borough,Alaska,02,060,21.8
Fairbanks North Star Borough,Alaska,02,090,24.2
Haines Borough,Alaska,02,100,22.2
Juneau City and Borough,Alaska,02,110,21.6
Kenai Peninsula Borough,Alaska,02,122,22.8
Kodiak Island Borough,Alaska,02,150,26.2
Matanuska-Susitna Borough,Alaska,02,170,27.2
Nome Census Area,Alaska,02,180,34.3
North Slope Borough,Alaska,02,185,25.9
Sitka City and Borough,Alaska,02,220,22.2
Southeast Fairbanks Census Area,Alaska,02,240,27.1
Valdez-Cordova Census Area,Alaska,02,261,23.6
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,35.2
Aleutians East Borough,Alaska,02,013,14.2
Aleutians West Census Area,Alaska,02,016,16.7
Dillingham Census Area,Alaska,02,070,30.9
Lake and Peninsula Borough,Alaska,02,164,27.1
Denali Borough,Alaska,02,068,11.5
Yukon-Koyukuk Census Area,Alaska,02,290,27.7
Hoonah-Angoon Census Area,Alaska,02,105,15.5
Skagway Municipality,Alaska,02,230,17.4
Yakutat City and Borough,Alaska,02,282,27.1
Ketchikan Gateway Borough,Alaska,02,130,22.3
Petersburg Borough,Alaska,02,195,22.5
Prince of Wales-Hyder Census Area,Alaska,02,198,23.8
Wrangell City and Borough,Alaska,02,275,19.8
Apache County,Arizona,04,001,27.7
Cochise County,Arizona,04,003,22.0
Coconino County,Arizona,04,005,21.1
Gila County,Arizona,04,007,20.3
Graham County,Arizona,04,009,27.3
Greenlee County,Arizona,04,011,27.8
Maricopa County,Arizona,04,013,24.5
Mohave County,Arizona,04,015,17.9
Navajo County,Arizona,04,017,27.3
Pima County,Arizona,04,019,21.4
Pinal County,Arizona,04,021,23.4
