County,State,State_FIPS,County_FIPS,median_home_value
Lawrence County,Arkansas,05,075,62700.0
Lee County,Arkansas,05,077,56800.0
Lincoln County,Arkansas,05,079,57300.0
Little River County,Arkansas,05,081,74400.0
Logan County,Arkansas,05,083,80000.0
Lonoke County,Arkansas,05,085,121900.0
Madison County,Arkansas,05,087,89600.0
Marion County,Arkansas,05,089,95300.0
Miller County,Arkansas,05,091,92400.0
Mississippi County,Arkansas,05,093,78000.0
Monroe County,Arkansas,05,095,54100.0
Montgomery County,Arkansas,05,097,76600.0
Nevada County,Arkansas,05,099,64300.0
Newton County,Arkansas,05,101,72400.0
Ouachita County,Arkansas,05,103,67800.0
Perry County,Arkansas,05,105,77200.0
Phillips County,Arkansas,05,107,63500.0
Pike County,Arkansas,05,109,74700.0
Poinsett County,Arkansas,05,111,71300.0
Polk County,Arkansas,05,113,85100.0
Pope County,Arkansas,05,115,115900.0
Prairie County,Arkansas,05,117,71300.0
Pulaski County,Arkansas,05,119,141600.0
Randolph County,Arkansas,05,121,70000.0
Saint Francis County,Arkansas,05,123,65600.0
Saline County,Arkansas,05,125,139300.0
Scott County,Arkansas,05,127,78600.0
Searcy County,Arkansas,05,129,85400.0
Sebastian County,Arkansas,05,131,113800.0
Sevier County,Arkansas,05,133,68200.0
Sharp County,Arkansas,05,135,73600.0
Stone County,Arkansas,05,137,91200.0
Union County,Arkansas,05,139,72800.0
Van Buren County,Arkansas,05,141,86000.0
Washington County,Arkansas,05,143,149400.0
White County,Arkansas,05,145,103200.0
Woodruff County,Arkansas,05,147,57600.0
Yell County,Arkansas,05,149,94300.0
Alameda County,California,06,001,509300.0
Alpine County,California,06,003,313800.0
Amador County,California,06,005,251800.0
Butte County,California,06,007,220100.0
Calaveras County,California,06,009,242600.0
Colusa County,California,06,011,174500.0
Contra Costa County,California,06,013,417400.0
Del Norte County,California,06,015,180100.0
El Dorado County,California,06,017,356900.0
Fresno County,California,06,019,191700.0
Glenn County,California,06,021,214600.0
Humboldt County,California,06,023,281300.0
Imperial County,California,06,025,145200.0
Inyo County,California,06,027,235200.0
Kern County,California,06,029,161800.0
Kings County,California,06,031,170000.0
Lake County,California,06,033,167900.0
Lassen County,California,06,035,176500.0
Los Angeles County,California,06,037,425100.0
Madera County,California,06,039,179100.0
Marin County,California,06,041,785100.0
Mariposa County,California,06,043,240300.0
Mendocino County,California,06,045,310300.0
Merced County,California,06,047,152600.0
Modoc County,California,06,049,157300.0
Mono County,California,06,051,324600.0
Monterey County,California,06,053,362100.0
Napa County,California,06,055,439000.0
Nevada County,California,06,057,344800.0
Orange County,California,06,059,532300.0
Placer County,California,06,061,345900.0
Plumas County,California,06,063,231400.0
Riverside County,California,06,065,236400.0
Sacramento County,California,06,067,236500.0
San Benito County,California,06,069,357200.0
San Bernardino County,California,06,071,225400.0
San Diego County,California,06,073,412800.0
San Francisco County,California,06,075,765700.0
San Joaquin County,California,06,077,211300.0
San Luis Obispo County,California,06,079,426200.0
San Mateo County,California,06,081,736800.0
Santa Barbara County,California,06,083,446500.0
Santa Clara County,California,06,085,664100.0
Santa Cruz County,California,06,087,559500.0
Shasta County,California,06,089,213700.0
Sierra County,California,06,091,195700.0
Siskiyou County,California,06,093,185400.0
Solano County,California,06,095,263600.0
Sonoma County,California,06,097,414500.0
Stanislaus County,California,06,099,175400.0
Sutter County,California,06,101,189600.0
Tehama County,California,06,103,170300.0
Trinity County,California,06,105,258500.0
Tulare County,California,06,107,161000.0
Tuolumne County,California,06,109,262600.0
Ventura County,California,06,111,444800.0
Yolo County,California,06,113,317700.0
Yuba County,California,06,115,170800.0
Alamosa County,Colorado,08,003,142100.0
Archuleta County,Colorado,08,007,264300.0
Baca County,Colorado,08,009,71500.0
