County,State,State_FIPS,County_FIPS,unemployment_rate
Autauga County,Alabama,01,001,5.2
Baldwin County,Alabama,01,003,5.5
Barbour County,Alabama,01,005,12.4
Bibb County,Alabama,01,007,8.2
Blount County,Alabama,01,009,4.9
Bullock County,Alabama,01,011,12.1
Butler County,Alabama,01,013,7.6
Calhoun County,Alabama,01,015,10.1
Chambers County,Alabama,01,017,6.4
Cherokee County,Alabama,01,019,5.3
Chilton County,Alabama,01,021,6.7
Choctaw County,Alabama,01,023,9.8
Clarke County,Alabama,01,025,15.2
Clay County,Alabama,01,027,6.4
Cleburne County,Alabama,01,029,7.8
Coffee County,Alabama,01,031,6.0
Colbert County,Alabama,01,033,6.9
Conecuh County,Alabama,01,035,14.5
Coosa County,Alabama,01,037,11.3
Covington County,Alabama,01,039,10.7
Crenshaw County,Alabama,01,041,6.4
Cullman County,Alabama,01,043,5.8
Dale County,Alabama,01,045,10.4
Dallas County,Alabama,01,047,13.7
DeKalb County,Alabama,01,049,5.1
Elmore County,Alabama,01,051,7.3
Escambia County,Alabama,01,053,13.7
Etowah County,Alabama,01,055,7.6
Fayette County,Alabama,01,057,8.4
Franklin County,Alabama,01,059,8.2
Geneva County,Alabama,01,061,8.9
Greene County,Alabama,01,063,14.8
Hale County,Alabama,01,065,11.7
Henry County,Alabama,01,067,6.7
Houston County,Alabama,01,069,7.6
Jackson County,Alabama,01,071,7.7
Jefferson County,Alabama,01,073,7.7
Lamar County,Alabama,01,075,7.9
Lauderdale County,Alabama,01,077,6.6
Lawrence County,Alabama,01,079,7.2
Lee County,Alabama,01,081,5.7
Limestone County,Alabama,01,083,7.1
Lowndes County,Alabama,01,085,11.2
Macon County,Alabama,01,087,14.5
Madison County,Alabama,01,089,6.5
Marengo County,Alabama,01,091,12.8
Marion County,Alabama,01,093,5.5
Marshall County,Alabama,01,095,6.5
Mobile County,Alabama,01,097,7.5
Monroe County,Alabama,01,099,21.6
Montgomery County,Alabama,01,101,7.6
Morgan County,Alabama,01,103,6.5
Perry County,Alabama,01,105,11.8
Pickens County,Alabama,01,107,12.2
Pike County,Alabama,01,109,8.7
Randolph County,Alabama,01,111,5.8
Russell County,Alabama,01,113,9.7
Saint Clair County,Alabama,01,115,5.8
Shelby County,Alabama,01,117,4.3
Sumter County,Alabama,01,119,13.4
Talladega County,Alabama,01,121,10.0
Tallapoosa County,Alabama,01,123,9.2
Tuscaloosa County,Alabama,01,125,6.7
Walker County,Alabama,01,127,10.0
Washington County,Alabama,01,129,11.0
Wilcox County,Alabama,01,131,17.2
Winston County,Alabama,01,133,9.4
Anchorage Municipality,Alaska,02,020,5.8
Bethel Census Area,Alaska,02,050,19.3
Bristol Bay Borough,Alaska,02,060,6.8
Fairbanks North Star Borough,Alaska,02,090,8.0
Haines Borough,Alaska,02,100,2.7
Juneau City and Borough,Alaska,02,110,4.8
Kenai Peninsula Borough,Alaska,02,122,8.6
Kodiak Island Borough,Alaska,02,150,5.3
Matanuska-Susitna Borough,Alaska,02,170,9.8
Nome Census Area,Alaska,02,180,16.6
North Slope Borough,Alaska,02,185,9.5
Sitka City and Borough,Alaska,02,220,5.0
Southeast Fairbanks Census Area,Alaska,02,240,12.5
Valdez-Cordova Census Area,Alaska,02,261,7.5
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,20.1
Aleutians East Borough,Alaska,02,013,2.4
Aleutians West Census Area,Alaska,02,016,1.9
Dillingham Census Area,Alaska,02,070,11.4
Lake and Peninsula Borough,Alaska,02,164,13.2
Denali Borough,Alaska,02,068,1.9
Yukon-Koyukuk Census Area,Alaska,02,290,19.7
Hoonah-Angoon Census Area,Alaska,02,105,11.7
Skagway Municipality,Alaska,02,230,7.9
Yakutat City and Borough,Alaska,02,282,6.5
Ketchikan Gateway Borough,Alaska,02,130,7.0
Petersburg Borough,Alaska,02,195,4.8
Prince of Wales-Hyder Census Area,Alaska,02,198,13.5
Wrangell City and Borough,Alaska,02,275,7.0
Apache County,Arizona,04,001,14.1
Cochise County,Arizona,04,003,7.6
Coconino County,Arizona,04,005,8.3
Gila County,Arizona,04,007,11.7
Graham County,Arizona,04,009,12.2
Greenlee County,Arizona,04,011,7.6
Maricopa County,Arizona,04,013,6.0
Mohave County,Arizona,04,015,10.1
Navajo County,Arizona,04,017,16.3
Pima County,Arizona,04,019,8.4
Pinal County,Arizona,04,021,7.8
Santa Cruz County,Arizona,04,023,8.7
Yavapai County,Arizona,04,025,7.3
La Paz County,Arizona,04,012,9.5
Yuma County,Arizona,04,027,10.9
Arkansas County,Arkansas,05,001,8.5
Ashley County,Arkansas,05,003,9.9
Baxter County,Arkansas,05,005,5.8
Benton County,Arkansas,05,007,3.1
Boone County,Arkansas,05,009,6.1
Bradley County,Arkansas,05,011,9.4
Calhoun County,Arkansas,05,013,5.7
Carroll County,Arkansas,05,015,5.1
Chicot County,Arkansas,05,017,10.1
Clark County,Arkansas,05,019,4.5
Clay County,Arkansas,05,021,5.3
Cleburne County,Arkansas,05,023,5.5
Cleveland County,Arkansas,05,025,6.6
Columbia County,Arkansas,05,027,9.5
Conway County,Arkansas,05,029,7.1
Craighead County,Arkansas,05,031,6.0
Crawford County,Arkansas,05,033,6.2
Crittenden County,Arkansas,05,035,8.4
Cross County,Arkansas,05,037,6.8
Dallas County,Arkansas,05,039,6.4
Desha County,Arkansas,05,041,12.2
Drew County,Arkansas,05,043,9.0
Faulkner County,Arkansas,05,045,5.1
Franklin County,Arkansas,05,047,6.6
Fulton County,Arkansas,05,049,6.9
Garland County,Arkansas,05,051,9.0
Grant County,Arkansas,05,053,8.7
Greene County,Arkansas,05,055,7.0
Hempstead County,Arkansas,05,057,6.4
Hot Spring County,Arkansas,05,059,6.2
Howard County,Arkansas,05,061,5.7
Independence County,Arkansas,05,063,6.0
Izard County,Arkansas,05,065,9.6
Jackson County,Arkansas,05,067,7.0
Jefferson County,Arkansas,05,069,10.0
Johnson County,Arkansas,05,071,4.7
Lafayette County,Arkansas,05,073,8.3
Lawrence County,Arkansas,05,075,8.2
Lee County,Arkansas,05,077,15.3
Lincoln County,Arkansas,05,079,8.1
Little River County,Arkansas,05,081,10.3
Logan County,Arkansas,05,083,8.1
Lonoke County,Arkansas,05,085,4.8
Madison County,Arkansas,05,087,4.5
Marion County,Arkansas,05,089,7.7
Miller County,Arkansas,05,091,8.0
Mississippi County,Arkansas,05,093,11.6
Monroe County,Arkansas,05,095,9.1
Montgomery County,Arkansas,05,097,4.4
Nevada County,Arkansas,05,099,4.8
Newton County,Arkansas,05,101,4.0
Ouachita County,Arkansas,05,103,8.3
Perry County,Arkansas,05,105,6.5
Phillips County,Arkansas,05,107,15.7
Pike County,Arkansas,05,109,5.1
Poinsett County,Arkansas,05,111,5.4
Polk County,Arkansas,05,113,8.5
Pope County,Arkansas,05,115,7.3
Prairie County,Arkansas,05,117,7.6
Pulaski County,Arkansas,05,119,5.9
Randolph County,Arkansas,05,121,3.5
Saint Francis County,Arkansas,05,123,10.0
Saline County,Arkansas,05,125,4.3
Scott County,Arkansas,05,127,10.6
Searcy County,Arkansas,05,129,3.6
Sebastian County,Arkansas,05,131,5.6
Sevier County,Arkansas,05,133,6.6
Sharp County,Arkansas,05,135,6.7
Stone County,Arkansas,05,137,8.3
Union County,Arkansas,05,139,8.3
Van Buren County,Arkansas,05,141,8.3
Washington County,Arkansas,05,143,4.9
White County,Arkansas,05,145,6.2
Woodruff County,Arkansas,05,147,10.1
Yell County,Arkansas,05,149,6.3
Alameda County,California,06,001,6.0
Alpine County,California,06,003,14.6
Amador County,California,06,005,9.3
Butte County,California,06,007,9.1
Calaveras County,California,06,009,7.1
Colusa County,California,06,011,5.9
Contra Costa County,California,06,013,6.9
