County,State,State_FIPS,County_FIPS,health_insurance_rate
Autauga County,Alabama,01,001,92.9
Baldwin County,Alabama,01,003,89.8
Barbour County,Alabama,01,005,88.8
Bibb County,Alabama,01,007,92.1
Blount County,Alabama,01,009,89.0
Bullock County,Alabama,01,011,89.2
Butler County,Alabama,01,013,89.8
Calhoun County,Alabama,01,015,90.6
Chambers County,Alabama,01,017,89.2
Cherokee County,Alabama,01,019,91.7
Chilton County,Alabama,01,021,85.8
Choctaw County,Alabama,01,023,88.6
Clarke County,Alabama,01,025,89.2
Clay County,Alabama,01,027,89.8
Cleburne County,Alabama,01,029,87.2
Coffee County,Alabama,01,031,89.9
Colbert County,Alabama,01,033,91.9
Conecuh County,Alabama,01,035,85.5
Coosa County,Alabama,01,037,92.2
Covington County,Alabama,01,039,88.8
Crenshaw County,Alabama,01,041,90.0
Cullman County,Alabama,01,043,88.2
Dale County,Alabama,01,045,88.6
Dallas County,Alabama,01,047,88.0
DeKalb County,Alabama,01,049,85.5
Elmore County,Alabama,01,051,91.8
Escambia County,Alabama,01,053,84.5
Etowah County,Alabama,01,055,89.6
Fayette County,Alabama,01,057,91.2
Franklin County,Alabama,01,059,87.2
Geneva County,Alabama,01,061,86.3
Greene County,Alabama,01,063,88.6
Hale County,Alabama,01,065,91.2
Henry County,Alabama,01,067,88.6
Houston County,Alabama,01,069,89.6
Jackson County,Alabama,01,071,90.4
Jefferson County,Alabama,01,073,90.5
Lamar County,Alabama,01,075,90.6
Lauderdale County,Alabama,01,077,90.9
Lawrence County,Alabama,01,079,91.8
Lee County,Alabama,01,081,92.1
Limestone County,Alabama,01,083,90.4
Lowndes County,Alabama,01,085,90.8
Macon County,Alabama,01,087,91.9
Madison County,Alabama,01,089,91.1
Marengo County,Alabama,01,091,90.4
Marion County,Alabama,01,093,89.5
Marshall County,Alabama,01,095,86.9
Mobile County,Alabama,01,097,88.4
Monroe County,Alabama,01,099,86.6
Montgomery County,Alabama,01,101,89.5
Morgan County,Alabama,01,103,89.8
Perry County,Alabama,01,105,87.3
Pickens County,Alabama,01,107,91.5
Pike County,Alabama,01,109,90.4
Randolph County,Alabama,01,111,89.5
Russell County,Alabama,01,113,86.6
Saint Clair County,Alabama,01,115,91.2
Shelby County,Alabama,01,117,93.2
Sumter County,Alabama,01,119,84.5
Talladega County,Alabama,01,121,90.7
Tallapoosa County,Alabama,01,123,91.9
Tuscaloosa County,Alabama,01,125,92.5
Walker County,Alabama,01,127,89.0
Washington County,Alabama,01,129,90.4
Wilcox County,Alabama,01,131,88.4
Winston County,Alabama,01,133,87.7
Anchorage Municipality,Alaska,02,020,87.8
Bethel Census Area,Alaska,02,050,79.3
Bristol Bay Borough,Alaska,02,060,80.2
Fairbanks North Star Borough,Alaska,02,090,90.0
Haines Borough,Alaska,02,100,84.5
Juneau City and Borough,Alaska,02,110,88.9
Kenai Peninsula Borough,Alaska,02,122,82.8
Kodiak Island Borough,Alaska,02,150,79.7
Matanuska-Susitna Borough,Alaska,02,170,84.8
Nome Census Area,Alaska,02,180,77.5
North Slope Borough,Alaska,02,185,79.2
Sitka City and Borough,Alaska,02,220,81.7
Southeast Fairbanks Census Area,Alaska,02,240,84.4
Valdez-Cordova Census Area,Alaska,02,261,84.3
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,72.4
Aleutians East Borough,Alaska,02,013,54.4
Aleutians West Census Area,Alaska,02,016,81.2
Dillingham Census Area,Alaska,02,070,77.6
Lake and Peninsula Borough,Alaska,02,164,68.4
Denali Borough,Alaska,02,068,80.8
Yukon-Koyukuk Census Area,Alaska,02,290,70.8
Hoonah-Angoon Census Area,Alaska,02,105,74.9
Skagway Municipality,Alaska,02,230,81.1
Yakutat City and Borough,Alaska,02,282,79.5
Ketchikan Gateway Borough,Alaska,02,130,86.8
Petersburg Borough,Alaska,02,195,90.9
Prince of Wales-Hyder Census Area,Alaska,02,198,74.1
Wrangell City and Borough,Alaska,02,275,85.0
Apache County,Arizona,04,001,76.5
Cochise County,Arizona,04,003,91.8
Coconino County,Arizona,04,005,87.7
Gila County,Arizona,04,007,88.7
Graham County,Arizona,04,009,91.5
Greenlee County,Arizona,04,011,92.7
Maricopa County,Arizona,04,013,88.9
Mohave County,Arizona,04,015,89.6
Navajo County,Arizona,04,017,86.5
Pima County,Arizona,04,019,90.1
Pinal County,Arizona,04,021,91.2
Santa Cruz County,Arizona,04,023,88.4
Yavapai County,Arizona,04,025,89.6
La Paz County,Arizona,04,012,85.5
Yuma County,Arizona,04,027,86.7
Arkansas County,Arkansas,05,001,93.2
Ashley County,Arkansas,05,003,90.8
Baxter County,Arkansas,05,005,94.4
Benton County,Arkansas,05,007,90.6
Boone County,Arkansas,05,009,93.2
Bradley County,Arkansas,05,011,88.5
Calhoun County,Arkansas,05,013,91.8
Carroll County,Arkansas,05,015,87.6
Chicot County,Arkansas,05,017,91.1
Clark County,Arkansas,05,019,91.4
Clay County,Arkansas,05,021,93.1
Cleburne County,Arkansas,05,023,90.8
Cleveland County,Arkansas,05,025,94.9
Columbia County,Arkansas,05,027,91.8
Conway County,Arkansas,05,029,92.6
Craighead County,Arkansas,05,031,90.7
Crawford County,Arkansas,05,033,91.1
Crittenden County,Arkansas,05,035,90.9
Cross County,Arkansas,05,037,92.7
Dallas County,Arkansas,05,039,92.0
Desha County,Arkansas,05,041,92.7
Drew County,Arkansas,05,043,94.1
Faulkner County,Arkansas,05,045,90.3
Franklin County,Arkansas,05,047,94.2
Fulton County,Arkansas,05,049,90.9
Garland County,Arkansas,05,051,88.8
Grant County,Arkansas,05,053,95.0
Greene County,Arkansas,05,055,93.1
Hempstead County,Arkansas,05,057,90.1
Hot Spring County,Arkansas,05,059,91.5
Howard County,Arkansas,05,061,90.9
Independence County,Arkansas,05,063,91.4
Izard County,Arkansas,05,065,92.8
Jackson County,Arkansas,05,067,91.9
Jefferson County,Arkansas,05,069,92.1
Johnson County,Arkansas,05,071,89.0
