County,State,State_FIPS,County_FIPS,total_population_race
Lee County,Arkansas,05,077,9966.0
Lincoln County,Arkansas,05,079,14062.0
Little River County,Arkansas,05,081,12720.0
Logan County,Arkansas,05,083,22001.0
Lonoke County,Arkansas,05,085,70691.0
Madison County,Arkansas,05,087,15702.0
Marion County,Arkansas,05,089,16458.0
Miller County,Arkansas,05,091,43652.0
Mississippi County,Arkansas,05,093,44864.0
Monroe County,Arkansas,05,095,7713.0
Montgomery County,Arkansas,05,097,9197.0
Nevada County,Arkansas,05,099,8793.0
Newton County,Arkansas,05,101,8052.0
Ouachita County,Arkansas,05,103,25044.0
Perry County,Arkansas,05,105,10300.0
Phillips County,Arkansas,05,107,20391.0
Pike County,Arkansas,05,109,11087.0
Poinsett County,Arkansas,05,111,24210.0
Polk County,Arkansas,05,113,20364.0
Pope County,Arkansas,05,115,62830.0
Prairie County,Arkansas,05,117,8402.0
Pulaski County,Arkansas,05,119,390463.0
Randolph County,Arkansas,05,121,17695.0
Saint Francis County,Arkansas,05,123,27345.0
Saline County,Arkansas,05,125,113833.0
Scott County,Arkansas,05,127,10870.0
Searcy County,Arkansas,05,129,7965.0
Sebastian County,Arkansas,05,131,127273.0
Sevier County,Arkansas,05,133,17268.0
Sharp County,Arkansas,05,135,17055.0
Stone County,Arkansas,05,137,12512.0
Union County,Arkansas,05,139,40633.0
Van Buren County,Arkansas,05,141,17002.0
Washington County,Arkansas,05,143,216432.0
White County,Arkansas,05,145,78660.0
Woodruff County,Arkansas,05,147,6983.0
Yell County,Arkansas,05,149,21835.0
Alameda County,California,06,001,1584983.0
Alpine County,California,06,003,1131.0
Amador County,California,06,005,36995.0
Butte County,California,06,007,222564.0
Calaveras County,California,06,009,44767.0
Colusa County,California,06,011,21396.0
Contra Costa County,California,06,013,1096068.0
Del Norte County,California,06,015,27788.0
El Dorado County,California,06,017,182093.0
Fresno County,California,06,019,956749.0
Glenn County,California,06,021,28029.0
Humboldt County,California,06,023,135034.0
Imperial County,California,06,025,178206.0
Inyo County,California,06,027,18373.0
Kern County,California,06,029,865736.0
Kings County,California,06,031,150998.0
Lake County,California,06,033,64158.0
Lassen County,California,06,035,32645.0
Los Angeles County,California,06,037,10038388.0
Madera County,California,06,039,153187.0
Marin County,California,06,041,258349.0
Mariposa County,California,06,043,17789.0
Mendocino County,California,06,045,87544.0
Merced County,California,06,047,263885.0
Modoc County,California,06,049,9184.0
Mono County,California,06,051,14146.0
Monterey County,California,06,053,428441.0
Napa County,California,06,055,140295.0
Nevada County,California,06,057,98570.0
Orange County,California,06,059,3116069.0
Placer County,California,06,061,366280.0
Plumas County,California,06,063,18966.0
Riverside County,California,06,065,2298032.0
Sacramento County,California,06,067,1465832.0
San Benito County,California,06,069,57557.0
San Bernardino County,California,06,071,2094769.0
San Diego County,California,06,073,3223096.0
San Francisco County,California,06,075,840763.0
San Joaquin County,California,06,077,708554.0
San Luis Obispo County,California,06,079,276517.0
San Mateo County,California,06,081,748731.0
Santa Barbara County,California,06,083,435850.0
Santa Clara County,California,06,085,1868149.0
Santa Cruz County,California,06,087,269278.0
Shasta County,California,06,089,178942.0
Sierra County,California,06,091,3021.0
Siskiyou County,California,06,093,43895.0
Solano County,California,06,095,425753.0
Sonoma County,California,06,097,495078.0
Stanislaus County,California,06,099,527367.0
Sutter County,California,06,101,95247.0
Tehama County,California,06,103,63152.0
Trinity County,California,06,105,13373.0
Tulare County,California,06,107,454033.0
Tuolumne County,California,06,109,54079.0
Ventura County,California,06,111,840833.0
Yolo County,California,06,113,207320.0
Yuba County,California,06,115,73437.0
Alamosa County,Colorado,08,003,16269.0
Archuleta County,Colorado,08,007,12174.0
Baca County,Colorado,08,009,3701.0
Bent County,Colorado,08,011,5895.0
Chaffee County,Colorado,08,015,18309.0
Cheyenne County,Colorado,08,017,2002.0
Clear Creek County,Colorado,08,019,9136.0
Conejos County,Colorado,08,021,8249.0
Costilla County,Colorado,08,023,3581.0
Crowley County,Colorado,08,025,5551.0
