County,State,State_FIPS,County_FIPS,white_population
Wakulla County,Florida,12,129,25966.0
Walton County,Florida,12,131,54729.0
Washington County,Florida,12,133,19690.0
Appling County,Georgia,13,001,14062.0
Atkinson County,Georgia,13,003,5962.0
Bacon County,Georgia,13,005,9060.0
Baker County,Georgia,13,007,1817.0
Baldwin County,Georgia,13,009,24653.0
Banks County,Georgia,13,011,17090.0
Barrow County,Georgia,13,013,59955.0
Bartow County,Georgia,13,015,85953.0
Ben Hill County,Georgia,13,017,10369.0
Berrien County,Georgia,13,019,16121.0
Bibb County,Georgia,13,021,63796.0
Bleckley County,Georgia,13,023,8944.0
Brantley County,Georgia,13,025,17243.0
Brooks County,Georgia,13,027,9371.0
Bryan County,Georgia,13,029,27071.0
Bulloch County,Georgia,13,031,48415.0
Burke County,Georgia,13,033,10955.0
Butts County,Georgia,13,035,16195.0
Calhoun County,Georgia,13,037,2200.0
Camden County,Georgia,13,039,38499.0
Candler County,Georgia,13,043,7344.0
Carroll County,Georgia,13,045,85990.0
Catoosa County,Georgia,13,047,61071.0
Charlton County,Georgia,13,049,8647.0
Chatham County,Georgia,13,051,150913.0
Chattahoochee County,Georgia,13,053,7752.0
Chattooga County,Georgia,13,055,21638.0
Cherokee County,Georgia,13,057,203874.0
Clarke County,Georgia,13,059,78355.0
Clay County,Georgia,13,061,915.0
Clayton County,Georgia,13,063,51044.0
Clinch County,Georgia,13,065,4490.0
Cobb County,Georgia,13,067,442931.0
Coffee County,Georgia,13,069,29078.0
Colquitt County,Georgia,13,071,29503.0
Columbia County,Georgia,13,073,107841.0
Cook County,Georgia,13,075,11910.0
Coweta County,Georgia,13,077,106038.0
Crawford County,Georgia,13,079,9144.0
Crisp County,Georgia,13,081,12313.0
Dade County,Georgia,13,083,15484.0
Dawson County,Georgia,13,085,22609.0
Decatur County,Georgia,13,087,14159.0
DeKalb County,Georgia,13,089,254989.0
Dodge County,Georgia,13,091,14116.0
Dooly County,Georgia,13,093,6158.0
Dougherty County,Georgia,13,095,25240.0
Douglas County,Georgia,13,097,67714.0
Early County,Georgia,13,099,4807.0
Echols County,Georgia,13,101,3135.0
Effingham County,Georgia,13,103,47042.0
Elbert County,Georgia,13,105,13161.0
Emanuel County,Georgia,13,107,13901.0
Evans County,Georgia,13,109,6356.0
Fannin County,Georgia,13,111,23753.0
Fayette County,Georgia,13,113,76243.0
Floyd County,Georgia,13,115,75642.0
Forsyth County,Georgia,13,117,175339.0
Franklin County,Georgia,13,119,19238.0
Fulton County,Georgia,13,121,454897.0
Gilmer County,Georgia,13,123,27031.0
Glascock County,Georgia,13,125,2671.0
Glynn County,Georgia,13,127,56466.0
Gordon County,Georgia,13,129,50879.0
Grady County,Georgia,13,131,16626.0
Greene County,Georgia,13,133,9877.0
Gwinnett County,Georgia,13,135,450971.0
Habersham County,Georgia,13,137,37877.0
Hall County,Georgia,13,139,162214.0
Hancock County,Georgia,13,141,2121.0
Haralson County,Georgia,13,143,26416.0
Harris County,Georgia,13,145,26242.0
Hart County,Georgia,13,147,19636.0
Heard County,Georgia,13,149,9901.0
Henry County,Georgia,13,151,110446.0
Houston County,Georgia,13,153,92820.0
Irwin County,Georgia,13,155,6367.0
Jackson County,Georgia,13,157,55968.0
Jasper County,Georgia,13,159,10357.0
Jeff Davis County,Georgia,13,161,11511.0
Jefferson County,Georgia,13,163,6913.0
Jenkins County,Georgia,13,165,5461.0
Johnson County,Georgia,13,167,6367.0
Jones County,Georgia,13,169,20846.0
Lamar County,Georgia,13,171,12116.0
Lanier County,Georgia,13,173,7679.0
Laurens County,Georgia,13,175,28363.0
Lee County,Georgia,13,177,21774.0
Liberty County,Georgia,13,179,29100.0
Lincoln County,Georgia,13,181,5160.0
Long County,Georgia,13,183,11527.0
Lowndes County,Georgia,13,185,66027.0
Lumpkin County,Georgia,13,187,29645.0
McDuffie County,Georgia,13,189,11772.0
McIntosh County,Georgia,13,191,8756.0
Macon County,Georgia,13,193,4778.0
Madison County,Georgia,13,195,24265.0
Marion County,Georgia,13,197,5099.0
Meriwether County,Georgia,13,199,12215.0
Miller County,Georgia,13,201,4034.0
Mitchell County,Georgia,13,205,11125.0
Monroe County,Georgia,13,207,19732.0
Montgomery County,Georgia,13,209,6067.0
Morgan County,Georgia,13,211,13351.0
Murray County,Georgia,13,213,38120.0
Muscogee County,Georgia,13,215,88471.0
Newton County,Georgia,13,217,54606.0
Oconee County,Georgia,13,219,31909.0
Oglethorpe County,Georgia,13,221,11532.0
Paulding County,Georgia,13,223,116211.0
Peach County,Georgia,13,225,13121.0
Pickens County,Georgia,13,227,29025.0
Pierce County,Georgia,13,229,16623.0
Pike County,Georgia,13,231,15777.0
Polk County,Georgia,13,233,31246.0
Pulaski County,Georgia,13,235,7226.0
Putnam County,Georgia,13,237,14718.0
Quitman County,Georgia,13,239,909.0
Rabun County,Georgia,13,241,15081.0
Randolph County,Georgia,13,243,2646.0
Richmond County,Georgia,13,245,77064.0
Rockdale County,Georgia,13,247,37221.0
Schley County,Georgia,13,249,3576.0
Screven County,Georgia,13,251,7829.0
Seminole County,Georgia,13,253,5282.0
Spalding County,Georgia,13,255,40377.0
Stephens County,Georgia,13,257,21528.0
Stewart County,Georgia,13,259,1618.0
Sumter County,Georgia,13,261,12955.0
Talbot County,Georgia,13,263,2702.0
Taliaferro County,Georgia,13,265,683.0
Tattnall County,Georgia,13,267,15232.0
Taylor County,Georgia,13,269,4753.0
Telfair County,Georgia,13,271,8914.0
Terrell County,Georgia,13,273,3268.0
Thomas County,Georgia,13,275,26958.0
Tift County,Georgia,13,277,25782.0
Toombs County,Georgia,13,279,17039.0
Towns County,Georgia,13,281,10691.0
Treutlen County,Georgia,13,283,4707.0
Troup County,Georgia,13,285,40955.0
Turner County,Georgia,13,287,4449.0
Twiggs County,Georgia,13,289,4602.0
Union County,Georgia,13,291,21612.0
Upson County,Georgia,13,293,18300.0
Walker County,Georgia,13,295,63292.0
Walton County,Georgia,13,297,70069.0
Ware County,Georgia,13,299,23305.0
Warren County,Georgia,13,301,2012.0
Washington County,Georgia,13,303,9218.0
Wayne County,Georgia,13,305,22294.0
Webster County,Georgia,13,307,1299.0
Wheeler County,Georgia,13,309,4556.0
White County,Georgia,13,311,26930.0
Whitfield County,Georgia,13,313,91949.0
Wilcox County,Georgia,13,315,5562.0
Wilkes County,Georgia,13,317,5231.0
Wilkinson County,Georgia,13,319,5380.0
Worth County,Georgia,13,321,14332.0
Hawaii County,Hawaii,15,001,66492.0
Honolulu County,Hawaii,15,003,209222.0
Kauai County,Hawaii,15,007,23301.0
Kalawao County,Hawaii,15,005,18.0
Maui County,Hawaii,15,009,58275.0
Ada County,Idaho,16,001,395726.0
Adams County,Idaho,16,003,3779.0
Bannock County,Idaho,16,005,75606.0
Bear Lake County,Idaho,16,007,5655.0
Benewah County,Idaho,16,009,7890.0
Bingham County,Idaho,16,011,37735.0
Blaine County,Idaho,16,013,20204.0
Boise County,Idaho,16,015,6588.0
Bonner County,Idaho,16,017,39878.0
Bonneville County,Idaho,16,019,98578.0
Boundary County,Idaho,16,021,10638.0
Butte County,Idaho,16,023,2520.0
Camas County,Idaho,16,025,850.0
Canyon County,Idaho,16,027,180693.0
Caribou County,Idaho,16,029,6649.0
Cassia County,Idaho,16,031,22113.0
Clearwater County,Idaho,16,035,7979.0
Custer County,Idaho,16,037,3939.0
Elmore County,Idaho,16,039,22773.0
Franklin County,Idaho,16,041,12671.0
Fremont County,Idaho,16,043,12067.0
Gem County,Idaho,16,045,15496.0
Gooding County,Idaho,16,047,13564.0
Idaho County,Idaho,16,049,15195.0
Jefferson County,Idaho,16,051,24872.0
Jerome County,Idaho,16,053,21924.0
Kootenai County,Idaho,16,055,141527.0
Latah County,Idaho,16,057,35798.0
Lemhi County,Idaho,16,059,7427.0
Lewis County,Idaho,16,061,3364.0
Lincoln County,Idaho,16,063,4954.0
Madison County,Idaho,16,065,35841.0
Minidoka County,Idaho,16,067,19286.0
Nez Perce County,Idaho,16,069,35979.0
Oneida County,Idaho,16,071,4166.0
Owyhee County,Idaho,16,073,9758.0
Payette County,Idaho,16,075,20761.0
Power County,Idaho,16,077,6157.0
Shoshone County,Idaho,16,079,11770.0
Teton County,Idaho,16,081,9621.0
Twin Falls County,Idaho,16,083,76170.0
Valley County,Idaho,16,085,10009.0
Washington County,Idaho,16,087,8797.0
Adams County,Illinois,17,001,62209.0
Alexander County,Illinois,17,003,4215.0
Bond County,Illinois,17,005,15463.0
Boone County,Illinois,17,007,47071.0
Brown County,Illinois,17,009,5195.0
Bureau County,Illinois,17,011,31527.0
Calhoun County,Illinois,17,013,4770.0
Carroll County,Illinois,17,015,14093.0
Cass County,Illinois,17,017,11692.0
Champaign County,Illinois,17,019,151258.0
Christian County,Illinois,17,021,32412.0
Clark County,Illinois,17,023,15443.0
Clay County,Illinois,17,025,13097.0
Clinton County,Illinois,17,027,35288.0
Coles County,Illinois,17,029,48685.0
Cook County,Illinois,17,031,2966732.0
Crawford County,Illinois,17,033,17938.0
Cumberland County,Illinois,17,035,10663.0
DeKalb County,Illinois,17,037,88042.0
De Witt County,Illinois,17,039,14604.0
Douglas County,Illinois,17,041,19101.0
DuPage County,Illinois,17,043,729495.0
Edgar County,Illinois,17,045,17264.0
Edwards County,Illinois,17,047,6392.0
Effingham County,Illinois,17,049,33234.0
Fayette County,Illinois,17,051,20496.0
Ford County,Illinois,17,053,13029.0
Franklin County,Illinois,17,055,38162.0
Fulton County,Illinois,17,057,33695.0
Gallatin County,Illinois,17,059,5067.0
Greene County,Illinois,17,061,12925.0
Grundy County,Illinois,17,063,47342.0
Hamilton County,Illinois,17,065,8193.0
Hancock County,Illinois,17,067,17815.0
Hardin County,Illinois,17,069,3909.0
Henderson County,Illinois,17,071,6737.0
Henry County,Illinois,17,073,46509.0
Iroquois County,Illinois,17,075,26547.0
Jackson County,Illinois,17,077,45439.0
Jasper County,Illinois,17,079,9470.0
Jefferson County,Illinois,17,081,33597.0
Jersey County,Illinois,17,083,21512.0
Jo Daviess County,Illinois,17,085,21508.0
Johnson County,Illinois,17,087,11302.0
Kane County,Illinois,17,089,381774.0
Kankakee County,Illinois,17,091,88468.0
Kendall County,Illinois,17,093,101482.0
Knox County,Illinois,17,095,44276.0
Lake County,Illinois,17,097,552121.0
LaSalle County,Illinois,17,099,103991.0
Lawrence County,Illinois,17,101,14396.0
Lee County,Illinois,17,103,31494.0
Livingston County,Illinois,17,105,34170.0
Logan County,Illinois,17,107,26048.0
McDonough County,Illinois,17,109,28522.0
McHenry County,Illinois,17,111,284614.0
McLean County,Illinois,17,113,144451.0
Macon County,Illinois,17,115,84088.0
Macoupin County,Illinois,17,117,44586.0
Madison County,Illinois,17,119,233810.0
Marion County,Illinois,17,121,35552.0
Marshall County,Illinois,17,123,11584.0
Mason County,Illinois,17,125,13587.0
Massac County,Illinois,17,127,13253.0
Menard County,Illinois,17,129,12057.0
Mercer County,Illinois,17,131,15344.0
Monroe County,Illinois,17,133,32999.0
Montgomery County,Illinois,17,135,26832.0
Morgan County,Illinois,17,137,31287.0
Moultrie County,Illinois,17,139,14430.0
Ogle County,Illinois,17,141,48723.0
Peoria County,Illinois,17,143,136008.0
Perry County,Illinois,17,145,19034.0
Piatt County,Illinois,17,147,15368.0
Pike County,Illinois,17,149,15384.0
Pope County,Illinois,17,151,3983.0
Pulaski County,Illinois,17,153,3725.0
Putnam County,Illinois,17,155,5600.0
Randolph County,Illinois,17,157,28579.0
Richland County,Illinois,17,159,15397.0
Rock Island County,Illinois,17,161,119259.0
Saint Clair County,Illinois,17,163,170540.0
Saline County,Illinois,17,165,22658.0
Sangamon County,Illinois,17,167,162809.0
Schuyler County,Illinois,17,169,6727.0
Scott County,Illinois,17,171,5019.0
Shelby County,Illinois,17,173,21540.0
Stark County,Illinois,17,175,5413.0
Stephenson County,Illinois,17,177,39361.0
Tazewell County,Illinois,17,179,129144.0
Union County,Illinois,17,181,16302.0
Vermilion County,Illinois,17,183,65453.0
Wabash County,Illinois,17,185,11152.0
Warren County,Illinois,17,187,15626.0
Washington County,Illinois,17,189,13798.0
Wayne County,Illinois,17,191,16179.0
White County,Illinois,17,193,13897.0
Whiteside County,Illinois,17,195,53013.0
Will County,Illinois,17,197,506111.0
Williamson County,Illinois,17,199,61999.0
Winnebago County,Illinois,17,201,226817.0
Woodford County,Illinois,17,203,37730.0
Adams County,Indiana,18,001,33935.0
Allen County,Indiana,18,003,292318.0
Bartholomew County,Indiana,18,005,69237.0
